Наименование,Описание,Категория,Цена,Фото
Пицца - Маргарита,"Помидоры, базилик.",Пицца,380 с,https://nambafood.kg/dish_image/35014.png
Пицца - Пепперони,"Колбаски пепперони, тимьян.",Пицца,420 с,https://nambafood.kg/dish_image/35017.png
Мясная пицца,"Мясо рубленное, окорочка копченные, ветчина, перец болгарский, зелень.",Пицца,480 с,https://nambafood.kg/dish_image/35021.png
Стейк-пицца,"Мясо, перец болгарский, зелень, помидоры, сыр.",Пицца,580 с,https://nambafood.kg/dish_image/35022.png
Куриная пицца,"Окорочка копченные, филе куриное, помидоры черри, корнишоны.",Пицца,420 с,https://nambafood.kg/dish_image/35016.png
Пицца ассорти,,Пицца,450 с,https://nambafood.kg/dish_image/114547.png
Бургер из курицы с фри,,Бургеры,380 с,https://nambafood.kg/dish_image/33787.png
Бургер из телятины с фри,,Бургеры,480 с,https://nambafood.kg/dish_image/35006.png
4 Говяжьих Слайдера с фри,Мини Бургеры,Бургеры,520 с,https://nambafood.kg/dish_image/33816.png
4 Куриных Слайдера с фри,Мини Бургеры,Бургеры,420 с,https://nambafood.kg/dish_image/35007.png
Комбо слайдеры (Мини Бургеры),,Бургеры,520 с,https://nambafood.kg/dish_image/66733.png
Клаб сендвич с курицей и фри,,Бургеры,400 с,https://nambafood.kg/dish_image/34984.png
Прибитое,"Мясо, приготовленное на гриле, с подачей на гвоздях: говядина, курица, куриные крылышки, колбаски, бараньи ребрышки, тонкая фокача, с чесноком и специями, печеный картофель, лук маринованный, овощи. Соус шашлычный, тартар, фокачча",Блюда для компаний,2950 с,https://nambafood.kg/dish_image/33808.png
Ассорти горячая закуска № 17,"Цыпленок, бон филе, мини бургеры, овощи, сыр, картофель, колбаски, пицца маргарита",Блюда для компаний,2950 с,https://nambafood.kg/dish_image/114538.png
Для пивка и для рывка № 1,"Суджок - сырокопченная колбаса из говядины, чипсы, чечел, куриные чипсы, луковые кольца, сухарики чесночные, фисташки.",Блюда для компаний,1200 с,https://nambafood.kg/dish_image/33791.png
Для пивка и для рывка № 2,"Фирменный картофель, пельмени жареные, сухарики чесночные, фокачча, колбаски венские, гриссини с паприкой.",Блюда для компаний,1100 с,https://nambafood.kg/dish_image/33792.png
Для пивка и для рывка № 3,,Блюда для компаний,1100 с,https://nambafood.kg/dish_image/33793.png
Ассорти шашлыков по-Тайски,,Блюда для компаний,2300 с,https://nambafood.kg/dish_image/114539.png
Ассорти солений,,Блюда для компаний,320 с,https://nambafood.kg/dish_image/114548.png
Колбасня,,Блюда для компаний,1400 с,https://nambafood.kg/dish_image/33798.png
Простая овощная нарезка,"Суджок, сыр сулугуни, свежие овощи.",Блюда для компаний,620 с,https://nambafood.kg/dish_image/33809.png
Дно океана,"Рыбное ассорти, семга, мини тосты со сливочным маслом и чесночными креветками, скумбрия.",Блюда для компаний,1300 с,https://nambafood.kg/dish_image/33794.png
Тарелка Буффало,"Крылышки, куриное филе, креветки.",Блюда для компаний,1100 с,https://nambafood.kg/dish_image/33822.png
Сельдь с печеным картофелем,,Блюда для компаний,450 с,https://nambafood.kg/dish_image/33813.png
Ассорти сыров,На Ваш выбор,Блюда для компаний,550 с,https://nambafood.kg/dish_image/33785.png
Закуска для Мужчин,"Мини чебуреки, крылья куриные, фри, чесночные гренки.",Блюда для компаний,650 с,https://nambafood.kg/dish_image/111739.png
Луковые кольца,,Закуски,120 с,https://nambafood.kg/dish_image/34995.png
Чесночные гренки,,Закуски,120 с,https://nambafood.kg/dish_image/34994.png
Мини чебуреки,,Закуски,200 с,https://nambafood.kg/dish_image/77055.png
Сыр в темпуре с соусом маринара,,Закуски,380 с,https://nambafood.kg/dish_image/33821.png
Корнишоны фри,,Закуски,180 с,https://nambafood.kg/dish_image/33799.png
Куриные крылышки «Буффало»‎‎ острые,,Закуски,400 с,https://nambafood.kg/dish_image/34694.png
Куриные палочки,,Закуски,320 с,https://nambafood.kg/dish_image/34990.png
Такос с пряной говядиной,"Лепешки такос, говядина, болгарский перец, помидоры, сырный соус.",Закуски,480 с,https://nambafood.kg/dish_image/77051.png
Куриный попкорн с сырным соусом,"Куриное филе, корнишоны. сырный соус.",Закуски,450 с,https://nambafood.kg/dish_image/85097.png
Начос с говядиной,"Кукурузные чипсы, говядина, помидоры, сырный соус.",Закуски,520 с,https://nambafood.kg/dish_image/77052.png
"Колбаски говяжьи с жаренным картофелем, соусом барбекю",,Закуски,450 с,https://nambafood.kg/dish_image/77054.png
Рулетики из баклажан,,Закуски,320 с,https://nambafood.kg/dish_image/111740.png
Судак и курица в кляре,,Закуски,450 с,https://nambafood.kg/dish_image/111741.png
Феттучини с курицей,,Паста,420 с,https://nambafood.kg/dish_image/34980.png
Феттучини с семгой,,Паста,680 с,https://nambafood.kg/dish_image/77342.png
Паста с чили,,Паста,420 с,https://nambafood.kg/dish_image/33807.png
Солянка,,Супы,250 с,https://nambafood.kg/dish_image/35001.png
Хор турецкого,Суп чечевичный с сырными тостами.,Супы,220 с,https://nambafood.kg/dish_image/35004.png
Пельмени с бульоном и со сметаной,,Супы,220 с,https://nambafood.kg/dish_image/35074.png
Гай Юлий Цезарь с курицей,,Салаты,480 с,https://nambafood.kg/dish_image/33789.png
Гай Юлий Цезарь с креветками,,Салаты,600 с,https://nambafood.kg/dish_image/35000.png
Салат из печеных баклажан и фокачо,,Салаты,320 с,https://nambafood.kg/dish_image/114535.png
Хрустящий баклажан с овощами,В соево-кунжутной заправке.,Салаты,380 с,https://nambafood.kg/dish_image/114536.png
Салат с телятиной и заправкой из каперсов,,Салаты,420 с,https://nambafood.kg/dish_image/114546.png
Геракл на диете,,Салаты,380 с,https://nambafood.kg/dish_image/114543.png
«Зеленый» салат,"Брокколи, шпинат, зеленая чечевица, сыр ""фетаки"" и шампиньоны.",Салаты,380 с,https://nambafood.kg/dish_image/114545.png
"Салат ""Столичный""","Яйцо, курица копченая, листья салата, кукуруза, майонез, зелень.",Салаты,320 с,https://nambafood.kg/dish_image/33819.png
Витаминка,"Свекла, яблоко, зелень, семечки, мед, цитрусовый дрессинг.",Салаты,200 с,https://nambafood.kg/dish_image/111746.png
Салат «Бруклинский»‎‎,"Помидор, картофель пай, сыр, чеснок, сухари, лист салата, копченая курица, майонезный соус.",Салаты,320 с,https://nambafood.kg/dish_image/114541.png
"Салат ""Восточный""","Говядина, огурец, перец болгарский, чеснок, соевый соус, масло растительное.",Салаты,320 с,https://nambafood.kg/dish_image/114550.png
Свежий салат,"Помидор, огурец, перец болгарский, лук красный, лист салата, масло оливковое.",Салаты,200 с,https://nambafood.kg/dish_image/111751.png
Стейк Тибон с легким салатом,,Основные блюда,900 с,https://nambafood.kg/dish_image/33818.png
Стейк Рибай с сырной фокаччо и травами,,Основные блюда,900 с,https://nambafood.kg/dish_image/33817.png
Пеппер Стейк  с картофелем фри,,Основные блюда,900 с,https://nambafood.kg/dish_image/35009.png
Стейк из семги с манговым соусом,,Основные блюда,900 с,https://nambafood.kg/dish_image/114549.png
Медальоны Красная звезда,Печеным картофелем и кабачковой икрой.,Основные блюда,820 с,https://nambafood.kg/dish_image/33802.png
Пряные медальоны из говядины,"С маринованным луком, салатом из квашеной капусты с гренками.",Основные блюда,800 с,https://nambafood.kg/dish_image/114534.png
Жареха мясная в сковороде,,Основные блюда,520 с,https://nambafood.kg/dish_image/33796.png
Цыпленок Табака с картофелем по-деревенски,,Основные блюда,720 с,https://nambafood.kg/dish_image/114537.png
Куриный рулет с начинкой из шпината и моцареллы,,Основные блюда,520 с,https://nambafood.kg/dish_image/114540.png
"Мексиканское блюдо ""Фохитос с курицей""",,Основные блюда,480 с,https://nambafood.kg/dish_image/115338.png
Fish and Chips,,Основные блюда,600 с,https://nambafood.kg/dish_image/33782.png
Говядина в сливочном соусе с картофельными чипсами,,Основные блюда,600 с,https://nambafood.kg/dish_image/114370.png
Говядина жареная с овощами,,Основные блюда,520 с,https://nambafood.kg/dish_image/111747.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/35026.png
Фирменный картофель фри,,Гарниры,180 с,https://nambafood.kg/dish_image/35027.png
Рис отварной,,Гарниры,120 с,https://nambafood.kg/dish_image/35028.png
Рис с овощами,,Гарниры,180 с,https://nambafood.kg/dish_image/66736.png
Картофельное пюре,,Гарниры,120 с,https://nambafood.kg/dish_image/35029.png
Картошка по-домашнему,,Гарниры,180 с,https://nambafood.kg/dish_image/35032.png
Овощи на гриле,,Гарниры,250 с,https://nambafood.kg/dish_image/33804.png
Гриссини с розмарином,,Мучные изделия,40 с,https://nambafood.kg/dish_image/76666.png
Гриссини с паприкой и кунжутом,,Мучные изделия,40 с,https://nambafood.kg/dish_image/35051.png
Корзина белого и черного хлеба,,Мучные изделия,250 с,https://nambafood.kg/dish_image/35054.png
Фокачча с луком и оливковым маслом,,Мучные изделия,120 с,https://nambafood.kg/dish_image/33824.png
Панкейки с кленовым сиропом и бананами,,Десерты,200 с,https://nambafood.kg/dish_image/33806.png
Брауни с вишней и творогом,,Десерты,500 с,https://nambafood.kg/dish_image/33786.png
Чизкейк Нью Йорк с клубничным джемом,,Десерты,500 с,https://nambafood.kg/dish_image/114364.png
