Наименование,Описание,Категория,Цена,Фото
Канада ролл,"Краб, угорь, авокадо.",Роллы,300 с,https://nambafood.kg/dish_image/117562.png
Калифорния ролл,"Краб, тобико, авокадо.",Роллы,255 с,https://nambafood.kg/dish_image/117563.png
Филадельфия ролл,"Лосось, сливочный сыр.",Роллы,300 с,https://nambafood.kg/dish_image/117558.png
Филадельфия унаги,"Угорь, огурец, лосось, сливочный сыр.",Роллы,300 с,https://nambafood.kg/dish_image/117559.png
Цезарь ролл,"Сыр, курица, езарь соус, помидор, салат.",Роллы,265 с,https://nambafood.kg/dish_image/117557.png
Мини ролл лосось,,Роллы,165 с,https://nambafood.kg/dish_image/117564.png
Мини ролл огурец,,Роллы,165 с,https://nambafood.kg/dish_image/117560.png
Мини ролл с чукой,,Роллы,165 с,https://nambafood.kg/dish_image/117565.png
Биг ролл темпура с лососем,,Роллы,370 с,https://nambafood.kg/dish_image/122746.png
Ролл «Поцелуй Гейши»,,Роллы,365 с,https://nambafood.kg/dish_image/122747.png
Запеченный ролл с курицей,,Роллы,375 с,https://nambafood.kg/dish_image/127791.png
Запеченный ролл с крабом,,Роллы,375 с,https://nambafood.kg/dish_image/127792.png
Запеченный ролл с лососем,,Роллы,375 с,https://nambafood.kg/dish_image/127793.png
Жареный ролл с лососем,,Роллы,385 с,https://nambafood.kg/dish_image/127794.png
Жареный ролл с тунцом,,Роллы,385 с,https://nambafood.kg/dish_image/127795.png
Жареный ролл пангасиус,,Роллы,385 с,https://nambafood.kg/dish_image/127796.png
Биг ролл с лососем,,Роллы,220 с,https://nambafood.kg/dish_image/127798.png
Биг ролл с курицей,,Роллы,220 с,https://nambafood.kg/dish_image/127799.png
Биг ролл с угрем,,Роллы,220 с,https://nambafood.kg/dish_image/127800.png
Сет «Счастливая жена»,"56 шт. Филадельфия 8 шт, Санрайз 8 шт, Бостон 8 шт, Такеши 8 шт, Юкатан 8 шт, Калифорния крим 8 шт, Черный самурай 8 шт, Грин 8 шт.",Сеты,1640 с,https://nambafood.kg/dish_image/127784.png
Сет «Бомб»,"32 шт. Филадельфия 4 шт, Калифорния 4 шт, Лава 4 шт, Бермуды 4 шт, Санрайз 4 шт, Чикен чиз 4 шт, Бостон 4 шт, Монтерей 4 шт.",Сеты,870 с,https://nambafood.kg/dish_image/127782.png
Сет «Калифорния»,"40 шт. Калифорния классик 8 шт, Калифорния гриль 8 шт, Калифорния с креветкой 4 шт, Калифорния унаги 4 шт, Калифорния сливочная 4 шт, Калифорния с копченым лососем 4 шт, Калифорния с тунцом 4 шт, Калифорния с чукой 4 шт.",Сеты,1210 с,https://nambafood.kg/dish_image/127786.png
Сет «Холостяк»,"50 шт. Запеченные роллы: с курицей 10 шт, с лососем 10 шт, с сыром 10 шт, с крабом 10 шт, с угрем 10 шт.",Сеты,1150 с,https://nambafood.kg/dish_image/117567.png
Сет «Горячая штучка»,"50 шт. Сандей, Магуро, Колорадо, Танука, Осака, Когава, Блек тай.",Сеты,1320 с,https://nambafood.kg/dish_image/117568.png
Сет «Филомания»,"40 шт. Классическая с лососем 8 шт, Лосось с угрем 8 шт, Лосось с крабом 8 шт, Лосось с креветкой 8 шт, Запеченный лосось 8 шт.",Сеты,1380 с,https://nambafood.kg/dish_image/127787.png
Сет «Вау»,"16 шт. Филадельфия 4 шт, Лава 4 шт, Унаги Филадельфия 4 шт, Калифорния 4 шт.",Сеты,650 с,https://nambafood.kg/dish_image/127789.png
Сет «Любимка»,"30 шт.  Филадельфия 4 шт, Калифорния 4 шт, Лава 8 шт, Юкатан 4 шт, Унаги футомаки 2 шт, Президент 4 шт, Грин 4 шт.",Сеты,650 с,https://nambafood.kg/dish_image/127788.png
Сет «Мемуары гейши»,"30 шт. Мини ролл с крабом 10 шт, Ролл Гейша 10 шт, Ролл Sunshine 10 шт.",Сеты,440 с,https://nambafood.kg/dish_image/127790.png
Пепперони стандарт,,Пицца 30 см,460 с,https://nambafood.kg/dish_image/117598.png
Пепперони двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117572.png
Куриная стандарт,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/117599.png
Куриная двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117574.png
Мясная стандарт,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/117600.png
Мясная двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117575.png
Арома стандарт,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/117601.png
Арома двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117576.png
Цезарь стандарт,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/117602.png
Цезарь двойная начинка,,Пицца 30 см,490 с,https://nambafood.kg/dish_image/117577.png
Маргарита стандарт,,Пицца 30 см,350 с,https://nambafood.kg/dish_image/117603.png
Маргарита двойная начинка,,Пицца 30 см,490 с,https://nambafood.kg/dish_image/117578.png
Мексиканская чили стандарт,,Пицца 30 см,400 с,https://nambafood.kg/dish_image/117604.png
Мексиканская чили двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117579.png
4 сезона стандарт,,Пицца 30 см,450 с,https://nambafood.kg/dish_image/117605.png
4 сезона двойная начинка,,Пицца 30 см,560 с,https://nambafood.kg/dish_image/117580.png
Детская стандарт,,Пицца 30 см,350 с,https://nambafood.kg/dish_image/117593.png
Детская двойная начинка,,Пицца 30 см,490 с,https://nambafood.kg/dish_image/117581.png
Амиго стандарт,,Пицца 30 см,450 с,https://nambafood.kg/dish_image/117606.png
Амиго двойная начинка,,Пицца 30 см,630 с,https://nambafood.kg/dish_image/117582.png
Филадельфия стандарт,,Пицца 30 см,500 с,https://nambafood.kg/dish_image/117607.png
Филадельфия двойная начинка,,Пицца 30 см,700 с,https://nambafood.kg/dish_image/117583.png
Куриная BBQ стандарт,,Пицца 30 см,450 с,https://nambafood.kg/dish_image/117608.png
