Наименование,Описание,Категория,Цена,Фото
Картофель фри,140 гр.,Закуски,109 с,https://nambafood.kg/dish_image/89728.png
Крылышки 3 шт.,,Закуски,119 с,https://nambafood.kg/dish_image/89702.png
Крылышки 5 шт.,,Закуски,189 с,https://nambafood.kg/dish_image/89703.png
Кимпаб,8 шт.,Закуски,99 с,https://nambafood.kg/dish_image/89704.png
Кимчи,100 гр.,Закуски,59 с,https://nambafood.kg/dish_image/89705.png
Корн дог,,Закуски,109 с,https://nambafood.kg/dish_image/91334.png
Эноки с сыром,,Закуски,189 с,https://nambafood.kg/dish_image/145404.png
Крылышки «China»‎‎ 5шт,,Закуски,219 с,https://nambafood.kg/dish_image/145406.png
Эноки,,Закуски,159 с,https://nambafood.kg/dish_image/145408.png
Курица в остром соусе,,Вторые блюда,219 с,https://nambafood.kg/dish_image/112509.png
Кисло-острая курица,,Вторые блюда,209 с,https://nambafood.kg/dish_image/112502.png
Токпокки,,Вторые блюда,149 с,https://nambafood.kg/dish_image/112504.png
Брауни,80 гр.,Десерты,129 с,https://nambafood.kg/dish_image/89706.png
Чизкейк,100 гр.,Десерты,129 с,https://nambafood.kg/dish_image/89733.png
Морковный торт,,Десерты,129 с,https://nambafood.kg/dish_image/145407.png
Рамён классический,700 гр.,Рамен,189 с,https://nambafood.kg/dish_image/89718.png
Рамён острый,700 гр.,Рамен,189 с,https://nambafood.kg/dish_image/89719.png
Рамён классический с говядиной,715 гр.,Рамен,234 с,https://nambafood.kg/dish_image/89720.png
Рамён острый с говядиной,715 гр.,Рамен,234 с,https://nambafood.kg/dish_image/89721.png
Рамён классический с сыром,715 гр.,Рамен,218 с,https://nambafood.kg/dish_image/89722.png
Рамён острый с сыром,715 гр.,Рамен,218 с,https://nambafood.kg/dish_image/89723.png
Рамён классический с яйцом,700 гр. + 1 яйцо,Рамен,214 с,https://nambafood.kg/dish_image/89724.png
Рамён острый с яйцом,700 гр. + 1 яйцо,Рамен,214 с,https://nambafood.kg/dish_image/89725.png
"Рамён классический с говядиной, сыром и яйцом",730 гр. + 1 яйцо,Рамен,288 с,https://nambafood.kg/dish_image/89717.png
"Рамён острый с говядиной, сыром и яйцом",730 гр. + 1 яйцо,Рамен,288 с,https://nambafood.kg/dish_image/89716.png
Лапша по-китайски с говядиной,380 гр.,Лапша,199 с,https://nambafood.kg/dish_image/89713.png
Лапша жареная с курицей,320 гр.,Лапша,199 с,https://nambafood.kg/dish_image/89714.png
Фреш салат,,Салаты,69 с,https://nambafood.kg/dish_image/112507.png
Пельмени с говядиной,10 шт.,Пельмени,149 с,https://nambafood.kg/dish_image/89715.png
Жареные пельмени,,Пельмени,149 с,https://nambafood.kg/dish_image/89709.png
Хлеб,2 шт.,Хлеб,15 с,https://nambafood.kg/dish_image/89948.png
Рис с курицей в кисло-сладком соусе,400 гр.,Рис,209 с,https://nambafood.kg/dish_image/89711.png
Рис с курицей в соусе терияки,400 гр.,Рис,209 с,https://nambafood.kg/dish_image/89712.png
Рис с говядиной под пекинским соусом,430 гр.,Рис,229 с,https://nambafood.kg/dish_image/89707.png
Рис с говядиной и овощами,450 гр.,Рис,229 с,https://nambafood.kg/dish_image/89708.png
Жареный рис с яйцом,340 гр.,Рис,109 с,https://nambafood.kg/dish_image/89710.png
Отварной рис,,Рис,59 с,https://nambafood.kg/dish_image/105216.png
Чай черный,350 мл.,Напитки,29 с,https://nambafood.kg/dish_image/89729.png
Чай зеленый,350 мл.,Напитки,29 с,https://nambafood.kg/dish_image/89730.png
Эспрессо,120 мл.,Напитки,60 с,https://nambafood.kg/dish_image/89743.png
Американо,240 мл.,Напитки,80 с,https://nambafood.kg/dish_image/89744.png
Капучино,240 мл.,Напитки,89 с,https://nambafood.kg/dish_image/89745.png
Латте,240 мл.,Напитки,89 с,https://nambafood.kg/dish_image/89746.png
Горячий шоколад,240 мл.,Напитки,110 с,https://nambafood.kg/dish_image/89747.png
Coca-Cola 0.3 мл.,,Напитки,59 с,https://nambafood.kg/dish_image/89734.png
Coca-Cola 0.4 мл.,,Напитки,69 с,https://nambafood.kg/dish_image/89735.png
Fanta 0.3 мл.,,Напитки,59 с,https://nambafood.kg/dish_image/86472.png
Fanta 0.4 мл.,,Напитки,69 с,https://nambafood.kg/dish_image/86473.png
Sprite 0.3 мл.,,Напитки,59 с,https://nambafood.kg/dish_image/86474.png
Sprite 0.4 мл.,,Напитки,69 с,https://nambafood.kg/dish_image/86475.png
Fuse tea 0.5,,Напитки,75 с,https://nambafood.kg/dish_image/89738.png
Bonaqua 0.5 без газа,,Напитки,39 с,https://nambafood.kg/dish_image/89736.png
Bonaqua 0.5 с газом,,Напитки,39 с,https://nambafood.kg/dish_image/89737.png
