Наименование,Описание,Категория,Цена,Фото
Крем-суп чечевичный,"Копченая курица, лук, морковь, чечевица, томаты",Супы,165 с,https://nambafood.kg/dish_image/135828.png
Острый суп харчо,,Супы,165 с,https://nambafood.kg/dish_image/135495.png
Пельмени,,Супы,165 с,https://nambafood.kg/dish_image/135237.png
Чучвара,,Супы,170 с,https://nambafood.kg/dish_image/135836.png
Куриный суп,"Курица, лапша, перец, морковь, бульон и специи",Супы,165 с,https://nambafood.kg/dish_image/135835.png
Мампар,"Говядина,лук,морковь,перец болгарский,картофель нарезанные мелкими кубиками обжаривается ,добавляется томат и говяжий бульон.",Супы,170 с,https://nambafood.kg/dish_image/135837.png
Шорпо,,Супы,200 с,https://nambafood.kg/dish_image/135257.png
Сантару,"Древесные грибы, говядина, фунчоза, вареное яйцо, овощи, добавляется говяжий бульон.",Супы,200 с,https://nambafood.kg/dish_image/135818.png
Солянка,"Лук, колбаса (копчёная,докторская),курица, говядина и маринованные огурцы.",Супы,200 с,https://nambafood.kg/dish_image/135850.png
Уха по-царски,,Супы,220 с,https://nambafood.kg/dish_image/135838.png
Мубарак,Бараньи рёбрышки с овощами на гриле с соусом,Европейская кухня,650 с,https://nambafood.kg/dish_image/135855.png
Бефстроганов,Без гарнира,Европейская кухня,260 с,https://nambafood.kg/dish_image/141587.png
Мясо по-французски,,Европейская кухня,280 с,https://nambafood.kg/dish_image/135500.png
Жаренные пельмени в сливочном соусе,,Европейская кухня,250 с,https://nambafood.kg/dish_image/135501.png
Фрикасе из курицы и грибов,,Европейская кухня,250 с,https://nambafood.kg/dish_image/135468.png
Курица под сыром,,Европейская кухня,320 с,https://nambafood.kg/dish_image/135236.png
Курица в кисло-сладком соусе,"Курица в кляре, в заливке из кисло-сладкого соуса",Европейская кухня,260 с,https://nambafood.kg/dish_image/135831.png
Курица в соусе Тэрияки,Курица в кляре в заливке из соуса терияки,Европейская кухня,260 с,https://nambafood.kg/dish_image/135841.png
Курица по-португальски,Куриная грудка запеченная с овощами,Европейская кухня,290 с,https://nambafood.kg/dish_image/135842.png
Кесадилья с курицей,"Лаваш внутри смазывается чесночным соусом, накладывается курица, сыр пармезан, помидор.",Европейская кухня,270 с,https://nambafood.kg/dish_image/135823.png
Кесадилья с говядиной,,Европейская кухня,280 с,https://nambafood.kg/dish_image/135234.png
Паста фетучини,"Шампиньоны с куриной грудкой, сливками и сыром",Европейская кухня,290 с,https://nambafood.kg/dish_image/135814.png
Мясное трио,"Три вида мяса (курица,говядина,рыба)смазывается приправами, жарится на сковороде, затем томится в духовке. Подается с овощами на гриле",Европейская кухня,420 с,https://nambafood.kg/dish_image/136698.png
Форель в сливочном соусе,,Европейская кухня,380 с,https://nambafood.kg/dish_image/135843.png
Сэндвич с курицей,,Сэндвичи,220 с,https://nambafood.kg/dish_image/135861.png
