Наименование,Описание,Категория,Цена,Фото
Закуска по-русски,"Сельдь соленая, огурцы маринованные, опята маринованные, картофель.",Закуски,299 с,https://nambafood.kg/dish_image/124859.png
Ассорти из свежих овощей,,Закуски,269 с,https://nambafood.kg/dish_image/124906.png
Ассорти «Погребок»,,Закуски,339 с,https://nambafood.kg/dish_image/124882.png
Мясное ассорти,,Закуски,419 с,https://nambafood.kg/dish_image/124898.png
Пикантный салат с баклажанами,"Баклажаны, помидоры, чесночный соус.",Салаты,289 с,https://nambafood.kg/dish_image/124909.png
Баклажаны в кисло-сладком соусе,"Баклажаны, помидоры черри, кисло-сладкий соус.",Салаты,299 с,https://nambafood.kg/dish_image/124901.png
Свежий салат,"Огурцы, помидоры, болгарский перец, зелень.",Салаты,219 с,https://nambafood.kg/dish_image/124887.png
Цезарь с курицей,,Салаты,369 с,https://nambafood.kg/dish_image/124908.png
Салат из пекинской капусты и киви,"Киви, красный лук, капуста кимчи, семечки подсолнуха, медово-лимонный дрессинг.",Салаты,229 с,https://nambafood.kg/dish_image/124878.png
Боярский салат,"Говядина, грузди маринованные, огурцы маринованные, картофель, лук репчатый, майонез.",Салаты,289 с,https://nambafood.kg/dish_image/124867.png
Греческий салат,"Помидоры, огурцы, сыр фетаки, лимонный дрессинг.",Салаты,319 с,https://nambafood.kg/dish_image/124869.png
Домашние картофельные чипсы,,Закуски к пиву,119 с,https://nambafood.kg/dish_image/124897.png
Сырные палочки,,Закуски к пиву,269 с,https://nambafood.kg/dish_image/124911.png
Куриные наггетсы,,Закуски к пиву,239 с,https://nambafood.kg/dish_image/124900.png
Картофель фри,,Закуски к пиву,129 с,https://nambafood.kg/dish_image/124857.png
Мини чебуреки,,Закуски к пиву,239 с,https://nambafood.kg/dish_image/124894.png
Луковые кольца,,Закуски к пиву,239 с,https://nambafood.kg/dish_image/124895.png
Куриные крылья BBQ,,Закуски к пиву,419 с,https://nambafood.kg/dish_image/124892.png
Шаурма с курицей,,Fast food,229 с,https://nambafood.kg/dish_image/124904.png
Шаурма с говядиной,,Fast food,299 с,https://nambafood.kg/dish_image/124905.png
Бургер с говядиной,Бургер с говяжей котлетой и картофелем фри.,Fast food,329 с,https://nambafood.kg/dish_image/124870.png
Клаб сэндвич с курицей,С яйцом и картофелем фри.,Fast food,269 с,https://nambafood.kg/dish_image/124896.png
Пицца «Мексика» 30 см,"660 г. Фарш из говядины, красная фасоль, перец чили, моцарелла, соус тар-тар, репчатый лук, чеснок, зелень.",Пицца 30 см,539 с,https://nambafood.kg/dish_image/124876.png
Пицца «Арома» 30 см,"610 г. Куриное филе в сливочном соусе, вешенки, помидоры, майонез, моцарелла, орегано, базилик.",Пицца 30 см,399 с,https://nambafood.kg/dish_image/124884.png
Куриная пицца 30 см,"610 г. Куриное филе в сливочном соусе, лук репчатый, моцарелла, пицца соус, орегано, базилик.",Пицца 30 см,409 с,https://nambafood.kg/dish_image/124881.png
Маргарита 30 см,"450 г. Моцарелла, помидоры, орегано, базилик, пицца соус.",Пицца 30 см,319 с,https://nambafood.kg/dish_image/124883.png
Пицца «Времена года» 30 см,"590 г. Ветчина, говядина, шампиньоны, болгарский перец, помидоры, моцарелла, пицца соус.",Пицца 30 см,469 с,https://nambafood.kg/dish_image/124872.png
Пицца «Чикен ренч» 30 см,"630 г. Курица копченая, помидоры, чеснок, соус ренч, моцарелла, пицца соус, орегано, базилик.",Пицца 30 см,439 с,https://nambafood.kg/dish_image/124871.png
Пепперони 30 см,"490 г. Салями, моцарелла, пицца соус, орегано, базилик.",Пицца 30 см,419 с,https://nambafood.kg/dish_image/124874.png
Мексика боул,"Припущенный рис, помидоры, красный лук, фасоль, курица, салат айсберг, соус сальса.",Боулы,349 с,https://nambafood.kg/dish_image/124890.png
Тофу боул,"Тофу, припущенный рис, помидоры черри, огурцы, салат айсберг, соус понзу.",Боулы,359 с,https://nambafood.kg/dish_image/124891.png
Азиатский боул с курицей,"Окорочка, киноа, фасоль стручковая, шпинат, шампиньоны, азиатский соус.",Боулы,329 с,https://nambafood.kg/dish_image/124917.png
Боул с курицей и лапшой,"Яичная лапша, кабачок, красный лук, пере, шпинат, соус терияки.",Боулы,329 с,https://nambafood.kg/dish_image/124889.png
Сет № 1,"Маргарита 30 см, Куриная пицца 30 см, Куриные наггетсы, фри + Coca cola 1 литр в подарок.",Сеты,1219 с,https://nambafood.kg/dish_image/124864.png
Сет № 2,"Пицца «Чикен ренчи» 30 см, пицца «Мексика» 30 см, мини чебуреки 5 шт, Картофель фри, луковые кольца + Coca cola 1 литр в подарок.",Сеты,1359 с,https://nambafood.kg/dish_image/124860.png
Сет № 3,"Пепперони 30 см, пицца «Арома», крылышки BBQ, картофель фри + Coca cola 1 литр в подарок.",Сеты,1399 с,https://nambafood.kg/dish_image/124858.png
Сет № 4,"Пицца «Арома» 30 см, пицца «Времена года», луковые кольца, мини чебуреки 5 шт, картофель фри + Coca cola 1  литр в подарок.",Сеты,1399 с,https://nambafood.kg/dish_image/124862.png
Комбо № 1,"Крем-суп из чечевицы 0.7, Боярский салат 150 г, Мини чебуреки 5 шт, чашка чая.",Комбо,349 с,https://nambafood.kg/dish_image/124919.png
Комбо № 2,"Солянка 0.7, Свежий салат 100 г, Клаб-сэндвич с курицей 0.5, чашка чая.",Комбо,319 с,https://nambafood.kg/dish_image/124920.png
Комбо № 3,"Пельмени «Цыпа-цыпа» 8 шт, Салат из пекинской капусты и киви 150 г, Панини с индейкой 0.5, чашка чая.",Комбо,329 с,https://nambafood.kg/dish_image/124877.png
Комбо № 4,"Пельмени «Жадина-говядина» 8 шт, салат «Витаминка» 150 г, Панини с курицей 0.5, чашка чая.",Комбо,279 с,https://nambafood.kg/dish_image/124875.png
Рамен с кимчи,,Супы,239 с,https://nambafood.kg/dish_image/124921.png
Рамен с курицей,,Супы,269 с,https://nambafood.kg/dish_image/124922.png
Рамен с говядиной,,Супы,299 с,https://nambafood.kg/dish_image/124863.png
Крем-суп из чечевицы,,Супы,179 с,https://nambafood.kg/dish_image/124899.png
Солянка мясная,,Супы,249 с,https://nambafood.kg/dish_image/124912.png
Окрошка с овощами,"Картофель, говядина, яйцо, огурцы, редиска, зелень, кефир.",Супы,159 с,https://nambafood.kg/dish_image/124886.png
