Наименование,Описание,Категория,Цена,Фото
"Комбо №1 Coca Cola 0,3 + Картофель  маленький без топпинга + Чизбургер Фреш","Кола 0,3 + Картофель  маленький без топпинга + Чизбургер Фреш",Coca-Cola Комбо,"333 с


                    355 с",https://nambafood.kg/dish_image/120320.png
"Комбо №2 Coca Cola 0,3 + Картофель маленький без топпинга + Чикен Ролл","Кола 0,3 + Картофель маленький без топпинга + Чикен Ролл",Coca-Cola Комбо,"373 с


                    387 с",https://nambafood.kg/dish_image/120323.png
"Комбо №3 Coca Cola 0,4 + Картофель большой с сыром и жареным луком + Супер Чизбургер","Кола 0,4 + Картофель большой с сыром и жареным луком + Супер Чизбургер",Coca-Cola Комбо,"535 с


                    565 с",https://nambafood.kg/dish_image/120325.png
Комбо №4 Coca Cola 0.4 + картофель большой с сыром и жареным луком + Манхеттен ХотДог,Кола 0.4 + картофель большой с сыром и жареным луком + Манхеттен ХотДог,Coca-Cola Комбо,"484 с


                    505 с",https://nambafood.kg/dish_image/120329.png
Гамбургер,,Бургеры,127 с,https://nambafood.kg/dish_image/102329.png
Чизбургер,,Бургеры,139 с,https://nambafood.kg/dish_image/64516.png
Чизбургер фреш,,Бургеры,167 с,https://nambafood.kg/dish_image/77102.png
Криспи чикен,,Бургеры,127 с,https://nambafood.kg/dish_image/77084.png
Криспи чикен де люкс,,Бургеры,154 с,https://nambafood.kg/dish_image/77095.png
Чикен ролл,,Бургеры,199 с,https://nambafood.kg/dish_image/77103.png
Биф Ролл,,Бургеры,199 с,https://nambafood.kg/dish_image/77093.png
Супер чизбургер,,Бургеры,267 с,https://nambafood.kg/dish_image/102328.png
Двойной супер чизбургер,,Бургеры,369 с,https://nambafood.kg/dish_image/77094.png
Фиш Бургер,,Бургеры,209 с,https://nambafood.kg/dish_image/77091.png
Фиш Ролл,,Бургеры,199 с,https://nambafood.kg/dish_image/77090.png
Оригинальный хот-дог из курицы,,Хот доги,167 с,https://nambafood.kg/dish_image/32371.png
Оригинальный хот-дог из говядины,,Хот доги,167 с,https://nambafood.kg/dish_image/89957.png
Французский хот-дог говяжий,,Хот доги,189 с,https://nambafood.kg/dish_image/89955.png
Французский хот-дог куриный,,Хот доги,189 с,https://nambafood.kg/dish_image/89956.png
Баварский хот-дог с горячей маринованной капустой,,Хот доги,189 с,https://nambafood.kg/dish_image/77092.png
Нью-Йорк чили дог,,Хот доги,237 с,https://nambafood.kg/dish_image/77097.png
Манхэттен хот-дог с говядины,,Хот доги,207 с,https://nambafood.kg/dish_image/89149.png
Манхэттен хот-дог куриный,,Хот доги,207 с,https://nambafood.kg/dish_image/77096.png
Хот-дог ролл,,Хот доги,199 с,https://nambafood.kg/dish_image/77101.png
Бавария хот дог,Хот дог c баварской капустой и горчицей,Хот доги,189 с,https://nambafood.kg/dish_image/28046.png
Оригинальный Хот Дог с куриной сосиской,,Хот доги,167 с,https://nambafood.kg/dish_image/75977.png
Фиш Дог,,Хот доги,197 с,https://nambafood.kg/dish_image/77089.png
Картофель Нейтанс с сырным соусом и жареным луком (маленькая порция),,Картофель Nathan's,174 с,https://nambafood.kg/dish_image/45824.png
Картофель Нейтанс с сырным соусом и жареным луком (Стандартная порция),,Картофель Nathan's,219 с,https://nambafood.kg/dish_image/45825.png
Картофель Нейтанс (маленькая порция),,Картофель Nathan's,124 с,https://nambafood.kg/dish_image/45818.png
Картофель Нейтанс (Стандартная порция),,Картофель Nathan's,159 с,https://nambafood.kg/dish_image/45819.png
Картофель нейтанс с сырным соусом и чили (маленькая порция),,Картофель Nathan's,174 с,https://nambafood.kg/dish_image/45820.png
Картофель Нейтанс с сырным соусом и чили (стандартная порция),,Картофель Nathan's,219 с,https://nambafood.kg/dish_image/45821.png
Картофель Нейтанс с сырным соусом (маленькая порция),,Картофель Nathan's,174 с,https://nambafood.kg/dish_image/45828.png
Картофель Нейтанс с сырным соусом (Стандартная порция),,Картофель Nathan's,219 с,https://nambafood.kg/dish_image/45829.png
Горчица,,Топпинги,30 с,https://nambafood.kg/dish_image/46540.png
Капуста Баварская,,Топпинги,60 с,https://nambafood.kg/dish_image/46541.png
Кетчуп,,Топпинги,30 с,https://nambafood.kg/dish_image/46542.png
