Наименование,Описание,Категория,Цена,Фото
Семга малосоленая,150 гр,Холодные закуски,910 с,https://nambafood.kg/dish_image/52215.png
Холодец,200 гр.,Холодные закуски,340 с,https://nambafood.kg/dish_image/99320.png
Ассорти овощное по-кавказски,850 гр.,Холодные закуски,840 с,https://nambafood.kg/dish_image/66824.png
Сырная тарелка,"320 гр. Состав: ассорти из сыров, виноград, грецкие орехи.",Холодные закуски,960 с,https://nambafood.kg/dish_image/52224.png
Мясное ассорти,"350 гр. Состав: говяжий язык, конина копченая, говядина отварная.",Холодные закуски,1270 с,https://nambafood.kg/dish_image/52203.png
Сыр копченый  «Чечел»‎‎,50 гр.,Холодные закуски,205 с,https://nambafood.kg/dish_image/4749.png
Атлантика,"300 гр. Состав: филе селедки, картофель, лук",Холодные закуски,445 с,https://nambafood.kg/dish_image/4748.png
Ассорти из солений,"350 гр. Состав: квашеная капуста, патиссоны, маринованные помидоры черри, соленые огурцы и помидоры",Холодные закуски,420 с,https://nambafood.kg/dish_image/4627.png
Икра красная,50 гр.,Холодные закуски,770 с,https://nambafood.kg/dish_image/12407.png
Рыбное ассорти,"250 гр. Состав: семга малосольная, семга копченая, эсколар копченый, сом копченый",Холодные закуски,1360 с,https://nambafood.kg/dish_image/66823.png
Брускетты с томленой говядиной,,Холодные закуски,520 с,https://nambafood.kg/dish_image/143124.png
Острые крылышки  «Баффало»‎‎ с соусом  «Блю-чиз»‎‎,300 гр.,Горячие закуски,530 с,https://nambafood.kg/dish_image/52198.png
Тигровые креветки,100 гр.,Горячие закуски,720 с,https://nambafood.kg/dish_image/4651.png
Бургер с томленой говядиной,,Горячие закуски,720 с,https://nambafood.kg/dish_image/143125.png
Капрезе,"200 гр. Состав: помидоры, сыр моцарелла, кедровые орехи, базилик, петрушка, сок лимона, оливковое масло.",Салаты,620 с,https://nambafood.kg/dish_image/52192.png
Салат с рукколой и моцареллой,"180 гр. Состав: руккола, помидоры черри, сыр моцарелла, кедровые орехи, сок лимона,оливковое масло",Салаты,640 с,https://nambafood.kg/dish_image/52213.png
Греческий классический,"300 гр. Состав: помидоры, сыр фета, огурцы, оливки, листья салата, сок лимона, базилик, оливковое масло.",Салаты,360 с,https://nambafood.kg/dish_image/52189.png
Цезарь,"180 гр. Состав: куриное филе, листья салата, чесночные сухарики, сыр пармезан, соус.",Салаты,545 с,https://nambafood.kg/dish_image/4655.png
Цезарь с креветками,"300 гр. Состав: тигровые креветки, листья салата, чесночные сухарики, сыр пармезан, соус",Салаты,795 с,https://nambafood.kg/dish_image/52229.png
Каспийский,"250 гр. Состав: семга малосольная, прессованный творог, листья салата, лук, соус.",Салаты,655 с,https://nambafood.kg/dish_image/52194.png
Салат с морскими гребешками,"250 гр. Состав: тигровые креветки, морские гребешки, филе семги, листья салата, шпинат, соус.",Салаты,980 с,https://nambafood.kg/dish_image/52214.png
Микс салат с киноа,"190 гр. Состав: киноа, огурцы, морковь, перец болгарский, лолло росса, руккола, листья салата, шпинат, соус.",Салаты,380 с,https://nambafood.kg/dish_image/80592.png
Салат  «Острый»‎‎,"220 гр. Состав: говядина, оливки, помидоры, огурцы, соевый соус.",Салаты,430 с,https://nambafood.kg/dish_image/52734.png
Винегрет,"180 гр. Состав: фасоль, свекла, морковь, квашеная капуста, соленые огурцы, картофель, оливковое масло.",Салаты,285 с,https://nambafood.kg/dish_image/4663.png
Витаминка,"180 гр. Состав: капуста, морковь, свекла, тыква, яблоко, листья салата, семечки подсолнуха, оливковое масло.",Салаты,285 с,https://nambafood.kg/dish_image/52188.png
Де Фромаж,"150 гр. Состав: яйца, сыр, зеленый лук, соус, листья салата.",Салаты,285 с,https://nambafood.kg/dish_image/52191.png
Пикантный,"180 гр. Состав: свекла, сыр, грецкие орехи, соус.",Салаты,285 с,https://nambafood.kg/dish_image/4750.png
Салат из шпината (сезонный салат),"130 гр. Состав: шпинат, щавель, яблоко, апельсин, тыква, оливковое масло.",Салаты,285 с,https://nambafood.kg/dish_image/4665.png
Огни Парижа,"190 гр. Состав: жульен из рыбы, картофель пай, свекла, морковь, капуста, огурцы, соус.",Салаты,380 с,https://nambafood.kg/dish_image/52206.png
Салат  «Сельдь под шубой»‎‎,"260 гр. Состав: филе сельди, картофель, морковь, свекла, яйца, соус.",Салаты,395 с,https://nambafood.kg/dish_image/4751.png
Оливье,"200 гр. Состав: картофель, яйца, морковь, маринованные огурцы, зеленый горошек, говядина, соус.",Салаты,310 с,https://nambafood.kg/dish_image/4752.png
Салат по-польски,"200 гр. Состав: курица, картофель, яйца, соленые огурцы, грибы вешенки, соус.",Салаты,310 с,https://nambafood.kg/dish_image/4658.png
Том Ям,"Сочетание креветок, шампиньонов, помидор черри и лемонграсса изысканно дополняют дольки лайма и перчика чили. Подается с рисом.",Первые блюда,590 с,https://nambafood.kg/dish_image/102131.png
Чечевичный суп,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/52230.png
Крем-суп из шпината,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/52196.png
Крем-суп с креветками,300 мл.,Первые блюда,490 с,https://nambafood.kg/dish_image/4667.png
Бульон с фрикадельками,"300 мл. Состав: яйцо, гренки.",Первые блюда,285 с,https://nambafood.kg/dish_image/52187.png
Суп-лапша с курицей по-домашнему,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/52223.png
Солянка сборная-мясная,300 мл.,Первые блюда,365 с,https://nambafood.kg/dish_image/52217.png
Уха,"300 мл. Состав: радужная форель, судак, семга.",Первые блюда,385 с,https://nambafood.kg/dish_image/52226.png
Крем-суп томатный,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/80591.png
Борщ с чесночной гренкой,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/99322.png
Окрошка,300 мл.,Первые блюда,285 с,https://nambafood.kg/dish_image/99321.png
Фетучини с лососем,350  гp.,Паста,1180 с,https://nambafood.kg/dish_image/99323.png
Фетучини с грибами,350 гр.,Паста,740 с,https://nambafood.kg/dish_image/52227.png
Спагетти  «Болоньезе»‎‎,350 гр.,Паста,740 с,https://nambafood.kg/dish_image/52218.png
Миньон,"180 гр. Состав: филе говядины, сливочное масло, лук пай.",Блюда из мяса,740 с,https://nambafood.kg/dish_image/52201.png
Митболы,"250 гр. Состав: телятина, сыр рикотта, спагетти, томатный соус.",Блюда из мяса,640 с,https://nambafood.kg/dish_image/52202.png
Лебединое озеро,"300 гр. Состав: отбивная из говядины, грецкие орехи, сыр.",Блюда из мяса,765 с,https://nambafood.kg/dish_image/4677.png
Бефстроганоф,с картофельным пюре,Блюда из мяса,765 с,https://nambafood.kg/dish_image/133441.png
Куриная грудка по-парижски,"220 гр. Состав: куриная грудка, шпинат, сыр пармезан, стручковая фасоль.",Блюда из птицы,580 с,https://nambafood.kg/dish_image/52199.png
Котлета по-киевски,250 гр.,Блюда из птицы,520 с,https://nambafood.kg/dish_image/52195.png
Цыпленок с соусом,1 шт.,Блюда из птицы,820 с,https://nambafood.kg/dish_image/133442.png
Вавилонская отбивная,"300 гр. Состав: куриная грудка, грибы, помидоры, сыр.",Блюда из птицы,560 с,https://nambafood.kg/dish_image/80594.png
"Рыба ""Дорадо""","250 гр. Способы приготовления: на гриле, на пару.",Рыба,1090 с,https://nambafood.kg/dish_image/4681.png
Радужная форель на гриле,1 шт.,Рыба,755 с,https://nambafood.kg/dish_image/4632.png
Семга по-норвежски,250 гр.,Рыба,945 с,https://nambafood.kg/dish_image/6781.png
Стейк из семги,220 гр.,Рыба,1060 с,https://nambafood.kg/dish_image/52220.png
Каре ягненка,250 гр.,Блюда на мангале,1140 с,https://nambafood.kg/dish_image/4631.png
