Наименование,Описание,Категория,Цена,Фото
Нью-Йорк пицца 36 см,"1350 г. Соус, сыр, говядина, курица копченая, грибы, сервелат, помидоры, оливки, орегано.",Большая пицца 36 см,878 с,https://nambafood.kg/dish_image/52533.png
Пицца «Американо» 36 см,"1400 г. Два вида соуса, сыр, говядина, курица копченая, перец, помидоры, оливки, орегано и (много мяса)",Большая пицца 36 см,878 с,https://nambafood.kg/dish_image/52529.png
Сенатор 36 см,"1250 г. Говяжий фарш, телятина, курица копченая, сыр тильзитский, соус, маринованный лук.",Большая пицца 36 см,898 с,https://nambafood.kg/dish_image/52549.png
Пицца «Королевский Цезарь» 36 см,"1000 г. Семга, креветки, лист салата, хрустящие сухарики, соус «Цезарь», сыр тильзитский, помидоры, оливковое масло, орегано.",Большая пицца 36 см,948 с,https://nambafood.kg/dish_image/52573.png
Пицца «Цезарь с курицей» 36 см,"1000 г. Лист салата, курица, соус цезарь, пармезан.",Большая пицца 36 см,748 с,https://nambafood.kg/dish_image/52569.png
Мясная пицца 36 см,"1250 г. соус, сыр, сервелат, говядина, курица копченая, орегано.",Большая пицца 36 см,858 с,https://nambafood.kg/dish_image/52525.png
Халал пицца 36 см,"1100 г. Телятина, фарш, томаты, соус, тильзитский, сыр, оливки, орегано.",Большая пицца 36 см,858 с,https://nambafood.kg/dish_image/52541.png
Пицца «Филадельфия» 36 см,"1250 г. Копченая говядина, сыр Филадельфия, томаты, соус, грибы, яйцо.",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52545.png
Пицца «Огонек» 36 см,"1100 г. Колбаски, томаты, острый перчик, соус чили, сыр тильзитский, оливки, орегано, очень острый мексиканский вкус!",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52537.png
Мексиканская пицца 36 см,"1100 г. Соус, сыр, много перца, орегано, копченые колбаски.",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52517.png
Мусульманская пицца 36 см,"1300 г. Соус, сыр, говядина, курица, перец, помидоры, оливки, орегано.",Большая пицца 36 см,828 с,https://nambafood.kg/dish_image/52521.png
Маргарита 36 см,"1100 г. Помидоры, сыр, соус, оливковое масло, орегано.",Большая пицца 36 см,648 с,https://nambafood.kg/dish_image/52485.png
Маргарита моцарелла 36 см,"900 г. Помидоры, сыр моцарелла, соус, оливковое масло, орегано.",Большая пицца 36 см,698 с,https://nambafood.kg/dish_image/52489.png
Пепперони 36 см,"1000 г. Сыр, соус, сервелат, оливковое масло, орегано.",Большая пицца 36 см,778 с,https://nambafood.kg/dish_image/52493.png
Куриная пицца 36 см,"1050 г. Соус, сыр, курица, помидоры,  перец, оливки, орегано.",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52513.png
Гавайская пицца 36 см,"1100 г. Копченый цыпленок, ананас, сыр, соус, оливковое масло, орегано.",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52497.png
4 сыра 36 см,"900 г. Моцарелла, чечил, тильзитский, пармезан.",Большая пицца 36 см,848 с,https://nambafood.kg/dish_image/52557.png
Пицца «Бизон» 36 см,"1150 г. Говяжья ветчина, сливочное масло, кукуруза, помидоры, соленые огурцы, оливки, сыр.",Большая пицца 36 см,798 с,https://nambafood.kg/dish_image/52553.png
Грибная пицца 36 см,"1100 г. Соус, сыр, грибы, перец, орегано.",Большая пицца 36 см,728 с,https://nambafood.kg/dish_image/52501.png
Вегетарианская пицца 36 см,"1300 г. Соус, сыр, грибы, перец, капуста, соленые огурцы, помидоры, оливки, орегано.",Большая пицца 36 см,668 с,https://nambafood.kg/dish_image/52505.png
Рыбная пицца 36 см,"1000 г. Соус, сыр, тунец, помидоры, перец, оливки, орегано.",Большая пицца 36 см,688 с,https://nambafood.kg/dish_image/52509.png
Детская пицца 36 см,"1000 г. Сыр тильзитский, соус сливочное масло, молочные сосиски, кукуруза, помидоры, оливковое масло, орегано.",Большая пицца 36 см,628 с,https://nambafood.kg/dish_image/52565.png
Сырная пицца 36 см,"700 г. Сыр тильзитский, сливочное масло, оливковое масло, орегоно.",Большая пицца 36 см,618 с,https://nambafood.kg/dish_image/52561.png
Нью-Йорк пицца 26 см,"650 г. Соус, сыр, говядина, курица копченая, грибы, сервелат, помидоры, оливки, орегано.",Маленькая пицца 26 см,778 с,https://nambafood.kg/dish_image/52535.png
Пицца «Американо» 26 см,"700 г. Два вида соуса, сыр, говядина, курица копченая, перец, помидоры, оливки, орегано и (много мяса)",Маленькая пицца 26 см,778 с,https://nambafood.kg/dish_image/52531.png
Сенатор 26 см,"600 г. Говяжий фарш, телятина, курица копченая, сыр тильзитский, соус, маринованный лук.",Маленькая пицца 26 см,798 с,https://nambafood.kg/dish_image/52551.png
Пицца «Королевский Цезарь» 26 см,"500 г. Семга, креветки, лист салата, хрустящие сухарики, соус «Цезарь», сыр тильзитский, помидоры, оливковое масло, орегано.",Маленькая пицца 26 см,848 с,https://nambafood.kg/dish_image/52575.png
Пицца «Цезарь с курицей» 26 см,"500 г. Лист салата, хрустящие сухарики, соус цезарь, сыр тильзитский, пармезан, помидоры, орегано.",Маленькая пицца 26 см,648 с,https://nambafood.kg/dish_image/52571.png
Мясная пицца 26 см,"600 г. Соус, сыр тильзитский, сервелат, говядина, курица копченая, орегано.",Маленькая пицца 26 см,758 с,https://nambafood.kg/dish_image/52527.png
Халал пицца 26 см,"500 г. Телятина, фарш, томаты, соус, тильзитский, сыр, оливки, орегано.",Маленькая пицца 26 см,778 с,https://nambafood.kg/dish_image/52543.png
Пицца «Филадельфия» 26 см,"600 г. Копченая говядина, сыр Филадельфия, томаты, соус, грибы, яйцо.",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52547.png
Пицца «Огонек» 26 см,"500 г. Колбаски, томаты, острый перчик, соус чили, сыр тильзитский, оливки, орегано, очень острый мексиканский вкус!",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52539.png
Мексиканская пицца 26 см,"500 г. Соус, сыр, много перца, орегано, копченые колбаски.",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52519.png
Мусульманская пицца 26 см,"650 г. Соус, сыр, говядина, курица, перец, помидоры, оливки, орегано.",Маленькая пицца 26 см,728 с,https://nambafood.kg/dish_image/52523.png
Маргарита 26 см,"500 г. Помидоры, сыр, соус, оливковое масло, орегано.",Маленькая пицца 26 см,598 с,https://nambafood.kg/dish_image/52487.png
Маргарита моцарелла 26 см,"400 г. Помидоры, сыр моцарелла, соус, оливковое масло, орегано.",Маленькая пицца 26 см,598 с,https://nambafood.kg/dish_image/52491.png
Пепперони 26 см,"450 г. Сыр, соус, сервелат, оливковое масло, орегано.",Маленькая пицца 26 см,678 с,https://nambafood.kg/dish_image/52495.png
Куриная пицца 26 см,"550 г. Соус, сыр, курица, помидоры, перец, оливки, орегано.",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52515.png
Гавайская пицца 26 см,"550 г. Копченый цыпленок, ананас, сыр, соус, оливковое масло, орегано.",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52499.png
4 сыра 26 см,"400 г. Моцарелла, чечил, тильзитский, пармезан.",Маленькая пицца 26 см,748 с,https://nambafood.kg/dish_image/52559.png
Пицца «Бизон» 26 см,"500 г. Говяжья ветчина, сливочное масло, кукуруза, помидоры, соленые огурцы, оливки, сыр.",Маленькая пицца 26 см,698 с,https://nambafood.kg/dish_image/52555.png
Грибная пицца 26 см,"500 г. Соус, сыр, грибы, перец, орегано.",Маленькая пицца 26 см,628 с,https://nambafood.kg/dish_image/52503.png
Вегетарианская пицца 26 см,"600 г. Соус, сыр, грибы, перец, капуста, соленые огурцы, помидоры, оливки, орегано.",Маленькая пицца 26 см,568 с,https://nambafood.kg/dish_image/52507.png
Рыбная пицца 26 см,"500 г. Соус, сыр, тунец, помидоры, перец, оливки, орегано.",Маленькая пицца 26 см,578 с,https://nambafood.kg/dish_image/52511.png
Детская пицца 26 см,"500 г. Сыр тильзитский, соус сливочное масло, молочные сосиски, кукуруза, помидоры, оливковое масло, орегано.",Маленькая пицца 26 см,498 с,https://nambafood.kg/dish_image/52567.png
Сырная пицца 26 см,"350 г. Сыр тильзитский, сливочное масло, оливковое масло, орегано.",Маленькая пицца 26 см,518 с,https://nambafood.kg/dish_image/52563.png
Витальяно 36 см,"700 г. Сыр, говядина, лук, соус, маслины, зелень.",Большая Итальянская пицца на Тонком тесте,708 с,https://nambafood.kg/dish_image/52577.png
Болоньезе 36 см,"700 г. Соус болоньезе, сыр тильзитский, пармезан, оливковое масло, орегано.",Большая Итальянская пицца на Тонком тесте,708 с,https://nambafood.kg/dish_image/52579.png
Челентано 36 см,"600 г. Соус, сыр тильзитский, пармезан, говяжьи колбаски, лук.",Большая Итальянская пицца на Тонком тесте,678 с,https://nambafood.kg/dish_image/52585.png
Тоскана 36 см,"600 г. Сыр, копченая курица, лук, соус, зелень, орегано.",Большая Итальянская пицца на Тонком тесте,708 с,https://nambafood.kg/dish_image/52581.png
Итальяно 36 см,"600 г. Пармеджано, моцарелла, томат, болгарский перец.",Большая Итальянская пицца на Тонком тесте,708 с,https://nambafood.kg/dish_image/52583.png
Витальяно 26 см,"400 г. Сыр, говядина, лук, соус, маслины, зелень.",Маленькая Итальянская пицца на Тонком тесте,578 с,https://nambafood.kg/dish_image/52578.png
Болоньезе 26 см,"400 г. Соус болоньезе, сыр тильзитский, пармезан, оливковое масло, орегано.",Маленькая Итальянская пицца на Тонком тесте,578 с,https://nambafood.kg/dish_image/52580.png
Челентано 26 см,"300 г. Соус, сыр тильзитский, пармезан, говяжьи колбаски, лук.",Маленькая Итальянская пицца на Тонком тесте,578 с,https://nambafood.kg/dish_image/52586.png
Тоскана 26 см,"300 г. Сыр, копченая курица, лук, соус, зелень, орегано.",Маленькая Итальянская пицца на Тонком тесте,608 с,https://nambafood.kg/dish_image/52582.png
Итальяно 26 см,"300 г. Пармеджано, моцарелла, томат, болгарский перец.",Маленькая Итальянская пицца на Тонком тесте,608 с,https://nambafood.kg/dish_image/52584.png
Блины со сметаной,3 шт,Холодные и горячие закуски,159 с,https://nambafood.kg/dish_image/52642.png
Блины с творогом и с изюмом,3 шт,Холодные и горячие закуски,199 с,https://nambafood.kg/dish_image/52643.png
Блины с горячим шоколадом,3 шт,Холодные и горячие закуски,199 с,https://nambafood.kg/dish_image/52644.png
Блины с мясом,3 шт,Холодные и горячие закуски,259 с,https://nambafood.kg/dish_image/52645.png
Картофель «Кантри»,250 г. Картошка жареная по-домашнему с квашеной капустой.,Холодные и горячие закуски,169 с,https://nambafood.kg/dish_image/52646.png
Бафало,250 г. Хрустящие крылышки с соусом.,Холодные и горячие закуски,299 с,https://nambafood.kg/dish_image/52648.png
Наггетсы,"250 г. Куриное филе в хрустящей панировке, розовый соус.",Холодные и горячие закуски,309 с,https://nambafood.kg/dish_image/52728.png
Яичница 3 шт,,Холодные и горячие закуски,89 с,https://nambafood.kg/dish_image/52649.png
Кесадилья с телятиной,"2 шт. Сыр, жареная телятина, болгарский перец, лук, зелень.",Холодные и горячие закуски,329 с,https://nambafood.kg/dish_image/52727.png
Кесадилья куриная,"2 шт. Сыр, жареная курица, болгарский перец, лук, зелень.",Холодные и горячие закуски,289 с,https://nambafood.kg/dish_image/52726.png
Кесадилья картофельно-грибная,"2 шт. Сыр, пюре, вешенки, лук, сливочное масло.",Холодные и горячие закуски,209 с,https://nambafood.kg/dish_image/52725.png
Картофельные оладьи со сметаной,200 г,Холодные и горячие закуски,189 с,https://nambafood.kg/dish_image/52641.png
Кукурузные оладьи со сметаной,200 г,Холодные и горячие закуски,189 с,https://nambafood.kg/dish_image/126772.png
Ролл-сэндвич с курицей,"Курица, томаты, огурец, зелень, сыр, фирменный соус.",Бургеры NY и сэндвич,239 с,https://nambafood.kg/dish_image/52640.png
Ролл-сэндвич с семгой,"Семга соленая, плавленый сыр, томаты, огурец, зелень, сыр, фирменный соус.",Бургеры NY и сэндвич,289 с,https://nambafood.kg/dish_image/52639.png
Бургер салат,"250 г. Говядина, сыр на подушке из листьев салата и овощей по сезону.",Бургеры NY и сэндвич,309 с,https://nambafood.kg/dish_image/52721.png
Бургер NY,"250 г. Говядина, огурцы, майонез, кетчуп, булочка.",Бургеры NY и сэндвич,269 с,https://nambafood.kg/dish_image/52655.png
Чизбургер NY,"250 г. Говядина, сыр, маринованный огурец, кетчуп, майонез, булочка.",Бургеры NY и сэндвич,289 с,https://nambafood.kg/dish_image/52656.png
Royal чизбургер с курицей,"350 г. Курица, двойной сыр, свежий огурец, помидоры, зелень.",Бургеры NY и сэндвич,309 с,https://nambafood.kg/dish_image/52657.png
Royal чизбургер с говядиной,"350 г. Говядина, двойной сыр, свежий огурец, помидоры, зелень.",Бургеры NY и сэндвич,309 с,https://nambafood.kg/dish_image/126774.png
Сэндвич с курицей,200 г,Бургеры NY и сэндвич,239 с,https://nambafood.kg/dish_image/52659.png
Сэндвич с говядиной,200 г,Бургеры NY и сэндвич,239 с,https://nambafood.kg/dish_image/52660.png
Греческий салат,"200 г. Помидоры, огурцы, оливки, оливковое масло, брынза.",Салаты,249 с,https://nambafood.kg/dish_image/52661.png
Салат от Джека Восьмеркина,"200 г. Телятина, болгарский перец, перепелиные яйца, помидоры, фирменный соус.",Салаты,299 с,https://nambafood.kg/dish_image/52662.png
Горячий Нью-Йоркский салат,200 г. Салат из курицы с овощами.,Салаты,269 с,https://nambafood.kg/dish_image/52664.png
Вегетарианский салат,200 г. Из сезонных овощей.,Салаты,209 с,https://nambafood.kg/dish_image/52667.png
О! Ёма,"200 г. Жареное филе курицы, помидоры, фирменный соус.",Салаты,299 с,https://nambafood.kg/dish_image/52729.png
Цезарь с курицей,200 г,Салаты,359 с,https://nambafood.kg/dish_image/52669.png
Цезарь с креветками,200 г,Салаты,359 с,https://nambafood.kg/dish_image/126554.png
Салат «Вашингтон»,"200 г. Яйца, соленые огурцы, мясо, майонез, картофель.",Салаты,269 с,https://nambafood.kg/dish_image/52671.png
Мясной итальянский салат с баклажанами,"200 г. Баклажаны, огурцы, зелень, телятина, сметанный соус.",Салаты,359 с,https://nambafood.kg/dish_image/52673.png
Винегрет,"200 гр. свекла, сол.огурцы, картофель, кваш. Капуста",Салаты,249 с,https://nambafood.kg/dish_image/52672.png
Грибной крем-суп,300 г,Супы,259 с,https://nambafood.kg/dish_image/52723.png
Солянка,"350 г. Только отборное мясо, курица, телятина, баранина, язык.",Супы,389 с,https://nambafood.kg/dish_image/52720.png
Уха из форели и судака,350 г,Супы,289 с,https://nambafood.kg/dish_image/126778.png
Суп из языка,"350 г. Язык, яйцо, гренки, зелень.",Супы,309 с,https://nambafood.kg/dish_image/52722.png
Суп-лапша по-домашнему,350 г,Супы,289 с,https://nambafood.kg/dish_image/52679.png
Окрошка мясная,350 г,Супы,259 с,https://nambafood.kg/dish_image/52680.png
Вегетарианский суп,"350 г. Цветная капуста, овощи, зелень.",Супы,189 с,https://nambafood.kg/dish_image/52674.png
Кукси,350 г,Супы,289 с,https://nambafood.kg/dish_image/52682.png
Борщ и пирожки с картошкой,350 г,Супы,289 с,https://nambafood.kg/dish_image/52683.png
Чечевичный суп,300 г,Супы,199 с,https://nambafood.kg/dish_image/52684.png
Пельмени Брайтон-Бич,300 г. Пельмени с говядиной.,Супы,279 с,https://nambafood.kg/dish_image/52685.png
Пельмени в горшочках запеченные под сыром,300 г,Супы,309 с,https://nambafood.kg/dish_image/52687.png
Пельмени жареные,300 г,Супы,299 с,https://nambafood.kg/dish_image/52688.png
Вареники с картошкой,300 г,Супы,129 с,https://nambafood.kg/dish_image/52716.png
Вареники с творогом,300 г,Супы,149 с,https://nambafood.kg/dish_image/52690.png
Спагетти Нью-Йорк,"300 г. Чеснок, зелень, острый перец, пармезан, джусай.",Спагетти,329 с,https://nambafood.kg/dish_image/52696.png
Болонез спагетти,"300 г. Спагетти с мясом в томатном соусе, пармезан.",Спагетти,359 с,https://nambafood.kg/dish_image/52697.png
Феттуччини со сливочным соусом,300 г,Спагетти,279 с,https://nambafood.kg/dish_image/52698.png
Феттуччини с семгой,"300 г. Семга, сливочный соус, пармезан.",Спагетти,389 с,https://nambafood.kg/dish_image/52718.png
Куриная грудка от шеф-повара,"250 г. Куриная грудка, фирменный соус, картофель.",Горячие блюда,449 с,https://nambafood.kg/dish_image/52719.png
Куриный побег,"300 г. Куриная грудка, шампиньоны, сметана, белое вино, сливки.",Горячие блюда,389 с,https://nambafood.kg/dish_image/52724.png
Семга под сыром,"300 г. Филе семги кусочками, креветки, грибы, сливочный соус, сыр тильзитский, зелень.",Горячие блюда,789 с,https://nambafood.kg/dish_image/52702.png
Рибай стейк,"250 г. Говяжий стейк, соус горчичный соус, картофель, зеленый салат.",Горячие блюда,829 с,https://nambafood.kg/dish_image/52717.png
Котлета из курицы «Брайтон-Бич»,150 г,Горячие блюда,459 с,https://nambafood.kg/dish_image/52705.png
Котлета из говядины «Брайтон-Бич»,150 г,Горячие блюда,459 с,https://nambafood.kg/dish_image/126780.png
Вегас,250 г. Драники начиненные фаршем из говядины.,Горячие блюда,329 с,https://nambafood.kg/dish_image/52706.png
Мясо в горшочках,"350 г. Говядина, картофель, грибы, сыр, сметана.",Горячие блюда,409 с,https://nambafood.kg/dish_image/52707.png
Мясо в горшочках с овощами,"300 г. Баранина, картофель, грибы, сыр, майонез или сметана.",Горячие блюда,359 с,https://nambafood.kg/dish_image/52708.png
Бараньи ребрышки с картофелем,300 г,Горячие блюда,539 с,https://nambafood.kg/dish_image/52715.png
Бараньи ребрышки с овощами,300 г,Горячие блюда,539 с,https://nambafood.kg/dish_image/126782.png
Мясо на жаровне баранина,200 г,Горячие блюда,509 с,https://nambafood.kg/dish_image/52710.png
Мясо на жаровне говядина,200 г,Горячие блюда,509 с,https://nambafood.kg/dish_image/52711.png
Мясо на жаровне курица,200 г,Горячие блюда,509 с,https://nambafood.kg/dish_image/52712.png
Стейк из семги,"300 гр. Семга, сливочный соус, гарнир, салат",Горячие блюда,799 с,https://nambafood.kg/dish_image/52703.png
