Наименование,Описание,Категория,Цена,Фото
Сырная тарелка по-грузински,"340 гр. cыр сулугуни, имеретинские надуги",Сыры собственного приготовления,490 с,https://nambafood.kg/dish_image/45299.png
Сыр имеретинский,100 гр.,Сыры собственного приготовления,170 с,https://nambafood.kg/dish_image/71782.png
Сыр сулугуни,100 гр.,Сыры собственного приготовления,170 с,https://nambafood.kg/dish_image/71783.png
Грузинские соленья,"350 гр. (капуста по-гурийски, зеленые помидоры фаршированные с зеленью)",Холодные закуски,220 с,https://nambafood.kg/dish_image/58589.png
Сациви из куринной грудки,"200 гр. куринные грудки, аджика, гранат, грузин.специи, грец. орехи",Холодные закуски,290 с,https://nambafood.kg/dish_image/58587.png
Рулетики из баклажан с орехами,150 гр.,Холодные закуски,340 с,https://nambafood.kg/dish_image/45297.png
Аджапсандали,200 гр. Тушеные овощи по грузински,Холодные закуски,260 с,https://nambafood.kg/dish_image/72532.png
Лобио из красной фасоли,"300 гр. фасоль, специи, капуста по-гурийски, красная фасоль с добовлением грецкого ореха, аджики, кинзы и специи",Горячие закуски,240 с,https://nambafood.kg/dish_image/45292.png
Сулугуни запеченные с шампиньонами,"200 гр. Шампиньоны, сыр сулугуни, имеретинский сыр, Молодой сулугуни, запеченный в шляпках шампиньонов",Горячие закуски,390 с,https://nambafood.kg/dish_image/42258.png
Cырные шарики,"180 гр. (сыр сулугуни, сухарики)",Горячие закуски,250 с,https://nambafood.kg/dish_image/45300.png
Салат Багратиони,"250 гр. (огурцы соленые, перец болгарский, огурцы свежие, кур грудка, майонез, зелень, орехи)",Салаты,290 с,https://nambafood.kg/dish_image/45298.png
Салат по-Аджарски,"200 гр. помидоры, баклажаны, перец болгарский, лук, зелень, базилик красный, аджика домашняя",Салаты,280 с,https://nambafood.kg/dish_image/58588.png
Салат Буффало,"250 гр (микс салат, сыр имеретинский с соусом песто)",Салаты,430 с,https://nambafood.kg/dish_image/58590.png
Салат овощной по-грузински,"280 гр. огурцы, помидоры, лук, зелень, орех грецкий, уксус вин., масло",Салаты,280 с,https://nambafood.kg/dish_image/42267.png
Суп “Харчо” из говядины,"300 гр. рис, лук, зелень, помидоры, специи, аджика",Первые блюда,290 с,https://nambafood.kg/dish_image/42257.png
Хинкали из баранины 3 шт.,1 шт. 90 г,Основные блюда,210 с,https://nambafood.kg/dish_image/42253.png
Хинкали из телятины 3 шт.,1 шт. 90 г,Основные блюда,210 с,https://nambafood.kg/dish_image/42254.png
Хинкали с сыром 3 шт.,1 шт. 90 г,Основные блюда,210 с,https://nambafood.kg/dish_image/99169.png
Хинкали с сыром и шпинатом 3 шт.,1 шт. 90 г,Основные блюда,210 с,https://nambafood.kg/dish_image/99170.png
Хинкали из баранины 6 шт,,Основные блюда,420 с,https://nambafood.kg/dish_image/140884.png
Хинкали из телятины 6 шт.,,Основные блюда,420 с,https://nambafood.kg/dish_image/140885.png
Хинкали с сыром 6 шт.,,Основные блюда,420 с,https://nambafood.kg/dish_image/140886.png
Хинкали с сыром и шпинатом 6 шт.,,Основные блюда,420 с,https://nambafood.kg/dish_image/140887.png
Чкмерули из цыпленка на кеци,"400 гр. цыпленок обжаренный, соус сливочный, чеснок",Основные блюда,520 с,https://nambafood.kg/dish_image/42266.png
Цыпленок не Табака,"Цыпленок, зажаренный с чесноком, пряностями и специями",Основные блюда,620 с,https://nambafood.kg/dish_image/71780.png
Цыпленок по-имеретински,300 гр.,Основные блюда,480 с,https://nambafood.kg/dish_image/45303.png
Долма,"350гр Мясной фарш с рисом и зеленью, завернутый в виноградные листья и томленные в бульоне",Основные блюда,480 с,https://nambafood.kg/dish_image/71781.png
Борано по-аджарски,"250гр (говядина, шампиньоны, сулугуни, томаты, лук)",Основные блюда,540 с,https://nambafood.kg/dish_image/72533.png
Оджахури из баранины на кеци,"300 гр. баранина обжаренная, картофель,помидоры, специи",Основные блюда,470 с,https://nambafood.kg/dish_image/45296.png
Хачапури по-Аджарски,350 гр.,Выпечка,320 с,https://nambafood.kg/dish_image/45301.png
Хачапури по-Аджарски со шпинатом,350 гр.,Выпечка,340 с,https://nambafood.kg/dish_image/71785.png
Хачапури по-Мергельски,400 гр.,Выпечка,380 с,https://nambafood.kg/dish_image/42256.png
Кубдари,(хачапури с мясом),Выпечка,390 с,https://nambafood.kg/dish_image/45291.png
Лаваш по-грузински,110 гр.,Выпечка,40 с,https://nambafood.kg/dish_image/58595.png
Лаваш Армянский 1 шт.,,Выпечка,40 с,https://nambafood.kg/dish_image/71791.png
Ассорти шашлыков 1 кг,"Баранина, телятина, курица, печень, лаваш, шашлычный соус",Блюда на мангале,2450 с,https://nambafood.kg/dish_image/71792.png
Овощи гриль,"200 гр. Кабачки, баклажаны, перец Болгарский, цветная капуста, брокколи",Блюда на мангале,280 с,https://nambafood.kg/dish_image/71793.png
Баже,30 гр.,Соусы,55 с,https://nambafood.kg/dish_image/58596.png
Ткемали,30 гр.,Соусы,55 с,https://nambafood.kg/dish_image/58597.png
Сацебели,30 гр.,Соусы,55 с,https://nambafood.kg/dish_image/58598.png
Наршараб,30 гр.,Соусы,55 с,https://nambafood.kg/dish_image/71794.png
