Наименование,Описание,Категория,Цена,Фото
Сашими угорь,,Сашими,480 с,https://nambafood.kg/dish_image/18030.png
Сашими лосось,,Сашими,460 с,https://nambafood.kg/dish_image/135984.png
Сашими креветка,,Сашими,410 с,https://nambafood.kg/dish_image/18027.png
Сашими ассорти,,Сашими,450 с,https://nambafood.kg/dish_image/135986.png
Суши кура (острые),,Суши роллы с сырой рыбой,110 с,https://nambafood.kg/dish_image/90732.png
Суши спайси угорь,,Суши роллы с сырой рыбой,150 с,https://nambafood.kg/dish_image/90731.png
Суши гребешок (запеченный),,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90739.png
Суши чука,,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90743.png
Суши угорь (запеченный),,Суши роллы с сырой рыбой,150 с,https://nambafood.kg/dish_image/90737.png
Суши креветка (острая),,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90763.png
Суши креветка (запеченная),,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90764.png
Суши креветка,,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90767.png
Суши угорь,,Суши роллы с сырой рыбой,140 с,https://nambafood.kg/dish_image/90768.png
Суши крем креветки,,Суши роллы с сырой рыбой,150 с,https://nambafood.kg/dish_image/90729.png
Суши гребешки (острые),,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/90730.png
Тамаго,"омлет, рис, нори",Суши роллы с сырой рыбой,100 с,https://nambafood.kg/dish_image/39241.png
Лосось,,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/135988.png
Копченый лосось,,Суши роллы с сырой рыбой,120 с,https://nambafood.kg/dish_image/135990.png
Ролл Крабс,"креветка, краб-крем, сл.сыр, масаго",Японская кухня Роллы,410 с,https://nambafood.kg/dish_image/90769.png
Ханами HOT,"острые. краб-крем, огурец, салат, спайси соус, масаго.",Японская кухня Роллы,440 с,https://nambafood.kg/dish_image/90770.png
Угорек,,Японская кухня Роллы,220 с,https://nambafood.kg/dish_image/90885.png
Лососик,,Японская кухня Роллы,200 с,https://nambafood.kg/dish_image/28229.png
Ролл с лососем,,Японская кухня Роллы,195 с,https://nambafood.kg/dish_image/28231.png
Крабик,,Японская кухня Роллы,150 с,https://nambafood.kg/dish_image/28232.png
Ролл с угрем,,Японская кухня Роллы,200 с,https://nambafood.kg/dish_image/28233.png
Филадельфия в угре,"сливочный сыр, угорь, такуан",Японская кухня Роллы,490 с,https://nambafood.kg/dish_image/28235.png
Калифорния,"краб, крем, огурец, масаго",Японская кухня Роллы,330 с,https://nambafood.kg/dish_image/90887.png
Калифорния в кунжуте,"краб крем, огурец, кунжут",Японская кухня Роллы,320 с,https://nambafood.kg/dish_image/28238.png
Филадельфия,"8шт. сливочный сыр, огурец, лосось",Японская кухня Роллы,450 с,https://nambafood.kg/dish_image/94343.png
Филадельфия гранд,"8шт. сливочный сыр, огурец, лосось",Японская кухня Роллы,510 с,https://nambafood.kg/dish_image/94339.png
Сливочный угорь,"сливочный сыр, угорь, омлет, масаго",Японская кухня Роллы,455 с,https://nambafood.kg/dish_image/90781.png
Калифорния с авокадо,"8шт. краб. крем, авокадо, тобико",Японская кухня Роллы,340 с,https://nambafood.kg/dish_image/39230.png
