Наименование,Описание,Категория,Цена,Фото
Пирожки с творогом,,Завтраки,190 с,https://nambafood.kg/dish_image/55966.png
Завтрак,250 г,Завтраки,320 с,https://nambafood.kg/dish_image/55967.png
Жареные яйца с турецкой колбасой,200 г,Завтраки,310 с,https://nambafood.kg/dish_image/55968.png
Жареные яйца,100 г,Завтраки,170 с,https://nambafood.kg/dish_image/55970.png
Жареные яйца с пастурмой,200 г,Завтраки,410 с,https://nambafood.kg/dish_image/55969.png
Жареные яйца с кавурмой,200 г,Завтраки,450 с,https://nambafood.kg/dish_image/55971.png
Жареные яйца со шпинатом,200 г,Завтраки,340 с,https://nambafood.kg/dish_image/55972.png
Жареные сосиски,150 г,Завтраки,180 с,https://nambafood.kg/dish_image/55973.png
Жареные овощи с яйцом,200 г,Завтраки,260 с,https://nambafood.kg/dish_image/56039.png
Омлет с сыром,150 г,Завтраки,200 с,https://nambafood.kg/dish_image/55975.png
Омлет с помидорами,150 г,Завтраки,200 с,https://nambafood.kg/dish_image/55976.png
Омлет с луком,150 г,Завтраки,200 с,https://nambafood.kg/dish_image/55977.png
Омлет,150 г,Завтраки,170 с,https://nambafood.kg/dish_image/55978.png
Греческий салат,200 г,Салаты,260 с,https://nambafood.kg/dish_image/55979.png
Восточный салат,200 г,Салаты,250 с,https://nambafood.kg/dish_image/55980.png
Сузмо,150 г,Салаты,180 с,https://nambafood.kg/dish_image/24199.png
Хайдари,150 г,Салаты,190 с,https://nambafood.kg/dish_image/24214.png
Зеленый салат,200 г,Салаты,220 с,https://nambafood.kg/dish_image/55981.png
Картофельный салат,150 г,Салаты,150 с,https://nambafood.kg/dish_image/55982.png
Яичный салат,150 г,Салаты,180 с,https://nambafood.kg/dish_image/55983.png
Свежий салат,150 г,Салаты,180 с,https://nambafood.kg/dish_image/55984.png
Салат из белой фасоли,200 г,Салаты,180 с,https://nambafood.kg/dish_image/55985.png
Барбунья пилаки,200 г,Салаты,160 с,https://nambafood.kg/dish_image/55986.png
Куриный салат,250 г,Салаты,260 с,https://nambafood.kg/dish_image/55987.png
Витаминка,180 г. Салат из свеклы с орехами.,Салаты,200 с,https://nambafood.kg/dish_image/55988.png
Цезарь с курицей,300 г,Салаты,340 с,https://nambafood.kg/dish_image/55989.png
Салат гавурда,300 г,Салаты,250 с,https://nambafood.kg/dish_image/113946.png
Салат «Нежность»,180 г. Крабовый салат,Салаты,180 с,https://nambafood.kg/dish_image/55991.png
Салат из рукколы,200 г,Салаты,320 с,https://nambafood.kg/dish_image/55992.png
Эзме,150 г,Салаты,180 с,https://nambafood.kg/dish_image/55993.png
Оливье,180 г,Салаты,190 с,https://nambafood.kg/dish_image/55994.png
Баклажановый салат,180 г,Салаты,220 с,https://nambafood.kg/dish_image/55995.png
Мужской каприз,150 г,Салаты,250 с,https://nambafood.kg/dish_image/113948.png
Салат «Дружба»,180 г,Салаты,230 с,https://nambafood.kg/dish_image/113950.png
Гнездо кукушки,180 г,Салаты,200 с,https://nambafood.kg/dish_image/55998.png
Салат «Яркие краски»,180 г,Салаты,210 с,https://nambafood.kg/dish_image/55999.png
Салат «Сугюш»,150 г,Салаты,170 с,https://nambafood.kg/dish_image/55996.png
Оливковый салат,250 г,Салаты,300 с,https://nambafood.kg/dish_image/56001.png
Жажык,300 г,Салаты,180 с,https://nambafood.kg/dish_image/56002.png
Салат «Хумус»,150 г,Салаты,250 с,https://nambafood.kg/dish_image/113952.png
Салат из красной фасоли,180 г,Салаты,180 с,https://nambafood.kg/dish_image/56003.png
Хумус с бастурмой,200 г,Салаты,380 с,https://nambafood.kg/dish_image/113954.png
Томатный суп с сыром,300 г,Первые блюда,170 с,https://nambafood.kg/dish_image/55957.png
Чечевичный суп,300 г,Первые блюда,170 с,https://nambafood.kg/dish_image/55961.png
Суп из требухи,300 г,Первые блюда,180 с,https://nambafood.kg/dish_image/55965.png
Суп Бейран,300 г,Первые блюда,310 с,https://nambafood.kg/dish_image/55963.png
Суп келепача,300 г,Первые блюда,270 с,https://nambafood.kg/dish_image/55964.png
Фаршированые котлеты,3 шт.,Вторые блюда,270 с,https://nambafood.kg/dish_image/98740.png
Лаваш,1 шт.,Вторые блюда,80 с,https://nambafood.kg/dish_image/56004.png
Антеп лахманжун,1 шт.,Вторые блюда,200 с,https://nambafood.kg/dish_image/56005.png
Пиде с мясом,250 г,Вторые блюда,400 с,https://nambafood.kg/dish_image/56009.png
Пиде ассорти,300 г,Вторые блюда,420 с,https://nambafood.kg/dish_image/56007.png
Пиде с фаршем,250 г,Вторые блюда,340 с,https://nambafood.kg/dish_image/24226.png
Пиде с кавурмой и сыром,250 г,Вторые блюда,480 с,https://nambafood.kg/dish_image/56010.png
Пиде с пастурмой и сыром,300 г,Вторые блюда,440 с,https://nambafood.kg/dish_image/56012.png
Суджуклу пиде,300 г,Вторые блюда,430 с,https://nambafood.kg/dish_image/56011.png
Пиде со шпинатом,250 г,Вторые блюда,340 с,https://nambafood.kg/dish_image/56013.png
Пиде с курицей,300 г,Вторые блюда,340 с,https://nambafood.kg/dish_image/56014.png
Пиде с сыром,250 г,Вторые блюда,360 с,https://nambafood.kg/dish_image/56015.png
Пиде сыром и с яйцом,250 г,Вторые блюда,380 с,https://nambafood.kg/dish_image/24225.png
Куриный сач каурма,300 г,Вторые блюда,410 с,https://nambafood.kg/dish_image/24238.png
Мясной сач каурма,300 г,Вторые блюда,430 с,https://nambafood.kg/dish_image/24239.png
Куриное соте,300 г,Вторые блюда,390 с,https://nambafood.kg/dish_image/24241.png
Мясное соте,300 г,Вторые блюда,410 с,https://nambafood.kg/dish_image/24242.png
Котлета в горшочке,250 г,Вторые блюда,390 с,https://nambafood.kg/dish_image/24243.png
Грибное соте,300 г,Вторые блюда,420 с,https://nambafood.kg/dish_image/56018.png
Мясное соте с грибами,300 г,Вторые блюда,430 с,https://nambafood.kg/dish_image/56020.png
Куриное соте с грибами,300 г,Вторые блюда,410 с,https://nambafood.kg/dish_image/56017.png
Чоп шиш с баклажанами,300 г,Вторые блюда,450 с,https://nambafood.kg/dish_image/56019.png
Грибы с сыром в горшочке,250 г,Вторые блюда,390 с,https://nambafood.kg/dish_image/56036.png
Бонфиле с грибами,300 г,Вторые блюда,510 с,https://nambafood.kg/dish_image/56025.png
Куриный шницель,300 г,Вторые блюда,390 с,https://nambafood.kg/dish_image/56026.png
Курица в соевом соусе,300 г,Вторые блюда,390 с,https://nambafood.kg/dish_image/56027.png
Сач кебаб,300 г,Вторые блюда,430 с,https://nambafood.kg/dish_image/24247.png
Жареные ребра с гарниром,500 г,Вторые блюда,800 с,https://nambafood.kg/dish_image/24248.png
Пирожки с творогом,,Вторые блюда,190 с,https://nambafood.kg/dish_image/133883.png
Судак в горшочке,250 г,Блюда из рыбы,490 с,https://nambafood.kg/dish_image/56037.png
Форель в горшочке,250 г,Блюда из рыбы,550 с,https://nambafood.kg/dish_image/56021.png
Семга на мангале,250 г,Блюда из рыбы,720 с,https://nambafood.kg/dish_image/56022.png
Скумбрия на мангале,250 г,Блюда из рыбы,430 с,https://nambafood.kg/dish_image/24252.png
Жареный судак,250 г,Блюда из рыбы,450 с,https://nambafood.kg/dish_image/24250.png
Леврек на мангале,,Блюда из рыбы,1000 с,https://nambafood.kg/dish_image/24254.png
Чупра на мангале,,Блюда из рыбы,1000 с,https://nambafood.kg/dish_image/24253.png
Пицца с сыром,400 г,Пицца,420 с,https://nambafood.kg/dish_image/24233.png
Пицца ассорти,400 г,Пицца,470 с,https://nambafood.kg/dish_image/24236.png
Пицца куриная,400 г,Пицца,420 с,https://nambafood.kg/dish_image/24235.png
Пицца с грибами,400 г,Пицца,420 с,https://nambafood.kg/dish_image/56016.png
Пицца с Бастурмой,400 г,Пицца,570 с,https://nambafood.kg/dish_image/134950.png
Пицца мясная,400 г,Пицца,420 с,https://nambafood.kg/dish_image/24232.png
Пицца овощная,400 г,Пицца,420 с,https://nambafood.kg/dish_image/24234.png
Пицца суджуклу,400 г,Пицца,470 с,https://nambafood.kg/dish_image/24231.png
Пицца колбасная,400 г,Пицца,420 с,https://nambafood.kg/dish_image/24230.png
Пидели кофте,250 г,Шашлыки,410 с,https://nambafood.kg/dish_image/56028.png
Алиназик,300 г,Шашлыки,520 с,https://nambafood.kg/dish_image/56029.png
Бараньи ребра с гарниром,300 г,Шашлыки,670 с,https://nambafood.kg/dish_image/24257.png
Овощи на мангале,150 г,Шашлыки,320 с,https://nambafood.kg/dish_image/56035.png
Кебаб с баклажанами,300 г,Шашлыки,400 с,https://nambafood.kg/dish_image/24260.png
Адана кебаб с гарниром,400 г,Шашлыки,410 с,https://nambafood.kg/dish_image/24261.png
Урфа кебаб с гарниром,400 г,Шашлыки,410 с,https://nambafood.kg/dish_image/24262.png
Котлеты на мангале с гарниром,350 г,Шашлыки,380 с,https://nambafood.kg/dish_image/24264.png
Котлеты с сыром с гарниром,350 г,Шашлыки,430 с,https://nambafood.kg/dish_image/24263.png
Кебаб с помидорами,300 г,Шашлыки,400 с,https://nambafood.kg/dish_image/24280.png
Перец и помидор на мангале,150 г,Шашлыки,200 с,https://nambafood.kg/dish_image/56041.png
Чоп шиш с гарниром,350 г,Шашлыки,390 с,https://nambafood.kg/dish_image/24266.png
Бонфиле на мангале с гарниром,400 г,Шашлыки,490 с,https://nambafood.kg/dish_image/24267.png
Ассорти кебаб с гарниром,500 г,Шашлыки,550 с,https://nambafood.kg/dish_image/114289.png
Куриный чоп шиш с гарниром,300 г,Шашлыки,350 с,https://nambafood.kg/dish_image/24268.png
Бейти сарма с гарниром,400 г,Шашлыки,450 с,https://nambafood.kg/dish_image/24270.png
Крылышки на мангале с гарниром,400 г,Шашлыки,370 с,https://nambafood.kg/dish_image/24272.png
Шашлык из баранины с гарниром,350 г,Шашлыки,430 с,https://nambafood.kg/dish_image/24274.png
Шашлык из курицы с гарниром,350 г,Шашлыки,360 с,https://nambafood.kg/dish_image/24276.png
Тире с котлетами,400 г,Шашлыки,460 с,https://nambafood.kg/dish_image/24279.png
Вали кебаб (на 4 человека),1.5 кг,Шашлыки,2800 с,https://nambafood.kg/dish_image/24278.png
Картофельное пюре,150 г,Гарниры,110 с,https://nambafood.kg/dish_image/56033.png
Картофель фри,100 г,Гарниры,120 с,https://nambafood.kg/dish_image/24284.png
Сложный гарнир,150 г,Гарниры,170 с,https://nambafood.kg/dish_image/24282.png
Рис,150 г,Гарниры,110 с,https://nambafood.kg/dish_image/24283.png
Приправа,100 г,Гарниры,30 с,https://nambafood.kg/dish_image/68228.png
Кетчуп,100 г,Гарниры,30 с,https://nambafood.kg/dish_image/68227.png
Майонез,100 г,Гарниры,30 с,https://nambafood.kg/dish_image/68226.png
Маринованные перчики 1 пор.,100 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/133732.png
Баклава,100 г,Десерты,220 с,https://nambafood.kg/dish_image/24285.png
Озел баклава,100 г,Десерты,220 с,https://nambafood.kg/dish_image/56034.png
Кунефе,150 г,Десерты,290 с,https://nambafood.kg/dish_image/24289.png
Баклава с мороженым,150 гр.,Десерты,300 с,https://nambafood.kg/dish_image/24286.png
Сутлач,100 гр.,Десерты,120 с,https://nambafood.kg/dish_image/24287.png
Мороженое,150 гр.,Десерты,220 с,https://nambafood.kg/dish_image/133884.png
Минеральная вода с газом 1 л,1 л.,Напитки,60 с,https://nambafood.kg/dish_image/24291.png
"Минеральная вода с газом  0,5 л","0,5 л",Напитки,30 с,https://nambafood.kg/dish_image/24292.png
Минеральная вода без газа 1 л,1 л.,Напитки,60 с,https://nambafood.kg/dish_image/24293.png
"Минеральная вода без газа 0,5 л","0,5 л",Напитки,30 с,https://nambafood.kg/dish_image/24294.png
Coca-Cola 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/24295.png
"Coca Cola 0,5 л.","0,5 л",Напитки,60 с,https://nambafood.kg/dish_image/24296.png
Fanta 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/24298.png
"Fanta 0,5 л.","0,5 л",Напитки,60 с,https://nambafood.kg/dish_image/24299.png
Sprite 1 л.,1 л.,Напитки,120 с,https://nambafood.kg/dish_image/24301.png
"Sprite 0,5 л.","0,5 л.",Напитки,60 с,https://nambafood.kg/dish_image/24302.png
Айран 1л,1л,Напитки,100 с,https://nambafood.kg/dish_image/24304.png
Сок в ассортименте,1 л.,Напитки,140 с,https://nambafood.kg/dish_image/24305.png
Компот,1 л.,Напитки,140 с,https://nambafood.kg/dish_image/96880.png
