Наименование,Описание,Категория,Цена,Фото
Каша манная,,Завтраки,160 с,https://nambafood.kg/dish_image/131767.png
Каша гречневая,,Завтраки,160 с,https://nambafood.kg/dish_image/131768.png
Каша овсяная,,Завтраки,160 с,https://nambafood.kg/dish_image/131636.png
Каша рисовая,,Завтраки,160 с,https://nambafood.kg/dish_image/131769.png
Сырники с джемом и со сгущенкой,,Завтраки,170 с,https://nambafood.kg/dish_image/131637.png
Блинчики со сметаной,,Завтраки,160 с,https://nambafood.kg/dish_image/131638.png
Блинчики с творогом и со сметаной,,Завтраки,180 с,https://nambafood.kg/dish_image/131639.png
Блинчики с мясом,,Завтраки,210 с,https://nambafood.kg/dish_image/131640.png
«‎Облачный»‎ завтрак,,Завтраки,440 с,https://nambafood.kg/dish_image/131641.png
Омлет с овощами,,Завтраки,190 с,https://nambafood.kg/dish_image/131642.png
Омлет с сыром,,Завтраки,210 с,https://nambafood.kg/dish_image/131643.png
Яичница глазунья с сосисками,,Завтраки,310 с,https://nambafood.kg/dish_image/131644.png
Классика «‎Под водочку»‎,"Сельдь, картофель, лук",Закуски,470 с,https://nambafood.kg/dish_image/131645.png
Сырное ассорти с орехами и медом,,Закуски,820 с,https://nambafood.kg/dish_image/131646.png
Крылышки барбекю,,Закуски,450 с,https://nambafood.kg/dish_image/131647.png
Мясная нарезка,"Пастрома, бастурма, рулет куриный, рулет утиный. отварная говядина",Закуски,990 с,https://nambafood.kg/dish_image/131648.png
Кесадилья с курицей,"Пшеничная тартилья с курицей, сыром и микс-салатом в сливках",Закуски,520 с,https://nambafood.kg/dish_image/131649.png
Кесадилья с говядиной,,Закуски,520 с,https://nambafood.kg/dish_image/131650.png
Луковые кольца с соусом свит чили,,Закуски,210 с,https://nambafood.kg/dish_image/131651.png
Креветки с васаби,,Закуски,780 с,https://nambafood.kg/dish_image/131652.png
Куриные наггетсы,,Закуски,330 с,https://nambafood.kg/dish_image/131653.png
Ассорти из солений,,Закуски,470 с,https://nambafood.kg/dish_image/131654.png
Овощное ассорти,,Салаты,450 с,https://nambafood.kg/dish_image/131620.png
Цезарь с курицей,,Салаты,460 с,https://nambafood.kg/dish_image/131622.png
Цезарь с креветками,,Салаты,540 с,https://nambafood.kg/dish_image/131776.png
Греческий,,Салаты,390 с,https://nambafood.kg/dish_image/131623.png
Оливье с говядиной,,Салаты,330 с,https://nambafood.kg/dish_image/131624.png
Теплый ростбиф,,Салаты,530 с,https://nambafood.kg/dish_image/131625.png
