Наименование,Описание,Категория,Цена,Фото
Каша рисовая,,Завтраки,120 с,https://nambafood.kg/dish_image/131190.png
Блины с медом,,Завтраки,130 с,https://nambafood.kg/dish_image/131194.png
Блины с творогом,,Завтраки,150 с,https://nambafood.kg/dish_image/131195.png
Блины с мясом,,Завтраки,180 с,https://nambafood.kg/dish_image/131196.png
Сырники,,Завтраки,180 с,https://nambafood.kg/dish_image/131200.png
Шакшука,,Завтраки,170 с,https://nambafood.kg/dish_image/131201.png
Каша овсяная,,Завтраки,120 с,https://nambafood.kg/dish_image/131707.png
Яичница с сосисками,,Завтраки,180 с,https://nambafood.kg/dish_image/138165.png
Венские вафли,,Завтраки,430 с,https://nambafood.kg/dish_image/138166.png
Яйца пашот,,Завтраки,300 с,https://nambafood.kg/dish_image/138167.png
Бургер с курицей,,Бургеры и сэндвичи,330 с,https://nambafood.kg/dish_image/131167.png
Бургер с говядиной,,Бургеры и сэндвичи,350 с,https://nambafood.kg/dish_image/131168.png
Клаб сэндвич с курицей,,Бургеры и сэндвичи,300 с,https://nambafood.kg/dish_image/131350.png
Брускетта с семгой и каперсами,,Бургеры и сэндвичи,300 с,https://nambafood.kg/dish_image/131390.png
Круассан с ветчиной,,Бургеры и сэндвичи,230 с,https://nambafood.kg/dish_image/138172.png
Круассан с капрезе,,Бургеры и сэндвичи,250 с,https://nambafood.kg/dish_image/138173.png
Панини с курицей,,Бургеры и сэндвичи,230 с,https://nambafood.kg/dish_image/138176.png
Маргарита 28 см,,Пиццы,300 с,https://nambafood.kg/dish_image/131172.png
Пепперони 28 см,,Пиццы,350 с,https://nambafood.kg/dish_image/131173.png
Пицца с курицей и шпинатом 28 см,,Пиццы,400 с,https://nambafood.kg/dish_image/131174.png
Четыре сыра 28 см,,Пиццы,440 с,https://nambafood.kg/dish_image/131293.png
Мексиканская 28 см,,Пиццы,400 с,https://nambafood.kg/dish_image/131301.png
Суп лапша по домашнему,,Супы,190 с,https://nambafood.kg/dish_image/131719.png
Чечевичный суп,,Супы,210 с,https://nambafood.kg/dish_image/131717.png
Пельмени домашние с бульоном,,Супы,210 с,https://nambafood.kg/dish_image/131715.png
Солянка,"три вида колбасы, копчености, маслины, домашняя сметана, огурцы маринованные, говядина",Супы,270 с,https://nambafood.kg/dish_image/131709.png
Том-ям,,Супы,430 с,https://nambafood.kg/dish_image/131711.png
Суп сырный с фрикадельками,,Супы,210 с,https://nambafood.kg/dish_image/138171.png
Салат свежий свекольный,,Салаты,290 с,https://nambafood.kg/dish_image/131726.png
Салат греческий,,Салаты,280 с,https://nambafood.kg/dish_image/131730.png
Салат цезарь с курицей,,Салаты,370 с,https://nambafood.kg/dish_image/131732.png
Салат цезарь с креветками,,Салаты,420 с,https://nambafood.kg/dish_image/131722.png
Фалафель с питой,,Салаты,180 с,https://nambafood.kg/dish_image/138174.png
Хумус,,Салаты,230 с,https://nambafood.kg/dish_image/138275.png
Пикантный салат из баклажанов,,Салаты,280 с,https://nambafood.kg/dish_image/138276.png
Салат с ростбифом,,Салаты,420 с,https://nambafood.kg/dish_image/138277.png
Салат с морепродуктами,,Салаты,430 с,https://nambafood.kg/dish_image/138278.png
Спагетти больньезе,,Пасты,320 с,https://nambafood.kg/dish_image/131736.png
Фетучини с курицей и грибами,,Пасты,370 с,https://nambafood.kg/dish_image/131734.png
Альфредо с семгой,,Пасты,420 с,https://nambafood.kg/dish_image/131738.png
Пенне арабьята,,Пасты,290 с,https://nambafood.kg/dish_image/138164.png
Стейк из филе семги,,Горячие блюда,690 с,https://nambafood.kg/dish_image/131351.png
Ти-бон стейк в пряном маринаде,,Горячие блюда,750 с,https://nambafood.kg/dish_image/131178.png
Рибай стейк в пряном маринаде,,Горячие блюда,790 с,https://nambafood.kg/dish_image/131179.png
Медальоны из телятины,,Горячие блюда,570 с,https://nambafood.kg/dish_image/138175.png
Картофель фри,,Гарниры,100 с,https://nambafood.kg/dish_image/131740.png
Рис,,Гарниры,100 с,https://nambafood.kg/dish_image/131744.png
Овощи на гриле,,Гарниры,150 с,https://nambafood.kg/dish_image/131748.png
Картофель по-деревенски,,Гарниры,120 с,https://nambafood.kg/dish_image/131750.png
Творожные кольца,,Десерты,85 с,https://nambafood.kg/dish_image/131182.png
Американо 180 мл.,,Кофе,130 с,https://nambafood.kg/dish_image/131140.png
Капучино 180мл.,,Кофе,180 с,https://nambafood.kg/dish_image/131142.png
Капучино 300 мл.,,Кофе,300 с,https://nambafood.kg/dish_image/131143.png
Латте,,Кофе,200 с,https://nambafood.kg/dish_image/131144.png
Мокко 300 мл.,,Кофе,220 с,https://nambafood.kg/dish_image/131145.png
Флэт уайт 240 мл.,,Кофе,200 с,https://nambafood.kg/dish_image/131146.png
Горячий шоколад 180 мл.,,Кофе,190 с,https://nambafood.kg/dish_image/131206.png
Какао с маршмеллоу 300 мл.,,Кофе,200 с,https://nambafood.kg/dish_image/131207.png
Раф классический 350 мл.,,Кофе,220 с,https://nambafood.kg/dish_image/131208.png
Раф ореховый 350 мл.,,Кофе,220 с,https://nambafood.kg/dish_image/131209.png
Гляссе,Кофе с мороженым,Кофе,200 с,https://nambafood.kg/dish_image/131222.png
Айс амеркано 430 мл.,,Айс кофе,170 с,https://nambafood.kg/dish_image/131203.png
Айс Латте 430 мл.,,Айс кофе,200 с,https://nambafood.kg/dish_image/131210.png
Молочный коктейль  «Сливочно-ванильный» 300 мл.,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/131204.png
Шоколадный молочный коктейль 300 мл.,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/131205.png
Смузи Облепиха - яблоко 400 мл.,,Смузи,250 с,https://nambafood.kg/dish_image/131221.png
Смузи Тропический,,Смузи,250 с,https://nambafood.kg/dish_image/131219.png
Смузи Шпинат,,Смузи,250 с,https://nambafood.kg/dish_image/131220.png
Лимонад Клубника-маракуйя 430 мл.,,Лимонады,160 с,https://nambafood.kg/dish_image/131314.png
Огуречный лимонад 430 мл.,,Лимонады,160 с,https://nambafood.kg/dish_image/131211.png
Лимонад «‎Персик» 430 мл.,,Лимонады,160 с,https://nambafood.kg/dish_image/131218.png
Asu 250 мл.,,Напитки,40 с,https://nambafood.kg/dish_image/131148.png
Pepsi 250 мл. стекло,,Напитки,55 с,https://nambafood.kg/dish_image/131216.png
7up 250 мл. стекло,,Напитки,55 с,https://nambafood.kg/dish_image/131217.png
Mirinda 250 мл. стекло,,Напитки,55 с,https://nambafood.kg/dish_image/131215.png
