Наименование,Описание,Категория,Цена,Фото
Донер - говядина,,Донер,170 с,https://nambafood.kg/dish_image/97109.png
Донер - курица,,Донер,170 с,https://nambafood.kg/dish_image/97110.png
Чили донер - говядина,,Донер,170 с,https://nambafood.kg/dish_image/97107.png
Чили донер - курица,,Донер,170 с,https://nambafood.kg/dish_image/97108.png
Донер ассорти,,Донер,170 с,https://nambafood.kg/dish_image/97236.png
Багет Дог,,Донер,150 с,https://nambafood.kg/dish_image/115341.png
Багет Дог с говядиной,,Донер,150 с,https://nambafood.kg/dish_image/115342.png
Запеченный донер - говядина,,Запеченный донер,170 с,https://nambafood.kg/dish_image/97112.png
Запеченный донер - курица,,Запеченный донер,170 с,https://nambafood.kg/dish_image/97113.png
Запеченный чили донер - говядина,,Запеченный донер,170 с,https://nambafood.kg/dish_image/97114.png
Запеченный чили донер - курица,,Запеченный донер,170 с,https://nambafood.kg/dish_image/97115.png
Фирменный донер - курица,,Фирменный донер,170 с,https://nambafood.kg/dish_image/97116.png
Фирменный донер - говядина,,Фирменный донер,170 с,https://nambafood.kg/dish_image/97120.png
Донер бургер - говядина,,Бургеры,120 с,https://nambafood.kg/dish_image/97121.png
Донер бургер - курица,,Бургеры,120 с,https://nambafood.kg/dish_image/97122.png
Искендер кебаб - говядина,,Кебабы,130 с,https://nambafood.kg/dish_image/97234.png
Искендер кебаб - курица,,Кебабы,130 с,https://nambafood.kg/dish_image/97235.png
Coca-Cola 1 л.,,Напитки,75 с,https://nambafood.kg/dish_image/97237.png
Fanta 1 л.,,Напитки,75 с,https://nambafood.kg/dish_image/97238.png
Sprite 1 л.,,Напитки,75 с,https://nambafood.kg/dish_image/97239.png
Fanta 0.5 л.,,Напитки,40 с,https://nambafood.kg/dish_image/97241.png
Bonaqua 0.5 л.,,Напитки,25 с,https://nambafood.kg/dish_image/97243.png
Чалап,,Напитки,30 с,https://nambafood.kg/dish_image/98200.png
