Наименование,Описание,Категория,Цена,Фото
Завтрак по-турецки,400 г,Завтраки,350 с,https://nambafood.kg/dish_image/91897.png
Менемен,"250 г. Лук, перец, помидор, яйца.",Завтраки,200 с,https://nambafood.kg/dish_image/92004.png
Яйца вареные,3 шт,Завтраки,100 с,https://nambafood.kg/dish_image/91900.png
Яйца жареные,3 шт,Завтраки,100 с,https://nambafood.kg/dish_image/91899.png
Блинчики (обычные),3 шт,Завтраки,90 с,https://nambafood.kg/dish_image/91904.png
Сузма,150 гр.,Завтраки,90 с,https://nambafood.kg/dish_image/91901.png
Сметана,100 гр.,Завтраки,50 с,https://nambafood.kg/dish_image/91903.png
Мясное ассорти,400 г,Закуски,470 с,https://nambafood.kg/dish_image/91907.png
Закуска по-кавказски,"400 г. Овощи, брынза",Закуски,315 с,https://nambafood.kg/dish_image/91908.png
Овощное ассорти,400 г,Закуски,260 с,https://nambafood.kg/dish_image/91909.png
Закуска по-русски,250 г,Закуски,260 с,https://nambafood.kg/dish_image/91911.png
Закуска под водочку,250 г,Закуски,260 с,https://nambafood.kg/dish_image/91910.png
Колбаса копченая,150 г,Закуски,175 с,https://nambafood.kg/dish_image/91912.png
Колбаса докторская,150 г,Закуски,155 с,https://nambafood.kg/dish_image/91913.png
Мутабаль,"200 г. Баклажан, кунжутное масло, айран, чеснок, оливковое масло.",Турецкие и арабские салаты,220 с,https://nambafood.kg/dish_image/91916.png
Арабика,"200 г. Огурцы, помидор, петрушка, лист салата, зеленый перец, мята сухая, оливковое масло, гранат, соус.",Турецкие и арабские салаты,210 с,https://nambafood.kg/dish_image/91915.png
Хумус,"200 г. Кунжутное масло, горох, лимонный соус, оливковое масло.",Турецкие и арабские салаты,210 с,https://nambafood.kg/dish_image/91917.png
Табуле,"200 г. Огурцы, помидоры, петрушка, лимонный соус, пшеница, лук.",Турецкие и арабские салаты,210 с,https://nambafood.kg/dish_image/91918.png
Фатуш,"200 г. Огурцы, помидоры, петрушка, сухарь, яблочный уксус, мята, редиска.",Турецкие и арабские салаты,210 с,https://nambafood.kg/dish_image/91919.png
Чобан,"200 г. Огурцы, помидоры, зелень, масло, специи.",Турецкие и арабские салаты,185 с,https://nambafood.kg/dish_image/91920.png
Езме,"120 г. Помидоры, лук, чеснок, острый перец, петрушка.",Турецкие и арабские салаты,150 с,https://nambafood.kg/dish_image/91921.png
Хайдари,"150 г. Сузме, сухая мята, острый перец, масло, чеснок, укроп.",Турецкие и арабские салаты,150 с,https://nambafood.kg/dish_image/91922.png
Цезарь с креветками,"200 г. Креветки, айсберг, яйцо, гренки.",Салаты,415 с,https://nambafood.kg/dish_image/91924.png
Цезарь из курицы,"200 г. Айсберг, курица, яйцо, гренки.",Салаты,260 с,https://nambafood.kg/dish_image/91926.png
Фирменный салат,"200 г. Язык, огурцы, помидоры, масло кунжутное.",Салаты,260 с,https://nambafood.kg/dish_image/91927.png
Мари,"200 г. Язык отварной, грибы жареные, курица отварная, майонез, специи.",Салаты,270 с,https://nambafood.kg/dish_image/91928.png
Салат «Oriental»,"200 г. Язык, свежие помидоры и огурцы, лук зеленый, соус.",Салаты,260 с,https://nambafood.kg/dish_image/91929.png
Греческий салат,"200 г. Оливки, помидор, огурцы, лимон, сыр, масло, салатный лист, грецкий орех.",Салаты,250 с,https://nambafood.kg/dish_image/91932.png
Грибной салат,"200 г. Грибы, помидоры, зелень, лук.",Салаты,240 с,https://nambafood.kg/dish_image/91944.png
Сельдь под шубой,"200 г. Яйцо, свекла, майонез, селедка, картошка.",Салаты,240 с,https://nambafood.kg/dish_image/91941.png
Оливье,"200 г. Картофель, колбаса, морковь, зеленый горох, яйцо, майонез, соленые огурцы.",Салаты,240 с,https://nambafood.kg/dish_image/91933.png
Пикантный салат,"200 г. Отварное мясо, лук, огурцы, помидор, соевый соус, чеснок.",Салаты,240 с,https://nambafood.kg/dish_image/91935.png
Гасконский салат,"220 г. Копченая. окорочка, грибы, огурцы, лук, мясо.",Салаты,240 с,https://nambafood.kg/dish_image/91936.png
Шеф-салат,"220 г. Куриное филе, ветчина, яйцо, болгарский перец, сыр, грибы, майонез.",Салаты,240 с,https://nambafood.kg/dish_image/91937.png
Рандеу,"200 г. Говядина, огурцы маринованные, помидоры, шампиньоны, листья салата, масло.",Салаты,240 с,https://nambafood.kg/dish_image/91934.png
Огурцы по-китайски,"200 г. Огурцы, говядина, соевый соус, специи, чеснок, болгарский перец.",Салаты,240 с,https://nambafood.kg/dish_image/91939.png
Лесная поляна,"220 г. Картошка, грибы, соленые огурцы, копченая курица, яйцо, зелень, кукуруза, майонез.",Салаты,240 с,https://nambafood.kg/dish_image/91940.png
Салат «Гнездо»,"200 г. Пай, яйцо куриное, майонез, сыр.",Салаты,240 с,https://nambafood.kg/dish_image/91942.png
Крабовый салат,"220 г. Крабовые палочки, яйцо, огурцы, кукуруза, лук, майонез.",Салаты,240 с,https://nambafood.kg/dish_image/91946.png
Свежий салат,"200 г. Помидоры, огурцы, лук.",Салаты,185 с,https://nambafood.kg/dish_image/91948.png
Картофель фри,200 г,Гарниры,115 с,https://nambafood.kg/dish_image/91950.png
Картофель пюре,200 г,Гарниры,85 с,https://nambafood.kg/dish_image/91951.png
Рис,150 г,Гарниры,65 с,https://nambafood.kg/dish_image/91952.png
Лаваш,200 гр.,Гарниры,70 с,https://nambafood.kg/dish_image/92080.png
Шорпо,"350 г. Баранина, картошка, морковь, специи, зелень.",Первые блюда,230 с,https://nambafood.kg/dish_image/91955.png
Солянка,"350 г. Куриное филе, соленые огурцы, курица копченая, колбаса докторская, томат, мясо, колбаса копченая.",Первые блюда,230 с,https://nambafood.kg/dish_image/91954.png
Уха,"350 г. Рыба, картофель, укроп, перец горошек, черри.",Первые блюда,230 с,https://nambafood.kg/dish_image/91956.png
Пельмени,"350 г. Пельмени, бульон, сметана, укроп.",Первые блюда,185 с,https://nambafood.kg/dish_image/91958.png
Суп с фрикадельками,"350 г. Фрикадельки, картошка, лук, бульон, морковка, зелень, помидоры.",Первые блюда,185 с,https://nambafood.kg/dish_image/91957.png
Куриный суп,"350 г. Курица, помидор, петрушка, рис.",Первые блюда,175 с,https://nambafood.kg/dish_image/91959.png
Окрошка,"350 г. Айран, минеральная вода, яйца, картофель, огурец, зелень, колбаса, редиска.",Первые блюда,165 с,https://nambafood.kg/dish_image/91960.png
Джаджик,"150 г. Айран, огурцы, мята, чеснок.",Первые блюда,125 с,https://nambafood.kg/dish_image/91923.png
Мержимек,350 г. Чечевичный суп,Первые блюда,125 с,https://nambafood.kg/dish_image/91962.png
Язык по-царски,"250 г. Язык, майонез, сыр.",Блюда из мяса,395 с,https://nambafood.kg/dish_image/91963.png
Мясо по-курдски,"250 г. Бон филе, лук, специи.",Блюда из мяса,385 с,https://nambafood.kg/dish_image/92189.png
Язык по-китайски,"250 г. Язык, огурцы, чеснок, лук, соевый соус.",Блюда из мяса,385 с,https://nambafood.kg/dish_image/91964.png
Беборстейк,"250 г. Острый соус, черный перец, баранина.",Блюда из мяса,385 с,https://nambafood.kg/dish_image/101919.png
Мясо по-кавказски,"250 г. Говядина, лук, помидоры, специи, орехи.",Блюда из мяса,375 с,https://nambafood.kg/dish_image/91971.png
Мясо по-итальянски,"250 г. Говядина, сыр, майонез.",Блюда из мяса,365 с,https://nambafood.kg/dish_image/91968.png
Бефстроганов,"250 г. Говядина, лук, сметана.",Блюда из мяса,365 с,https://nambafood.kg/dish_image/91969.png
Куурдак,"250 г. Баранина, лук, картофель.",Блюда из мяса,365 с,https://nambafood.kg/dish_image/91970.png
Говядина Мечта,"250 г. Говядина, грибы, сыр, майонез.",Блюда из мяса,365 с,https://nambafood.kg/dish_image/91966.png
Мясо с грибами в горшочках,"250 г. Говядина, картофель, грибы майонез, сыр.",Блюда из мяса,355 с,https://nambafood.kg/dish_image/91972.png
Мясо по-французки,"250 г. Говядина, картофель, помидоры, майонез, сыр.",Блюда из мяса,355 с,https://nambafood.kg/dish_image/91973.png
Мясо на жаровне,"250 г. Говядина, перец, лук, помидоры, огурцы, специи, чеснок.",Блюда из мяса,355 с,https://nambafood.kg/dish_image/91975.png
Бифштекс рубленый,250 г. Фарш с яйцом,Блюда из мяса,345 с,https://nambafood.kg/dish_image/91979.png
Мясо с грибами и картофелем,"250 г. Говядина, грибы, картошка.",Блюда из мяса,345 с,https://nambafood.kg/dish_image/91976.png
Мясо с овощами,"250 г. Говядина, помидоры, огурцы, перец, лук, морковь, зеленый горошек.",Блюда из мяса,345 с,https://nambafood.kg/dish_image/91977.png
Курица по-азербайджански,"250 г. Курица, картофель, помидоры, яйцо, сыр, майонез.",Блюда из курицы,335 с,https://nambafood.kg/dish_image/91981.png
Эскалоп малонез,"250 г. Курица, сыр, майонез.",Блюда из курицы,335 с,https://nambafood.kg/dish_image/91980.png
Фрикасе из курицы,"250 г. Грибы, курица, сметана.",Блюда из курицы,335 с,https://nambafood.kg/dish_image/91983.png
Курица на жаровне,"250 г. Курица, лук, перец, помидоры, огурцы, специи, чеснок.",Блюда из курицы,325 с,https://nambafood.kg/dish_image/91986.png
Курица с картофелем в горшочке,"250 г. Курица, картофель, сыр, майонез, грибы.",Блюда из курицы,325 с,https://nambafood.kg/dish_image/91984.png
Курица с овощами,"250 г. Курица, огурцы, перец, помидоры, лук, морковь, зеленый горох.",Блюда из курицы,325 с,https://nambafood.kg/dish_image/91985.png
Рыба в кляре,"250 г. Сыр, майонез, судак.",Блюда из рыбы,375 с,https://nambafood.kg/dish_image/91987.png
Судак в сметанном соусе,"250 г. Судак, сметана, лук, специи.",Блюда из рыбы,375 с,https://nambafood.kg/dish_image/91988.png
Судак по-севански,"250 г. Судак, грибы, сыр, сметана, помидор, зелень.",Блюда из рыбы,365 с,https://nambafood.kg/dish_image/95132.png
Рыба с грибами,250 г,Блюда из рыбы,365 с,https://nambafood.kg/dish_image/91990.png
Рыба по-французски,"250 г. Рыба, картофель, майонез, помидор, сыр.",Блюда из рыбы,355 с,https://nambafood.kg/dish_image/91991.png
Рыба с овощами,"250 г. Судак, огурцы, перец, помидоры, лук, морковь, зеленый горох.",Блюда из рыбы,355 с,https://nambafood.kg/dish_image/91992.png
Рыба по-китайски,"250 г. Соевый соус, судак, лук, острый перец, огурцы, чеснок.",Блюда из рыбы,355 с,https://nambafood.kg/dish_image/91993.png
Рыба на жаровне,"250 г. Судак, огурцы, помидоры, лук, соевый соус, перец, чеснок.",Блюда из рыбы,355 с,https://nambafood.kg/dish_image/91994.png
Сач кавурма,"250 г. Чеснок, баранина, помидор.",Турецкие и арабские блюда,385 с,https://nambafood.kg/dish_image/91996.png
Сач Тава,"250 г. Баранина, лук, грибы, помидор.",Турецкие и арабские блюда,385 с,https://nambafood.kg/dish_image/91997.png
Чобан кавурма,"250 г. Баранина, лук, болгарский перец, помидор.",Турецкие и арабские блюда,375 с,https://nambafood.kg/dish_image/91998.png
Эт Суте,"250 г. Баранина, лук, перец, помидор.",Турецкие и арабские блюда,365 с,https://nambafood.kg/dish_image/91999.png
Хамма,"250 г. Фарш баранина, баклажан, кунжут, масло, айран, чеснок, помидоры.",Турецкие и арабские блюда,365 с,https://nambafood.kg/dish_image/92000.png
Шам,"250 г. Фарш баранина, кунжут, масло, горох, лимонный соус.",Турецкие и арабские блюда,365 с,https://nambafood.kg/dish_image/92001.png
Тавук Суте,"250 г. Куриное филе, лук, перец, помидор.",Турецкие и арабские блюда,335 с,https://nambafood.kg/dish_image/92002.png
Фуль,"250 г. Бобы, кунжутное масло, айран, помидор, петрушка, лук, оливковое масло.",Турецкие и арабские блюда,260 с,https://nambafood.kg/dish_image/92003.png
Фалафель,"250 г. Горох, лук, чеснок, петрушка, специи.",Турецкие и арабские блюда,195 с,https://nambafood.kg/dish_image/92005.png
Стейк,350 г,Шашлык,650 с,https://nambafood.kg/dish_image/124103.png
Ассорти шашлык,"330 г. Бараньи ребра, фарш, курица, баранина.",Шашлык,405 с,https://nambafood.kg/dish_image/92006.png
Пирзола,330 г. Шашлык из ребер баранины.,Шашлык,405 с,https://nambafood.kg/dish_image/92009.png
