Наименование,Описание,Категория,Цена,Фото
Торт «Опера»,"1,4 кг. Opera cake – это французский бисквитный десерт, состоящий из миндальных бисквитных коржей, пропитанных кофе, с прослойкой кофейного и шоколадного крема, и шоколадной глазури сверху",Выпечка (Предзаказ за 4 часа),2050 с,https://nambafood.kg/dish_image/141257.png
Торт «Блэк форест»,"1,3 кг. Black forest - Сочный шоколадный бисквит со вкусом шоколадного мусса, с вишней, взбитыми сливками и со сливочным заварным кремом",Выпечка (Предзаказ за 4 часа),1750 с,https://nambafood.kg/dish_image/141258.png
Торт «Oreo чизкейк»,"1,64 кг. Чизкейк с насыщенным вкусом молочного и белого шоколада, основа из печенье Oreo. С сырно-творожным вкусом.",Выпечка (Предзаказ за 4 часа),2550 с,https://nambafood.kg/dish_image/141259.png
Фисташковый торт «Опера»,"2 кг. Особый торт для любителей фисташек с шоколадом, нежной прослойкой из клубники и миндально-фисташкового бисквита.",Выпечка (Предзаказ за 4 часа),2350 с,https://nambafood.kg/dish_image/141260.png
Торт «Капучино»,"1,2 кг. Торт с муссом из белого шоколада с шоколадным бисквитом, наполненный профитролями с карамельно-кофейным муссом",Выпечка (Предзаказ за 4 часа),1600 с,https://nambafood.kg/dish_image/141261.png
Торт «Earl grey»,"1,4 кг. Торт, пропитанный английским чаем earl grey со вкусом бергамота.",Выпечка (Предзаказ за 4 часа),1900 с,https://nambafood.kg/dish_image/141262.png
Торт «Эмеральд»,"1,5 кг. Многослойный фисташково-миндальный торт с ягодным желе и ванильным кремом",Выпечка (Предзаказ за 4 часа),2050 с,https://nambafood.kg/dish_image/141263.png
Торт «Нью-Йорк чизкейк»,"1,7 кг. Классический торт с сырно-творожным кремом и зернами ванили",Выпечка (Предзаказ за 4 часа),2850 с,https://nambafood.kg/dish_image/141264.png
Торт «Royal»,"1,7 кг. Мусс из трюфельного шоколада с хрустящим слоем из фундучно-ореховой пасты",Выпечка (Предзаказ за 4 часа),2750 с,https://nambafood.kg/dish_image/141265.png
Торт «Захер»,"1,6 кг. Классический австрийский шоколадный торт с прослойкой из абрикосового джема.",Выпечка (Предзаказ за 4 часа),2050 с,https://nambafood.kg/dish_image/141266.png
Торт трюфельный,"1,3 кг. Торт из горького шоколадного мусса с лесными орехами и нежным тонким шоколадным бисквитом",Выпечка (Предзаказ за 4 часа),2050 с,https://nambafood.kg/dish_image/141267.png
Торт «Эстерхази»,"1,4 кг. Для любителей орехового вкуса, полностью состоит из орехов с миндальным бисквитом и прослойкой фундучного крема",Выпечка (Предзаказ за 4 часа),2250 с,https://nambafood.kg/dish_image/141268.png
Торт миндальный,"1,45 кг. Нежный бисквит, пропитанный Бейлисом, с нежным заварным кремом,посыпанный миндальными лепестками",Выпечка (Предзаказ за 4 часа),1600 с,https://nambafood.kg/dish_image/141269.png
Торт творожный,"1,3 кг. Миндальный бисквит с нежным творожным муссом, с малиной и макарунами",Выпечка (Предзаказ за 4 часа),2050 с,https://nambafood.kg/dish_image/141270.png
Торт «Пинк сулейман»,"1,9 кг. Песочное тесто с нежным бисквитом и прослойкой малинового джема. Миндальная основа с прослойкой из домашнего варенья и нежного йогуртового мусса, покрытый сливками и свежими фруктами по сезону",Выпечка (Предзаказ за 4 часа),1900 с,https://nambafood.kg/dish_image/141271.png
Торт йогуртовый,"1,8 кг. С шоколадным бисквитом без муки с нежным йогуртовым муссом и прослойкой малинового желе",Выпечка (Предзаказ за 4 часа),2250 с,https://nambafood.kg/dish_image/141272.png
Торт «Тирамису»‎‎,"1,3 кг. Традиционный итальянский десерт с сыром маскарпоне, шоколадом и кофе Илли",Выпечка (Предзаказ за 4 часа),1600 с,https://nambafood.kg/dish_image/141273.png
Пирог «Linzer»,"1,5 кг. Деревенский австрийский пирог из миндального песочного теста с ягодным джемом",Выпечка (Предзаказ за 4 часа),1950 с,https://nambafood.kg/dish_image/141275.png
Фруктовый пирог,"1,35 кг. Песочно-миндальный корж,  заполненный миндальным кремом и фруктами по сезону",Выпечка (Предзаказ за 4 часа),1400 с,https://nambafood.kg/dish_image/141274.png
Круассан классический 1 шт.,,Выпечка (Предзаказ за 4 часа),75 с,https://nambafood.kg/dish_image/141277.png
Круассан классический 5 шт.,,Выпечка (Предзаказ за 4 часа),375 с,https://nambafood.kg/dish_image/142134.png
Круассан с корицей 1 шт.,,Выпечка (Предзаказ за 4 часа),85 с,https://nambafood.kg/dish_image/141282.png
Круассан с корицей 5 шт.,,Выпечка (Предзаказ за 4 часа),425 с,https://nambafood.kg/dish_image/142135.png
Банановый круассан 1 шт.,,Выпечка (Предзаказ за 4 часа),90 с,https://nambafood.kg/dish_image/141281.png
Банановый круассан 6 шт.,,Выпечка (Предзаказ за 4 часа),450 с,https://nambafood.kg/dish_image/142139.png
Яблочный круассан 1 шт.,,Выпечка (Предзаказ за 4 часа),95 с,https://nambafood.kg/dish_image/141280.png
Яблочный круассан 5 шт.,,Выпечка (Предзаказ за 4 часа),475 с,https://nambafood.kg/dish_image/142140.png
Миндальный круассан 1 шт.,,Выпечка (Предзаказ за 4 часа),120 с,https://nambafood.kg/dish_image/141278.png
Миндальный круассан 5 шт.,,Выпечка (Предзаказ за 4 часа),600 с,https://nambafood.kg/dish_image/142141.png
Кокосовый круассан 1 шт.,,Выпечка (Предзаказ за 4 часа),120 с,https://nambafood.kg/dish_image/141279.png
Кокосовый круассан 5 шт.,,Выпечка (Предзаказ за 4 часа),600 с,https://nambafood.kg/dish_image/142142.png
Шоколадный круассан 1 шт.,,Выпечка (Предзаказ за 4 часа),70 с,https://nambafood.kg/dish_image/141276.png
Шоколадный круассан 5 шт.,,Выпечка (Предзаказ за 4 часа),350 с,https://nambafood.kg/dish_image/142143.png
Ролл с изюмом 1 шт.,,Выпечка (Предзаказ за 4 часа),85 с,https://nambafood.kg/dish_image/141283.png
Ролл с изюмом 5 шт.,,Выпечка (Предзаказ за 4 часа),425 с,https://nambafood.kg/dish_image/142144.png
Ананасовый дениш 1 шт.,,Выпечка (Предзаказ за 4 часа),105 с,https://nambafood.kg/dish_image/141285.png
Ананасовый дениш 5 шт.,,Выпечка (Предзаказ за 4 часа),525 с,https://nambafood.kg/dish_image/142146.png
Банановый дениш 1 шт.,,Выпечка (Предзаказ за 4 часа),90 с,https://nambafood.kg/dish_image/141286.png
Банановый дениш 5 шт.,,Выпечка (Предзаказ за 4 часа),450 с,https://nambafood.kg/dish_image/142145.png
Фруктовый дениш 1 шт.,,Выпечка (Предзаказ за 4 часа),95 с,https://nambafood.kg/dish_image/141284.png
Фруктовый дениш 5 шт.,,Выпечка (Предзаказ за 4 часа),475 с,https://nambafood.kg/dish_image/142147.png
Банановый маффин 1 шт.,,Выпечка (Предзаказ за 4 часа),75 с,https://nambafood.kg/dish_image/141287.png
Банановые маффины 6 шт.,В коробке,Выпечка (Предзаказ за 4 часа),450 с,https://nambafood.kg/dish_image/141662.png
Шоколадный маффин 1 шт.,,Выпечка (Предзаказ за 4 часа),100 с,https://nambafood.kg/dish_image/141289.png
Шоколадные маффины 6 шт.,В коробке,Выпечка (Предзаказ за 4 часа),600 с,https://nambafood.kg/dish_image/141663.png
Ванильный маффин 1 шт.,,Выпечка (Предзаказ за 4 часа),75 с,https://nambafood.kg/dish_image/141291.png
Ванильные маффины 6 шт.,В коробке,Выпечка (Предзаказ за 4 часа),450 с,https://nambafood.kg/dish_image/141664.png
Макарунсы,6 шт.,Выпечка (Предзаказ за 4 часа),280 с,https://nambafood.kg/dish_image/141293.png
