Наименование,Описание,Категория,Цена,Фото
Турецкий завтрак,,Завтраки,280 с,https://nambafood.kg/dish_image/106702.png
Сырные трубочки,6 шт.,Завтраки,170 с,https://nambafood.kg/dish_image/106703.png
Омлет,150 гр.,Завтраки,150 с,https://nambafood.kg/dish_image/58338.png
Омлет с помидорами,150 гр.,Завтраки,180 с,https://nambafood.kg/dish_image/58339.png
Омлет с сыром,,Завтраки,180 с,https://nambafood.kg/dish_image/106704.png
Яичница,100 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/58340.png
Яичница с колбасой,200 гр.,Завтраки,220 с,https://nambafood.kg/dish_image/58341.png
Блины 3 шт.,,Завтраки,80 с,https://nambafood.kg/dish_image/106705.png
Шорпо из баранины,,Супы,200 с,https://nambafood.kg/dish_image/58352.png
Солянка,300 гр.,Супы,200 с,https://nambafood.kg/dish_image/58353.png
Суп куриный,300 гр.,Супы,200 с,https://nambafood.kg/dish_image/58354.png
Пельмени со сметаной,,Супы,170 с,https://nambafood.kg/dish_image/32848.png
"Пельмени со сметаной 0,7",,Супы,140 с,https://nambafood.kg/dish_image/32849.png
Чучвара,,Супы,170 с,https://nambafood.kg/dish_image/32850.png
"Чучвара 0,7","0,7",Супы,140 с,https://nambafood.kg/dish_image/32851.png
Свежий салат,200 гр.,Салаты,200 с,https://nambafood.kg/dish_image/106708.png
Салат яичный,150 гр.,Салаты,230 с,https://nambafood.kg/dish_image/32840.png
Винегрет,150 гр.,Салаты,200 с,https://nambafood.kg/dish_image/58346.png
Оливье,150 гр.,Салаты,200 с,https://nambafood.kg/dish_image/106709.png
Цезарь,150 гр.,Салаты,230 с,https://nambafood.kg/dish_image/106710.png
Гнездо,180 гр.,Салаты,230 с,https://nambafood.kg/dish_image/58348.png
Салат китайский,Мясо с огурцами,Салаты,230 с,https://nambafood.kg/dish_image/58349.png
Салат Греческий,180 гр.,Салаты,230 с,https://nambafood.kg/dish_image/63327.png
Гасконский салат,,Салаты,250 с,https://nambafood.kg/dish_image/106712.png
Салат из капусты,,Салаты,70 с,https://nambafood.kg/dish_image/58350.png
Салат из моркови,,Салаты,70 с,https://nambafood.kg/dish_image/58351.png
Хайдари с мятой,"150 гр. Йогурт, укроп.",Турецкая кухня,150 с,https://nambafood.kg/dish_image/106713.png
Чечевичный суп,430 гр.,Турецкая кухня,150 с,https://nambafood.kg/dish_image/106714.png
"Чечевичный суп 0,7",300 гр.,Турецкая кухня,120 с,https://nambafood.kg/dish_image/106715.png
Яйла,430 гр.,Турецкая кухня,150 с,https://nambafood.kg/dish_image/106716.png
Яйла 0.7,300 гр.,Турецкая кухня,120 с,https://nambafood.kg/dish_image/106717.png
Керемитте эт соте,,Турецкая кухня,330 с,https://nambafood.kg/dish_image/106718.png
Керемитте тавук соте,,Турецкая кухня,330 с,https://nambafood.kg/dish_image/106719.png
Сач кавурма,300 гр.,Турецкая кухня,350 с,https://nambafood.kg/dish_image/106720.png
Жажик,,Турецкая кухня,150 с,https://nambafood.kg/dish_image/106722.png
Маринованные острые перчики,,Турецкая кухня,50 с,https://nambafood.kg/dish_image/106723.png
Турецкий хлеб,,Турецкая кухня,40 с,https://nambafood.kg/dish_image/106758.png
"Турецкий хлеб 0,5",,Турецкая кухня,20 с,https://nambafood.kg/dish_image/106759.png
Турецкий Лаваш,,Турецкая кухня,80 с,https://nambafood.kg/dish_image/63330.png
Лагман,350 гр.,Вторые блюда,200 с,https://nambafood.kg/dish_image/32841.png
