Наименование,Описание,Категория,Цена,Фото
Каша овсяная,,Завтраки (С 09:30 до 12:00),160 с,https://nambafood.kg/dish_image/126501.png
Каша рисовая,,Завтраки (С 09:30 до 12:00),160 с,https://nambafood.kg/dish_image/126502.png
Сырники,,Завтраки (С 09:30 до 12:00),220 с,https://nambafood.kg/dish_image/127429.png
Яичница глазунья классическая,,Завтраки (С 09:30 до 12:00),180 с,https://nambafood.kg/dish_image/126489.png
Английский завтрак,"Колбаски говяжьи, шпинат, глазунья из двух яиц, тост-хлеб",Завтраки (С 09:30 до 12:00),360 с,https://nambafood.kg/dish_image/133815.png
Завтрак с лососем и авокадо,"Хлеб, семга, сливочный сыр, авокадо, яйцо-пашот, микс-салат",Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/134062.png
Боул с семгой,"Семга слабосоленая, огурцы, томаты, авокадо, рис, яйцо пашот",Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/133817.png
Клаб-сэндвич,"Курица копч. томаты, кур. яйца, сыр чеддер",Завтраки (С 09:30 до 12:00),270 с,https://nambafood.kg/dish_image/134059.png
Круассан с лососем,"Семга слабосоленая, авокадо, помидор, шпинат, сливочный сыр",Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/139150.png
Боул с креветками,"Креветки, огурцы, томаты, авокадо, рис, яйцо пашот, микс-салат",Завтраки (С 09:30 до 12:00),360 с,https://nambafood.kg/dish_image/139154.png
Итальянский завтрак,"Тост, копченая говядина, сливочный сыр, сыр моцарелла, сыр пармезан, розовые томаты, томаты черри, вяленые томаты, микс салат",Завтраки (С 09:30 до 12:00),360 с,https://nambafood.kg/dish_image/144388.png
"Бриошь, яйцо-пашот и авокадо",,Завтраки (С 09:30 до 12:00),350 с,https://nambafood.kg/dish_image/144389.png
Бельгийские вафли с шоколадным кремом,,Завтраки (С 09:30 до 12:00),270 с,https://nambafood.kg/dish_image/144390.png
Бельгийские вафли с ванильным соусом,,Завтраки (С 09:30 до 12:00),270 с,https://nambafood.kg/dish_image/144391.png
Тост с лососем и авокадо,,Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/144392.png
Скрэмбл с розовыми томатами и сыром страчателла,,Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/145606.png
"Бриошь, авокадо и томаты",,Завтраки (С 09:30 до 12:00),350 с,https://nambafood.kg/dish_image/145607.png
Шакшука,"Яйцо, телятина, перец, нут, красный лук, перец чили и багет на гриле. Острое блюдо",Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/145608.png
Ягодный суп с фруктами,"Клубника, малина, киви, яблоко, банан и гранола",Завтраки (С 09:30 до 12:00),390 с,https://nambafood.kg/dish_image/145609.png
Бельгийские вафли с шоколадным соусом,,Завтраки (С 09:30 до 12:00),270 с,https://nambafood.kg/dish_image/145610.png
Салат из свежих овощей с оливковым маслом,,Салаты (с 12:00),230 с,https://nambafood.kg/dish_image/126488.png
Салат из свежий овощей со сметаной,,Салаты (с 12:00),230 с,https://nambafood.kg/dish_image/125662.png
Салат из свежих овощей с майонезом,,Салаты (с 12:00),230 с,https://nambafood.kg/dish_image/125661.png
Свекольный салат с яблоками,"Свекла, яблоко, грецкий орех.",Салаты (с 12:00),230 с,https://nambafood.kg/dish_image/127446.png
Цезарь с курицей,,Салаты (с 12:00),320 с,https://nambafood.kg/dish_image/126486.png
Микс-салат с лососем,"Микс-салат, лосось, авокадо, лимон, томаты черри, грейпфрут.",Салаты (с 12:00),490 с,https://nambafood.kg/dish_image/127427.png
Микс-салат с креветками,"Микс-салат, креветки, авокадо, лимон, томаты черри, грейпфрут.",Салаты (с 12:00),390 с,https://nambafood.kg/dish_image/127447.png
Теплый салат с рукколой,"Руккола, телятина, томаты черри, пармезан.",Салаты (с 12:00),360 с,https://nambafood.kg/dish_image/127448.png
Фокачча «Моцарелла»,"Традиционный итальянский хлеб, сыр моцарелла и пикантный томатный соус.",Закуски (с 12:00),100 с,https://nambafood.kg/dish_image/127430.png
Фокачча «Пармезан»,"Традиционный итальянский хлеб, сыр пармезан и соус песто.",Закуски (с 12:00),140 с,https://nambafood.kg/dish_image/127431.png
Пиде с сыром,,Закуски (с 12:00),360 с,https://nambafood.kg/dish_image/127450.png
Маргарита,"Соус томатный, моцарелла.",Пиццы (с 12:00),370 с,https://nambafood.kg/dish_image/125675.png
4 сыра,"Моцарелла, дор блю, пармезан, чеддер.",Пиццы (с 12:00),490 с,https://nambafood.kg/dish_image/125676.png
Пепперони,"Соус томатный, моцарелла, салями.",Пиццы (с 12:00),420 с,https://nambafood.kg/dish_image/125677.png
Мексикана,"Куриное филе, говяжий ростбиф, моцарелла и чеддер, сладкий перец, халапеньо.",Пиццы (с 12:00),490 с,https://nambafood.kg/dish_image/126494.png
Пицца «Филадельфия»,"Лосось, сливочный сыр, моцарелла, кунжут.",Пиццы (с 12:00),590 с,https://nambafood.kg/dish_image/134064.png
Спагетти Карбонара,"Спагетти, копченая говядина, сливки, пармезан.",Паста (с 12:00),340 с,https://nambafood.kg/dish_image/125682.png
Острые спагетти Айоли,"Спагетти, томаты, томаты черри, чеснок, перец чили, сыр пармезан",Паста (с 12:00),320 с,https://nambafood.kg/dish_image/133823.png
Спагетти Болоньезе,"Спагетти, говядина, томаты, сыр моцарелла, сыр пармезан, чеснок",Паста (с 12:00),390 с,https://nambafood.kg/dish_image/133824.png
Фетучини с курицей и грибами,"Феттучини, филе куриное, пармезан, томатно-сливочный соус.",Паста (с 12:00),390 с,https://nambafood.kg/dish_image/125686.png
Фетучини с лососем,"Фетучини, лосось, сыр пармезан, сливочный соус, томаты черри.",Паста (с 12:00),420 с,https://nambafood.kg/dish_image/127459.png
