Наименование,Описание,Категория,Цена,Фото
Суп Чечевичный,"Чечевица, картофель, лук, морковь, кумин. Подается с двумя хлебными палочками.",Супы,230 с,https://nambafood.kg/dish_image/111143.png
Суп Минестроне,"Картофель, цветная капуста, цукини, лук, фасоль, зеленый горошек, морковь, шпинат. Подается с двумя хлебными палочками.",Супы,250 с,https://nambafood.kg/dish_image/111144.png
Суп Томатный,"Томаты, морковь, желтый перец, красный перец, паприка, лук, чеснок. Подается с сухариками",Супы,250 с,https://nambafood.kg/dish_image/111145.png
Пицца Сет №1,"3 пиццы 30см на традиционном тесте (на 6- 10 чел: Пепперони, Цыпленок Рэнч, Маргарита; Pepsi 1л. Экономия 168 сом.",Пицца сет,1595 с,https://nambafood.kg/dish_image/94333.png
Пицца Сет №2,"5 пицц 30см на традиционном тесте (на 10-13 человек): Пепперони, Цыпленок Рэнч, Сырная, Альфредо, Мексиканская; Pepsi 2л.",Пицца сет,2450 с,https://nambafood.kg/dish_image/94334.png
Пицца Сет №3,"7 Пицц 30см на традиционном тесте (на 16-17 человек): Супер Папа, Цыпленок Барбекю, Альфредо, Вегетарианская,Пепперони, Маргарита, Ветчина и грибы; Pepsi 2л.",Пицца сет,3350 с,https://nambafood.kg/dish_image/94336.png
Пицца Супер Сет,"10 пицц 30 см на традиционном тесте (на 20- 25 человек): Супер Папа,Пепперони, Сырная, Маргарита, Альфредо, Чикенбургер, Мексиканская, Цыпленок барбекю, Вегетарианская, Ветчина и грибы.",Пицца сет,4950 с,https://nambafood.kg/dish_image/94338.png
Пицца 10 сыров 23 см,"Моцарелла, классический Чильеджини, мягкий молодой сыр, смесь 3х копченых итальянских сыров, сыр с голубой плесенью, Реджанито, Пармезан, Фонтин, с соусом Пармеджано и орегано.",Маленькая пицца  23см,535 с,https://nambafood.kg/dish_image/119558.png
Пицца Супер Папа 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", ветчина из индейки, сыр моцарелла, пепперони, лук, оливки черные, сладкий зеленый перец, шампиньоны",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/47689.png
Пицца Любимый папа 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", пепперони, смесь 2-х сыров, смесь 3-х сыров, моцарелла, итальянские травы.",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/47691.png
Пицца Пепперони 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", сыр моцарелла, пепперони",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47692.png
Пицца Маленькая Италия 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", сыр моцарелла, пепперони, оливки черные, орегано, шампиньоны",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/47693.png
Пицца Вегетарианская 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", томаты, сыр моцарелла, лук, оливки черные, сладкий зеленый перец, шампиньоны",Маленькая пицца  23см,350 с,https://nambafood.kg/dish_image/47694.png
Пицца Ветчина и грибы 23см,"Состав: Соус «Чесночный Ранч», ветчина из индейки, сыр моцарелла, чеснок, шампиньоны",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47695.png
Пицца Гавайская 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", ветчина из индейки, сыр моцарелла, ананасы",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47696.png
Пицца Маргарита 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", томаты, сыр моцарелла, орегано",Маленькая пицца  23см,350 с,https://nambafood.kg/dish_image/47697.png
Пицца Мексиканская 23см,"Состав: томаты, сыр моцарелла, грудка куриная, лук, перец халапеньо, сладкий зеленый перец, шампиньоны",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47698.png
Пицца Сырная 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", сыр моцарелла",Маленькая пицца  23см,300 с,https://nambafood.kg/dish_image/48028.png
Пицца Четыре Сыра 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", сыр моцарелла, орегано, сиртаки, сыр с голубой плесенью, сыр реджанито",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/47700.png
Пицца Альфредо 23см,"Состав: Соус Шпинатный, ветчина из индейки, томаты, сыр моцарелла, шампиньоны",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/48223.png
Пицца Большая Бонанза 23см,"Состав: Соус Барбекю, ветчина из индейки, сыр моцарелла, лук, перец халапеньо, шампиньоны, сиртаки",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/47702.png
Пицца Цыпленок Барбекю 23см,"Состав: Фирменный томатный соус ""Папа Джонс"", куриная грудка, лук, сыр моцарелла, соус Барбекью.",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47705.png
Пицца Цыплёнок Рэнч 23см,"Состав: Соус ""Чесночный Ранч"", куриная грудка, томаты, чеснок рубленый, сыр моцарелла",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/47706.png
Спайси Веджи 23 см,"Фирменный томатный соус, Томаты, Шампиньоны, Лук, Зеленый перец, Черные оливки, Моцарелла, Халапеньо",Маленькая пицца  23см,350 с,https://nambafood.kg/dish_image/99173.png
Хот Пепперони 23 см,"Фирменный томатный соус, Пепперони, Моцарелла, Халапеньо. Пикантная! Традиционное Тонкое",Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/99484.png
Итальянская пицца с моцареллой и пепперони 23 см.,"Традиционный итальянский рецепт с двумя видами сыра: тертый Моцарелла и классический чильеджини; пикантная пепперони, шампиньоны и смесь приправ.",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/101342.png
Чикен Блю Чиз 23 см,"Нежное куриное филе с кусочками сыра блю чиз, соусом Пармеджано, смесью итальянских сыров и сыром Моцарелла.",Маленькая пицца  23см,450 с,https://nambafood.kg/dish_image/127801.png
Спайси Ранч 23 см,,Маленькая пицца  23см,415 с,https://nambafood.kg/dish_image/129069.png
