Наименование,Описание,Категория,Цена,Фото
Чана Батура / Chana Bhatura,450 гр,Завтраки,350 с,https://nambafood.kg/dish_image/73440.png
Пури бхаджи  / Puri bhaji,290 гр,Завтраки,280 с,https://nambafood.kg/dish_image/73441.png
Овощной омлет / Veg. omlette,200 гр,Завтраки,150 с,https://nambafood.kg/dish_image/56492.png
Омлет с пепперони / Pepperoni omlette,200 гр,Завтраки,180 с,https://nambafood.kg/dish_image/73443.png
Омлет с сыром и грибами / Cheese and mushroom omlette,200 гр,Завтраки,185 с,https://nambafood.kg/dish_image/56493.png
Овощной Пакора / Veg Pakora,150 гр.,Закуски,160 с,https://nambafood.kg/dish_image/73447.png
Овощной кебаб / Veg Seekh Kebab,200 гр,Закуски,205 с,https://nambafood.kg/dish_image/73450.png
Панир Тикка / Paneer Tikka,200 гр,Закуски,250 с,https://nambafood.kg/dish_image/73448.png
Малай Панир Тикка / Malai Paneer Tikka,200 гр,Закуски,290 с,https://nambafood.kg/dish_image/73452.png
Хара бара кебаб,"200 гр. Овощи, сухофрукты и пряности.",Закуски,240 с,https://nambafood.kg/dish_image/103725.png
Куриные палочки / Chicken Strips,150гр.,Закуски,205 с,https://nambafood.kg/dish_image/56480.png
Курица из Дакки / Dhaka Chicken,200 гр.,Закуски,205 с,https://nambafood.kg/dish_image/73445.png
Крылышки Баффалло / Buffalo Wings,150 гр.,Закуски,220 с,https://nambafood.kg/dish_image/56482.png
Рыбные палочки / Finger Fish,200 гр,Закуски,250 с,https://nambafood.kg/dish_image/56486.png
Куриные ножки,150 гр.,Закуски,225 с,https://nambafood.kg/dish_image/56879.png
Самоса / Samosa,200 гр.,Закуски,140 с,https://nambafood.kg/dish_image/57076.png
Картофель фри,100 гр.,Закуски,150 с,https://nambafood.kg/dish_image/74581.png
Свежий салат / Fresh Salad,"200 гр. Помидор, огурец, лук, лимон, оливковое масло.",Салаты,180 с,https://nambafood.kg/dish_image/56495.png
Салат с курицей и лапшой / Crispy Chicken with Noodles and salad,200 гр,Салаты,250 с,https://nambafood.kg/dish_image/73454.png
Цезарь салат / Caesar salad,"200гр. Курица, листья салата, огурцы, маслины, оливки, сыр пармезан, соус цезарь",Салаты,265 с,https://nambafood.kg/dish_image/56497.png
Итальянский салат / Italian Broccoli Salad,200 гр,Салаты,220 с,https://nambafood.kg/dish_image/73455.png
Хрустящий Бургер,150 гр.,Бургеры и сэндвичи,230 с,https://nambafood.kg/dish_image/56517.png
Бургер с курицей,150 гр.,Бургеры и сэндвичи,210 с,https://nambafood.kg/dish_image/56516.png
