Наименование,Описание,Категория,Цена,Фото
4 сыра 30 см,"30 см. Нежное тесто, фирменный соус, моцарелла, чеддер, дор блю, пармезан",Пицца 30 см,410 с,https://nambafood.kg/dish_image/139230.png
Дымная 30 см,"30 см. Нежное тесто, фирменный соус, копченная курочка, охотничьи колбаски, полуострый перчик и пармезан",Пицца 30 см,390 с,https://nambafood.kg/dish_image/139231.png
Пепперони 30 см,"30 см. Нежное тесто, фирменный соус, салями, оливки и пармезан",Пицца 30 см,380 с,https://nambafood.kg/dish_image/139232.png
Цезарь 30 см,"30 см. Нежное тесто, фирменный соус, хрустящие листья салата Айсберг, филе цыпленка, соус цезарь и пармезан",Пицца 30 см,390 с,https://nambafood.kg/dish_image/139233.png
Гавайская 30 см,"30 см. Нежное тесто, фирменный соус, ветчина, куриное филе, кусочки ананаса и моцарелла",Пицца 30 см,430 с,https://nambafood.kg/dish_image/139234.png
Маргарита 30 см,"30 см. Нежное тесто, фирменный соус, помидоры и пармезан",Пицца 30 см,310 с,https://nambafood.kg/dish_image/139235.png
С грибами и курицей 30 см,"30 см. Нежное тесто, фирменный соус, курица, грибы",Пицца 30 см,430 с,https://nambafood.kg/dish_image/139242.png
Диабло 30 см,"30 см. Тесто, фирменный соус, ветчина, помидоры, перец халапеньо",Пицца 30 см,470 с,https://nambafood.kg/dish_image/139237.png
Детская 30 см,30 см. Нежная пицца с белым соусоми сыром моцарелла,Пицца 30 см,350 с,https://nambafood.kg/dish_image/139238.png
Шашлычная 30 см,"30 см. Нежное тесто, фирменный соус, сочный кебаб, маринованный лук",Пицца 30 см,450 с,https://nambafood.kg/dish_image/139249.png
BBQ пицца 30 см,"30 см. Нежное тесто, фирменый соус, ветчина, салями, цыпленок под соусом барбекю",Пицца 30 см,420 с,https://nambafood.kg/dish_image/139239.png
Грибная 30 см,30 см. Пицца на белом соусе с белым грибом и шампиньонами,Пицца 30 см,340 с,https://nambafood.kg/dish_image/139240.png
С морепродуктами 30 см,30 см. Пицца с семгой и креветками под сырами моцарелла и пармезан,Пицца 30 см,680 с,https://nambafood.kg/dish_image/139241.png
4 сыра 40 см,"40 см. Нежное тесто, фирменный соус, моцарелла, чеддер, дор блю, пармезан",Пицца 40 см,510 с,https://nambafood.kg/dish_image/139243.png
Дымная 40 см,"40 см. Нежное тесто, фирменный соус, копченная курочка, охотничьи колбаски, полуострый перчик и пармезан",Пицца 40 см,630 с,https://nambafood.kg/dish_image/139244.png
Пепперони 40 см,"40 см. Нежное тесто, фирменный соус, салями, оливки и пармезан",Пицца 40 см,510 с,https://nambafood.kg/dish_image/139245.png
Цезарь 40 см,"40 см. Нежное тесто, фирменный соус, хрустящие листья салата Айсберг, филе цыпленка, соус цезарь и пармезан",Пицца 40 см,520 с,https://nambafood.kg/dish_image/139246.png
Гавайская 40 см,"40 см. Нежное тесто, фирменный соус, ветчина, куриное филе, кусочки ананаса и моцарелла",Пицца 40 см,580 с,https://nambafood.kg/dish_image/139247.png
Маргарита 40 см,"40 см. Нежное тесто, фирменный соус, помидоры и пармезан",Пицца 40 см,440 с,https://nambafood.kg/dish_image/139248.png
С грибами и курицей 40 см,"40 см. Нежное тесто, фирменный соус, курица, грибы",Пицца 40 см,530 с,https://nambafood.kg/dish_image/139251.png
Диабло 40 см,"40 см. Тесто, фирменный соус, ветчина, помидоры, перец халапеньо",Пицца 40 см,650 с,https://nambafood.kg/dish_image/139252.png
Детская 40 см,40 см. Нежная пицца с белым соусоми сыром моцарелла,Пицца 40 см,495 с,https://nambafood.kg/dish_image/139253.png
Шашлычная 40 см,"40 см. Нежное тесто, фирменный соус, сочный кебаб, маринованный лук",Пицца 40 см,650 с,https://nambafood.kg/dish_image/139250.png
BBQ пицца 40 см,"40 см. Нежное тесто, фирменый соус, ветчина, салями, цыпленок под соусом барбекю",Пицца 40 см,520 с,https://nambafood.kg/dish_image/139254.png
Грибная 40 см,40 см. Пицца на белом соусе с белым грибом и шампиньонами,Пицца 40 см,490 с,https://nambafood.kg/dish_image/139255.png
С морепродуктами 40 см,40 см. Пицца с семгой и креветками под сырами моцарелла и пармезан,Пицца 40 см,900 с,https://nambafood.kg/dish_image/139256.png
Филадельфия,,Суши и роллы,380 с,https://nambafood.kg/dish_image/138454.png
Филадельфия опаленная,,Суши и роллы,370 с,https://nambafood.kg/dish_image/138455.png
Филадельфия Кунсей,,Суши и роллы,360 с,https://nambafood.kg/dish_image/138456.png
Калифорния,,Суши и роллы,260 с,https://nambafood.kg/dish_image/138457.png
Калифорния Яке,,Суши и роллы,330 с,https://nambafood.kg/dish_image/138458.png
Калифорния с кунжутом,,Суши и роллы,220 с,https://nambafood.kg/dish_image/138459.png
Лава Эби,,Суши и роллы,320 с,https://nambafood.kg/dish_image/138460.png
Лава яке,,Суши и роллы,350 с,https://nambafood.kg/dish_image/138461.png
Канада,,Суши и роллы,410 с,https://nambafood.kg/dish_image/138462.png
Киото,,Суши и роллы,350 с,https://nambafood.kg/dish_image/138463.png
Ясай,,Суши и роллы,210 с,https://nambafood.kg/dish_image/138464.png
Чиз кунсей,,Суши и роллы,280 с,https://nambafood.kg/dish_image/138465.png
Мексика,,Суши и роллы,325 с,https://nambafood.kg/dish_image/138466.png
Унаги фурай,,Суши и роллы,410 с,https://nambafood.kg/dish_image/138467.png
Сяке фурай,,Суши и роллы,360 с,https://nambafood.kg/dish_image/138468.png
4 сыра,,Суши и роллы,310 с,https://nambafood.kg/dish_image/138469.png
Динамит,,Суши и роллы,320 с,https://nambafood.kg/dish_image/138470.png
Сяке,,Суши и роллы,100 с,https://nambafood.kg/dish_image/138471.png
Сяке кунсей,,Суши и роллы,100 с,https://nambafood.kg/dish_image/138472.png
Унаги,,Суши и роллы,120 с,https://nambafood.kg/dish_image/138473.png
Эби,,Суши и роллы,110 с,https://nambafood.kg/dish_image/138474.png
Обед якудзы с семгой,,Суши и роллы,360 с,https://nambafood.kg/dish_image/139257.png
Обед якудзы с крабом,,Суши и роллы,320 с,https://nambafood.kg/dish_image/139258.png
Обед якудзы с угрем,,Суши и роллы,470 с,https://nambafood.kg/dish_image/139259.png
Обед якудзы лава,,Суши и роллы,560 с,https://nambafood.kg/dish_image/139260.png
Сяке и Эби,,Гунканы,130 с,https://nambafood.kg/dish_image/138475.png
Кани и Унаги,,Гунканы,120 с,https://nambafood.kg/dish_image/138476.png
Тобико,,Гунканы,110 с,https://nambafood.kg/dish_image/138477.png
Сяке маки,,Маки,160 с,https://nambafood.kg/dish_image/138478.png
Унаги маки,,Маки,190 с,https://nambafood.kg/dish_image/138479.png
Эби маки,,Маки,150 с,https://nambafood.kg/dish_image/138480.png
Каппа маки,,Маки,130 с,https://nambafood.kg/dish_image/138481.png
Сет Самурай,"50 шт. Лава, Филадельфия, Калифорния яке, Мексика, Ясай, Унаги фурай, Сяке суши, Эби суши",Сеты,1860 с,https://nambafood.kg/dish_image/139264.png
Пол Самурая,"26 шт. Филадельфия, Лава, Калифорния яке, Сяке суши, Эби суши",Сеты,1050 с,https://nambafood.kg/dish_image/139266.png
Хот сет,"32 шт. Лава яке, 4 сыра, Сяке фурай, динамит",Сеты,1120 с,https://nambafood.kg/dish_image/139267.png
Вечеринка в Токио,"36 шт. Эби маки, Сяке маки, Унаги маки, Каппа маки, Сяке суши, Сяке кунсей суши, Эби суши, Унаги суши",Сеты,850 с,https://nambafood.kg/dish_image/139263.png
Сет Ямато,"32 шт. Канада, динамит, калифорния с кунжутом, каппа маки",Сеты,1010 с,https://nambafood.kg/dish_image/139265.png
Сет филадельфия,"Филадельфия, Фила опаленая, Филадельфия кунсей, Суши сяке и суши сяке кунсей.",Сеты,1350 с,https://nambafood.kg/dish_image/139261.png
Сет ярокоби,"Калифорния, Сяке маки, Сяке суши, Эби суши",Сеты,650 с,https://nambafood.kg/dish_image/139262.png
Чечевичный,Нежный крем-суп из чечевицы с добавлением сливок и долки лимона,Горячие блюда,200 с,https://nambafood.kg/dish_image/138482.png
Том ям,"Морепродукты, кокосовое молоко, помидоры черри",Горячие блюда,320 с,https://nambafood.kg/dish_image/138483.png
Грибной,"Шампиньоны, вешенки, сливки",Горячие блюда,310 с,https://nambafood.kg/dish_image/139285.png
Рамен с мясом,,Горячие блюда,380 с,https://nambafood.kg/dish_image/139286.png
Рамен с курицей,,Горячие блюда,340 с,https://nambafood.kg/dish_image/138485.png
Рамен кисло-острый,,Горячие блюда,370 с,https://nambafood.kg/dish_image/138486.png
Тайский острый,Острый салат со свежими овощами и жареным цыпленком,Салаты,290 с,https://nambafood.kg/dish_image/139270.png
Греческий,"Свежие листья салата с томатами черри и огурцами с добавлением сыра Фетакса и оливок, заправленные соусом на основе лимона",Салаты,250 с,https://nambafood.kg/dish_image/139269.png
Свежий,"Свежие томаты и хрустящие свежие огурцы, заправленные по желанию свежей домашней сметаной, растительным маслом и майонезом",Салаты,190 с,https://nambafood.kg/dish_image/138488.png
Цезарь,"Свежие листья салата с нежным куриным филе, сочным черри томатами, хрустящими домашними сухариками под соусом «Цезарь»‎‎ и сыром пармезан",Салаты,310 с,https://nambafood.kg/dish_image/139268.png
Картофель фри,,Гарниры,125 с,https://nambafood.kg/dish_image/138491.png
Дольки картофельные,,Гарниры,125 с,https://nambafood.kg/dish_image/138492.png
Картофель по-деревенски,,Гарниры,155 с,https://nambafood.kg/dish_image/138507.png
Гренки с чесноком,,Гарниры,100 с,https://nambafood.kg/dish_image/138506.png
Бургер с говядиной,Классический бургер с котлетой из телятины свежими овощами и соусом BBQ.,Бургеры,430 с,https://nambafood.kg/dish_image/138493.png
Бургер с курицей,"Бургер с нежной курочкой, салатом, сыром чеддер и сливочным соусом.",Бургеры,320 с,https://nambafood.kg/dish_image/138494.png
Бургер Жгучий,Острый бургер с говядиной и перцем халапенье под соусом BBQ на хрустящей булочке.,Бургеры,480 с,https://nambafood.kg/dish_image/138495.png
Кальцоне,"Особая закрытая пицца с помидорами, чесноком, ветчиной и сыром моцарелла",Бургеры,390 с,https://nambafood.kg/dish_image/138496.png
Баффало,Нежные крылышки в остром соусе,Куриные крылышки,275 с,https://nambafood.kg/dish_image/139207.png
Хрустящие,Нежные хрустящие крылышки во фритюре,Куриные крылышки,270 с,https://nambafood.kg/dish_image/139211.png
В глазури,Нежные крылья в глазури,Куриные крылышки,260 с,https://nambafood.kg/dish_image/139210.png
Говядина,,Шашлыки,370 с,https://nambafood.kg/dish_image/141379.png
Шашлык баранина,,Шашлыки,340 с,https://nambafood.kg/dish_image/141380.png
Coca-Cola 1 л,,Напитки,140 с,https://nambafood.kg/dish_image/139756.png
Fanta 1 л,,Напитки,140 с,https://nambafood.kg/dish_image/139757.png
Sprite 1 л,,Напитки,140 с,https://nambafood.kg/dish_image/139758.png
Bonaqua 1 л без газа,,Напитки,50 с,https://nambafood.kg/dish_image/139759.png
Bonaqua 1 л с газом,,Напитки,50 с,https://nambafood.kg/dish_image/139760.png
"Coca-Cola 0,25 л",,Напитки,100 с,https://nambafood.kg/dish_image/139761.png
"Borjomi 0,5 л",,Напитки,170 с,https://nambafood.kg/dish_image/139762.png
