Наименование,Описание,Категория,Цена,Фото
Овсяная каша с карамелизированным бананом и тостерным хлебом,300 гр.,Завтраки (с 09-00 до 12-00),129 с,https://nambafood.kg/dish_image/91061.png
Рисовая каша с апельсинами и тостерным хлебом,300 гр.,Завтраки (с 09-00 до 12-00),129 с,https://nambafood.kg/dish_image/91064.png
"Манная каша  с киви, тыквенными семечками и тостерным хлебом",300 гр.,Завтраки (с 09-00 до 12-00),129 с,https://nambafood.kg/dish_image/91056.png
Сырники со сметаной и вареньем,200 гр.,Завтраки (с 09-00 до 12-00),159 с,https://nambafood.kg/dish_image/90953.png
Сырники со сметаной,200 гр.,Завтраки (с 09-00 до 12-00),159 с,https://nambafood.kg/dish_image/90954.png
Блинчики со сметаной (медом или вареньем),3 шт.,Завтраки (с 09-00 до 12-00),149 с,https://nambafood.kg/dish_image/90922.png
Блинчики с творогом/джемом,3 шт.,Завтраки (с 09-00 до 12-00),169 с,https://nambafood.kg/dish_image/91052.png
Блинчики с мясом и сметаной,2 шт.,Завтраки (с 09-00 до 12-00),179 с,https://nambafood.kg/dish_image/90923.png
Яичница из трех яиц и микс салат с хрустящим хлебом,200 гр.,Завтраки (с 09-00 до 12-00),169 с,https://nambafood.kg/dish_image/91107.png
Скрембл и микс салат с хрустящим хлебом,200 гр.,Завтраки (с 09-00 до 12-00),169 с,https://nambafood.kg/dish_image/90941.png
"Омлет с сыром, говяжьей ветчиной, микс-салатом и хрустящим хлебом",200 гр.,Завтраки (с 09-00 до 12-00),179 с,https://nambafood.kg/dish_image/90942.png
"Американо 0,200 мл.",,Кофе,139 с,https://nambafood.kg/dish_image/95359.png
"Капучино 0,200 мл.",,Кофе,149 с,https://nambafood.kg/dish_image/95360.png
"Латте 0,200 мл.",,Кофе,169 с,https://nambafood.kg/dish_image/99431.png
"Раф кофе 0,200 мл.",,Кофе,239 с,https://nambafood.kg/dish_image/95361.png
"Какао 0,200 мл.",,Кофе,149 с,https://nambafood.kg/dish_image/95362.png
Фирменный завтрак «Positano»,"250 гр. Яйца Бенедикт со слабо соленым лососем, тост с творожным сыром, микс салат и сырный соус",Комплексные завтраки,279 с,https://nambafood.kg/dish_image/90964.png
Большой завтрак в английском стиле,"250 гр. обжаренные колбаски, яйцо, грибы, картофель, фасоль",Комплексные завтраки,279 с,https://nambafood.kg/dish_image/99432.png
Испанская пиперада,"250 гр. Обжаренная колбаса, болгарский перец, лук, красная фасоль, яични- ца-глазунья, тост из ржаного хлеба",Комплексные завтраки,269 с,https://nambafood.kg/dish_image/91212.png
Цезарь с курицей и перепелиными яйцами,250 гр.,Салаты,339 с,https://nambafood.kg/dish_image/90966.png
Цезарь с креветками и перепелиными яйцами,250 гр.,Салаты,389 с,https://nambafood.kg/dish_image/91238.png
Греческий салат,250 гр.,Салаты,359 с,https://nambafood.kg/dish_image/91053.png
Салат из листьев рукколы и тигровыми креветками,250 гр.,Салаты,389 с,https://nambafood.kg/dish_image/91066.png
Салат капрезе соусом песто,250 гр.,Салаты,339 с,https://nambafood.kg/dish_image/91055.png
Брускетты с лососем и авокадо,4 шт.,Закуски,299 с,https://nambafood.kg/dish_image/91234.png
Брускетты с помидорами и пармезаном,4 шт.,Закуски,239 с,https://nambafood.kg/dish_image/90925.png
Сырная тарелка,250 гр.,Закуски,650 с,https://nambafood.kg/dish_image/91235.png
Тартар из говядины с сыром пармезан,250 гр.,Тартары и карпаччо,349 с,https://nambafood.kg/dish_image/91083.png
Тартар из лосося с авокадо,250 гр.,Тартары и карпаччо,389 с,https://nambafood.kg/dish_image/91070.png
Карпаччо из говядины с сыром,250 гр.,Тартары и карпаччо,379 с,https://nambafood.kg/dish_image/91233.png
Том-ям с морепродуктами и рисом,250 гр.,Супы,349 с,https://nambafood.kg/dish_image/91218.png
Куриный суп с равиоли,250 гр.,Супы,279 с,https://nambafood.kg/dish_image/90939.png
Чечевичный суп,250 гр.,Супы,249 с,https://nambafood.kg/dish_image/91215.png
Овощной суп «Минестроне»‎‎,250 гр.,Супы,249 с,https://nambafood.kg/dish_image/91216.png
Грибной крем-суп,250 гр.,Супы,249 с,https://nambafood.kg/dish_image/91217.png
Рыбный суп «Zuppa Di Mare»,250 гр.,Супы,269 с,https://nambafood.kg/dish_image/91065.png
Тыквенный крем суп с сыром рикотто,250 гр.,Супы,279 с,https://nambafood.kg/dish_image/91074.png
Сливочный рамен с курицей,,Супы,269 с,https://nambafood.kg/dish_image/139085.png
"Рамен с курицей, грибами и сыром",,Супы,269 с,https://nambafood.kg/dish_image/139087.png
Спагетти Алио и Олио Пеперенчино,250 гр.,Паста и ризотто,329 с,https://nambafood.kg/dish_image/91232.png
Спагетти Болоньезе,250 гр.,Паста и ризотто,369 с,https://nambafood.kg/dish_image/91068.png
Фетучини с курицей и грибами в сливочном соусе,250 гр.,Паста и ризотто,349 с,https://nambafood.kg/dish_image/90962.png
"Фузилли с семгой, брокколи в томатно-сливочном соусе",250 гр.,Паста и ризотто,369 с,https://nambafood.kg/dish_image/90965.png
Ризотто с креветками и сыром моцарелла,250 гр.,Паста и ризотто,389 с,https://nambafood.kg/dish_image/91230.png
Куриные грудки в панировке с рисом и шпинатом,300 гр.,Горячие блюда из мяса,559 с,https://nambafood.kg/dish_image/90938.png
Стейк из Rib Eye с картофелем по-деревенски,350 гр.,Стейки,770 с,https://nambafood.kg/dish_image/91069.png
T-bone стейк с овощами гриль,350 гр.,Стейки,750 с,https://nambafood.kg/dish_image/90950.png
New York стейк с картофелем фри,350 гр.,Стейки,750 с,https://nambafood.kg/dish_image/90951.png
