Наименование,Описание,Категория,Цена,Фото
Цезарь с курицей,220 г,Салаты,259 с,https://nambafood.kg/dish_image/65609.png
Баклажаны фри,150 г. Кусочки очищенных баклажан в специальном соусе обжаренные во фритюре до хрустящей корочки.,Салаты,269 с,https://nambafood.kg/dish_image/65610.png
Греческий салат,220 г,Салаты,219 с,https://nambafood.kg/dish_image/65613.png
Суп лапша домашняя с курочкой и сухариками,,Супы,199 с,https://nambafood.kg/dish_image/65615.png
Мампар,,Супы,199 с,https://nambafood.kg/dish_image/65657.png
Суп чечевичный,,Супы,199 с,https://nambafood.kg/dish_image/65660.png
Рамен,,Супы,239 с,https://nambafood.kg/dish_image/126747.png
Босо лагман,400 г,Wok,259 с,https://nambafood.kg/dish_image/65663.png
Гуйро лагман,400 г,Wok,259 с,https://nambafood.kg/dish_image/65664.png
Мясо теленка на шпажках,180 г. Кусочки нежного жаренного бонфиле на шпажках.,Wok,359 с,https://nambafood.kg/dish_image/65670.png
Курица в кисло-сладком соусе,200 г,Wok,299 с,https://nambafood.kg/dish_image/65667.png
Курица чили кориандр,"250 г. Нежные кусочки курицы обжаренные в соусе чили кориандр, сервированные рисом.",Wok,299 с,https://nambafood.kg/dish_image/65679.png
Курица с соусом терияки,250 г. Подается с рисом.,Wok,299 с,https://nambafood.kg/dish_image/65674.png
Курица по-сычуаньски,250 г. Нежные кусочки курицы обжаренные в сычуаньском соусе с хрустящим китайским перцем и арахисом.,Wok,359 с,https://nambafood.kg/dish_image/65677.png
Казан кебаб из курицы,250 г,Wok,299 с,https://nambafood.kg/dish_image/65678.png
Казан кебаб из телятины,250 г. Сочная телятина обжаренная на быстром огне в Woke с луком и специями.,Wok,379 с,https://nambafood.kg/dish_image/65676.png
Говядина со стеклянной лапшой,230 г,Wok,399 с,https://nambafood.kg/dish_image/65675.png
Жареная телятина с картофелем фри,220 г,Wok,349 с,https://nambafood.kg/dish_image/65673.png
Цыпленок табака,300 г,Мангал,419 с,https://nambafood.kg/dish_image/65701.png
Тибон стейк,270 г,Мангал,619 с,https://nambafood.kg/dish_image/65703.png
Стейк из мраморной говядины,170 г,Мангал,569 с,https://nambafood.kg/dish_image/65702.png
Баранья мякоть,300 г,Турецкая кухня,399 с,https://nambafood.kg/dish_image/65682.png
Говяжья мякоть,300 г,Турецкая кухня,399 с,https://nambafood.kg/dish_image/65683.png
Адана кебаб,300 г,Турецкая кухня,379 с,https://nambafood.kg/dish_image/65684.png
Бейти кебаб,300 г,Турецкая кухня,399 с,https://nambafood.kg/dish_image/65688.png
Куриная грудка,300 г,Турецкая кухня,329 с,https://nambafood.kg/dish_image/65689.png
Гранд чизбургер,300 г,Фастфуд,259 с,https://nambafood.kg/dish_image/65712.png
Фирменный бургер,"450 г. Сочный бургер от Шеф повара с котлетой из 100% рубленого бон филе с нежным сыром, маринованным перцем, огурцами, свежими помидорами, жареным яйцом и соусом BBQ.",Фастфуд,379 с,https://nambafood.kg/dish_image/70710.png
Клаб сэндвич,300 г,Фастфуд,299 с,https://nambafood.kg/dish_image/65718.png
Чикен чизбургер,300 г,Фастфуд,239 с,https://nambafood.kg/dish_image/65711.png
Гранд гамбургер,300 г,Фастфуд,259 с,https://nambafood.kg/dish_image/65713.png
Пицца Маргарита 35 см,,Пицца,339 с,https://nambafood.kg/dish_image/65724.png
Пицца Мясная 35 см,,Пицца,419 с,https://nambafood.kg/dish_image/65725.png
Пицца Куриная 35 см,,Пицца,399 с,https://nambafood.kg/dish_image/65726.png
Пицца Пепперони 35 см,,Пицца,429 с,https://nambafood.kg/dish_image/65727.png
Пицца ProKazan Mix 35 см,,Пицца,559 с,https://nambafood.kg/dish_image/83850.png
Фудзи роллы,,Роллы,369 с,https://nambafood.kg/dish_image/126749.png
Калифорния ролл,,Роллы,369 с,https://nambafood.kg/dish_image/126750.png
Филадельфия ролл,,Роллы,399 с,https://nambafood.kg/dish_image/126751.png
Сет № 1,"Калифорния ролл, Филадельфия ролл, Фудзи ролл.",Роллы,969 с,https://nambafood.kg/dish_image/126754.png
Картофель фри,170 г,Гарниры,129 с,https://nambafood.kg/dish_image/65723.png
Овощи на гриле,,Гарниры,129 с,https://nambafood.kg/dish_image/65721.png
Рис,150 г,Гарниры,99 с,https://nambafood.kg/dish_image/65730.png
Жареный рис с яйцом,180 г,Гарниры,129 с,https://nambafood.kg/dish_image/65731.png
Токочи,1 шт,Гарниры,30 с,https://nambafood.kg/dish_image/65732.png
Coca cola 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/140776.png
Fanta 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/140777.png
Sprite 1 л,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/140778.png
Bonaqua с газом 1 л,,Прохладительные напитки,80 с,https://nambafood.kg/dish_image/140779.png
Bonaqua без газа 1 л,,Прохладительные напитки,80 с,https://nambafood.kg/dish_image/140780.png
Детские соки «Садачок»,,Прохладительные напитки,45 с,https://nambafood.kg/dish_image/70717.png
Сок Piko 1 л,,Прохладительные напитки,120 с,https://nambafood.kg/dish_image/70718.png
Fuse Tea 1 л,,Прохладительные напитки,120 с,https://nambafood.kg/dish_image/140781.png
Компот 1 л,,Прохладительные напитки,99 с,https://nambafood.kg/dish_image/140782.png
Медовый торт,,Десерты,199 с,https://nambafood.kg/dish_image/76495.png
Чизкейк,,Десерты,199 с,https://nambafood.kg/dish_image/76496.png
