Наименование,Описание,Категория,Цена,Фото
Ковбой стейк,,Стейки,735 с,https://nambafood.kg/dish_image/137415.png
Т-бон стейк,,Стейки,735 с,https://nambafood.kg/dish_image/137417.png
Сырный стейк,"Нежнейшие отбивные из бон-филе фаршированные пармезаном,чеддером и моцареллой. С гарниром из припущенных овощей",Стейки,555 с,https://nambafood.kg/dish_image/136272.png
Медальоны с овощами гриль,Подаются с гарниром из овощей на гриле и соусом,Стейки,555 с,https://nambafood.kg/dish_image/137563.png
Рибай стейк,Без гарнира,Стейки,755 с,https://nambafood.kg/dish_image/138029.png
Цыпленок на гриле,,Стейки,595 с,https://nambafood.kg/dish_image/137418.png
Живая форель по-домашнему (цена за 100 г.),"100 г. Подаётся целиком с картофелем шато, луком, лимоном и помидорами.",Стейки,115 с,https://nambafood.kg/dish_image/137601.png
Живая форель на мангале (цена за 100 г.),"100 г. С картофелем шато, маринованным лучком, помидором и лимоном",Стейки,115 с,https://nambafood.kg/dish_image/137602.png
Стейк из семги,"Нежнейшие отбивные из бон-филе фаршированные пармезаном,чеддером и моцареллой. С гарниром из припущенных овощей",Стейки,895 с,https://nambafood.kg/dish_image/137419.png
Сет из тигровых креветок,"0,5 кг",Стейки,1575 с,https://nambafood.kg/dish_image/137420.png
Форель,280 г,Шашлыки,325 с,https://nambafood.kg/dish_image/137422.png
Говядина бон-филе,,Шашлыки,325 с,https://nambafood.kg/dish_image/137603.png
Бараньи ребрышки,,Шашлыки,325 с,https://nambafood.kg/dish_image/137423.png
Баранина,,Шашлыки,315 с,https://nambafood.kg/dish_image/137424.png
Люля кебаб,,Шашлыки,255 с,https://nambafood.kg/dish_image/137425.png
Печень в «Рубашке»‎‎,,Шашлыки,255 с,https://nambafood.kg/dish_image/137426.png
Шампиньоны на мангале в сливочном соусе,,Шашлыки,255 с,https://nambafood.kg/dish_image/137427.png
Крылышки,,Шашлыки,245 с,https://nambafood.kg/dish_image/137428.png
Филе курицы,,Шашлыки,245 с,https://nambafood.kg/dish_image/137564.png
Окорочка,,Шашлыки,245 с,https://nambafood.kg/dish_image/137429.png
Овощи на гриле,,Шашлыки,155 с,https://nambafood.kg/dish_image/137430.png
Запеченный картофель,,Шашлыки,85 с,https://nambafood.kg/dish_image/137565.png
«River»‎‎ от шефа,"Креветка, семга, руккола, черри, шпинат, фирменная заправка",Салаты,385 с,https://nambafood.kg/dish_image/137567.png
Руккола с телятиной,"Бон-филе, руккола, черри, фетакса, олив.масло, крем бальзамический",Салаты,375 с,https://nambafood.kg/dish_image/137568.png
Цезарь с креветками,,Салаты,375 с,https://nambafood.kg/dish_image/137569.png
Цезарь с курицей,,Салаты,325 с,https://nambafood.kg/dish_image/137570.png
Баклажаны фри,"Баклажаны, болг.перец, кинза, соус «Свит чили»‎‎",Салаты,295 с,https://nambafood.kg/dish_image/137571.png
Острый язык,"Язык говяжий, помидоры, огурцы, кинза, чеснок, соевый соус, масло растительное",Салаты,295 с,https://nambafood.kg/dish_image/137572.png
Восточный,"Телятина, помидоры, огурцы, чеснок, соевая заправка",Салаты,295 с,https://nambafood.kg/dish_image/137560.png
Деревенский,"Куриная грудка, грибы вешенки, сыр сулугуни, кукуруза, яйцо, майонез",Салаты,255 с,https://nambafood.kg/dish_image/137558.png
Греческий,"Помидоры, огурцы, маслины, болгарский перец, микс.салат, фетакса, лимонная заправка",Салаты,255 с,https://nambafood.kg/dish_image/137550.png
Свежий,"Помидоры, огурцы, лук, лист салата",Салаты,215 с,https://nambafood.kg/dish_image/136227.png
