Наименование,Описание,Категория,Цена,Фото
Шаурма запечёная с говядиной,,Шаурма,170 с,https://nambafood.kg/dish_image/142583.png
Шаурма с говядиной,,Шаурма,160 с,https://nambafood.kg/dish_image/142584.png
Мини шаурма запеченая с говядиной,,Шаурма,140 с,https://nambafood.kg/dish_image/142585.png
Мини шаурма обычная с говядиной,,Шаурма,130 с,https://nambafood.kg/dish_image/142586.png
Шаурма ХL обычная говядиной,,Шаурма,195 с,https://nambafood.kg/dish_image/142587.png
Шаурма ХL запечённая говядиной,,Шаурма,195 с,https://nambafood.kg/dish_image/142588.png
Клаб сэндвич с курицей,,Бургеры и сэндвичи,80 с,https://nambafood.kg/dish_image/142589.png
Клаб сэндвич с говядиной,,Бургеры и сэндвичи,80 с,https://nambafood.kg/dish_image/142590.png
Мега клаб с говядиной,,Бургеры и сэндвичи,120 с,https://nambafood.kg/dish_image/142591.png
Биг клаб с курицей,,Бургеры и сэндвичи,120 с,https://nambafood.kg/dish_image/142592.png
Шаурдог,,Бургеры и сэндвичи,120 с,https://nambafood.kg/dish_image/142593.png
Гамбургер с говядиной,,Бургеры и сэндвичи,140 с,https://nambafood.kg/dish_image/142594.png
Бургер с говядиной,,Бургеры и сэндвичи,120 с,https://nambafood.kg/dish_image/142595.png
Бургер с курицей,,Бургеры и сэндвичи,120 с,https://nambafood.kg/dish_image/142596.png
Чизбургер с говядиной,,Бургеры и сэндвичи,140 с,https://nambafood.kg/dish_image/142597.png
Чизбургер с курицей,,Бургеры и сэндвичи,140 с,https://nambafood.kg/dish_image/142598.png
«Бигант»‎‎ с курицей,,Бургеры и сэндвичи,150 с,https://nambafood.kg/dish_image/142599.png
«Бигант»‎‎ с говядиной,,Бургеры и сэндвичи,150 с,https://nambafood.kg/dish_image/142600.png
Чизбигант с курицей,,Бургеры и сэндвичи,160 с,https://nambafood.kg/dish_image/142601.png
Чизбигант с говядиной,,Бургеры и сэндвичи,160 с,https://nambafood.kg/dish_image/142602.png
Хот-дог,,Бургеры и сэндвичи,80 с,https://nambafood.kg/dish_image/142603.png
Картофельные крокеты,,Гарниры,85 с,https://nambafood.kg/dish_image/142604.png
Картошка фри,,Гарниры,95 с,https://nambafood.kg/dish_image/142605.png
Картофель по-деревенски,,Гарниры,85 с,https://nambafood.kg/dish_image/142606.png
Куриные наггетсы,,Гарниры,100 с,https://nambafood.kg/dish_image/142607.png
Крылышки 4 шт.,,Гарниры,135 с,https://nambafood.kg/dish_image/142608.png
Крылышки 8 шт.,,Гарниры,250 с,https://nambafood.kg/dish_image/142609.png
Колбасная пицца 30 см,"Яйца, чесночный соус, пицца соус, колбаса, помидор, красный перец, сыр и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142610.png
Охотничья пицца 30 см,"Чесночный соус, соус пицца, колбаса охотничья, помидор, красный перец, сыр и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142611.png
Детская пицца 30 см,"Чесночный соус, помидор, сосиски, сыр, соус пицца и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142612.png
Пицца «Империя»‎‎ 30 см,"Чесночный соус, соус пицца, говядина, курица, колбаса, красный перец, помидор, сыр и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142613.png
Мясная пицца 30 см,"Чесночный соус, соус пицца, говядина, красный перец, помидор, сыр и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142615.png
Чили пицца 30 см,"Чесночный соус, пицца соус, говядина, острый перец, помидор, сыр и оливки",Пицца 28 см,350 с,https://nambafood.kg/dish_image/142616.png
Колбасная пицца 40 см,"Чесночный соус, колбаса, помидор, красный перец, сыр и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142617.png
Охотничья пицца 40 см,"Чесночный соус, соус пицца, колбаса охотничья, помидор, красный перец, сыр и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142618.png
Детская пицца 40 см,"Чесночный соус, помидор, сосиски, сыр, соус пицца и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142619.png
Пицца «Империя»‎‎ 40 см,"Чесночный соус, соус пицца, говядина, курица, колбаса, красный перец, помидор, сыр и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142620.png
Мясная пицца 40 см,"Чесночный соус, соус пицца, говядина, красный перец, помидор, сыр и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142622.png
Чили пицца 40 см,"Чесночный соус, соус пицца, говядина, острый перец, помидор, сыр и оливки",Пицца 38 см,450 с,https://nambafood.kg/dish_image/142623.png
Соус сырный,,Соусы,22 с,https://nambafood.kg/dish_image/142630.png
Соус чеснок,,Соусы,22 с,https://nambafood.kg/dish_image/142909.png
Coca-Cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/142865.png
Sprite 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/142866.png
Fanta 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/142867.png
"Coca-cola 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/142868.png
"Fanta 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/142869.png
"Sprite 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/142870.png
Fuse tea 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/142871.png
