Наименование,Описание,Категория,Цена,Фото
Шаурма с курицей,"Курица, майонез, специи, огурец и кабачки",Шаурма,170 с,https://nambafood.kg/dish_image/142072.png
Зингер шаурма,"Куриный зингер, майонез, специи и кетчуп",Шаурма,180 с,https://nambafood.kg/dish_image/142074.png
Вегетарианская шаурма,"Майонез, кетчуп, специи, фри, кабачки, огурец и зеленый перец",Шаурма,110 с,https://nambafood.kg/dish_image/142075.png
Куриная шаурма с сыром,"Курица, кабачки, огурцы, помидоры, чили соус и майонез",Шаурма,180 с,https://nambafood.kg/dish_image/142076.png
Анда Шами бургер,"Яйцо со специями, кетчуп, майонез, специи, огурцы и кабачки",Бургеры,140 с,https://nambafood.kg/dish_image/142068.png
Зингер бургер,"Курица в кляре, майонез, специи и кетчуп",Бургеры,170 с,https://nambafood.kg/dish_image/142066.png
Овощной бургер,"Майонез, кетчуп, специи, фри, кабачок, огурцы, зеленый пеппер",Бургеры,110 с,https://nambafood.kg/dish_image/142065.png
Длинный куриный бургер,"Куриная котлета, майонез, кетчуп и салат",Бургеры,150 с,https://nambafood.kg/dish_image/142067.png
Клаб сэндвич,"Яйцо, курица, майонез, специи, огурцы и кабачки",Сэндвичи,120 с,https://nambafood.kg/dish_image/142069.png
Куриный сэндвич,"Курица, майонез, специи, огурцы и кабачки",Сэндвичи,100 с,https://nambafood.kg/dish_image/142070.png
Овощной сэндвич,"Майонез, кетчуп, специи, фри, кабачок, огурец, кабачки и зеленый перец",Сэндвичи,80 с,https://nambafood.kg/dish_image/142071.png
Пицца «Чикен тикка»‎‎ маленькая,"Курица, сыр, специи, помидоры, шимла, оливки и лук",Пицца,500 с,https://nambafood.kg/dish_image/142053.png
Пицца «Чикен тикка»‎‎ большая,"Курица, сыр, специи, помидоры, шимла, оливки и лук",Пицца,600 с,https://nambafood.kg/dish_image/142054.png
Фирменная пицца «Sip and bite»‎‎ маленькая,"Курица, сыр, специи, помидоры, шимла, сладкая кукуруза, халапеньо и лук",Пицца,600 с,https://nambafood.kg/dish_image/142055.png
Фирменная пицца «Sip and bite»‎‎ большая,"Курица, сыр, специи, помидоры, шимла, сладкая кукуруза, халапеньо и лук",Пицца,700 с,https://nambafood.kg/dish_image/142056.png
Овощная пицца маленькая,"Сыр, специи, помидоры, шимла, халапеньо, лук, огурец и фри",Пицца,400 с,https://nambafood.kg/dish_image/142057.png
Овощная пицца большая,"Сыр, специи, халапеньо, лук, огурец и фри",Пицца,500 с,https://nambafood.kg/dish_image/142058.png
Куриная пицца BBQ маленькая,"Курица, сыр, специи, томаты, стручковый перец, оливки и соус барбекю",Пицца,500 с,https://nambafood.kg/dish_image/142059.png
Куриная пицца BBQ большая,"Курица, сыр, специи, томаты, шимла, оливки и соус барбекю",Пицца,600 с,https://nambafood.kg/dish_image/142060.png
Пицца «Hot and Spicy»‎‎ маленькая,"Курица, сыр, томаты, шимла, халапеньо и соус",Пицца,500 с,https://nambafood.kg/dish_image/142061.png
Пицца «Hot and Spicy»‎‎ большая,"Курица, сыр, томаты, шимла, халапеньо и соус",Пицца,600 с,https://nambafood.kg/dish_image/142062.png
Пицца «Чикен фахита»‎‎ маленькая,"Курица, сыр, шимла и помидоры",Пицца,500 с,https://nambafood.kg/dish_image/142063.png
Пицца «Чикен фахита»‎‎ большая,"Курица, сыр, шимла и помидоры",Пицца,600 с,https://nambafood.kg/dish_image/142064.png
Фри,,Гарниры,80 с,https://nambafood.kg/dish_image/143176.png
Наггетсы,,Гарниры,140 с,https://nambafood.kg/dish_image/143177.png
Куриные стрипсы 6 шт.,,Гарниры,200 с,https://nambafood.kg/dish_image/143178.png
"Sprite 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/143154.png
Coca-Cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/143149.png
Fanta 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/143150.png
Sprite 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/143151.png
"Coca-Cola 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/143152.png
"Fanta 0,5 л",,Напитки,60 с,https://nambafood.kg/dish_image/143153.png
