Наименование,Описание,Категория,Цена,Фото
Французский завтрак,"Свежий ароматный круассан в отличном сочетании с мягким сливочным маслом, натуральным душистым медом и ягодным джемом. Подается с миксом из хрустящих листьев салата и свежих овощей",Завтраки,270 с,https://nambafood.kg/dish_image/142010.png
Яичница-глазунья,"Идеальный завтрак , для тех, кто не любит изменять традициям – классическая глазунья из 2 яиц",Завтраки,130 с,https://nambafood.kg/dish_image/142128.png
Каша кукурузная,"Диетический «Медитеранский»‎‎ завтрак, который сохраняет в себе все витамины и минералы. Кукурузная каша на молоке обладает бесценной пользой, отличается приятным ароматом и необычным вкусом. Отлично подойдет для тех, кто придерживается правильного питания",Завтраки,180 с,https://nambafood.kg/dish_image/142005.png
Каша мультизлаковая,Вкусная и сытная каша из 5 видов злаков не оставит равнодушным ценителей полезного завтрака! Особую нежность и приятный аромат ей придает топленое молоко,Завтраки,180 с,https://nambafood.kg/dish_image/142004.png
Каша рисовая,"Традиционный вкус, знакомый каждому с самого раннего детства! Готовится на основе топленого молока с добавлением взбитых сливок",Завтраки,180 с,https://nambafood.kg/dish_image/142003.png
Овсяная каша,Овсяная каша на топленом молоке – неизменный атрибут будничного завтрака. Обеспечит вас зарядом бодрости на целый день!,Завтраки,180 с,https://nambafood.kg/dish_image/142006.png
Турецкий завтрак,"Турецкий завтрак — это особая турецкая традиция, восходящая к древним временам и сохранившаяся до сих пор. Состоит турецкий завтрак из множества ингредиентов: томатов, огурцов, маслин, сыра, яйца, фиников, кураги, свежей зелени и меда",Завтраки,450 с,https://nambafood.kg/dish_image/141996.png
Завтрак чемпиона,"Классический хрустящий круассан в сочетании с нежными яйцами-скрэмбл. Подаётся с авокадо, слабосоленой семгой, свежими томатами и огурцами",Завтраки,490 с,https://nambafood.kg/dish_image/141998.png
Полезный завтрак,"Смесь полезных злаков с добавлением творога, клубники, киви, апельсина и банана обеспечит заряд энергии на весь день!",Завтраки,450 с,https://nambafood.kg/dish_image/141999.png
Чиа пудинг,"Диетический пудинг из семян чиа в сочетании с киви, клубникой и миндальными хлопьями станет прекрасным решениям для тех, кто придерживается здорового питания",Завтраки,340 с,https://nambafood.kg/dish_image/142000.png
Ягодный смузи боул,"Настоящий витаминный завтрак на основе малины, чиа-пудинга,  гранолы, клубники и банана",Завтраки,490 с,https://nambafood.kg/dish_image/142001.png
Смузи боул на йогурте,"Питательный завтрак на основе нежного йогурта, с добавлением гранолы, клубники и банана",Завтраки,450 с,https://nambafood.kg/dish_image/142002.png
Английский завтрак,"Традиционный английский завтрак: глазунья из двух яиц, сочная говяжья сосиска в натуральной оболочке, поджаренные на гриле шампиньоны и помидор, зеленый горошек. Подается с хрустящими тостерным хлебом",Завтраки,380 с,https://nambafood.kg/dish_image/142129.png
Гранола,"Питательный завтрак из смеси полезных злаков, орехов и фруктов. Домашняя гранола – это идеальный вариант для тех, кто подустал от традиционного здорового питания",Завтраки,330 с,https://nambafood.kg/dish_image/142007.png
Омлет,"Нежный воздушный омлет для тех, кто предпочитает быструю утреннюю трапезу. Подается с миксом из свежих листьев салата и помидоров черри",Завтраки,190 с,https://nambafood.kg/dish_image/142126.png
Вафли,"Мягкие традиционные бельгийский вафли с любимой начинкой на выбор, возвращают в уютное и беззаботное детство",Завтраки,280 с,https://nambafood.kg/dish_image/142427.png
Панкейки под ванильным соусом,"Пышные и ароматные американские блинчики, Наши воздушные румяные панкейки, поданные под фирменным ванильным соусом,не оставят Вас равнодушным и подарят прекрасное настроение",Завтраки,250 с,https://nambafood.kg/dish_image/142008.png
Панкейки со смородиновым соусом,Традиционные американские блинчики: идеальное сочетание нежного теста из взбитых белков под фирменным смородиновым соусом с приятной кислинкой,Завтраки,250 с,https://nambafood.kg/dish_image/142009.png
Сырники с ягодным конфитюром,Классические сырники из нежнейшего домашнего творога – идеальный вариант для вкусного и полезного завтрака. Подаются вместе с ягодным конфитюром,Завтраки,330 с,https://nambafood.kg/dish_image/142426.png
Сырники с ванильной заливкой,Невероятно вкусные творожные сырники под ванильной заливкой подарят вам незабываемое буйство вкусов. Рецепт ванильного соуса остается секретом нашего бренд-шефа,Завтраки,250 с,https://nambafood.kg/dish_image/142425.png
Круассан классический,"Хрустящая слоеная булочка, приготовленная в собственной пекарне по старинному французскому рецепту, в традициях лучших кондитерских домов Парижа",Завтраки,120 с,https://nambafood.kg/dish_image/142424.png
Круассан с семгой,"Настоящее произведение искусства с добавлением нежнейшей семги домашнего приготовления «Гравлакс», рукколы, свежайших томатов и редиса, с заправкой из творожного сыра",Завтраки,460 с,https://nambafood.kg/dish_image/142122.png
Круассан с миндальным сиропом,"Свежеиспеченный круассан, слои которого пропитаны необыкновенно вкусным миндальным кремом собственного приготовления. Хрустящее и румяное снаружи, нежнейшее внутри",Завтраки,230 с,https://nambafood.kg/dish_image/142123.png
Менемен,"Традиционный турецкий завтрак: яичница-глазунья из двух яиц с соусом из томатов, свежим болгарским перцем и с добавлением восточных специй. Подается с микс-салатом и хрустящим тостерным хлебом",Завтраки,290 с,https://nambafood.kg/dish_image/142124.png
Хумус,"Насыщенный вегетарианский хумус: нежнейшее нутовое пюре с добавлением тахина, оливкового масла и приправленный специями. Отличный вариант для легкого перекуса, безупречная база для множества новых интересных блюд",Завтраки,340 с,https://nambafood.kg/dish_image/142127.png
Бенедикт с семгой и авокадо,"Изысканный легкий завтрак: брускетты со слабосоленой семгой и яйцом пашот, залитые нежным соусом «Голландез»‎‎, в сочетании с миксом из хрустящих листьев салата и подвяленных помидоров черри",Завтраки,550 с,https://nambafood.kg/dish_image/142130.png
Картофельные драники,"Традиционные картофельные драники под ароматным сырным соусом, подаются с миксом салата",Завтраки,310 с,https://nambafood.kg/dish_image/142131.png
Блины с творогом,"Нежные кружевные блинчики, начиненные домашним творогом. Подаются с ванильной заливкой",Завтраки,200 с,https://nambafood.kg/dish_image/142011.png
Блины со сметаной,"Вкус детства- идеальны с разнообразными начинками, выбранными на ваш вкус из нашего ассортимента",Завтраки,150 с,https://nambafood.kg/dish_image/142581.png
Блины с бананом и шоколадным кремом,Нежный воздушный блинчик с начинкой из ароматного темного шоколада и кусочками свежего банана - идеальный завтрак для сладкоежек,Завтраки,210 с,https://nambafood.kg/dish_image/142580.png
Блины с нутеллой,Тонкий блинчик с неповторимым вкусом лесных орехов и какао  – отличное решение побаловать себя с утра. Нежная кремовая текстура начинки придает блинчикам незабываемый вкус,Завтраки,280 с,https://nambafood.kg/dish_image/142428.png
Блины с моцареллой и ягодным конфитюром,Неповторимый вкус: классический блин в сочетании с нежнейшей моцареллой и ягодным конфитюром придется по вкусу каждому!,Завтраки,250 с,https://nambafood.kg/dish_image/142429.png
Блины с ягодами и заварным кремом,Сладкий мини-рулет с начинкой из свежих ягод под сливочным кремом,Завтраки,210 с,https://nambafood.kg/dish_image/142431.png
Блины с грецким орехом и медом,Мягкие блины с начинкой из душистого меда и грецких орехов – это однозначно вкусно!,Завтраки,210 с,https://nambafood.kg/dish_image/142430.png
Крок-мадам,"Классический французский сэндвич с запеченной говядиной и сыром, заправленный соусом «Бешамель»‎‎ и яйцом пашот. Подается с миксом из свежего салата и овощей",Завтраки,390 с,https://nambafood.kg/dish_image/142121.png
Монте-кристо,Копченая говядина на пропитанном соусом тосте в сочетании с сыром чеддер и абрикосовым джемом - отличная идея для позднего завтрака,Завтраки,350 с,https://nambafood.kg/dish_image/142132.png
Креветки динамит,"Тигровые креветки обжаренные во фритюре, выложенные на подушке из листьев айсберга – настоящий подарок с морских глубин. Подаются с тайским рисом и сладко-острым соусом",Закуски,940 с,https://nambafood.kg/dish_image/142423.png
Брускетта с семгой,"Свежеиспеченный французский багет в сочетании с нежным соусом из креметте и  приправкой на основе семги «Гравлакс», авокадо, рукколы, лайма, томатов, перца чили, красного лука, белого вина , эстрагона, кинзы, чеснока, бальзамического крема,оливкового и сливочного масла. Подается с микс салатом",Закуски,470 с,https://nambafood.kg/dish_image/142432.png
Брускетта с креветками,"Свежеиспеченный  французский багет в сочетании с приправкой на основе жареных креветок, рукколы, свежих томатов, авокадо, перец чили, лайма, красного лука,кинза, чеснока, оливкового и сливочного масла. Подается с микс-салатом и соусом «Гуакамоле»‎‎",Закуски,480 с,https://nambafood.kg/dish_image/142478.png
Брускетта с томатами,"Свежеиспеченный  французский багет в сочетании с приправкой на основе томатов конкасе, рукколы, свежего базилика, красного лука, чеснока, бальзамического крема, оливкового и сливочного масла. Подается с микс салатом",Закуски,270 с,https://nambafood.kg/dish_image/142479.png
Брускетта с ростбифом,"Свежеиспеченный  французский багет пропитанный нежным соусом на основе креметте в сочетании с ароматным запеченным ростбифом, томатами черри, рукколой и красным луком. Подается с микс-салатом",Закуски,400 с,https://nambafood.kg/dish_image/142480.png
Спринг-роллы с овощной начинкой,"Спринг роллы на основе овощной начинки с добавлением пекинской капусты, сельдерея, моркови. Подаются с микс салатом и соусом «Свит чили»‎‎",Закуски,310 с,https://nambafood.kg/dish_image/142481.png
Спринг-роллы с куриным филе,"Спринг роллы на основе овощной начинки и куриного филе с добавлением пекинской капусты, сельдерея, моркови. Подаются с микс салатом и соусом свит чили",Закуски,370 с,https://nambafood.kg/dish_image/142482.png
Сырная тарелка,"Ассорти из качественных, благородных сортов сыра. Сырная тарелка – маленькое черное платье кулинарии – «классика жанра». Она уместна на любом столе и способна превратить обычный ужин в праздничную трапезу",Закуски,1100 с,https://nambafood.kg/dish_image/142483.png
Панини с курицей,"Булочка панини, пропитанная соусом Тартар с прослойкой из куриного филе, айсберга, свежих томатов, огурца и горчицы. Подается с микс салатом",Сэндвичи,350 с,https://nambafood.kg/dish_image/142577.png
Панини с грибами,"Булочка панини, пропитанная соусом тартар с прослойкой из шампиньов, яйца, айсберга, свежих томатов, консервированной кукурузы и горчицы. Подается с микс салатом",Сэндвичи,320 с,https://nambafood.kg/dish_image/142578.png
Sky-бургер,"Фирменный бургер «Skyberry», состоящий из говяжей котлеты, положенной между половинками разрезанной свежеиспеченной булочки с добавлением жареного яйца, айсберга, свежих томатов, корнишонов, красного лука,  соуса барбекю, домашнего майонеза. Подается с картофелем фри, микс салатом, сырным соусом и кетчупом",Сэндвичи,570 с,https://nambafood.kg/dish_image/142433.png
Бургер классический,"Говяжья котлета в сочетании со свежеиспеченной булочкой с добавлением айсберга, свежих томатов, корнишонов, красного лука,  соуса барбекю и домашнего майонеза. Подается с картофелем фри, микс салатом, и кетчупом",Сэндвичи,480 с,https://nambafood.kg/dish_image/142434.png
Клаб сэндвич,"Хрустящий тостерный хлеб, пропитанный домашним майонезом и горчицей с добавлением куриного филе,свежих томатов,огурцов, листьев айсберга и сыра Чеддер. Подается с микс салатом",Сэндвичи,390 с,https://nambafood.kg/dish_image/142484.png
Тортилья с курицей,"Классическая мексиканская тортилья, начиненная приправкой из куриного филе, стручковой фасоли, кабачка, свежей паприки, чеснока, томатного соуса и халапеньо. Подается с соусом Сальса и микс салатом",Сэндвичи,470 с,https://nambafood.kg/dish_image/142485.png
Круассан с семгой,"Настоящее произведение искусства с добавлением нежнейшей семги домашнего приготовления «Гравлакс», рукколы, свежайших томатов и редиса, с заправкой из творожного сыра",Сэндвичи,490 с,https://nambafood.kg/dish_image/143027.png
Итальянский сэндвич пепперони,"Сэндвич, запеченный в дровяной печи с добавлением салями, белого соуса, свежих томатов, салата айсберг и колбасной моцареллы",Сэндвичи,330 с,https://nambafood.kg/dish_image/144258.png
Итальянский сэндвич с овощами,"Сэндвич, запеченный в дровяной печи с добавлением свежих томатов, белого соуса, огурцов, салата айсберг и  колбасной моцареллы",Сэндвичи,240 с,https://nambafood.kg/dish_image/144260.png
Итальянский сэндвич с говяжьим карбонатом,"Сэндвич, запеченный в дровяной печи с добавлением говяжьего карбоната, белого соуса, свежих томатов, салата айсберг и колбасной моцареллы",Сэндвичи,360 с,https://nambafood.kg/dish_image/144262.png
Итальянский сэндвич с семгой,"Сэндвич, запеченный в дровяной печи с добавлением говяжьего малосоленой семги, белого соуса, свежих томатов, салата айсберг и колбасной моцареллы",Сэндвичи,480 с,https://nambafood.kg/dish_image/144264.png
Итальянский сэндвич с курицей,"Сэндвич, запеченный в дровяной печи с добавлением курицы сувид, белого и красного соуса, свежих томатов, салата айсберг и колбасной моцареллы",Сэндвичи,330 с,https://nambafood.kg/dish_image/144266.png
Салат с хрустящими баклажанами,Пикантный салат из нежных хрустящих баклажанов в сочетании с розовыми томатами и свежей кинзой под сладко-острым соусом,Салаты,410 с,https://nambafood.kg/dish_image/142015.png
Карпаччо из томатов,"Традиционная итальянская закуска на основе томатных слайсов, заправленных пряным дрессингом. Подается со хрустящим французским багетом",Салаты,290 с,https://nambafood.kg/dish_image/142016.png
Салат с тунцом,"Полезный салат на основе консервированного тунца, свежих томатов, маслин, оливого и красного лука, заправленный оливковым маслом и ароматным апельсиновым дрессингом",Салаты,550 с,https://nambafood.kg/dish_image/142435.png
