Наименование,Описание,Категория,Цена,Фото
Чизбургер,"Соус Цезарь, курица обжаренная в сухарях, помидор, огурец, лист салата, сыр чеддер, фри",Горячие блюда,120 с,https://nambafood.kg/dish_image/133699.png
Бургер,"Соус Цезарь, курица обжаренная в сухарях, помидор, огурец, лист салата, фри",Горячие блюда,100 с,https://nambafood.kg/dish_image/133700.png
Сет «Берлин»,"Пицца Маргарита 30см, Пицца пеперони -30см, Пицца Цезарь-30см, Coca-Cola 1 л в подарок",Сеты,999 с,https://nambafood.kg/dish_image/133703.png
Пицца пепперони,"Томатный соус, сыр моцарелла, салями",Пицца 30 см,299 с,https://nambafood.kg/dish_image/133720.png
Пицца Болоньезе,"Томатный соус, помидор, моцарелла, лук репчатый, говядина",Пицца 30 см,329 с,https://nambafood.kg/dish_image/133721.png
Пицца Маргарита,"Томатный соус, помидор, сыр моцарелла",Пицца 30 см,279 с,https://nambafood.kg/dish_image/133722.png
Пицца куриная,"Томатный соус, сыр моцарелла, помидор, лук репчатый, курица",Пицца 30 см,299 с,https://nambafood.kg/dish_image/133723.png
Пицца Цезарь,"Соус Цезарь, сыр моцарелла, курица, листья салата",Пицца 30 см,319 с,https://nambafood.kg/dish_image/133724.png
Пицца Кальцоне,"Томатный соус, сыр моцарелла, лук репчатый, болгарский перец, помидор, курица",Пицца 30 см,329 с,https://nambafood.kg/dish_image/133725.png
Coca-Cola 1 л,,Напитки,65 с,https://nambafood.kg/dish_image/133735.png
Sprite 1 л,,Напитки,65 с,https://nambafood.kg/dish_image/133736.png
Fanta 1 л,,Напитки,65 с,https://nambafood.kg/dish_image/133737.png
Bonaqua 1 л. Без газа,,Напитки,40 с,https://nambafood.kg/dish_image/133742.png
