Наименование,Описание,Категория,Цена,Фото
Луковые кольца,,Мексиканская кухня,209 с,https://nambafood.kg/dish_image/141875.png
Кесадилья с фаршем,"Фарш говяжий, лук, перец, сыр, тортилья, соус Сальса и сметана",Мексиканская кухня,419 с,https://nambafood.kg/dish_image/141876.png
Кесадилья с курицей,,Мексиканская кухня,399 с,https://nambafood.kg/dish_image/141877.png
Острые куриные крылышки,,Мексиканская кухня,379 с,https://nambafood.kg/dish_image/141574.png
Острый куриные палочки,,Мексиканская кухня,259 с,https://nambafood.kg/dish_image/141575.png
Сырные палочки по-мексикански,,Мексиканская кухня,249 с,https://nambafood.kg/dish_image/141576.png
Гезлеме с сыром,,Выпечка,249 с,https://nambafood.kg/dish_image/141577.png
Хачапури по-мегрельски,,Выпечка,199 с,https://nambafood.kg/dish_image/141578.png
Хачапури по-аджарски,,Выпечка,209 с,https://nambafood.kg/dish_image/141579.png
Кутабы с зеленью и яйцом,,Выпечка,229 с,https://nambafood.kg/dish_image/141580.png
Свежий салат,,Салаты,209 с,https://nambafood.kg/dish_image/121501.png
Салат Витаминка,,Салаты,179 с,https://nambafood.kg/dish_image/121086.png
Цезарь с курицей,,Салаты,409 с,https://nambafood.kg/dish_image/121502.png
Греческий салат с сыром фета,,Салаты,369 с,https://nambafood.kg/dish_image/121095.png
Салат с индейкой,,Салаты,349 с,https://nambafood.kg/dish_image/121119.png
Мясо по-китайски,,Салаты,429 с,https://nambafood.kg/dish_image/121059.png
Салат «Season»,"Листья салата, пекинская капуста, огурцы, черри, яйцо, майонез, копчённая окорочка, картофель",Салаты,279 с,https://nambafood.kg/dish_image/121113.png
Салат из баклажанов в китайском стиле,,Салаты,329 с,https://nambafood.kg/dish_image/121500.png
Жареная фасоль с кунжутом,,Салаты,329 с,https://nambafood.kg/dish_image/121121.png
Салат Вулкан,,Салаты,369 с,https://nambafood.kg/dish_image/121106.png
Салат «Spring»‎‎,,Салаты,329 с,https://nambafood.kg/dish_image/141581.png
Салат с огурцами и арахисом,,Салаты,329 с,https://nambafood.kg/dish_image/141583.png
Фатуш салат,,Салаты,379 с,https://nambafood.kg/dish_image/141582.png
Луковые кольца,,Закуски,209 с,https://nambafood.kg/dish_image/121122.png
Мини чебуреки,,Закуски,289 с,https://nambafood.kg/dish_image/121130.png
Классический бургер с курицей,Подается с картошкой фри,Горячие закуски,429 с,https://nambafood.kg/dish_image/121191.png
Бургер с телятиной хоспер,Подается с картошкой фри,Горячие закуски,499 с,https://nambafood.kg/dish_image/121190.png
Ролл с курицей карри,Подается с картошкой фри,Горячие закуски,339 с,https://nambafood.kg/dish_image/121186.png
Куриные наггетсы,,Горячие закуски,259 с,https://nambafood.kg/dish_image/121182.png
Клаб сендвич с курицей,,Горячие закуски,299 с,https://nambafood.kg/dish_image/121184.png
Закуска по-русски,"Селедка, картофель, маринованные огурцы, лук.",Холодные закуски,349 с,https://nambafood.kg/dish_image/120598.png
Овощная тарелка,"Огурцы свежие, помидоры, перец болгарский, зелень, фетакса.",Холодные закуски,359 с,https://nambafood.kg/dish_image/121192.png
Мясная нарезка,,Холодные закуски,699 с,https://nambafood.kg/dish_image/121195.png
Сырная нарезка,"Сыр пармезан, сыр дор блю, сыр ореховый, моцарелла в рассоле, мед, виноград, грецкие орехи.",Холодные закуски,629 с,https://nambafood.kg/dish_image/121194.png
Суп-лапша по-домашнему,,Супы,199 с,https://nambafood.kg/dish_image/141585.png
Грибной крем-суп,,Супы,239 с,https://nambafood.kg/dish_image/141586.png
Чечевичный суп с мятой и томатами,,Супы,219 с,https://nambafood.kg/dish_image/121197.png
Рамен с курицей,,Супы,379 с,https://nambafood.kg/dish_image/121198.png
Рамен с говядиной,,Супы,389 с,https://nambafood.kg/dish_image/121199.png
Острый тосканский суп,,Супы,379 с,https://nambafood.kg/dish_image/121200.png
Солянка мясная сборная,,Супы,289 с,https://nambafood.kg/dish_image/121201.png
Том ям кай,,Супы,549 с,https://nambafood.kg/dish_image/121205.png
Пельмени «Грибная охота»,"Говядина, жареные шампиньоны.",Супы,289 с,https://nambafood.kg/dish_image/120613.png
Пельмени «Цыпа-цыпа»,"Курица, пармезан, базилик.",Супы,289 с,https://nambafood.kg/dish_image/120615.png
Пельмени «Жадина-говядина»,Пельмени из говядины,Супы,289 с,https://nambafood.kg/dish_image/120614.png
Мексика боул,"Рис, помидоры, лук красный, фасоль, куриная грудка, тортилья, айсберг, соус сальса, соус гарлик.",Боулы,399 с,https://nambafood.kg/dish_image/121207.png
Боул с лососем,"Рис, огурцы, помидоры черри, авокадо, копченый лосось, айсберг, кисло-сладкий соус.",Боулы,579 с,https://nambafood.kg/dish_image/121210.png
Боул азиатский с курицей,"Киноа, курица, фасоль стручковая, шампиньоны, листья салата, азиатский соус.",Боулы,389 с,https://nambafood.kg/dish_image/121211.png
Пицца «Мексика»,,Пиццы,489 с,https://nambafood.kg/dish_image/120630.png
Пицца «Цезарь»,"Курица, листья айсберга, моцарелла, пармезан, соус цезарь.",Пиццы,569 с,https://nambafood.kg/dish_image/121508.png
Пицца «Чикен ренч»,"Моцарелла, томатный соус, копченое утиное филе, чесночный соус ренч.",Пиццы,449 с,https://nambafood.kg/dish_image/121504.png
Куриная пицца,,Пиццы,429 с,https://nambafood.kg/dish_image/121503.png
Пицца болоньезе,"Фарш из говядины, томаты, моцарелла.",Пиццы,509 с,https://nambafood.kg/dish_image/121509.png
Пепперони,,Пиццы,439 с,https://nambafood.kg/dish_image/121220.png
Маргарита,,Пиццы,359 с,https://nambafood.kg/dish_image/121506.png
Пицца «4 сыра»,,Пиццы,439 с,https://nambafood.kg/dish_image/121507.png
Тарелка баффоло,"Крылышки, куриное филе, фри, куриные наггетсы, луковые кольца, картофель по-деревенски.",Сеты на компанию,1459 с,https://nambafood.kg/dish_image/120686.png
Пивной сет № 1,"Крылья чили, крылья bbq, чесночный хлеб, чечил, соус bbq, соус чили.",Сеты на компанию,759 с,https://nambafood.kg/dish_image/120687.png
Пивной сет № 2,"Крылышки чили, ржаные гвожди, луковые кольца, наггетсы, чечил, соус чили.",Сеты на компанию,879 с,https://nambafood.kg/dish_image/120689.png
Пивной сет № 3,"Крылышки bbq, колбаски, луковые кольца, чесночный хлеб, чечил, соус чили.",Сеты на компанию,869 с,https://nambafood.kg/dish_image/120688.png
Мясной микс на хоспере,"Рибай, медальоны, овощи на углях, картофель по-деревенски, цыпленок табака, говяжьи ребра, крылья bbq, бараньи ребрышки.",Сеты на компанию,4509 с,https://nambafood.kg/dish_image/120690.png
Рыбный микс на хоспере,"Форель, филе судака, стейк из лосося, овощи на углях, луковые кольца, картофель фри, начос, куриная грудка, крылья bbq.",Сеты на компанию,3109 с,https://nambafood.kg/dish_image/120691.png
Куриный сет «Цыпа-цыпа»,"Крылья, куриная грудка, окорочка, овощи на углях, грибы шампиньоны, картофель по-деревенски.",Сеты на компанию,3149 с,https://nambafood.kg/dish_image/120693.png
