Наименование,Описание,Категория,Цена,Фото
Классический Дуэт,Чечевичный суп + Цезарь салат в лаваше ½,Комбо обеды,390 с,https://nambafood.kg/dish_image/106393.png
Филадельфия Дуэт,Грибной суп + Чизстейк сэндвич ½,Комбо обеды,390 с,https://nambafood.kg/dish_image/106394.png
Куриный Дуэт,Куриный суп с лапшой + Куриный панини ½,Комбо обеды,390 с,https://nambafood.kg/dish_image/106396.png
Ванкувер Дуэт,Панини с сёмгой ½ + Шпинатный салат,Комбо обеды,390 с,https://nambafood.kg/dish_image/106397.png
Классический Комбо,Чечевичный суп + Цезарь салат ½ + Куриный панини ½,Комбо обеды,460 с,https://nambafood.kg/dish_image/106398.png
Филадельфия Комбо,Грибной суп + Шпинатный салат ½ + Чизстейк сэндвич ½,Комбо обеды,460 с,https://nambafood.kg/dish_image/106399.png
Вегетарианский Комбо,Чечевичный суп + Греческий салат ½ + Вегетарианский панини ½,Комбо обеды,460 с,https://nambafood.kg/dish_image/106400.png
Американо стандартный,250 мл.,Горячие напитки,140 с,https://nambafood.kg/dish_image/91787.png
Американо большой,250 мл.,Горячие напитки,160 с,https://nambafood.kg/dish_image/91788.png
Капучино стандартный,200 мл.,Горячие напитки,180 с,https://nambafood.kg/dish_image/91789.png
Капучино большой,320 мл.,Горячие напитки,200 с,https://nambafood.kg/dish_image/91790.png
Латте стандартный,250 мл.,Горячие напитки,180 с,https://nambafood.kg/dish_image/91791.png
Латте большой,350 мл.,Горячие напитки,200 с,https://nambafood.kg/dish_image/91792.png
Флэт Вайт стандартный,250 мл.,Горячие напитки,210 с,https://nambafood.kg/dish_image/91793.png
Флэт Вайт большой,350 мл.,Горячие напитки,270 с,https://nambafood.kg/dish_image/91794.png
Брюд кофе стандартный,250 мл.,Горячие напитки,140 с,https://nambafood.kg/dish_image/91795.png
Брюд кофе большой,350 мл.,Горячие напитки,160 с,https://nambafood.kg/dish_image/91796.png
Какао стандартный,250 мл.,Горячие напитки,180 с,https://nambafood.kg/dish_image/91797.png
Какао большой,350 мл.,Горячие напитки,200 с,https://nambafood.kg/dish_image/91798.png
Черный чай,,Горячие напитки,70 с,https://nambafood.kg/dish_image/115992.png
Зеленый чай,,Горячие напитки,70 с,https://nambafood.kg/dish_image/115993.png
Фруктовый чай,,Горячие напитки,70 с,https://nambafood.kg/dish_image/115995.png
Классический Фраппе стандартный,"250 мл. Кофе, лед, сиропы вот что нужно в жаркую погоду",Холодные напитки,240 с,https://nambafood.kg/dish_image/28874.png
Классический Фраппе большой,350 мл.,Холодные напитки,300 с,https://nambafood.kg/dish_image/28875.png
Ананасовый смузи,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/105630.png
Бананово-клубничный смузи,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/105631.png
Ягодный микс смузи,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/105632.png
Клубничный смузи,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/105633.png
Шейк Шоколад,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/68554.png
Шейк Карамель,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/68555.png
Шейк Клубника,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/68557.png
Шейк Банановый,350 мл.,Холодные напитки,240 с,https://nambafood.kg/dish_image/68558.png
Холодный черный чай - большой,,Холодные напитки,150 с,https://nambafood.kg/dish_image/128495.png
Холодный черный чай - стандарт,,Холодные напитки,130 с,https://nambafood.kg/dish_image/128497.png
Холодный зеленый чай - большой,,Холодные напитки,150 с,https://nambafood.kg/dish_image/128499.png
Холодный зеленый чай - стандарт,,Холодные напитки,130 с,https://nambafood.kg/dish_image/128501.png
