Наименование,Описание,Категория,Цена,Фото
Фруктовый салат с шариком мороженого,,Детское меню,299 с,https://nambafood.kg/dish_image/123852.png
Капитанский суп,Куриный суп с фрикадельками,Детское меню,199 с,https://nambafood.kg/dish_image/123853.png
Сокровища пиратов,Куриные котлетки с пюре,Детское меню,259 с,https://nambafood.kg/dish_image/123860.png
Морские бабочки,Паста с сырным соусом,Детское меню,259 с,https://nambafood.kg/dish_image/123855.png
Обед капитана,Куриное филе с гречотто,Детское меню,299 с,https://nambafood.kg/dish_image/123859.png
Морские ёжики,"Спагетти, томатный соус, мясные фрикадельки",Детское меню,249 с,https://nambafood.kg/dish_image/123854.png
Золотая рыбка,Филе судака с рисом и кукурузой,Детское меню,339 с,https://nambafood.kg/dish_image/123861.png
Сосиски в скафандре,Сосиски в тесте,Детское меню,259 с,https://nambafood.kg/dish_image/123856.png
Подводные наггетсы,Куриные наггетсы,Детское меню,249 с,https://nambafood.kg/dish_image/123858.png
Морской плот,Сырные палочки,Детское меню,249 с,https://nambafood.kg/dish_image/123857.png
Вареники с вишней,,Пельмени и вареники,199 с,https://nambafood.kg/dish_image/123863.png
Вареники с картошкой,,Пельмени и вареники,199 с,https://nambafood.kg/dish_image/123864.png
Пельмени с говядиной,,Пельмени и вареники,239 с,https://nambafood.kg/dish_image/123865.png
Пельмени «Цыпа-цыпа»,,Пельмени и вареники,259 с,https://nambafood.kg/dish_image/123866.png
Миндаль,,Дополнения к сладким завтракам,50 с,https://nambafood.kg/dish_image/123889.png
Грецкий орех,,Дополнения к сладким завтракам,70 с,https://nambafood.kg/dish_image/123890.png
Мед,,Дополнения к сладким завтракам,50 с,https://nambafood.kg/dish_image/123892.png
Варенье,,Дополнения к сладким завтракам,50 с,https://nambafood.kg/dish_image/123893.png
Боул с курицей и киноа,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,419 с,https://nambafood.kg/dish_image/123914.png
Боул с курицей и рисом,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,419 с,https://nambafood.kg/dish_image/123915.png
Боул с креветками и киноа,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,529 с,https://nambafood.kg/dish_image/123918.png
Боул с креветками и рисом,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,529 с,https://nambafood.kg/dish_image/123919.png
Боул с лососем и киноа,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,499 с,https://nambafood.kg/dish_image/123920.png
Боул с лососем и рисом,Традиционное блюдо гавайской кухни на основе рыбы и крупы,Боулы,499 с,https://nambafood.kg/dish_image/123921.png
Азиатский боул с курицей,"Киноа, куриное филе, фасоль стручковая, грибы, шпинат, заправленные азиатским соусом",Боулы,369 с,https://nambafood.kg/dish_image/134314.png
Боул с хумусом,"Сыр тофу, брокколи, стручковая фасоль, помидоры черри, кукуруза, хумус, оливковое масло, соус гранатовый",Боулы,359 с,https://nambafood.kg/dish_image/134315.png
Греческий салат,,Салаты,359 с,https://nambafood.kg/dish_image/134316.png
Салат с креветками и авокадо,"Огурец, шпинат, томаты черри, заправленный кисло-сладким соусом",Салаты,519 с,https://nambafood.kg/dish_image/123922.png
Микс салата,"Микс салата с жареной курочкой, с йогуртовой заправкой, огурцом, томатами конкассе и специей Сумак",Салаты,369 с,https://nambafood.kg/dish_image/123936.png
Салат с гранатовой заправкой,"Шпинат, щавель, творожный сыр, запеченая свекла, киноа и гранатовый соус",Салаты,399 с,https://nambafood.kg/dish_image/123929.png
Салат из свежих овощей,С лимонной заправкой и домашней брынзой,Салаты,349 с,https://nambafood.kg/dish_image/123933.png
Салат из баклажан в китайском стиле,"Хрустящие кусочки баклажан с помидорами черри, заправленные фирменным соусом",Салаты,369 с,https://nambafood.kg/dish_image/123923.png
Цезарь с курицей,И чесночным багетом,Салаты,419 с,https://nambafood.kg/dish_image/123926.png
Цезарь с креветками,И чесночным багетом,Салаты,539 с,https://nambafood.kg/dish_image/123927.png
Салат с соусом BBQ,"Листья салата, айсберг, кукуруза, фасоль, куриное филе, авокадо, томаты канкассе, луковые кольца, заправленные соусом BBQ",Салаты,429 с,https://nambafood.kg/dish_image/123932.png
Салат нисуаз,"Микс листьев салата с тунцом и печеным картофелем, помидорами черри, каперсами, оливками, яйцом, заправленный апельсиновым соусом",Салаты,379 с,https://nambafood.kg/dish_image/123928.png
Салат из черной фунчезы,С говядиной и овощами,Салаты,379 с,https://nambafood.kg/dish_image/144533.png
Салат с говядиной и грибами,"Говядина, грибы шампиньоны, руккола, помидоры, черри, брокколи, оливки, маслины и зеленая заправка",Салаты,399 с,https://nambafood.kg/dish_image/144544.png
Фо Бо,Въетнамский суп с крахмальной лапшой и телятиной,Супы,359 с,https://nambafood.kg/dish_image/144532.png
Рамен с кимчи,,Супы,349 с,https://nambafood.kg/dish_image/123939.png
