Наименование,Описание,Категория,Цена,Фото
Омлет,,Завтраки,169 с,https://nambafood.kg/dish_image/138289.png
Глазунья,130 г,Завтраки,169 с,https://nambafood.kg/dish_image/120174.png
Скрембл,130 г,Завтраки,169 с,https://nambafood.kg/dish_image/120175.png
Шакшука с томатами,250 г,Завтраки,209 с,https://nambafood.kg/dish_image/120181.png
Крок мадам сендвич,150 г,Завтраки,289 с,https://nambafood.kg/dish_image/120180.png
Каша овсяная,300 г,Детское меню,149 с,https://nambafood.kg/dish_image/120182.png
Каша рисовая,300 г,Детское меню,149 с,https://nambafood.kg/dish_image/120183.png
Каша гречневая,300 г,Детское меню,149 с,https://nambafood.kg/dish_image/120184.png
Каша манная,300 г,Детское меню,149 с,https://nambafood.kg/dish_image/120185.png
Сырники со сметаной 3 шт.,,Детское меню,199 с,https://nambafood.kg/dish_image/120312.png
Оливьешка,220 г,Детское меню,159 с,https://nambafood.kg/dish_image/120189.png
Салат «Витаминка»,200 г,Детское меню,129 с,https://nambafood.kg/dish_image/120190.png
Фруктовый салатик,250 г,Детское меню,269 с,https://nambafood.kg/dish_image/120191.png
Лапшичка,250 г. Суп с фрикадельками.,Детское меню,139 с,https://nambafood.kg/dish_image/120192.png
Суп с фрикадельками,350 г,Детское меню,159 с,https://nambafood.kg/dish_image/120193.png
Спагетти с мясными шариками,250 г,Детское меню,329 с,https://nambafood.kg/dish_image/120194.png
Бантики с курицей,250 г,Детское меню,279 с,https://nambafood.kg/dish_image/120195.png
Мышонок,280 г. Куриные котлетки с пюрешкой.,Детское меню,209 с,https://nambafood.kg/dish_image/120198.png
Сова-Букля,280 г. Котлеты из говядины с пюре.,Детское меню,259 с,https://nambafood.kg/dish_image/120199.png
Куриные наггетсы с фри,200 г,Детское меню,239 с,https://nambafood.kg/dish_image/120200.png
Сырные палочки,180 г,Детское меню,259 с,https://nambafood.kg/dish_image/120201.png
Детские сосиски на шпажках с фри,250 г,Детское меню,259 с,https://nambafood.kg/dish_image/120202.png
Куриные мини шашлычки с фри,200 г,Детское меню,329 с,https://nambafood.kg/dish_image/120203.png
Блинчики со сметаной 3 шт.,,Блинчики (до 17:00),139 с,https://nambafood.kg/dish_image/120186.png
Блинчики с джемом 3 шт.,,Блинчики (до 17:00),139 с,https://nambafood.kg/dish_image/120187.png
Пицца «Куриная» 30 см,,Пиццы,479 с,https://nambafood.kg/dish_image/120394.png
Пицца «Фокачча» 30 см,Итальянская пшеничная лепешка с соусом песто и пармезаном,Пиццы,269 с,https://nambafood.kg/dish_image/120395.png
Пицца «Четыре Сыра» 30 см,"Моцарелла, пармезан, дор блю, сливочный сыр",Пиццы,499 с,https://nambafood.kg/dish_image/120396.png
Пицца «Маргарита» 30 см,,Пиццы,399 с,https://nambafood.kg/dish_image/120400.png
Пицца «Цезарь» 30 см,"Курица, листья айсберга, моцарелла, пармезан, соус цезарь",Пиццы,549 с,https://nambafood.kg/dish_image/120402.png
Пицца «Детская с сосисками» 30 см,,Пиццы,429 с,https://nambafood.kg/dish_image/120403.png
Пицца «Курица с брокколи» 30 см,,Пиццы,599 с,https://nambafood.kg/dish_image/120404.png
Пицца «Пепперони» 30 см,,Пиццы,449 с,https://nambafood.kg/dish_image/120204.png
Пицца «Болоньезе» 30 см,"Фарш из говядины, томаты, моцарелла",Пиццы,509 с,https://nambafood.kg/dish_image/120205.png
Пицца «Мексика» 30 см,"Фарш из говядины, кукуруза, острый перчик халапеньо, моцарелла, томаты, базилик",Пиццы,569 с,https://nambafood.kg/dish_image/120206.png
Пицца «Трюфель» 30 см,"Оливковое масло, белые трюфели, сливки, чеснок, трюфельное масло, сыр моцарелла",Пиццы,479 с,https://nambafood.kg/dish_image/120207.png
Пицца «Неаполитано» 30 см,"Соус томатный, сыр моцарелла, брокколи, грибы, колбаски копченые",Пиццы,479 с,https://nambafood.kg/dish_image/120209.png
Пицца «Кебаб-пицца» 30 см,С ягненком,Пиццы,599 с,https://nambafood.kg/dish_image/120210.png
Салат «Витаминка»,250 г,Салаты,189 с,https://nambafood.kg/dish_image/120211.png
Свежий овощной салат,250 г,Салаты,209 с,https://nambafood.kg/dish_image/120212.png
Оливье с курицей,330 г,Салаты,249 с,https://nambafood.kg/dish_image/120214.png
Теплый салат с куриной печенью,220 г,Салаты,269 с,https://nambafood.kg/dish_image/120215.png
Цезарь с курицей,280 г,Салаты,389 с,https://nambafood.kg/dish_image/120224.png
Тофу с грибами,350 г. В соусе терияки,Салаты,349 с,https://nambafood.kg/dish_image/120217.png
Баклажаны в китайском стиле,320 г,Салаты,349 с,https://nambafood.kg/dish_image/120218.png
Гнездо кукушки,300 г,Салаты,299 с,https://nambafood.kg/dish_image/120219.png
Салат с цыпленком,220 г. С рукколой и грибами в соусе терияки.,Салаты,329 с,https://nambafood.kg/dish_image/120220.png
Греческий салат с сыром фета,280 г,Салаты,309 с,https://nambafood.kg/dish_image/120222.png
Деревенский салат,"320 г. Куриная грудка, огурцы, сыр тильзитский, маринованные опята, яйцо.",Салаты,269 с,https://nambafood.kg/dish_image/120223.png
Азиатский салат,"300 г. Говядина, болгарский перец, опята, огурцы соленые, лук, соевый соус.",Салаты,359 с,https://nambafood.kg/dish_image/120221.png
Салат с хрустящей курицей,260 г,Салаты,309 с,https://nambafood.kg/dish_image/120226.png
Овощное плато,"350 г. Свежие овощи, сыр фета, зелень.",Закуски,329 с,https://nambafood.kg/dish_image/120227.png
Сырное плато,"260 г. Пармезан, дор блю, ореховый сыр, мед, орехи.",Закуски,599 с,https://nambafood.kg/dish_image/120228.png
Мясное плато,"350 г. Чучук, салями, копченая утка, копчена конина, куриное филе.",Закуски,629 с,https://nambafood.kg/dish_image/120229.png
Фруктовое плато,1500 г. Нарезка фруктов по сезону.,Закуски,769 с,https://nambafood.kg/dish_image/120230.png
Соленья,600 г,Закуски,389 с,https://nambafood.kg/dish_image/120231.png
Русская закуска,480 г,Закуски,329 с,https://nambafood.kg/dish_image/120232.png
Кесадилья с курицей,400 г,Горячие закуски,359 с,https://nambafood.kg/dish_image/120238.png
Куриные крылышки BBQ,350 г,Горячие закуски,379 с,https://nambafood.kg/dish_image/120239.png
Хот дог,230 г,Fast food,289 с,https://nambafood.kg/dish_image/120240.png
Сендвич с курицей,250 г,Fast food,239 с,https://nambafood.kg/dish_image/120241.png
Сендвич с грибами и сыром,250 г,Fast food,209 с,https://nambafood.kg/dish_image/120242.png
Сендвич с индейкой,250 г,Fast food,279 с,https://nambafood.kg/dish_image/120243.png
Сендвич с копченой уткой,250 г,Fast food,259 с,https://nambafood.kg/dish_image/120244.png
Панини с тунцом,230 г,Fast food,259 с,https://nambafood.kg/dish_image/120245.png
Панини с салями,230 г,Fast food,229 с,https://nambafood.kg/dish_image/120246.png
Панини с лососем,230 г,Fast food,319 с,https://nambafood.kg/dish_image/120247.png
Суп-лапша,,Супы,169 с,https://nambafood.kg/dish_image/120261.png
Чечевичный суп,,Супы,179 с,https://nambafood.kg/dish_image/120262.png
Острый суп с курицей,,Супы,249 с,https://nambafood.kg/dish_image/120263.png
Солянка мясная,,Супы,279 с,https://nambafood.kg/dish_image/120264.png
Рамен с тофу,,Супы,289 с,https://nambafood.kg/dish_image/121458.png
Рамен с курицей,,Супы,319 с,https://nambafood.kg/dish_image/120314.png
Рамен с говядиной,,Супы,389 с,https://nambafood.kg/dish_image/127035.png
Грибной крем-суп,,Супы,239 с,https://nambafood.kg/dish_image/120267.png
Карбонара с курицей,380 г,Паста,379 с,https://nambafood.kg/dish_image/120250.png
Спагетти болоньезе,380 г,Паста,409 с,https://nambafood.kg/dish_image/120252.png
Соба с курицей,380 г,Паста,339 с,https://nambafood.kg/dish_image/120253.png
Феттучини альфредо,"380 г. Куриное филе, грибы, сливочный соус, сыром пармезан.",Паста,389 с,https://nambafood.kg/dish_image/120254.png
Панне арабьята,"300 г. Паста пенне, базилик, петрушка, помидоры, сыр пармезан, перец чили, лук, чеснок, оливковое масло.",Паста,299 с,https://nambafood.kg/dish_image/120255.png
Феттучини с грибами и брокколи,380 г,Паста,429 с,https://nambafood.kg/dish_image/120257.png
Феттучини с семгой,380 г,Паста,449 с,https://nambafood.kg/dish_image/120258.png
Фрикасе из курицы,380 г,Горячие блюда,349 с,https://nambafood.kg/dish_image/120268.png
Курица в тайском соусе с рисом,380 г,Горячие блюда,359 с,https://nambafood.kg/dish_image/120269.png
