Наименование,Описание,Категория,Цена,Фото
Шашлычки куриные,,Детское меню,219 с,https://nambafood.kg/dish_image/145470.png
Суп лапша,,Детское меню,199 с,https://nambafood.kg/dish_image/145471.png
Шашлычки из форели,,Детское меню,239 с,https://nambafood.kg/dish_image/145472.png
Куриные котлетки с пюре,,Детское меню,209 с,https://nambafood.kg/dish_image/145475.png
Фетучини из форели,,Детское меню,279 с,https://nambafood.kg/dish_image/145473.png
Сырные палочки,,Детское меню,259 с,https://nambafood.kg/dish_image/145474.png
Куриные наггетсы с фри,,Детское меню,299 с,https://nambafood.kg/dish_image/145476.png
Мини бургер с курицей,,Детское меню,269 с,https://nambafood.kg/dish_image/145477.png
Мини с говядиной,,Детское меню,279 с,https://nambafood.kg/dish_image/145478.png
Поке боул с креветками,"Креветки, огурцы, помидоры черри, эдамаме и рис",Боулы,499 с,https://nambafood.kg/dish_image/145479.png
Боул с рисовый крокетами и форель,"Рисовые крокеты, форель, авокадо, огурцы, помидоры черри соус чили- манго",Боулы,629 с,https://nambafood.kg/dish_image/145480.png
Веган боул,"Помидоры черри, красная капуста, эдамаме, авокадо, соево-имбирный соус",Боулы,399 с,https://nambafood.kg/dish_image/145481.png
Поке боул с лососем,"Лосось, рис, эдамаме, авокадо, красная капуста, помидоры черри и мусс васаби",Боулы,489 с,https://nambafood.kg/dish_image/145482.png
Цезарь с курицей,"Листья салата, чесночные крутоны с жареной куриной грудкой, помидорами черри, с сыром пармезан, заправленный соусом цезарь.",Салаты,449 с,https://nambafood.kg/dish_image/145810.png
Цезарь с креветками,"Листья салата, чесночные крутоны, с жареными креветками, помидорами черри, с сыром пармезан, заправленный соусом цезарь.",Салаты,569 с,https://nambafood.kg/dish_image/145809.png
Салат с креветками,"Айсберг, руколла, креветки, помидоры черри заправленные бальзамическим соусом с сыром Пармезан и кедровыми орехами.",Салаты,729 с,https://nambafood.kg/dish_image/64850.png
Мисато салат,"Кальмары, креветки, авокадо, апельсин, помидоры черри, заправляется японским соусом на основе тобико.",Салаты,579 с,https://nambafood.kg/dish_image/64842.png
Салат с авокадо и креветками,,Салаты,659 с,https://nambafood.kg/dish_image/104683.png
Греческий салат,"Листья салата со свежими овощами, брынзой, заправленные фирменным соусом.",Салаты,489 с,https://nambafood.kg/dish_image/64911.png
Салат с креветками на шпажках,"В кисло-сладком соусе, с проросшими бобами, морковью, редисом и помидорами черри.",Салаты,599 с,https://nambafood.kg/dish_image/64917.png
Легкий салат с форелью,,Салаты,429 с,https://nambafood.kg/dish_image/145483.png
Салат из баклажанов в китайском стиле,"Хрустящие кусочки баклажана с помидорами черри, заправленные фирменным соусом.",Салаты,449 с,https://nambafood.kg/dish_image/64912.png
Салат «Кайсен»,"C атлантическим кальмаром, малосольным лососем и жареными креветками, с миксом из листьев салата, заправленный соусом Кайсен (на основе соевого соуса и рисового уксуса)",Салаты,629 с,https://nambafood.kg/dish_image/64913.png
Салат с огурцом и арахисом,Заправленный кисло-сладким соусом и кунжутным маслом.,Салаты,359 с,https://nambafood.kg/dish_image/64843.png
Тофу микс-салат,"Салат с тофу, микс-салатом и киноа.",Салаты,419 с,https://nambafood.kg/dish_image/64846.png
Шашлычки из тофу с овощами,,Салаты,429 с,https://nambafood.kg/dish_image/64847.png
Салат с говядиной в пикантном соусе,"Со стручковой фасолью, помидорами черри, редисом и куриным яйцом.",Салаты,529 с,https://nambafood.kg/dish_image/64915.png
Чука салат,,Салаты,399 с,https://nambafood.kg/dish_image/145813.png
Татаки с тунцом,"Опаленный тунец, клубника, яблоко, пюре манго, соево-имбирный соус",Холодные  закуски,559 с,https://nambafood.kg/dish_image/145484.png
Татаки с лососем,"Опаленный лосось, клубника, яблоко, пюре манго, соева-имбирный соус",Холодные  закуски,699 с,https://nambafood.kg/dish_image/145485.png
Карпаччо из лосося,,Холодные  закуски,929 с,https://nambafood.kg/dish_image/145486.png
