Наименование,Описание,Категория,Цена,Фото
Сет «Дели»,"62 шт. Комбо ролл, Филадельфия с огурцом, Кани ролл, Калифорния лайт (запечённый), Торо маки, Кенчо темпура, Чиз каппа, Кани спайс.",Сеты,1550 с,https://nambafood.kg/dish_image/128414.png
Сет «Каприз»,"40 шт. Бархат, Цезарь ролл, Комбо маки, Лосось темпура, Авокадо ролл.",Сеты,1100 с,https://nambafood.kg/dish_image/138511.png
Сет «Лава»,"34 шт. Рафаэлло, Сакура (запечённый) Сливочный тунец, Вулкан.",Сеты,1199 с,https://nambafood.kg/dish_image/138512.png
Сет «Магнат»,"50 шт. Унаги маки, Филадельфия с огурцом, Калифа сид, Сакура (запечённый) Тори темпура, ролл с угрем.",Сеты,1399 с,https://nambafood.kg/dish_image/128418.png
Сет «Милан»,"40 шт. Кентаки, Чиз пирамида, Фила лайт, Лосось темпура, Каппа ролл.",Сеты,1100 с,https://nambafood.kg/dish_image/128419.png
Сет «Дракон»,"70 шт. Гинза (запечённый), Кани ролл, Филадельфия с огурцом, Бонито, Цезарь ролл, Унаги маки, Кенчо темпура,  Спайси туна, Каппа ролл.",Сеты,1800 с,https://nambafood.kg/dish_image/128415.png
Сет От Шеф-Повара,"48 шт. Американо рору, Цезарь ролл, Филадельфия с огурцом, Кани ролл, Чеддер татаки, Сяке ролл.",Сеты,1350 с,https://nambafood.kg/dish_image/128420.png
Сет «Радуга»,"50 шт. Торо маки, Филадельфия с огурцом, Киото маки, Дайме (запечённый), Кенчо темпура, Каппа ролл.",Сеты,1300 с,https://nambafood.kg/dish_image/128421.png
Сет «Рио»,"62 шт. Филадельфия с огурцом, Америка, Чиз пирамида, Калифорния лайт (запечённый), Унаги маки, Лосось Темпура, Каппа ролл, Чиз каппа.",Сеты,1650 с,https://nambafood.kg/dish_image/128422.png
Сет «Сафари»,"50 шт. Чеддер татаки, Фила лайт, Сакура (запечённый), Калифа сид, Тори темпура, Чиз каппа.",Сеты,1250 с,https://nambafood.kg/dish_image/128424.png
Сет «Токио»,"52 шт. Американо рору, Спайси чиз, Кенчо, Унаги Маки, Калифорния, Роял Филадельфия.",Сеты,1550 с,https://nambafood.kg/dish_image/128425.png
Сет «Триада»,"36 шт. Гинза, Калифорния лайт, Сакура, Дайме.",Сеты,1050 с,https://nambafood.kg/dish_image/128426.png
Сет «Фаворит»,"62 шт. Гинза (запечённый) , Филадельфия с огурцом, Кани ролл, Бури маки , Рио, Кенчо темпура, Каппа ролл, Чизу ролл.",Сеты,1600 с,https://nambafood.kg/dish_image/128427.png
