Наименование,Описание,Категория,Цена,Фото
Брискет говядина 200 гр.,"Натуральное резное мясо горячего копчения 200 гр., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,390 с,https://nambafood.kg/dish_image/122193.png
Брискет говядина 500 гр.,"Натуральное резное мясо горячего копчения 500 гр., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,975 с,https://nambafood.kg/dish_image/122195.png
Брискет говядина 1 кг.,"Натуральное резное мясо горячего копчения 1 кг., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,1950 с,https://nambafood.kg/dish_image/122197.png
Брискет баранина 200 гр.,"Натуральное резное мясо горячего копчения 200 гр., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,390 с,https://nambafood.kg/dish_image/122194.png
Брискет баранина 500 гр.,"Натуральное резное мясо горячего копчения 500 гр., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,975 с,https://nambafood.kg/dish_image/122196.png
Брискет баранина 1 кг.,"Натуральное резное мясо горячего копчения 1 кг., яйцо, лук, солёные огурцы, халопенью, соус",Фирменные блюда,1950 с,https://nambafood.kg/dish_image/122198.png
Шаурма с рванным мясом,"Натуральное резное мясо горячего копчения, фри, лук, солёные огурцы, халопенью, соус",Фирменные блюда,235 с,https://nambafood.kg/dish_image/120397.png
Сет BBQ,"Брискет говядина 300 г, Брискет баранина 300 г, Половинка курицы, гарниры + соусы + хлеб.",Фирменные блюда,1500 с,https://nambafood.kg/dish_image/120405.png
Брискет бургер,"Натуральное резное мясо горячего копчения, лук, солёные огурцы, соус",Фирменные блюда,215 с,https://nambafood.kg/dish_image/120390.png
Брискет бургер XL,"Натуральное резное мясо горячего копчения, лук, солёные огурцы, соус",Фирменные блюда,305 с,https://nambafood.kg/dish_image/120391.png
Сендвич с рванным мясом,"Натуральное резное мясо горячего копчения, лук, солёные огурцы, халопенью, соус",Фирменные блюда,205 с,https://nambafood.kg/dish_image/120392.png
Сендвич с рваным мясом двойная порция,"Натуральное резное мясо горячего копчения, лук, солёные огурцы, халопенью, соус",Фирменные блюда,285 с,https://nambafood.kg/dish_image/120393.png
Форель (цена за 1 кг. принимают только по предзаказу за 24 часа),"Картофель фри, огурцы солёные, лук, халопенью, соус барбекю, гренки",Фирменные блюда,800 с,https://nambafood.kg/dish_image/120399.png
Картофель фри,,Гарниры,80 с,https://nambafood.kg/dish_image/120408.png
Картофельные дольки,,Гарниры,70 с,https://nambafood.kg/dish_image/120409.png
Луковые кольца,,Гарниры,90 с,https://nambafood.kg/dish_image/120410.png
Рис,,Гарниры,50 с,https://nambafood.kg/dish_image/120411.png
Coca cola 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/120414.png
"Coca cola 0,250 л",Стекло,Напитки,60 с,https://nambafood.kg/dish_image/120415.png
Fuse tea 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/120417.png
"Fuse tea 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/120416.png
"Чалап 0,2 л",,Напитки,40 с,https://nambafood.kg/dish_image/120418.png
"Coca-Cola 0,5 л.",,Напитки,55 с,https://nambafood.kg/dish_image/133417.png
