Наименование,Описание,Категория,Цена,Фото
Английский завтрак,,Завтраки,205 с,https://nambafood.kg/dish_image/104335.png
Манная каша с ягодами,"Манная каша, подается с ягодами по сезону",Завтраки,120 с,https://nambafood.kg/dish_image/134146.png
Французский сендвич,,Завтраки,285 с,https://nambafood.kg/dish_image/104347.png
Мюсли с орехами и медом,,Завтраки,245 с,https://nambafood.kg/dish_image/104992.png
Панкейки с карамельным сиропом,,Завтраки,215 с,https://nambafood.kg/dish_image/142084.png
Рыбная тарелка,"250 гр. Семга копченая, эсколар, форель слабосоленая, романская заправка, зелень, лимон",Холодные\Горячие закуски,745 с,https://nambafood.kg/dish_image/104980.png
Сырная тарелка,"300 гр. Гауда, камамбер, дорблю, брынза из козьего молока, чеддер, мед, грецкие орехи",Холодные\Горячие закуски,615 с,https://nambafood.kg/dish_image/104985.png
Кавказская закуска,"300 гр. Сочные помидоры, огурцы, болгарский перец, домашняя брынза, кинза, зеленый лук",Холодные\Горячие закуски,425 с,https://nambafood.kg/dish_image/104972.png
Пивная тарелка,"880 гр. Ржаные гренки с чесноком, куриные крылышки на гриле, луковые кольца в кляре, чечел жареный, чипсы, колбаски барбекю",Холодные\Горячие закуски,955 с,https://nambafood.kg/dish_image/104361.png
Клаб сендвич,"250 гр. Обжаренные тосты, куриная грудка на гриле, огурцы, помидоры, майонез, горчица, лист салата, яйцо, картофель фри",Холодные\Горячие закуски,285 с,https://nambafood.kg/dish_image/104369.png
Ассорти по-ливански,"250 гр. Хумус, мутабал, чизроллы, самбусик, фалафель, лаваш",Холодные\Горячие закуски,355 с,https://nambafood.kg/dish_image/104366.png
Мясная тарелка,"300 гр. Язык говяжий, карбонат говяжий копченный, ростбиф запеченный, запеченные куриные рулетики, соус ортега",Холодные\Горячие закуски,585 с,https://nambafood.kg/dish_image/104978.png
Куриные крылышки чили,300 гр. Куриные крылышки в остро-пряном соусе с добавлением перца чили и чеснока,Холодные\Горячие закуски,365 с,https://nambafood.kg/dish_image/104975.png
Брускетта с шампиньонами и сыром + ростбиф и шпинат,3 шт.,Холодные\Горячие закуски,395 с,https://nambafood.kg/dish_image/104355.png
Сет по-ливански «Расафор»‎‎,"350 гр. Куриная печень в гранатовом соусе, телятина в гранатовом соусе",Холодные\Горячие закуски,445 с,https://nambafood.kg/dish_image/142328.png
Русская закуска,"Сельдь, картофель кантри, маринованные огурцы, грибочки, лимон, зелень",Холодные\Горячие закуски,855 с,https://nambafood.kg/dish_image/142321.png
Самбурсеки 4 шт.,"хрустящие, румяные арабские пирожки с мясной начинкой",Холодные\Горячие закуски,195 с,https://nambafood.kg/dish_image/142326.png
Темпура сет,"800 г. Креветки, куриные крылышки, филе куриное в панировке, филе судака в панировке, картофель фри, кетчуп",Холодные\Горячие закуски,955 с,https://nambafood.kg/dish_image/142329.png
Хумус,"Пюре из гороха нут с кунжутным маслом и лимонным соком, подается с лавашом",Холодные\Горячие закуски,225 с,https://nambafood.kg/dish_image/142330.png
Мутабал,"Пюре из баклажанов на гриле, кунжутное масло, лимонный сок, лаваш",Холодные\Горячие закуски,225 с,https://nambafood.kg/dish_image/142336.png
Цезарь с курицей,"250 гр. Слайсы куриной грудки обжаренные на гриле, листья салата, помидоры черри, соус цезарь от шефа",Салаты,395 с,https://nambafood.kg/dish_image/104354.png
Цезарь с креветками,"250 гр. Креветки обжаренные на гриле, листья салата, помидоры черри, соус от шефа",Салаты,425 с,https://nambafood.kg/dish_image/100336.png
Креветки на гриле с цукини,"200 гр. Креветки на гриле в рулете из кабачков, свежие овощи, бальзамический соус",Салаты,425 с,https://nambafood.kg/dish_image/104973.png
Салат New York,"250 гр. Микс салата, шампиньоны, бон филе в хоспере, яичный омлет, пармезан, соус New york, помидоры черри",Салаты,365 с,https://nambafood.kg/dish_image/104983.png
Салат из форели с сырными шариками,"250 гр. Микс салата, малосольная форель, груша, сырные сливочные шарики, фисташки, соус дресинг",Салаты,595 с,https://nambafood.kg/dish_image/104982.png
Свежий салат,"200 гр. Помидоры, огурцы, болгарский перец, зелень, оливковое масло",Салаты,195 с,https://nambafood.kg/dish_image/100329.png
Салат с креветками и киви в сладком соусе,"200 гр. Микс салата, креветки, сыр фетакса, сладкий соус, сыр пармезан, бальзамический крем",Салаты,465 с,https://nambafood.kg/dish_image/104981.png
Греческий салат,"250 гр. Помидоры, огурцы, болгарский перец, брынза из козьего молока, маслины, прованский соус",Салаты,265 с,https://nambafood.kg/dish_image/104350.png
Фатуш Ливанский салат,"250 гр. Помидоры, болгарский перец, огурцы, петрушка, мята, чипсы из лаваша",Салаты,205 с,https://nambafood.kg/dish_image/104363.png
Табуле ливанский салат,"250 г Помидоры, лук, булгур, петрушка, лимонный сок",Салаты,195 с,https://nambafood.kg/dish_image/142324.png
Острый салат с огурцами и телятиной,"200 гр. Огурцы, помидоры, телятина на гриле, зелень, соевый соус",Салаты,295 с,https://nambafood.kg/dish_image/142320.png
Салат «The Address»,Салат из овощей гриль и ростбифа с соусом тартар,Салаты,395 с,https://nambafood.kg/dish_image/142322.png
Салат теплый со шпинатом,"Рубленная телятина обжаренная на гриле, микс салата, шпинат, перец болгарский, огурцы, соевый соус",Салаты,335 с,https://nambafood.kg/dish_image/142325.png
Крем-суп грибной,"350 гр. Шампиньоны, сливки, сыр плавленный, хрустящие крутоны",Супы,265 с,https://nambafood.kg/dish_image/104969.png
Суп Харира,350 гр. Арабский суп с говядиной нутом и чечевицей,Супы,265 с,https://nambafood.kg/dish_image/104987.png
Чечевичный суп,"350 гр. Чечевица, сливки, лайм, мята, чеснок, хрустящие крутоны",Супы,225 с,https://nambafood.kg/dish_image/104988.png
Крем-суп со шпинатом,"350 гр. Шпинат, лук порей, сливки, шампиньоны, хрустящие крутоны",Супы,265 с,https://nambafood.kg/dish_image/104336.png
Том Ям острый,"350 гр. Традиционный тайский суп, креветки, вешенки, помидоры черри, устричный соус, лемонграсс",Супы,345 с,https://nambafood.kg/dish_image/104356.png
Медальоны из телятины,"Бонфиле, обжаренное в хоспере, подается с картофелем кантри и соусе демиглас",Основные блюда,525 с,https://nambafood.kg/dish_image/142335.png
Креветки со шпинатом,"250 гр. Обжаренные креветки, шпинат, имбирь, розмарин, зелень, устричный соус, масло кунжутное",Основные блюда,525 с,https://nambafood.kg/dish_image/142333.png
Белая рыба с ризотто,"300 гр. Филе судака обжаренное на гриле, подается с ризотто и белым соусом",Основные блюда,465 с,https://nambafood.kg/dish_image/142331.png
Филе миньон с грибным гротеном,"350 гр. Бонфиле теленка обжаренное в хоспере, подается на подушке из грибного гратена с австралийским пюре",Основные блюда,645 с,https://nambafood.kg/dish_image/104986.png
Куриная грудка в сливочно-грибном соусе,"350 гр. Куриная грудка на гриле, шампиньоны, сыр, сливки, подается с запеченным картофелем",Основные блюда,345 с,https://nambafood.kg/dish_image/104368.png
"Эксклюзивный премиум бургер ""Чикаго"" от шефа",,Основные блюда,395 с,https://nambafood.kg/dish_image/104967.png
Каре ягненка,"Ребрышки ягненка в соусе сальса, с овощами гриль и микс салатом",Основные блюда,995 с,https://nambafood.kg/dish_image/142332.png
Стейк из конфиде с овощами соте и микс салатом,,Основные блюда,995 с,https://nambafood.kg/dish_image/143402.png
Карбонара,"350 гр. Спагетти, говяжий карбонат, сыр пармезан, сливки",Паста,325 с,https://nambafood.kg/dish_image/100351.png
Болоньезе,"320 гр. Говяжий фарш, сочные томаты, лук, чеснок, базилик",Паста,325 с,https://nambafood.kg/dish_image/104345.png
Пенне Арабьята,"350 гр. Паста пенне, перчик чили, оливковое масло, чеснок, пармезан",Паста,265 с,https://nambafood.kg/dish_image/104979.png
Феттучини с курицей и грибами,"350 гр. Паста феттучини, куриная грудка, шампиньоны, сыр пармезан",Паста,385 с,https://nambafood.kg/dish_image/104342.png
Четыре сыра,"400 гр. моцарелла, сыр чеддер, голандский, тильзитский, пицца соус",Пицца,395 с,https://nambafood.kg/dish_image/100345.png
Дьябло,"400 гр. острый перец, два вида колбасы, сыр моцарелла, пицца соус",Пицца,395 с,https://nambafood.kg/dish_image/104971.png
Пепперони,"400 гр. халяльная колбаса пепперони, сыр моцарелла, пицца соус",Пицца,375 с,https://nambafood.kg/dish_image/104357.png
Гавайская,"400 гр. Куринная грудка, ананас, кукуруза, болгарский перец, сыр моцарелла, пицца соус",Пицца,355 с,https://nambafood.kg/dish_image/104968.png
Маргарита,"400 гр. Помидоры, сыр моцарелла, пицца соус",Пицца,315 с,https://nambafood.kg/dish_image/100347.png
