Наименование,Описание,Категория,Цена,Фото
Свежий салат,"300 г. Традиционный свежий салат из свежих огурцов, помидоров, лука, листьев салата и зеленого лука с зеленым перцем. Заправлен маслом.",Салаты,200 с,https://nambafood.kg/dish_image/97907.png
Цезарь с креветками,"Листья салата, крутоны, сыр пармезан, креветки. / Lettuce, croutons, parmesan cheese, shrimps.",Салаты,380 с,https://nambafood.kg/dish_image/97911.png
Греческий салат,"250 г. Огурцы, помидоры, листья салата, оливки сыр фета, оливковое масло.",Салаты,250 с,https://nambafood.kg/dish_image/97900.png
Цезарь с курицей,"250 г. Листья салата, крутоны, сыр пармезан, куриное филе.",Салаты,300 с,https://nambafood.kg/dish_image/97893.png
Салат луковый,"Лук, зелень",Салаты,50 с,https://nambafood.kg/dish_image/143632.png
Томатный крем-суп,350 гр.,Супы,200 с,https://nambafood.kg/dish_image/145422.png
Кисло-острый куриный суп,300 г,Супы,220 с,https://nambafood.kg/dish_image/97916.png
Вегетарианский манчао,350 г,Супы,200 с,https://nambafood.kg/dish_image/144812.png
Тайский кисло острый суп с креветками,,Супы,350 с,https://nambafood.kg/dish_image/97927.png
Рыба на гриле,400 г,Барбекю,650 с,https://nambafood.kg/dish_image/88023.png
Курица на гриле,,Барбекю,700 с,https://nambafood.kg/dish_image/133525.png
Стейк Рибай,350 г,Барбекю,700 с,https://nambafood.kg/dish_image/139168.png
Стейк T-Bone,300 г,Барбекю,700 с,https://nambafood.kg/dish_image/88016.png
Стейк из семги,350 гр.,Барбекю,700 с,https://nambafood.kg/dish_image/88022.png
Пенне ала арабиата,"350 г. Пенне под соусом Арабиата с маслинами, перчиком чили и сыром Пармезан.",Паста,240 с,https://nambafood.kg/dish_image/97931.png
Классическая паста с сыром,Пенне с сыром пармезан,Паста,370 с,https://nambafood.kg/dish_image/144699.png
Паста с белым соусом,"350 г. Паста со сливочным соусом, зеленью и сыром Пармезан.",Паста,240 с,https://nambafood.kg/dish_image/97933.png
Фетучини от шеф-повара,Фетучини в сливочном соусе с курицей и грибами,Паста,390 с,https://nambafood.kg/dish_image/144700.png
Самоса,"4 шт. Индийские пирожки с начинкой из картофеля, зеленого горошка, хорошо пожаренные, подаются с мятным соусом.",Индийские закуски,200 с,https://nambafood.kg/dish_image/144813.png
Вегетарианские котлеты,"3 шт. Овощное пюре со специями, обжаренное во фритюре. / Mix vegetables boiled and mashed with Indian spices deep fried in oil.",Индийские закуски,220 с,https://nambafood.kg/dish_image/145449.png
Куриные наггетсы,300 гр. Курица в кляре со специями,Индийские закуски,350 с,https://nambafood.kg/dish_image/87947.png
Ассорти «Пакора»‎‎,"Картофель, лук, цветная капуста, кусочки индийского сыра в гороховой муке, хорошо пожаренные, подаются с мятным соусом. / Fried round slices of potato, cauliower, eggplant, onion and cottage cheese coated with gram our served with sauce.",Индийские закуски,220 с,https://nambafood.kg/dish_image/145450.png
Картофель фри,150 гр.,Индийские закуски,180 с,https://nambafood.kg/dish_image/88149.png
Масала с арахисом,"Обжаренный арахис, помидоры, лимонный сок, лук, кинза",Индийский Чаат,150 с,https://nambafood.kg/dish_image/98647.png
