Наименование,Описание,Категория,Цена,Фото
Сырники с ягодным джемом и сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/133988.png
Омлет с сыром,,Завтраки,190 с,https://nambafood.kg/dish_image/133982.png
Омлет с овощами,,Завтраки,190 с,https://nambafood.kg/dish_image/133984.png
Блинчики с творожным кремом и персиком,,Завтраки,240 с,https://nambafood.kg/dish_image/133986.png
Блинчики с мясом,,Завтраки,220 с,https://nambafood.kg/dish_image/133990.png
Каша гречневая,,Завтраки,110 с,https://nambafood.kg/dish_image/133980.png
Каша рисовая,,Завтраки,110 с,https://nambafood.kg/dish_image/133978.png
Каша овсяная,,Завтраки,110 с,https://nambafood.kg/dish_image/133976.png
Мини-шашлычки с говядиной,,Закуски,370 с,https://nambafood.kg/dish_image/133132.png
Мини-шашлычки с курицей,,Закуски,290 с,https://nambafood.kg/dish_image/133133.png
Запеченные на хоспере мозговые косточки,,Закуски,590 с,https://nambafood.kg/dish_image/133134.png
Креветки темпура с овощными чипсами,,Закуски,590 с,https://nambafood.kg/dish_image/133135.png
Хумус с фокаччей,,Закуски,320 с,https://nambafood.kg/dish_image/133157.png
Мидии по провансальски,,Закуски,590 с,https://nambafood.kg/dish_image/133136.png
Сырная тарелка,,Закуски,690 с,https://nambafood.kg/dish_image/133137.png
Закуска под виски,"Оливки, сыр камамбер со сливочным джемом, груша на гриле, инжир, орехи, лимонный джем, ассорти салями, персик на гриле, лимонный джем, гриссини",Салаты,790 с,https://nambafood.kg/dish_image/133138.png
"Салат с персиком, грушей и сыром Дор Блю",,Салаты,490 с,https://nambafood.kg/dish_image/133139.png
Салат из овощей гриль с сыром рикотта,,Салаты,390 с,https://nambafood.kg/dish_image/133140.png
Цукиний с цветной капустой,,Салаты,320 с,https://nambafood.kg/dish_image/133141.png
Греческий салат,,Салаты,320 с,https://nambafood.kg/dish_image/133142.png
Салат с запеченной куриной грудкой на гриле и соусом «Цезарь»,,Салаты,390 с,https://nambafood.kg/dish_image/133143.png
Салат с запеченным стейком из семги на гриле и соусом «Цезарь»,,Салаты,690 с,https://nambafood.kg/dish_image/133144.png
Ростбиф-салат с соусом «Цезарь»,,Салаты,690 с,https://nambafood.kg/dish_image/133145.png
Витело Тонато,,Салаты,720 с,https://nambafood.kg/dish_image/133146.png
Салат «Нисуаз»‎‎ с тунцом,,Салаты,650 с,https://nambafood.kg/dish_image/133147.png
Суп-гуляш из говядины и овощей,,Супы,320 с,https://nambafood.kg/dish_image/133148.png
Суп-лапша с курицей,,Супы,180 с,https://nambafood.kg/dish_image/133968.png
Том Ям,,Супы,420 с,https://nambafood.kg/dish_image/133149.png
«The Hill Burger»‎‎,,Бургеры и панини,560 с,https://nambafood.kg/dish_image/133974.png
Панини с курицей,,Бургеры и панини,370 с,https://nambafood.kg/dish_image/133972.png
Панини с говядиной,,Бургеры и панини,390 с,https://nambafood.kg/dish_image/133970.png
"Говяжий язык на хоспере, пикантным пюре с васаби и огуречным рассолом, соусом демигласс",,Хоспер меню,620 с,https://nambafood.kg/dish_image/133150.png
Дорадо на пару с овощами,,Горячие блюда,790 с,https://nambafood.kg/dish_image/133151.png
Жареный судак с пюре из молодого горошка,,Горячие блюда,520 с,https://nambafood.kg/dish_image/133152.png
Судак на пару в сырно-сливочном соусе,,Горячие блюда,490 с,https://nambafood.kg/dish_image/133153.png
"Бонфиле, пюре с сыром чеддер, овощной салат, винный соус",,Горячие блюда,690 с,https://nambafood.kg/dish_image/133154.png
Картофель по деревенски,,Гарниры,150 с,https://nambafood.kg/dish_image/133156.png
Картофель фри,,Гарниры,120 с,https://nambafood.kg/dish_image/133155.png
Маргарита,"Пицца соус, моцарелла сыр, томаты и свежий базилик",Пицца,350 с,https://nambafood.kg/dish_image/133964.png
Пеперони,"Пицца соус, пеперони, сыр пармезан",Пицца,490 с,https://nambafood.kg/dish_image/133962.png
Крем брюле,,Десерты,290 с,https://nambafood.kg/image_by_id/133167
Шоколадный фондан,,Десерты,250 с,https://nambafood.kg/image_by_id/133167
Лёд и пламя,,Десерты,250 с,https://nambafood.kg/image_by_id/133167
Милфей,,Десерты,220 с,https://nambafood.kg/image_by_id/133167
Крем брюле,,Десерты,290 с,https://nambafood.kg/image_by_id/133167
Шоколадный фондан,,Десерты,250 с,https://nambafood.kg/image_by_id/133167
Лёд и пламя,,Десерты,250 с,https://nambafood.kg/image_by_id/133167
Милфей,,Десерты,220 с,https://nambafood.kg/image_by_id/133167
Bonaqua негазированная 1 л.,,Прохладительные напитки,90 с,https://nambafood.kg/dish_image/133944.png
"Bonaqua газированная 0,5 л.",,Прохладительные напитки,70 с,https://nambafood.kg/dish_image/133946.png
"Fanta 0,33 л.",,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/133948.png
"Sprite 0,33 л.",,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/133966.png
"Coca-Cola 0,25 л.",,Прохладительные напитки,90 с,https://nambafood.kg/dish_image/133950.png
Coca-Cola 1 л.,,Прохладительные напитки,130 с,https://nambafood.kg/dish_image/133952.png
Апельсин,"0,25 л.",Свежевыжатые Соки,250 с,https://nambafood.kg/dish_image/133954.png
Яблоко,"0,25 л.",Свежевыжатые Соки,200 с,https://nambafood.kg/dish_image/133956.png
Морковь,"0,25 л.",Свежевыжатые Соки,100 с,https://nambafood.kg/dish_image/133958.png
Яблоко-Морковь,"0,25 л.",Свежевыжатые Соки,150 с,https://nambafood.kg/dish_image/133960.png
