Наименование,Описание,Категория,Цена,Фото
Каша овсяная,,Завтраки,228 с,https://nambafood.kg/dish_image/116466.png
Каша манная,,Завтраки,228 с,https://nambafood.kg/dish_image/47727.png
Яичница,,Завтраки,128 с,https://nambafood.kg/dish_image/116467.png
Омлет,,Завтраки,158 с,https://nambafood.kg/dish_image/116468.png
Омлет с овощами и колбасой,,Завтраки,228 с,https://nambafood.kg/dish_image/47729.png
Сырники со сметаной,,Завтраки,258 с,https://nambafood.kg/dish_image/116469.png
Английский завтрак,"Яйца, колбаски, шампиньоны, фасоль, тосты.",Завтраки,428 с,https://nambafood.kg/dish_image/47719.png
Пашот французский,"Яйца, салат, гренки.",Завтраки,288 с,https://nambafood.kg/dish_image/116470.png
Тосты 2 шт,,Завтраки,128 с,https://nambafood.kg/dish_image/116471.png
Вареники с творогом,,Завтраки,298 с,https://nambafood.kg/dish_image/116472.png
Вареники с картофелем,,Завтраки,298 с,https://nambafood.kg/dish_image/116473.png
Вареники с вишней,,Завтраки,298 с,https://nambafood.kg/dish_image/47722.png
Блинчики со сметаной,,Завтраки,258 с,https://nambafood.kg/dish_image/47730.png
Блинчики с джемом,,Завтраки,258 с,https://nambafood.kg/dish_image/116474.png
Блинчики с медом,,Завтраки,258 с,https://nambafood.kg/dish_image/116475.png
Блинчики с мясом,,Завтраки,298 с,https://nambafood.kg/dish_image/116477.png
Блинчики с икрой,,Завтраки,438 с,https://nambafood.kg/dish_image/116478.png
Сырные палочки,,Закуски,398 с,https://nambafood.kg/dish_image/76537.png
Куриные крылышки,,Закуски,398 с,https://nambafood.kg/dish_image/76518.png
Овощное ассорти по-кавказски,,Закуски,458 с,https://nambafood.kg/dish_image/76507.png
Сырная доска,,Закуски,688 с,https://nambafood.kg/dish_image/76536.png
Луковые кольца,,Закуски,228 с,https://nambafood.kg/dish_image/58128.png
Рыбное ассорти,,Закуски,1158 с,https://nambafood.kg/dish_image/76533.png
Мясное ассорти,,Закуски,788 с,https://nambafood.kg/dish_image/47496.png
Чесночные гренки,,Закуски,128 с,https://nambafood.kg/dish_image/47666.png
Брускетта ассорти,,Закуски,398 с,https://nambafood.kg/dish_image/76511.png
Креветки на драниках,,Закуски,788 с,https://nambafood.kg/dish_image/76515.png
Сельдь по-русски,,Закуски,328 с,https://nambafood.kg/dish_image/76535.png
Жареный чечел,,Закуски,259 с,https://nambafood.kg/dish_image/116479.png
Холодец,Из говядины,Закуски,398 с,https://nambafood.kg/dish_image/47964.png
Острые колбаски,,Закуски,428 с,https://nambafood.kg/dish_image/69894.png
Фасоль стручковая с красным острым перцем,,Закуски,398 с,https://nambafood.kg/dish_image/47655.png
Витаминка,,Салаты,218 с,https://nambafood.kg/dish_image/47917.png
Салат из шпината,,Салаты,258 с,https://nambafood.kg/dish_image/47514.png
Греческий салат,,Салаты,358 с,https://nambafood.kg/dish_image/47918.png
Капрезе,,Салаты,358 с,https://nambafood.kg/dish_image/75409.png
Цезарь с креветками,,Салаты,698 с,https://nambafood.kg/dish_image/75517.png
Острый салат с языком,"Говяжий язык, овощной жульен, пикантный соус.",Салаты,498 с,https://nambafood.kg/dish_image/75518.png
Теплый салат из форели,"Форель, баклажаны, кабачки, лук репчатый, морковь, паприка, капуста, соус кимчи.",Салаты,498 с,https://nambafood.kg/dish_image/75521.png
Теплый салат из телятины,"Телятина, кабачки, баклажаны, паприка, имбирь, сыр фета, руккола.",Салаты,498 с,https://nambafood.kg/dish_image/75516.png
Цезарь с куриной грудкой,,Салаты,398 с,https://nambafood.kg/dish_image/116480.png
Салат с рукколой и креветками,"Руккола, креветки, вяленые помидоры, черри.",Салаты,698 с,https://nambafood.kg/dish_image/116485.png
Свекольный салат,"Свекла, сыр, орехи, чеснок, майонез.",Салаты,238 с,https://nambafood.kg/dish_image/116481.png
Микс салат с семгой,,Салаты,498 с,https://nambafood.kg/dish_image/47529.png
Микс салат с киноа,,Салаты,298 с,https://nambafood.kg/dish_image/116482.png
Микс салат с куриной грудкой,,Салаты,398 с,https://nambafood.kg/dish_image/116483.png
Микс салат с бон филе,,Салаты,438 с,https://nambafood.kg/dish_image/116484.png
Микс салат с авокадо,,Салаты,398 с,https://nambafood.kg/dish_image/132072.png
Ти-бон стейк,,Стейки,928 с,https://nambafood.kg/dish_image/47937.png
Рибай стейк,,Стейки,928 с,https://nambafood.kg/dish_image/76532.png
Ассорти «Барбекю мясное»,"Ти-бон стейк, медальоны из телятины, бараньи ребра, куриные крылышки, овощи.",Стейки,4598 с,https://nambafood.kg/dish_image/116512.png
Шашлык из куриных крылышек,,Шашлыки,398 с,https://nambafood.kg/dish_image/47541.png
Шашлык из бараньих ребер,,Шашлыки,898 с,https://nambafood.kg/dish_image/47538.png
Шашлык из семги,,Шашлыки,998 с,https://nambafood.kg/dish_image/116486.png
Шашлык из филе баранины,,Шашлыки,698 с,https://nambafood.kg/dish_image/47969.png
Шашлык бон филе,,Шашлыки,898 с,https://nambafood.kg/dish_image/47539.png
Тыквенный суп,По сезону,Первые блюда,218 с,https://nambafood.kg/dish_image/69905.png
Суп лапша с курицей,,Первые блюда,228 с,https://nambafood.kg/dish_image/47570.png
Пельмени с бульоном в горшочке,,Первые блюда,258 с,https://nambafood.kg/dish_image/76530.png
Суп рисовый с фрикадельками,,Первые блюда,258 с,https://nambafood.kg/dish_image/47945.png
Борщ славянский в горшочке,,Первые блюда,258 с,https://nambafood.kg/dish_image/47556.png
Уха по-царски,,Первые блюда,458 с,https://nambafood.kg/dish_image/76538.png
Суп чечевичный,,Первые блюда,238 с,https://nambafood.kg/dish_image/75412.png
Шорпо из баранины,,Первые блюда,338 с,https://nambafood.kg/dish_image/47554.png
Шпинатный суп,,Первые блюда,298 с,https://nambafood.kg/dish_image/116487.png
Том Ям + паби,300 г,Первые блюда,878 с,https://nambafood.kg/dish_image/116498.png
Харчо,300 г,Первые блюда,258 с,https://nambafood.kg/dish_image/47562.png
Котлета из телятины,,Говядина,368 с,https://nambafood.kg/dish_image/47582.png
Печень жареная с луком,,Говядина,368 с,https://nambafood.kg/dish_image/47923.png
Бефстроганов,"говядина, лук,сметана",Говядина,498 с,https://nambafood.kg/dish_image/47583.png
Мясо по-тайски,,Говядина,498 с,https://nambafood.kg/dish_image/75413.png
«Сан-Марино» бон филе в сливочном соусе,,Говядина,898 с,https://nambafood.kg/dish_image/116488.png
Медальоны со шпинатным конфи,,Говядина,898 с,https://nambafood.kg/dish_image/76525.png
Бон филе миньон,,Говядина,898 с,https://nambafood.kg/dish_image/76526.png
Пельмени по-китайски с мясом,,Говядина,498 с,https://nambafood.kg/dish_image/116489.png
Жареное филе баранины с овощами,,Баранина,598 с,https://nambafood.kg/dish_image/76508.png
Судак по-домашнему,,Рыба,498 с,https://nambafood.kg/dish_image/47594.png
Судак с овощами в фольге,"Филе судака, помидоры, лук, перец болгарский, морковь.",Рыба,498 с,https://nambafood.kg/dish_image/47984.png
Семга с овощами в фольге,"Филе семги, лук, брокколи, капуста цветная.",Рыба,798 с,https://nambafood.kg/dish_image/47927.png
Семга под икорным соусом,,Рыба,998 с,https://nambafood.kg/dish_image/116499.png
Форель на гриле,,Рыба,658 с,https://nambafood.kg/dish_image/75514.png
Стейк из семги,,Рыба,898 с,https://nambafood.kg/dish_image/75512.png
Ассорти «Барбекю морское» на 4 персоны,"Cемга, форель, тигровые креветки, судак, овощи.",Рыба,4298 с,https://nambafood.kg/dish_image/116513.png
Фрикасе с шампиньонами,,Курица,458 с,https://nambafood.kg/dish_image/116490.png
Курица по-китайски с острым перцем,,Курица,458 с,https://nambafood.kg/dish_image/47602.png
"Куриная грудка, фаршированная шпинатом",,Курица,458 с,https://nambafood.kg/dish_image/76519.png
Цыпленок «Табака»,,Курица,768 с,https://nambafood.kg/dish_image/132071.png
Пельмени по-китайски с курицей,,Курица,458 с,https://nambafood.kg/dish_image/116492.png
Мини цыпленок «Табака»‎‎,,Курица,428 с,https://nambafood.kg/dish_image/132070.png
Манты с тыквой,Готовится по сезону,Национальная кухня,288 с,https://nambafood.kg/dish_image/116493.png
Манты с говядиной,,Национальная кухня,458 с,https://nambafood.kg/dish_image/76522.png
