Наименование,Описание,Категория,Цена,Фото
Бургер телятина,,Бургеры,300 с,https://nambafood.kg/dish_image/143036.png
Бургер курица,,Бургеры,250 с,https://nambafood.kg/dish_image/143037.png
Бургер мексиканский из телятины,,Бургеры,300 с,https://nambafood.kg/dish_image/60062.png
Бургер мексиканский из курицы,,Бургеры,250 с,https://nambafood.kg/dish_image/60063.png
Двойной бургер телятина,,Бургеры,400 с,https://nambafood.kg/dish_image/69324.png
Двойной бургер курица,,Бургеры,350 с,https://nambafood.kg/dish_image/69325.png
Двойной бургер мексиканский из телятины,,Бургеры,400 с,https://nambafood.kg/dish_image/69326.png
Двойной бургер мексиканский из курицы,,Бургеры,350 с,https://nambafood.kg/dish_image/69327.png
Бургер BBQ,,Бургеры,300 с,https://nambafood.kg/dish_image/143039.png
Чили Бургер с курицей,,Бургеры,250 с,https://nambafood.kg/dish_image/128332.png
Чили Бургер с курицей 2х,,Бургеры,350 с,https://nambafood.kg/dish_image/128333.png
Чили Бургер с телятиной,,Бургеры,300 с,https://nambafood.kg/dish_image/128334.png
Чили Бургер с телятиной 2х,,Бургеры,400 с,https://nambafood.kg/dish_image/128335.png
Бургер ассорти 2х,,Бургеры,400 с,https://nambafood.kg/dish_image/128336.png
Мексиканский 2х с ассорти,,Бургеры,400 с,https://nambafood.kg/dish_image/128337.png
Бургер ассорти 2х чили,,Бургеры,400 с,https://nambafood.kg/dish_image/128338.png
Криспи Чикен Бургер,,Бургеры,250 с,https://nambafood.kg/dish_image/143042.png
Hi Бургер,Котлета на основе растительного мяса,Бургеры,250 с,https://nambafood.kg/dish_image/143040.png
Hi Бургер 2х,Котлета на основе растительного мяса,Бургеры,350 с,https://nambafood.kg/dish_image/143041.png
Хот-дог,,Хот-дог,200 с,https://nambafood.kg/dish_image/143048.png
Крылышки BBQ,,Закуски,250 с,https://nambafood.kg/dish_image/143043.png
Фри,,Закуски,150 с,https://nambafood.kg/dish_image/143044.png
Сырные палочки,,Закуски,200 с,https://nambafood.kg/dish_image/143045.png
Наггетсы,,Закуски,200 с,https://nambafood.kg/dish_image/143046.png
Луковые кольца,,Закуски,200 с,https://nambafood.kg/dish_image/143047.png
Борщ с мясом,,Супы,250 с,https://nambafood.kg/dish_image/130129.png
Борщ без мяса,,Супы,150 с,https://nambafood.kg/dish_image/130130.png
Coca-Cola 0.33,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/60070.png
Фанта 0.33,,Прохладительные напитки,100 с,https://nambafood.kg/dish_image/60071.png
Dr. Pepper,,Прохладительные напитки,130 с,https://nambafood.kg/dish_image/128345.png
Мохито безалкогольный,,Прохладительные напитки,150 с,https://nambafood.kg/dish_image/128343.png
Облепиховый чай,,Чай,80 с,https://nambafood.kg/dish_image/137307.png
Зелёный чай,,Чай,50 с,https://nambafood.kg/dish_image/137309.png
Имбирный чай,,Чай,80 с,https://nambafood.kg/dish_image/137311.png
Чёрный чай,,Чай,50 с,https://nambafood.kg/dish_image/137313.png
