Наименование,Описание,Категория,Цена,Фото
Шпинатные панкейки с яйцом,"Шпинатные панкейки, яйцо, авокадо, листья салата, томаты черри, фета",Завтраки,265 с,https://nambafood.kg/dish_image/143267.png
Английский завтрак,"Куриные колбаски, яйцо, хлеб тост, красная фасоль, томаты, салат Лолло Россо",Завтраки,320 с,https://nambafood.kg/dish_image/142904.png
Греческий омлет,"Яйцо, томаты черри , Фета, хлеб",Завтраки,250 с,https://nambafood.kg/dish_image/143269.png
Йогурт с лесными ягодами,"Йогурт классический, карамелизированые мюсли, лесные ягоды, банан, орехи",Завтраки,180 с,https://nambafood.kg/dish_image/143268.png
Овсяная каша с молоком и фруктами,"Молоко, овсянка, киви, апельсин, банан, мед, тостовый хлеб",Завтраки,185 с,https://nambafood.kg/dish_image/144577.png
Каша с кус-кусом с маслом и цитрусовыми,"Молоко, кускус, цитрусовое масло, сезонные фрукты",Завтраки,180 с,https://nambafood.kg/dish_image/142903.png
Сырники,"Творог, яйца, мука, йогурт, малиновый джем, сезонные фрукты",Завтраки,220 с,https://nambafood.kg/dish_image/142908.png
Кукурузные панкейки с «Халлуми»‎‎,"Сыр халуми, консервированная кукуруза, йогурт, мед, руккола",Завтраки,265 с,https://nambafood.kg/dish_image/142905.png
Шакшука,,Завтраки,275 с,https://nambafood.kg/dish_image/144771.png
Бейгл на завтрак,"Бейгл, творожный сыр, пастрама, томаты, яйцо, салат айсберг, соус цезарь",Бейглы,255 с,https://nambafood.kg/dish_image/144558.png
Врап с тунцом,"Тортилья, сыр, тунец, соленые огурцы, салат айсбуерг, соус цезарь",Врапы,245 с,https://nambafood.kg/dish_image/144550.png
Вегетерианский врап с авокадо,"Тортилья, сыр фета, авокадо, салат лолло россо , томаты, сладкий перец, сок лимона",Врапы,250 с,https://nambafood.kg/dish_image/144108.png
Врап с курицей,"Тортилья, сыр, куриное филе, салат айсберг, томаты, соус цезарь",Врапы,235 с,https://nambafood.kg/dish_image/144548.png
Врап с семгой,,Врапы,260 с,https://nambafood.kg/dish_image/144552.png
Греческий салат,"Салат лолло россо, салат айсберг, свежие огурцы, томаты свежие, сладкий перец, маслины каламата, сыр фета",Салаты,285 с,https://nambafood.kg/dish_image/144554.png
Вегетарианский салат с тофу,"Тофу, авокадо, сладкий перец, яйца, микс из салатов, томаты черри",Салаты,365 с,https://nambafood.kg/dish_image/142907.png
Салат с тунцом,"Пастеры, салат лоло бьондо, консервированный тунец, томаты черри, яйца, пармезан",Салаты,265 с,https://nambafood.kg/dish_image/144575.png
Салат с лососем и апельсинами,"Лосось, салат айсберг, руккола, валерьяна, апельсин, томаты черри , пармезан.",Салаты,285 с,https://nambafood.kg/dish_image/144556.png
Поп стар чизкейк,"Сливочный сыр, взбитые сливки, печенье на молоке, яйца, масло сливочное, крахмал, желатин, пюре малиновое, клубника свежая, стружка кокосовая, мак.",Чизкейки,270 с,https://nambafood.kg/dish_image/144565.png
Тирамису чизкейк,"Сырный крем, сливки, яйца, молочное печенье, масло, крахмал, лимонный сок, сахар, сыр маскарпоне, печенье савоярди, перемолотый кофе, какао",Чизкейки,270 с,https://nambafood.kg/dish_image/144562.png
Чизкейк соленая карамель,"Молочное печенье, черный шоколад, сыр маскарпоне, соленая карамель, сахар, масло, яйца",Чизкейки,270 с,https://nambafood.kg/dish_image/144560.png
Ягодный чизкейк,"Молочное печенье, лесные ягоды, творожный крем, сахар, яйца, масло",Чизкейки,245 с,https://nambafood.kg/dish_image/144579.png
Пирог с морковью,"Морковь, творожный сыр, изюм,высушенная груша, корица, масло, яйца, тростниковый сахар",Пироги,260 с,https://nambafood.kg/image_by_id/143382
Яблочный пирог с маскарпоне,"Яблоки, сыр маскарпоне, мука, масло, яйца, ванильный экстракт, сахар",Пироги,235 с,https://nambafood.kg/dish_image/142906.png
Американо маленький,,Кофе,160 с,https://nambafood.kg/dish_image/143687.png
Американо большой,,Кофе,180 с,https://nambafood.kg/dish_image/143686.png
Капучино маленький,,Кофе,170 с,https://nambafood.kg/dish_image/143683.png
Капучино большой,,Кофе,210 с,https://nambafood.kg/dish_image/143684.png
Кемекс перемолотый кофе,550 мл,Кофе,300 с,https://nambafood.kg/dish_image/142892.png
Латте,,Кофе,200 с,https://nambafood.kg/dish_image/142893.png
Флэтуайт,,Кофе,210 с,https://nambafood.kg/dish_image/143682.png
Соленая карамель,"Сливки, фирменный соус соленая карамель на базе сахара, сливок, масла, морской соли, эспрессо",Фирменный кофе,265 с,https://nambafood.kg/dish_image/144112.png
Мокачино,"Молоко, шоколадный соус на основе сливок, черного шоколада, сахара, какао, эспрессо, какао",Фирменный кофе,265 с,https://nambafood.kg/dish_image/142901.png
Лавандовый раф,"Сироп на основе воды, сахара, ванильного сахара, лаванды, кардамона, эспрессо, цветы лаванды",Фирменный кофе,265 с,https://nambafood.kg/dish_image/144110.png
Матча раф «Рио»‎‎,"Молоко, кокосовое пюре, эспрессо, сахар, ванильный сахар и матча",Фирменный кофе,265 с,https://nambafood.kg/dish_image/142902.png
Колд брю,Лед и кофе холодного заваривания,Айс кофе,200 с,https://nambafood.kg/dish_image/142895.png
Колд брю с тоником,"Лед, тоник, кофе холодного заваривания, сироп на базе воды, сахара, лимона, лимонный фреш",Айс кофе,270 с,https://nambafood.kg/dish_image/142896.png
Айс латте,"Лед, молоко, кофе холодного заваривания и сахар",Айс кофе,210 с,https://nambafood.kg/dish_image/142897.png
Фрапессо Крим,"Лед, кофе, сахар, вода и молоко",Айс кофе,210 с,https://nambafood.kg/dish_image/142898.png
Айс капучино,,Айс кофе,210 с,https://nambafood.kg/dish_image/144770.png
«Вэри Бэри»‎‎ с ягодами и йогуртом,,Смузи,300 с,https://nambafood.kg/dish_image/144546.png
Смузи боул с бананами и клубникой,,Смузи,300 с,https://nambafood.kg/dish_image/142894.png
Имбирный чай,"Сахар, свежий перемолотый имбирь, лимонный сок, апельсин, мята, гвоздика",Чаи,210 с,https://nambafood.kg/dish_image/142899.png
Чай с облепихой,"Облепиха, сахар, апельсин, лайм, мята, имбирь молотый, корица молотая",Чаи,210 с,https://nambafood.kg/dish_image/142900.png
Канкун с апельсином,,Лимонады,250 с,https://nambafood.kg/dish_image/144567.png
Гоа с лимоном,"Лед, вода, лимонный фреш, сахарный сироп, мята",Лимонады,250 с,https://nambafood.kg/dish_image/144573.png
Куба с клубникой,"Лед,газированная вода, лайм, пюре из замороженной клубники, сироп на базе сахара и гибискуса, мята",Лимонады,250 с,https://nambafood.kg/dish_image/144569.png
Лимонад «Бэри бум»‎‎,,Лимонады,250 с,https://nambafood.kg/dish_image/144571.png
"Coca-Cola 0,25 л",,Напитки,80 с,https://nambafood.kg/dish_image/143808.png
"Fanta 0,25 л",,Напитки,80 с,https://nambafood.kg/dish_image/143809.png
"Sprite 0,25 л",,Напитки,80 с,https://nambafood.kg/dish_image/143810.png
