Наименование,Описание,Категория,Цена,Фото
Мандариновый френч тост,Жареный тост с мандариновым френч и с кремом маскарпоне .,Завтраки,220 с,https://nambafood.kg/dish_image/135887.png
Тост из ржаного хлеба с сыром страчателло и икрой,"Жаренный ржаной тост со семечками , с сыром страчателло и красной икрой",Завтраки,360 с,https://nambafood.kg/dish_image/135888.png
Картофельные вафли с слабосоленой семгой и голландским соусом,"Нежные картофельные вафли с слабосоленой семгой , красной икрой и голландским соусом .",Завтраки,420 с,https://nambafood.kg/dish_image/135889.png
Cэндвич филадельфия с рванной телятиной,"Жареная Чиабатта, рванная телятина с соусом BBQ и с луком фри",Завтраки,320 с,https://nambafood.kg/dish_image/135890.png
Овсяная каша,,Завтраки,160 с,https://nambafood.kg/dish_image/135893.png
Чиа пудинг карамельным яблоком,"Пудинг на основе кокосового молока с добавлением семен чиа, и карамелизированным яблоком",Завтраки,320 с,https://nambafood.kg/dish_image/135894.png
Омлет с кабачком и шпинатом,Нежный омлет с кабачками и шпинатом,Завтраки,220 с,https://nambafood.kg/dish_image/135895.png
Запеченный омлет по-деревенски,Деревенский омлет с пепперони и сыром и овощами,Завтраки,220 с,https://nambafood.kg/dish_image/135896.png
Сэндвич стейк с ростбифом и томатом,Багет Чиабатта и говяжья вырезка Ростбиф прожаркой медиум и со свежими томатами.,Завтраки,320 с,https://nambafood.kg/dish_image/135898.png
Брускетта с ростбифом,Хрустящий багет с творожным сыром и соусом сальса на основе томатов со слайсами ростбифа. В порции 3 багетта,Брускетты,250 с,https://nambafood.kg/dish_image/134772.png
Брускетта с соусом сальса,Хрустящий багет с творожным сыром и соусом сальса на основе томатов. В порции 3 багетта.,Брускетты,220 с,https://nambafood.kg/dish_image/134773.png
Брускетта с авокадо,Хрустящий багет с творожным сыром и ломтиками авокадо. вяленые помидоры дополняются сыром фетакса. В порции 3 багетта.,Брускетты,220 с,https://nambafood.kg/dish_image/134774.png
Брускетта с тунцом,Хрустящий багет с творожным сыром и консервированным тунцом.,Брускетты,250 с,https://nambafood.kg/dish_image/134770.png
Брускетта с лососем,Хрустящий багет чиабатта с творожным сыром и малосольными слайсами лосося. В порции 3 багета.,Брускетты,250 с,https://nambafood.kg/dish_image/134771.png
Мясное плато,"Ветчина из вяленой конины, куриного рулета и вяленой говядины. Украшается базиликом и розмарином.",Закуски,750 с,https://nambafood.kg/dish_image/134753.png
Сырная тарелка,"Ассорти из благородных сортов сыра таких как Дор Блю, Каммамбер, Пармезан, Моцарелла прекрасно сочетаются с вином. В дополнение подается виноград, грецкий орех, мёд.",Закуски,750 с,https://nambafood.kg/dish_image/134754.png
Закуска от шефа,Нарезка из говяжьего ростбифа (медиум прожарки)с соусом бон филе (на основе тунца и желтка куриного). Украшается корнишонами и зеленым маслом.,Закуски,350 с,https://nambafood.kg/dish_image/134796.png
Салат из сыра моцарелла и груши,"Салатные листья руккола и лола росса заправляются медовым соусом. Сыр Моцарелла, пьяная груша, заправленная винным уксусом. Оформляется тыквенными семенами.",Салаты,390 с,https://nambafood.kg/dish_image/134788.png
Салат «Нисуаз»‎‎,"Салат айсберг, заправленный соусом нисуаз, помидоры черри, бланшированная стручковая фасоль, перепелиные яйца, маслины без косточек, жареный картофель. Бальзамический уксус придает неповторимый вкус.",Салаты,350 с,https://nambafood.kg/dish_image/134791.png
Салат с креветками и авокадо,Бланшированные тигровые креветки с салатом айсберг и рукколой заправленные оливковым маслом. Дополняются помидорами и авокадо.,Салаты,450 с,https://nambafood.kg/dish_image/134789.png
Салат с рукколой,"Листья рукколы со свежим огурцом заправленные оливковым маслом, редис, помидоры черри и маринованные початки кукурузы дополняются сыром фетакса и бальзамическим кремом",Салаты,290 с,https://nambafood.kg/dish_image/134790.png
