Наименование,Описание,Категория,Цена,Фото
Скрембл с лососем,"С микс салатом и тостами, подается с соусом тар-тар.",Завтраки,399 с,https://nambafood.kg/dish_image/118577.png
Шакшука,,Завтраки,249 с,https://nambafood.kg/dish_image/127119.png
Омлет с сыром,,Завтраки,239 с,https://nambafood.kg/dish_image/127115.png
Омлет с грибами,,Завтраки,229 с,https://nambafood.kg/dish_image/127117.png
Яичница с сосисками,,Завтраки,259 с,https://nambafood.kg/dish_image/118576.png
Омлет с колбасками,,Завтраки,229 с,https://nambafood.kg/dish_image/118575.png
Бенедикт с лососем,,Завтраки,459 с,https://nambafood.kg/dish_image/127121.png
Блинчики с творогом и персиком,,Завтраки,249 с,https://nambafood.kg/dish_image/118569.png
Блинчики со сметаной и джемом,,Завтраки,149 с,https://nambafood.kg/dish_image/118568.png
Сырники со сметаной,,Завтраки,229 с,https://nambafood.kg/dish_image/118574.png
Деревенский творог,,Завтраки,169 с,https://nambafood.kg/dish_image/118571.png
Панкейки,,Завтраки,199 с,https://nambafood.kg/dish_image/118570.png
Каша гречневая,,Завтраки,139 с,https://nambafood.kg/dish_image/118572.png
Каша овсяная с фруктами,,Завтраки,139 с,https://nambafood.kg/dish_image/118573.png
Салат из баклажанов в китайском стиле,,Салаты,329 с,https://nambafood.kg/dish_image/127131.png
Мясо по-китайски,,Салаты,329 с,https://nambafood.kg/dish_image/127127.png
Цезарь с цыпленком,,Салаты,369 с,https://nambafood.kg/dish_image/118585.png
Салат «Витаминка»,,Салаты,199 с,https://nambafood.kg/dish_image/118588.png
Жареная фасоль с кунжутом,,Салаты,279 с,https://nambafood.kg/dish_image/127129.png
Греческий салат,,Салаты,329 с,https://nambafood.kg/dish_image/118584.png
"Салат с сыром тофу, рукколой и киноа",,Салаты,379 с,https://nambafood.kg/dish_image/118587.png
Дачный салат,,Салаты,199 с,https://nambafood.kg/dish_image/118586.png
Смузи боул,"Молоко, банан, клубника, йогурт, персики, персик, мед.",Боулы,299 с,https://nambafood.kg/dish_image/119463.png
