Наименование,Описание,Категория,Цена,Фото
Шакшука,"140 г. Помидор, баклажан, перец, чеснок",Холодные закуски,280 с,https://nambafood.kg/dish_image/137441.png
Гирит эзме,"140 г. Сыр, базилик",Холодные закуски,280 с,https://nambafood.kg/dish_image/137442.png
Хумус,"140 г. Нут, тмин, специи, оливковое масло",Холодные закуски,280 с,https://nambafood.kg/dish_image/137443.png
Хайдари,"140 г. Айран, чеснок, мята, оливковое масло",Холодные закуски,280 с,https://nambafood.kg/dish_image/137444.png
Атом,"140 г. Айран, базилик, чеснок",Холодные закуски,280 с,https://nambafood.kg/dish_image/137445.png
Панчо,140 г. Картофель и баклажаны заправленные сливочным соусом,Холодные закуски,280 с,https://nambafood.kg/dish_image/137446.png
Панжар туршу,140 г. Маринованная свекла в чесночном уксусе,Холодные закуски,280 с,https://nambafood.kg/dish_image/137447.png
Соленья,140 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/137448.png
Салат из баклажанов,140 г. Жареные баклажаны в томатном соусе со специями,Холодные закуски,280 с,https://nambafood.kg/dish_image/137449.png
Козий сыр,"140 г. Домашний козий сыр, сливочное масло и грецкие орехи",Холодные закуски,350 с,https://nambafood.kg/dish_image/137450.png
Оливье,"140 г. Картофель, морковь, яйцо, маринованные огурцы, майонез",Холодные закуски,280 с,https://nambafood.kg/dish_image/137451.png
Туршу бибер,140 г.,Холодные закуски,110 с,https://nambafood.kg/dish_image/137452.png
Япрак сарма,"140 г. Виноградные листья, рис, изюм, специи",Холодные закуски,280 с,https://nambafood.kg/dish_image/137453.png
Сузме,140 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/137901.png
Эзме,"140 г. Томаты, огурцы свежие, острый и болгарский перец, зелень, томатный соус",Холодные закуски,280 с,https://nambafood.kg/dish_image/137454.png
Микс мезе,Ассорти небольших закусок,Холодные закуски,870 с,https://nambafood.kg/dish_image/137455.png
Фуме,"Копченая говядина, сыр пармезан, грецкие орехи",Холодные закуски,950 с,https://nambafood.kg/dish_image/137456.png
Чий кофте,Турецкие котлетки из сырого мелкого булгура и сырого отбитого в фарш мяса с томатной пастой и острыми специями,Горячие закуски,330 с,https://nambafood.kg/dish_image/137457.png
Ичли кофте,"1 шт. Традиционное турецкое блюдо, представляющее собой котлеты из мелкого булгура с начинкой из мясного фарша, обжаренные в масле до хрустящей корочки",Горячие закуски,190 с,https://nambafood.kg/dish_image/137458.png
"Чечевичный суп 0,7",,Супы,180 с,https://nambafood.kg/dish_image/137459.png
Чечевичный суп,,Супы,300 с,https://nambafood.kg/dish_image/137460.png
"Эзогелин 0,7",Турецкий суп из чечевицы с булгуром,Супы,180 с,https://nambafood.kg/dish_image/137461.png
Эзогелин порция,Турецкий суп из чечевицы с булгуром,Супы,300 с,https://nambafood.kg/dish_image/137462.png
"Келле пача 0,7","Келле-пача - это суп наподобие хаша, популярный в турецкой и азербайджанской кухне. Его готовят из головы и ног барана (или коровы). Название келле-пача так и переводится с турецкого «голова - ноги». Напоминает жидкий холодец.",Супы,220 с,https://nambafood.kg/dish_image/137463.png
Келле пача,"Келле-пача - это суп наподобие хаша, популярный в турецкой и азербайджанской кухне. Его готовят из головы и ног барана (или коровы). Название келле-пача так и переводится с турецкого «голова - ноги». Напоминает жидкий холодец.",Супы,380 с,https://nambafood.kg/dish_image/137464.png
Уста салат,"250 г. Помидоры, огурцы, сладкий перец, красныяй лук, зерна граната, орехи",Салаты,590 с,https://nambafood.kg/dish_image/137465.png
Салат с козьим сыром,"250 г. Микс салатов, помидоры черри, кукуруза, изюм, зерна гранатов, грецкий орех, чорнослив, козий сыр в лимонно-гранатовом соусе",Салаты,670 с,https://nambafood.kg/dish_image/137466.png
Чобан салат,"250 г. Помидор, огурцы, перец, лук, оливковое масло, лимонный соус",Салаты,490 с,https://nambafood.kg/dish_image/137467.png
Цезарь классический,"250 г. Куриное филе, салат айсберг, помидоры черри, сыр пармезан, гренки, соус цезарь",Салаты,520 с,https://nambafood.kg/dish_image/137468.png
Цезарь с креветками,"250 г. Креветки, салат айсберг, помидоры черри, сыр пармезан, гренки, соус цезарь",Салаты,560 с,https://nambafood.kg/dish_image/137469.png
Авокадо салат,"250 г. Микс салатов, авокадо вяленые помидоры, зерна гранатов. кукуруза, лимонно-гранатовом соусе",Салаты,570 с,https://nambafood.kg/dish_image/137470.png
Овощное ассорти,"Огурцы, помидор, зелень, лук, редиска, перец болгарский, лук",Салаты,690 с,https://nambafood.kg/dish_image/137471.png
Биф салат локум,"250 г. Телячьи медальоны микс салатов, вяленые помидоры, красный-желтый перец, кукуруза, зерна гранатов, лимонный соус",Салаты,770 с,https://nambafood.kg/dish_image/137472.png
Руккола с пармезаном,"250 г. Руккола, сыр пармезан, вяленые помидоры, красный- желтый перец, зерна гранатов, грецкий орех, гранатвый соус",Салаты,490 с,https://nambafood.kg/dish_image/137473.png
Салат с сыром,"250 г. Микс салатов, вяленые помидоры, красный-желтый перец, кукуруза, зерна гранатов, лимонный соус, сыр фета",Салаты,580 с,https://nambafood.kg/dish_image/137474.png
Кашарлы кофте,250 г. Турецкий котлеты с сыром на гриле,Котлеты,560 с,https://nambafood.kg/dish_image/137475.png
Уста спешл кофте,250 г. Говядина с плавленым сыром кашар,Котлеты,960 с,https://nambafood.kg/dish_image/137476.png
Касап кофте,250 г. Котлеты из мяса ягненка и мраморной глины,Котлеты,540 с,https://nambafood.kg/dish_image/137477.png
Жызбыз кофте,250 г. Котлеты из мяса ягненка и мраморной глины с добавлением турецких специй,Котлеты,540 с,https://nambafood.kg/dish_image/137478.png
Донер кебаб 180 г,"Донер, лаваш, томаты, перец, рис, картофель по-деревенски, соус",Котлеты,560 с,https://nambafood.kg/dish_image/137481.png
Донер кебаб 240 г,"Донер, лаваш, томаты, перец, рис, картофель по-деревенски, соус",Котлеты,770 с,https://nambafood.kg/dish_image/137480.png
Донер кебаб 500 г,"Донер, лаваш, томаты, перец, рис, картофель по-деревенски, соус",Котлеты,1550 с,https://nambafood.kg/dish_image/137482.png
Донер кебаб 1000 г,"Донер, лаваш, томаты, перец, рис, картофель по-деревенски, соус",Котлеты,2950 с,https://nambafood.kg/dish_image/137483.png
Донер с рисом 180 г,,Котлеты,590 с,https://nambafood.kg/dish_image/137484.png
Донер с рисом 240 г,,Котлеты,790 с,https://nambafood.kg/dish_image/137485.png
Лаваш донер,"120 г. Донер, лаваш, перец, картофель по-деревенски, соус",Котлеты,480 с,https://nambafood.kg/dish_image/137486.png
Бейти донер,"210 г. Донер, лаваш, томаты, перец, рис, томатный соус, сузме",Котлеты,730 с,https://nambafood.kg/dish_image/137487.png
