Наименование,Описание,Категория,Цена,Фото
Оливье порция,,Салаты,210 с,https://nambafood.kg/dish_image/114048.png
Оливье 0.5,,Салаты,115 с,https://nambafood.kg/dish_image/114049.png
Салат «Кашик»,,Салаты,290 с,https://nambafood.kg/dish_image/114051.png
Говядина со фасолью,,Салаты,280 с,https://nambafood.kg/dish_image/124524.png
Салат «Зейтин»,,Салаты,290 с,https://nambafood.kg/dish_image/114055.png
Салат «Уста»,,Салаты,310 с,https://nambafood.kg/dish_image/114056.png
Чабан салат,,Салаты,260 с,https://nambafood.kg/dish_image/114058.png
Сузме порция,200 г,Салаты,185 с,https://nambafood.kg/dish_image/124525.png
Сузме 0.5,,Салаты,95 с,https://nambafood.kg/dish_image/124526.png
Хумус,,Салаты,210 с,https://nambafood.kg/dish_image/113960.png
Хайдари порция,,Салаты,185 с,https://nambafood.kg/dish_image/114063.png
Хайдари 0.5,,Салаты,95 с,https://nambafood.kg/dish_image/114064.png
Свекольный салат с дор-блю,,Салаты,300 с,https://nambafood.kg/dish_image/124528.png
Эзме порция,,Салаты,185 с,https://nambafood.kg/dish_image/114069.png
Эзме 0.5,,Салаты,95 с,https://nambafood.kg/dish_image/114070.png
Салат с козьим сыром,,Салаты,420 с,https://nambafood.kg/dish_image/113982.png
Весенний салат,,Салаты,350 с,https://nambafood.kg/dish_image/124530.png
Греческий салат,200 г,Салаты,405 с,https://nambafood.kg/dish_image/124531.png
Ассорти салатов,,Салаты,345 с,https://nambafood.kg/dish_image/114090.png
Хашлама,300 г. С говядиной.,Супы,470 с,https://nambafood.kg/dish_image/114095.png
Келле пача порция,300 г. Из говядины.,Супы,285 с,https://nambafood.kg/dish_image/114097.png
Келле пача 0.5,Из говядины.,Супы,145 с,https://nambafood.kg/dish_image/114098.png
Куриный суп,,Супы,220 с,https://nambafood.kg/dish_image/114102.png
Чечевичный суп порция,300 г,Супы,230 с,https://nambafood.kg/dish_image/113966.png
Чечевичный суп 0.5,,Супы,130 с,https://nambafood.kg/dish_image/113967.png
Котлеты с йогуртом и соусом,300 г. Из говядины. Доступно к заказу после 11:00,Вторые блюда,445 с,https://nambafood.kg/dish_image/114005.png
Уста кебаб,300 г. Из говядины. Доступно к заказу после 11:00,Вторые блюда,540 с,https://nambafood.kg/dish_image/114004.png
Кебаб тандыр,300 г. Из говядины. Доступно к заказу после 11:00,Вторые блюда,655 с,https://nambafood.kg/dish_image/114017.png
Тарелка Уста,Доступно к заказу после 11:00,Вторые блюда,520 с,https://nambafood.kg/dish_image/114111.png
Адана кебаб,300 г. Из говядины. Доступно к заказу после 11:00,Шашлыки,440 с,https://nambafood.kg/dish_image/114041.png
Урфа кебаб,300 г. Из говядины. Доступно к заказу после 11:00,Шашлыки,440 с,https://nambafood.kg/dish_image/79656.png
Ассорти шашлыков - большая,Доступно к заказу после 11:00,Шашлыки,3100 с,https://nambafood.kg/dish_image/113961.png
Шашлык из курицы,300 г. Доступно к заказу после 11:00,Шашлыки,470 с,https://nambafood.kg/dish_image/114038.png
Шашлык из крылышек,300 г. Доступно к заказу после 11:00,Шашлыки,460 с,https://nambafood.kg/dish_image/114037.png
Ассорти шашлыков,300 г. Доступно к заказу после 11:00,Шашлыки,645 с,https://nambafood.kg/dish_image/79641.png
Анкара стейк,350 г. Из говядины. Доступно к заказу после 11:00,Мясо на гриле,950 с,https://nambafood.kg/dish_image/114016.png
Измир стейк,350 г. Из говядины. Доступно к заказу после 11:00,Мясо на гриле,850 с,https://nambafood.kg/dish_image/114012.png
Семга стейк,Доступно к заказу после 11:00,Мясо на гриле,950 с,https://nambafood.kg/dish_image/114011.png
Рыба дорадо на мангале,350 г. Доступно к заказу после 11:00,Мясо на гриле,940 с,https://nambafood.kg/dish_image/114026.png
Пиде ассорти,Доступно к заказу после 11:00,Пиде,440 с,https://nambafood.kg/dish_image/114019.png
Пиде с сыром,Доступно к заказу после 11:00,Пиде,330 с,https://nambafood.kg/dish_image/114020.png
Пиде с фаршем,С мясом говядины. Доступно к заказу после 11:00,Пиде,360 с,https://nambafood.kg/dish_image/114018.png
Пиде с мясом,С мясом говядины. Доступно к заказу после 11:00,Пиде,420 с,https://nambafood.kg/dish_image/114021.png
Лаваш,Доступно к заказу после 11:00,Пиде,105 с,https://nambafood.kg/dish_image/114015.png
Рис порция,,Гарниры,100 с,https://nambafood.kg/dish_image/79714.png
Рис 0.5,,Гарниры,50 с,https://nambafood.kg/dish_image/79715.png
Фри,,Гарниры,140 с,https://nambafood.kg/dish_image/114130.png
Сутлач,,Десерты,165 с,https://nambafood.kg/dish_image/79681.png
Тыква с сиропом,,Десерты,135 с,https://nambafood.kg/dish_image/79682.png
