Наименование,Описание,Категория,Цена,Фото
Шакарап,,Салаты,70 с,https://nambafood.kg/dish_image/108510.png
"Свежий из огурцов, помидоров",,Салаты,70 с,https://nambafood.kg/dish_image/108508.png
Оливье,,Салаты,90 с,https://nambafood.kg/dish_image/108507.png
Винегрет,,Салаты,70 с,https://nambafood.kg/dish_image/108524.png
Капустный,,Салаты,70 с,https://nambafood.kg/dish_image/108523.png
Морковный,,Салаты,70 с,https://nambafood.kg/dish_image/108506.png
Свекольный,,Салаты,70 с,https://nambafood.kg/dish_image/108919.png
Грибной,,Салаты,100 с,https://nambafood.kg/dish_image/131395.png
Солянка,"Гов, кур. филе, колбаса, лимон, лук, масло раст., сол.огурцы,томат, маслины, зелень, сметана томат",Первые блюда,220 с,https://nambafood.kg/dish_image/108925.png
Суп с фрикадельками,"Фарш гов., морковь, картофель, зелень, специи",Первые блюда,150 с,https://nambafood.kg/dish_image/108493.png
Шорпо,"Говядина, морковь, картофель, зелень",Первые блюда,180 с,https://nambafood.kg/dish_image/108512.png
Мясо по-нарынски,"Говядина, тесто, лук",Первые блюда,150 с,https://nambafood.kg/dish_image/108921.png
Борщ,"Говядина, картофель, капуста, свекла, морковь",Первые блюда,140 с,https://nambafood.kg/dish_image/108922.png
Борщ 0.7,"Говядина, картофель, капуста, свекла, морковь",Первые блюда,110 с,https://nambafood.kg/dish_image/108923.png
Сантанру,"говядина, басай, фунчеза, перец болг., шпинат, специи",Первые блюда,160 с,https://nambafood.kg/dish_image/108515.png
Суп лапша,"Дом.курица, лапша, домашн., морковь, зелень",Первые блюда,140 с,https://nambafood.kg/dish_image/108926.png
Пельмени,"гов. фарш, тесто, сметана, зелень",Первые блюда,160 с,https://nambafood.kg/dish_image/108513.png
Пельмени 0.7,"гов. фарш, тесто, сметана, зелень",Первые блюда,110 с,https://nambafood.kg/dish_image/108514.png
Окрошка,,Первые блюда,140 с,https://nambafood.kg/dish_image/108924.png
Гуйру лагман,,Горячие блюда (с 11:00),230 с,https://nambafood.kg/dish_image/108932.png
Гуйру лагман 0.7,,Горячие блюда (с 11:00),160 с,https://nambafood.kg/dish_image/108933.png
Могуру лагман,,Горячие блюда (с 11:00),260 с,https://nambafood.kg/dish_image/108934.png
Суйру лагман,,Горячие блюда (с 11:00),210 с,https://nambafood.kg/dish_image/108525.png
Суйру лагман 0.7,,Горячие блюда (с 11:00),160 с,https://nambafood.kg/dish_image/111391.png
Лазыру лагман,,Горячие блюда (с 11:00),270 с,https://nambafood.kg/dish_image/108935.png
Джусай лагман,,Горячие блюда (с 11:00),180 с,https://nambafood.kg/dish_image/108937.png
Цомян лагман,,Горячие блюда (с 11:00),230 с,https://nambafood.kg/dish_image/108502.png
Цомян лагман 0.7,,Горячие блюда (с 11:00),160 с,https://nambafood.kg/dish_image/108503.png
Ганбан цомян лагман,,Горячие блюда (с 11:00),250 с,https://nambafood.kg/dish_image/108501.png
Гуйру ганфан,,Горячие блюда (с 11:00),230 с,https://nambafood.kg/dish_image/108978.png
Гуйру ганфан 0.7,,Горячие блюда (с 11:00),160 с,https://nambafood.kg/dish_image/108979.png
Лазыру ганфан,,Горячие блюда (с 11:00),270 с,https://nambafood.kg/dish_image/108982.png
Могуру ганфан,,Горячие блюда (с 11:00),260 с,https://nambafood.kg/dish_image/108983.png
Суйру ганфан,,Горячие блюда (с 11:00),210 с,https://nambafood.kg/dish_image/108984.png
Суйру ганфан 0.7,,Горячие блюда (с 11:00),160 с,https://nambafood.kg/dish_image/108985.png
Вареники с картошкой,,Европейская кухня,110 с,https://nambafood.kg/dish_image/108917.png
Гуляш с пюре,,Европейская кухня,300 с,https://nambafood.kg/dish_image/108504.png
Гуляш 0.7 с пюре,,Европейская кухня,250 с,https://nambafood.kg/dish_image/108505.png
Гуляш с гречкой,,Европейская кухня,300 с,https://nambafood.kg/dish_image/110991.png
Гуляш 0.7 с гречкой,,Европейская кухня,250 с,https://nambafood.kg/dish_image/110992.png
Гуляш с рисом,,Европейская кухня,300 с,https://nambafood.kg/dish_image/110994.png
Гуляш 0.7 с рисом,,Европейская кухня,250 с,https://nambafood.kg/dish_image/110993.png
Фрикасе из говядины с пюре,,Европейская кухня,300 с,https://nambafood.kg/dish_image/108927.png
Фрикасе из говядины с рисом,,Европейская кухня,300 с,https://nambafood.kg/dish_image/110995.png
Фрикасе из говядины с гречкой,,Европейская кухня,300 с,https://nambafood.kg/dish_image/110996.png
Фрикасе из курицы с пюре,"кур. филе, грибы, лук, слив.соус, гарнир",Европейская кухня,250 с,https://nambafood.kg/dish_image/110997.png
Фрикасе из курицы с рисом,"кур. филе, грибы, лук, слив.соус, гарнир",Европейская кухня,250 с,https://nambafood.kg/dish_image/108518.png
Фрикасе из курицы с гречкой,"кур. филе, грибы, лук, слив.соус, гарнир",Европейская кухня,250 с,https://nambafood.kg/dish_image/110998.png
Бифштекс с яйцом и пюре,,Европейская кухня,220 с,https://nambafood.kg/dish_image/111000.png
Бифштекс с яйцом и рисом,,Европейская кухня,220 с,https://nambafood.kg/dish_image/108500.png
Бифштекс с яйцом и гречкой,,Европейская кухня,220 с,https://nambafood.kg/dish_image/110999.png
Бризоль с пюре,"гов.фарш, свежие овощи, майонез, чеснок, гарнир",Европейская кухня,220 с,https://nambafood.kg/dish_image/111002.png
Бризоль с рисом,"гов.фарш, свежие овощи, майонез, чеснок, гарнир",Европейская кухня,220 с,https://nambafood.kg/dish_image/111001.png
Бризоль с гречкой,"гов.фарш, свежие овощи, майонез, чеснок, гарнир",Европейская кухня,220 с,https://nambafood.kg/dish_image/111003.png
Котлеты с пюре,"гов.фарш, лук, гарнир",Европейская кухня,180 с,https://nambafood.kg/dish_image/111005.png
Котлеты с рисом,"гов.фарш, лук, гарнир",Европейская кухня,180 с,https://nambafood.kg/dish_image/111007.png
Котлеты с гречкой,"гов.фарш, лук, гарнир",Европейская кухня,180 с,https://nambafood.kg/dish_image/111006.png
Тефтели на пару с рисом,"Фарш, рис, лук, специи.",Европейская кухня,190 с,https://nambafood.kg/dish_image/110988.png
Тефтели на пару с пюре,"Фарш, рис, лук, специи.",Европейская кухня,190 с,https://nambafood.kg/dish_image/110989.png
Тефтели на пару с гречкой,"Фарш, рис, лук, специи.",Европейская кухня,190 с,https://nambafood.kg/dish_image/110990.png
