Наименование,Описание,Категория,Цена,Фото
Завтрак №1,"350 г. Фасоль, колбаски говядина, яичница-глазунья, тосты, брокколи, лист салата, помидор.",Завтраки,380 с,https://nambafood.kg/dish_image/97224.png
Завтрак №2,"360 г. Колбаски говядина, сыр сливочный, брокколи, помидор, яичница-глазунья, тосты, лист салата.",Завтраки,380 с,https://nambafood.kg/dish_image/97225.png
Завтрак №3,"370 г. Яйцо отварное 2 шт., моцарелла, тосты, колбаски говядина, корнишоны.",Завтраки,380 с,https://nambafood.kg/dish_image/97163.png
Завтрак №4,"350 г. Яичница-глазунья 2 шт., бекон или курица на выбор, корнишоны, тосты, салатик зеленый.",Завтраки,380 с,https://nambafood.kg/dish_image/97226.png
Яичница из 2х яиц,170 г. 2 яйца,Завтраки,150 с,https://nambafood.kg/dish_image/97227.png
Яичница из 3х яиц,200 г. 3 яйца,Завтраки,170 с,https://nambafood.kg/dish_image/97228.png
Омлет без добавок,210 г,Завтраки,240 с,https://nambafood.kg/dish_image/134288.png
Вафли с лососем на сырном креме с яйцом пашот и авокадо и легким салатом,330 г,Завтраки,400 с,https://nambafood.kg/dish_image/97589.png
Вафли с телятиной,270 г,Завтраки,350 с,https://nambafood.kg/dish_image/97590.png
"Вафли со шпинатом, скрэмблом и помидорами черри",290 г,Завтраки,350 с,https://nambafood.kg/dish_image/97591.png
"Вафли с курицей, моцареллой и яйцом пашот",330 г,Завтраки,350 с,https://nambafood.kg/dish_image/97592.png
Кукурузные оладьи,300 г,Завтраки,260 с,https://nambafood.kg/dish_image/97165.png
Оладьи из цуккини,300 г,Завтраки,260 с,https://nambafood.kg/dish_image/97229.png
Мини-бургер,160 г,Завтраки,160 с,https://nambafood.kg/dish_image/97864.png
Сендвич с семгой,190 г,Завтраки,330 с,https://nambafood.kg/dish_image/97019.png
Гренки с моцареллой,250 г,Завтраки,270 с,https://nambafood.kg/dish_image/97587.png
Теплый бутерброд с ветчиной и телятиной,450 г,Завтраки,350 с,https://nambafood.kg/dish_image/97160.png
Сырники с вареньем,180 г,Завтраки,240 с,https://nambafood.kg/dish_image/97169.png
Панини с курицей,250 г,Завтраки,360 с,https://nambafood.kg/dish_image/97154.png
Панини с говядиной,250 г,Завтраки,360 с,https://nambafood.kg/dish_image/99095.png
Вареники с картофелем,180 г,Завтраки,220 с,https://nambafood.kg/dish_image/99090.png
Вареники с вишней,180 г,Завтраки,220 с,https://nambafood.kg/dish_image/99093.png
Вареники с творогом,180 г,Завтраки,220 с,https://nambafood.kg/dish_image/99092.png
Куриный паштет с мягким маслом и французским хлебом,270 г,Завтраки,250 с,https://nambafood.kg/dish_image/97586.png
Гранола,240 г,Завтраки,240 с,https://nambafood.kg/dish_image/97150.png
Панкейки с кленовым сиропом,350 г,Завтраки,280 с,https://nambafood.kg/dish_image/104554.png
Панкейки с Nutella,350 г,Завтраки,280 с,https://nambafood.kg/dish_image/104556.png
Блины творог-груша,330 г,Завтраки,230 с,https://nambafood.kg/dish_image/97021.png
Блины творог-банан,330 г,Завтраки,230 с,https://nambafood.kg/dish_image/98908.png
Блины творог-персик,330 г,Завтраки,230 с,https://nambafood.kg/dish_image/98909.png
Турецкий завтрак,400 г,Завтраки,390 с,https://nambafood.kg/dish_image/110894.png
Круассан с яйцом под соусом «Бенедикт»,180 г,Завтраки,250 с,https://nambafood.kg/dish_image/97174.png
Круассан с малосольной семгой и глазуньей,180 г,Завтраки,280 с,https://nambafood.kg/dish_image/97175.png
Шакшука с сырными палочками,300 г,Завтраки,340 с,https://nambafood.kg/dish_image/104553.png
Капрезе,280 г,Закуски,300 с,https://nambafood.kg/dish_image/97164.png
Креветки в сливочно-икорном соусе,400 г,Закуски,580 с,https://nambafood.kg/dish_image/97173.png
Рулет с тунцом,310 г,Закуски,320 с,https://nambafood.kg/dish_image/97583.png
Закуска с моцареллой и шпинатом,220 г,Закуски,320 с,https://nambafood.kg/dish_image/97882.png
Пита с лососем «Гравлакс»,160 г. С нежным крем-сыром и шпинатом.,Закуски,300 с,https://nambafood.kg/dish_image/97013.png
Пита с пикантной телятиной на гриле со шпинатом,160 г,Закуски,240 с,https://nambafood.kg/dish_image/97579.png
Ролл «Цезарь» в лаваше,320 г,Закуски,330 с,https://nambafood.kg/dish_image/97179.png
Закуска с семгой и шпинатом,220 г,Закуски,340 с,https://nambafood.kg/dish_image/110895.png
Самый вкусный хумус с питами,320 г,Закуски,240 с,https://nambafood.kg/dish_image/97580.png
Поке с курицей,"305 г. Рис овощами, курица на гриле, помидоры черри, имбирь маринованый, авокадо, киноа, красный лук, лист салата и соус Mint.",Закуски,440 с,https://nambafood.kg/dish_image/104559.png
Поке с лососем,"350 г. Рис с овощами, лосось, чука, красная капуста, огурцы, помидоры черри, красный лук и сладкий соевый соус.",Закуски,440 с,https://nambafood.kg/dish_image/104560.png
Сет из брускетт,"250 г. Брускетта из сочного ростбифа с сыром камамбер и соусом Aioli; Брускетта с копченым лососем, свежими огурцами и соусом Cream cheese; Брускетта с вялеными помидорами и нежной моцареллой с соусом Pesto.",Закуски,380 с,https://nambafood.kg/dish_image/104552.png
Салат «Цезарь» с курицей,"280 г. Куриная грудка, айсберг, соус цезарь, пармезан, помидоры.",Салаты,400 с,https://nambafood.kg/dish_image/97018.png
Шопский салат,"420 г. Руккола, шпинат, айсберг, романо, лист салата, редис, сербский сыр, лук красный, сок лимона, оливковое масло, темный крем бальзамик.",Салаты,390 с,https://nambafood.kg/dish_image/97221.png
Хрустящие баклажаны в кисло-сладком соусе,250 г. С помидорами черри и свежей кинзой.,Салаты,290 с,https://nambafood.kg/dish_image/104555.png
Салат разноцветный,"265 г. Ассорти из овощей, кусочки жареного антрекота, оливковое масло, соус Песто.",Салаты,320 с,https://nambafood.kg/dish_image/97198.png
Зеленое ассорти,"100 г. Руккола, шпинат, лист салата, чесночное масло, кунжутные семечки.",Салаты,260 с,https://nambafood.kg/dish_image/97195.png
Теплый салат с кониной,"320 г. Кусочки конины, имбирный соус, помидоры черри, перепелиные яица, шпинат, соус «Алиоли», кедровые орехи.",Салаты,460 с,https://nambafood.kg/dish_image/97194.png
