Наименование,Описание,Категория,Цена,Фото
Каппа маки,"рис, нори, огурец",Роллы,150 с,https://nambafood.kg/dish_image/132331.png
Сегун маки,"рис, нори, авокадо, филе лосося, сливочный сыр",Роллы,210 с,https://nambafood.kg/dish_image/132332.png
Унаги маки,"рис, нори, угорь копченый, огурец, кунжут, унаги, соус",Роллы,230 с,https://nambafood.kg/dish_image/132329.png
Бонито,"рис, нори, лосось жареный в соусе терияки, сливочный сыр, стружка тунца, огурец",Роллы,350 с,https://nambafood.kg/dish_image/132330.png
Шахматы,"рис, нори, огурец, сыр фета, икра масаго, креветки, икра тобико черная",Роллы,330 с,https://nambafood.kg/dish_image/132333.png
Нагасаки,"рис, нори, лосось, крабовые палочки, огурец",Роллы,390 с,https://nambafood.kg/dish_image/132334.png
Ролл сибо,"рис, нори, икра лосося, свежие помидоры, укроп, сливочный сыр",Роллы,280 с,https://nambafood.kg/dish_image/132336.png
Калифорния с крабом,"рис, нори, снежный краб, майонез, огурец, авокадо, икра масаго",Роллы,320 с,https://nambafood.kg/dish_image/132337.png
Лава,"рис, нори, филе лосося, сыр сливочный, соус лава (майонез, гребешок, икра масаго)",Роллы,450 с,https://nambafood.kg/dish_image/132339.png
Лава Де-Люкс,"рис, нори, филе лосося, сыр сливочный, соус лава (майонез, гребешок, икра масаго)",Роллы,480 с,https://nambafood.kg/dish_image/132340.png
Конадо,"рис, нори, угорь копченый, сыр сливочный, филе лосося, лук зеленый, авокадо",Роллы,460 с,https://nambafood.kg/dish_image/132341.png
Авокадо маки,"рис, нори, авокадо",Роллы,190 с,https://nambafood.kg/dish_image/132342.png
Сяке маки,"рис, нори, филе лосося",Роллы,170 с,https://nambafood.kg/dish_image/132343.png
Цезарь ролл,"рис, нори, свежий помидор",Роллы,260 с,https://nambafood.kg/dish_image/132344.png
Филадельфия,"рис, нори, филе лосося, сыр сливочный",Роллы,330 с,https://nambafood.kg/dish_image/132345.png
Набунага,"рис, нори, филе лосося, сыр сливочный, огурец, икра масаго",Роллы,360 с,https://nambafood.kg/dish_image/132346.png
Калифорния с креветкой,"рис, нори, огурец, сливочный сыр, креветки, авокадо, икра масаги",Роллы,340 с,https://nambafood.kg/dish_image/132347.png
Икура маки,"рис, нори, икра лосося, сыр филадельфия",Роллы,310 с,https://nambafood.kg/dish_image/132348.png
Филадельфия с креветкой,"рис, нори, филе лосося, сыр сливочный, креветки",Роллы,420 с,https://nambafood.kg/dish_image/132350.png
Бонито кунсей,"рис, нори, огурец, угорь копченый, стружка тунца, сыр сливочный",Роллы,390 с,https://nambafood.kg/dish_image/132351.png
Онигара маки,"рис, нори, огурец, угорь копченый, сыр сливочный",Роллы,330 с,https://nambafood.kg/dish_image/132352.png
Кани кунсей маки,"рис, нори, копченый лосось, сыр сливочный, листья салата, снежный краб",Роллы,350 с,https://nambafood.kg/dish_image/132353.png
Сяке унаги ролл,"рис, нори, окунь, филе лосося, огурец, лук зеленый, сыр сливочный",Роллы,390 с,https://nambafood.kg/dish_image/132354.png
Кани маки,"рис, нори, крабовые палочки, сливочный сыр, огурец, икра масаго",Роллы,330 с,https://nambafood.kg/dish_image/132355.png
Острый ролл,"рис, нори, спайси соус, идзуми тай, зеленый лук, огурец, лосось",Роллы,370 с,https://nambafood.kg/dish_image/132356.png
Хаки ролл,"рис, нори, майонез, сыр фета, листья салат, помидор",Роллы,280 с,https://nambafood.kg/dish_image/132357.png
Филадельфия с огурцом,"рис, нори, огурец, филе лосося, сыр сливочный",Роллы,360 с,https://nambafood.kg/dish_image/132358.png
Де-люкс,"рис, нори, икра лосося, филе лосося, лук зеленый, икра масаго, сыр сливочный",Роллы,480 с,https://nambafood.kg/dish_image/132359.png
Фетаки,"рис, нори, огурец, помидор, кунжут, сыр фета, салат",Роллы,230 с,https://nambafood.kg/dish_image/132361.png
Фреш ролл,"рис, нори, огурец, зеленый лук, майонез, авокадо, снежный краб",Роллы,320 с,https://nambafood.kg/dish_image/132362.png
Киюри,"Рис, нори, огурец, филе лосося, сыр сливочный",Роллы,350 с,https://nambafood.kg/dish_image/132363.png
Фудзияма,"рис, нори, кожа лосося, сыр фета, кунжут, майонез, авокадо",Роллы,350 с,https://nambafood.kg/dish_image/132364.png
Саламон,"рис, нори, огурец, майонез, кунжут, икра масаго, жареная кожа лосося",Роллы,350 с,https://nambafood.kg/dish_image/132365.png
Три в одном,"рис, нори, огурец, угорь копченый, филе лосося, креветки, сыр сливочный, авокадо",Роллы,480 с,https://nambafood.kg/dish_image/132367.png
Калифорния блэк,"рис, нори, майонез, авокадо, икра масаго, огурец, креветка",Роллы,340 с,https://nambafood.kg/dish_image/132369.png
Фудзи,"рис, нори, угорь копченый, кунжут, авокадо, сыр сливочный",Роллы,390 с,https://nambafood.kg/dish_image/132370.png
Лава лайт,"рис, нори, филе лосося, сыр сливочный, соус хаккайдо (крветки, масаго, майонез)",Роллы,400 с,https://nambafood.kg/dish_image/132371.png
Токио-маки,"рис, нори, филе лосося, угорь, сыр филадельфия, кунжут, огурец",Роллы,350 с,https://nambafood.kg/dish_image/132373.png
Ролл тено,"рис, нори, филе лосося, сыр сливочный, листья салата, соус тено (майонез, икра масаго, креветки, огурец)",Роллы,430 с,https://nambafood.kg/dish_image/132374.png
Сливочный ролл,"рис, нори, филе лосося, кунжут, сыр лсивочный, авокадо",Роллы,390 с,https://nambafood.kg/dish_image/132375.png
Филадельфия с угрем,"рис, нори, угорь копченый, сыр сливочный, кунжут",Роллы,450 с,https://nambafood.kg/dish_image/132376.png
Акари,"рис, нори, жареный лосось в соусе терияки, сыр сливочный, огурец, кунжут",Роллы,390 с,https://nambafood.kg/dish_image/132377.png
Гейша маки,"рис, нори, огурец, сыр сливочный, авокадо, креветка",Роллы,330 с,https://nambafood.kg/dish_image/132379.png
Калифорния де люкс,"рис, нори, филе лосося, икра масаго, креветки, сыр сливочный, авокадо",Роллы,390 с,https://nambafood.kg/dish_image/132380.png
Лас-вегас,"рис, нори, лосось х\к, сыр филадельфия, икра масаго, оранжевая, икра масаго черная, огурец",Роллы,330 с,https://nambafood.kg/dish_image/132381.png
Сяке темпура с креветкой,"рис, нори, филе лосося, сыр сливочный, авокадо, креветка",Темпура роллы,330 с,https://nambafood.kg/dish_image/132411.png
Икура сан,"рис, нори, филе лосося, икра лосося, сыр сливочный",Темпура роллы,380 с,https://nambafood.kg/dish_image/132402.png
Сухари маки,"рис, нори, крабовые палочки, сыр филадельфия, авокадо, сухари, угорь копченый, сыр фета, мука темпурная",Темпура роллы,400 с,https://nambafood.kg/dish_image/132403.png
Хоуршинга,"рис, нори, сыр фета, сыр филадельфия, авокадо, икра масаго оранжевая, помидор, лук зеленый, сухари, мука темпурная",Темпура роллы,330 с,https://nambafood.kg/dish_image/132404.png
Хотто,"рис, нори, филе лосося, сыр сливочный, креветки, авокадо, соус спайси, соус унаги",Темпура роллы,390 с,https://nambafood.kg/dish_image/132405.png
Мексика,"копченый лосось, сыр сливочный, сырная тортилья, листья салата, лук зеленый",Темпура роллы,390 с,https://nambafood.kg/dish_image/132406.png
Темпурный ролл в сухаре,"рис, нори, угорь копченый, сыр сливочный, авокадо, снежный краб",Темпура роллы,430 с,https://nambafood.kg/dish_image/132409.png
Мексиканский ролл,"помидор, сыр сливочный, огурец, лосось жареный в соусе терияки",Темпура роллы,390 с,https://nambafood.kg/dish_image/132407.png
Банзай,"рис, нори, филе лосося, сыр сливочный, авокадо",Темпура роллы,350 с,https://nambafood.kg/dish_image/132410.png
Ролл горячий гребешок,"рис, нори, свежий помидор, лист салата, икра масаго, сливочный сыр, гребешок.",Запеченные Роллы,380 с,https://nambafood.kg/dish_image/132412.png
Сырный ролл,"рис, нори, сыр сливочный, свежий помидор, вареная курица, сыр пармезан",Запеченные Роллы,380 с,https://nambafood.kg/dish_image/132413.png
Ролл горячий краб,"рис, нори, краб, сливочный сыр, лист салата, помидор, икра масаго, соус спайси",Запеченные Роллы,330 с,https://nambafood.kg/dish_image/132414.png
Ролл китано,"рис, нори, кунжут, омлет, сыр сливочный, креветка, окунь морской, майонез",Запеченные Роллы,340 с,https://nambafood.kg/dish_image/132415.png
Ролл тару,"рис, нори, кальмар, краб, икра масаго, сливочный сыр, кунжут, спайси соус",Запеченные Роллы,330 с,https://nambafood.kg/dish_image/132416.png
Ролл харуку,"рис, нори, икра масаго, сыр сливочный, огурец, омлет, окунь, майонез",Запеченные Роллы,340 с,https://nambafood.kg/dish_image/132417.png
