Наименование,Описание,Категория,Цена,Фото
Блинчики гречневые с грибами,,Блинчики гречневые,220 с,https://nambafood.kg/dish_image/137069.png
Блинчики гречневые с курицей и грибами,,Блинчики гречневые,230 с,https://nambafood.kg/dish_image/137070.png
Блины гречневые с мясом,,Блинчики гречневые,230 с,https://nambafood.kg/dish_image/137071.png
Киш с курицей и грибами,,Закуски,130 с,https://nambafood.kg/dish_image/137065.png
Киш с зелеными овощами,,Закуски,110 с,https://nambafood.kg/dish_image/137066.png
Картофель фри,,Закуски,170 с,https://nambafood.kg/dish_image/137067.png
Наггетсы из курицы,,Закуски,260 с,https://nambafood.kg/dish_image/137068.png
Гранола,,Закуски,250 с,https://nambafood.kg/dish_image/140854.png
Суп грибной крем на бульоне из фермерской курочки,,Супы,260 с,https://nambafood.kg/dish_image/137059.png
Суп овощной минестроне со стручковой фасолью и брокколи,,Супы,180 с,https://nambafood.kg/dish_image/137060.png
Суп тыквенный с яблочным пюре и вафлями,,Супы,200 с,https://nambafood.kg/dish_image/137061.png
Суп с фрикадельками по-домашнему,,Супы,200 с,https://nambafood.kg/dish_image/137062.png
Суп чечевичный по классическому рецепту,Слегка пикантный суп,Супы,180 с,https://nambafood.kg/dish_image/137063.png
Суп-лапша из фермерской курочки,,Супы,220 с,https://nambafood.kg/dish_image/137064.png
Греческий классический,,Салаты,290 с,https://nambafood.kg/dish_image/137031.png
Цезарь классический с курицей,,Салаты,320 с,https://nambafood.kg/dish_image/137225.png
Салат с киноа и шпинатом,,Салаты,290 с,https://nambafood.kg/dish_image/137036.png
Салат с булгуром и фетаксой,,Салаты,290 с,https://nambafood.kg/dish_image/137037.png
Салат с ростбифом и хрустящими грибами,,Салаты,390 с,https://nambafood.kg/dish_image/137038.png
Салат со слабосолёной форелью и зеленью,,Салаты,320 с,https://nambafood.kg/dish_image/137039.png
Салат с куриной печенью и зеленью,,Салаты,290 с,https://nambafood.kg/dish_image/137040.png
Салат с брокколи и стручковой фасолью,,Салаты,320 с,https://nambafood.kg/dish_image/137041.png
Салат с хрустящими баклажанами,,Салаты,290 с,https://nambafood.kg/dish_image/137042.png
Медальоны из телятины,С гречкой и грибами,Горячие блюда,550 с,https://nambafood.kg/dish_image/137113.png
Телятина в сливочном соусе,С грибами и рисом,Горячие блюда,550 с,https://nambafood.kg/dish_image/137034.png
Котлеты кремлевские с картофельным пюре,,Горячие блюда,390 с,https://nambafood.kg/dish_image/137033.png
Цыпленок табака с соусом сальса и овощами гриль,,Горячие блюда,430 с,https://nambafood.kg/dish_image/137043.png
Котлеты по-киевски с картофельным пюре,,Горячие блюда,380 с,https://nambafood.kg/dish_image/137044.png
Курица в кисло-сладко-остром соусе с рисом,,Горячие блюда,380 с,https://nambafood.kg/dish_image/137046.png
Форель по-домашнему с картофелем,,Горячие блюда,490 с,https://nambafood.kg/dish_image/137047.png
Форель под зеленой корочкой с рисом и шпинатом,,Горячие блюда,490 с,https://nambafood.kg/dish_image/137048.png
Стейк из форели со свежим салатом,,Горячие блюда,450 с,https://nambafood.kg/dish_image/137049.png
Блинчики пшеничные с джемом и сливочным кремом,Сладкие,Блинчики пшеничные сладкие,220 с,https://nambafood.kg/dish_image/137050.png
Блинчики пшеничные сладкие с кленовым топпингом,,Блинчики пшеничные сладкие,180 с,https://nambafood.kg/dish_image/137052.png
Блинчики пшеничные сладкие с фермерской сметаной,,Блинчики пшеничные сладкие,150 с,https://nambafood.kg/dish_image/137053.png
Блинчики пшеничные сладкие с шоколадным топпингом,,Блинчики пшеничные сладкие,180 с,https://nambafood.kg/dish_image/137223.png
Блинчики пшеничные сладкие с клубничным топпингом,,Блинчики пшеничные сладкие,180 с,https://nambafood.kg/dish_image/137224.png
Вафли пшеничные с малиновым вареньем,,Вафли пшеничные сладкие,150 с,https://nambafood.kg/dish_image/137054.png
Вафли пшеничные с облепиховым вареньем,,Вафли пшеничные сладкие,150 с,https://nambafood.kg/dish_image/137055.png
Вафли пшеничные со смородиновым вареньем,,Вафли пшеничные сладкие,150 с,https://nambafood.kg/dish_image/137058.png
Вафли пшеничные с кремом творожным,,Вафли пшеничные сладкие,190 с,https://nambafood.kg/dish_image/137056.png
Вафли пшеничные со сметаной,,Вафли пшеничные сладкие,160 с,https://nambafood.kg/dish_image/137057.png
Хлеб кусочек,,Хлеб,7 с,https://nambafood.kg/dish_image/137142.png
Тыквенный чизкейк,,Десерты,180 с,https://nambafood.kg/dish_image/137074.png
Сок Organic,,Напитки,150 с,https://nambafood.kg/dish_image/137127.png
Legenda 0.5 л,,Напитки,40 с,https://nambafood.kg/dish_image/137128.png
"Baitik 0,5 л",,Напитки,40 с,https://nambafood.kg/dish_image/137129.png
"Coca-cola 0,25",,Напитки,60 с,https://nambafood.kg/dish_image/137130.png
