Наименование,Описание,Категория,Цена,Фото
Шашлык из баранины кусковая,170 г,Шашлыки,230 с,https://nambafood.kg/dish_image/126784.png
Шашлык из бараньих ребрышек,280 г,Шашлыки,250 с,https://nambafood.kg/dish_image/126785.png
Шашлык из говядины кусковая,170 г,Шашлыки,230 с,https://nambafood.kg/dish_image/126786.png
Шашлык из бараньих почек,180 г,Шашлыки,180 с,https://nambafood.kg/dish_image/29750.png
Люля кебаб,160 г,Шашлыки,180 с,https://nambafood.kg/dish_image/126787.png
Шашлык из говяжьей печени,200 г,Шашлыки,180 с,https://nambafood.kg/dish_image/126788.png
Шашлык из окорочка,300 г,Шашлыки,180 с,https://nambafood.kg/dish_image/126789.png
Шашлык из крылышек,3 шт,Шашлыки,190 с,https://nambafood.kg/dish_image/126790.png
Шашлык ассорти,650 г,Шашлыки,450 с,https://nambafood.kg/dish_image/29760.png
Стейк из телятины,300 г,Шашлыки,450 с,https://nambafood.kg/dish_image/29759.png
Стейк из баранины,350 г,Шашлыки,340 с,https://nambafood.kg/dish_image/29736.png
Форель на мангале,1 шт,Шашлыки,700 с,https://nambafood.kg/dish_image/29758.png
Цыплята в тандыре,1 шт,Шашлыки,500 с,https://nambafood.kg/dish_image/126791.png
Чесночный соус,,Соусы,40 с,https://nambafood.kg/dish_image/29739.png
Шашлычный соус,,Соусы,40 с,https://nambafood.kg/dish_image/29761.png
Свежий салат,150 г,Салаты,110 с,https://nambafood.kg/dish_image/29749.png
Шакарап,150 г,Салаты,110 с,https://nambafood.kg/dish_image/29745.png
Китайский салат,150 г,Салаты,220 с,https://nambafood.kg/dish_image/29764.png
Язык в остром соусе,150 г,Салаты,220 с,https://nambafood.kg/dish_image/29763.png
Греческий салат,150 г,Салаты,190 с,https://nambafood.kg/dish_image/29734.png
Цезарь с курицей,,Салаты,240 с,https://nambafood.kg/dish_image/109612.png
Мампар,,Первые блюда,160 с,https://nambafood.kg/dish_image/29738.png
Пельмени,,Первые блюда,160 с,https://nambafood.kg/dish_image/29740.png
Шорпо,,Первые блюда,170 с,https://nambafood.kg/dish_image/29741.png
Лагман домашний,,Вторые блюда,180 с,https://nambafood.kg/dish_image/29735.png
Ганфан домашний,,Вторые блюда,180 с,https://nambafood.kg/dish_image/29744.png
Манты,5 шт,Вторые блюда,180 с,https://nambafood.kg/dish_image/29743.png
Требуха с овощами,1 порция,Вторые блюда,250 с,https://nambafood.kg/dish_image/109604.png
Куурдак,1 порция,Вторые блюда,320 с,https://nambafood.kg/dish_image/109608.png
