Наименование,Описание,Категория,Цена,Фото
Блинчики с аппетитной мясной начинкой,3 шт.,Завтраки,170 с,https://nambafood.kg/dish_image/135057.png
Блинчики с творогом,3 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/135058.png
Блинчики с творогом и сладостями,3 шт.,Завтраки,220 с,https://nambafood.kg/dish_image/134208.png
Каша манная,,Завтраки,120 с,https://nambafood.kg/dish_image/141113.png
Каша рисовая,350 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/64207.png
Каша овсяная,350 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/141114.png
Блинчики со сметаной,3 шт.,Завтраки,140 с,https://nambafood.kg/dish_image/141112.png
Ишефс завтрак,"Яйца, тостерный хлеб, арабская пита, помидоры, хумус, огурцы, оливки, халва, сузмо, мед, соус виногр., сыр, чай",Завтраки,500 с,https://nambafood.kg/dish_image/140860.png
Омлет микс,"Яйца, сосиски кур., говяжьи, зелень, листья, сол.огурцы, черри, тостерный хлеб",Завтраки,280 с,https://nambafood.kg/dish_image/134209.png
Омлет с сосисками,"Яйца, сосиски куриные, зелень, листья салата, огурцы, черри, тостерный хлеб",Завтраки,200 с,https://nambafood.kg/dish_image/134210.png
Шакшука,"Яйца, помидоры, перец болгарский, зелень",Завтраки,220 с,https://nambafood.kg/dish_image/134499.png
Фуль Айран,"Бобы, чеснок, огурцы солен., помидоры, айран",Завтраки,380 с,https://nambafood.kg/dish_image/135064.png
Сырники,3 шт.,Завтраки,180 с,https://nambafood.kg/dish_image/135062.png
Боул суши,"Семга копченая, авокадо, свежие огурцы, редиска, нори, кунжут, лимон, икра красная, чеснок, рис, крем чиз",Боулы,420 с,https://nambafood.kg/dish_image/140861.png
Боул с курицей,"Куриная грудка, яйцо, кукуруза, творожный сыр, шпинат, черри, гречка, авокадо",Боулы,310 с,https://nambafood.kg/dish_image/140862.png
Боул с креветками,"Креветки, киноа, айсберг, морковь, перец болг. красный, огурцы свежие, авокадо, соус песто, соус тартар, чеснок",Боулы,400 с,https://nambafood.kg/dish_image/141083.png
Боул с курицей «ПП»‎‎,"Куриная грудка, бургуль, вешенки, помидоры, огурцы, зерн. горчица, авокадо",Боулы,360 с,https://nambafood.kg/dish_image/140863.png
Золотые креветки,,Закуски,400 с,https://nambafood.kg/dish_image/135065.png
Куриные наггетсы,,Закуски,370 с,https://nambafood.kg/dish_image/135066.png
Сырные палочки,150 гр.,Закуски,350 с,https://nambafood.kg/dish_image/135067.png
Кальмары в кольцах,,Закуски,470 с,https://nambafood.kg/dish_image/135068.png
