Наименование,Описание,Категория,Цена,Фото
Мясная тарелка,"240 г. Казы, говяжий язык, шпигованная говядина.",Закуски,650 с,https://nambafood.kg/dish_image/71869.png
Домашние соленья,"450 г. Маринованые грибы, помидоры черри, корнишоны, маринованная капуста.",Закуски,550 с,https://nambafood.kg/dish_image/78142.png
Селедочка с картошечкой,"250 г. Сельдь, картофель, маринованые огурцы, лук.",Закуски,350 с,https://nambafood.kg/dish_image/78163.png
Рыбное ассорти,"350 г. Семга, эсколар, горбуша, скумбрия.",Закуски,1200 с,https://nambafood.kg/dish_image/78161.png
Рулеты из баклажанов,"250 г. Баклажаны, помидоры, зелень, майонез.",Закуски,320 с,https://nambafood.kg/dish_image/78183.png
Овощное ассорти,"450 г. Помидоры, огурцы, зелень, болгарский перец, брынза.",Закуски,350 с,https://nambafood.kg/dish_image/78158.png
Перец фаршированный,"200 г. Острый перец, начиненный говядиной и обжаренный в яичном кляре.",Закуски,350 с,https://nambafood.kg/dish_image/71874.png
Холодец,400 г,Закуски,350 с,https://nambafood.kg/dish_image/140603.png
Баклажаны по-восточному,"Баклажаны, помидоры, чеснок, укроп, кинза, специи",Закуски,320 с,https://nambafood.kg/dish_image/140604.png
Французский салат,"300 г. Капуста, морковь, свекла, картофель пай, говядина, майонез.",Салаты,310 с,https://nambafood.kg/dish_image/107499.png
Восточный салат,"250 г. Огурцы, помидоры, говядина, яичные блины, зеленый горошек, соевый соус, салатное масло.",Салаты,310 с,https://nambafood.kg/dish_image/71854.png
Винегрет,"250 г. Квашеная капуста, зеленый горошек, свекла, картофель, маринованные огурцы, салатное масло, укроп.",Салаты,210 с,https://nambafood.kg/dish_image/78138.png
Салат «Лейла»,"220 г. Говядина, огурцы, помидоры, морковь, болгарский перец, салатное масло, соевый соус.",Салаты,310 с,https://nambafood.kg/dish_image/71857.png
Салат «Лаззат»,"200 г. Яичные блины, говядина, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/71856.png
