Наименование,Описание,Категория,Цена,Фото
Салат «Есенин»‎‎,"Морепродукты, перепелиные яйца, черри, красный лук, сыр моцарелла, айсберг, руккола, дрессинг соус.",Салаты,400 с,https://nambafood.kg/dish_image/109701.png
Цезарь с куриной грудкой,"Куриная грудка, айсберг, листья салата, черри, перепелиные яйца, тертый пармезан, крутоны, соус.",Салаты,370 с,https://nambafood.kg/dish_image/109628.png
Цезарь с креветками,"Креветки, айсберг, листья салата, черри, перепелиные яйца, тертый пармезан, крутоны, соус.",Салаты,450 с,https://nambafood.kg/dish_image/109649.png
Хрустящие баклажаны,,Салаты,320 с,https://nambafood.kg/dish_image/109618.png
Греческий салат,,Салаты,300 с,https://nambafood.kg/dish_image/109652.png
Хе из рыбы,"Филе судака, репчатый лук, перец дунганский, огурцы, кинза, чеснок, специи.",Салаты,300 с,https://nambafood.kg/dish_image/109698.png
Сет № 1,"Чечел жареный, чипсы, куриные наггетсы, сырные палочки, корнишоны.",Закуски ассорти,400 с,https://nambafood.kg/dish_image/110459.png
Сет № 2,"Луковые кольца, охотничьи колбаски, фри, куриные крылышки, хлеб бородинский, чипсы, соус барбекью.",Закуски ассорти,450 с,https://nambafood.kg/dish_image/110460.png
Жареные колбаски,"Охотничьи, сардельки, краковские, куриные, соус BBQ, зелень.",Закуски ассорти,400 с,https://nambafood.kg/dish_image/109627.png
Овощная нарезка,"Помидоры, огурцы, перец, лук, зелень, сыр брынза, орехи грецкие.",Закуски ассорти,300 с,https://nambafood.kg/dish_image/109635.png
"Острые куриные крылышки ""Баффало""","Куриные крылышки, маринад, соус  BBQ",Закуски ассорти,300 с,https://nambafood.kg/dish_image/109632.png
Хрустящие блинчики с лососем,"Яйцеблин, сыр креметта, лосось, листья салата",Закуски ассорти,300 с,https://nambafood.kg/dish_image/74913.png
Солянка с чесночными гренками,"Говядина, салями, докторская колбаса, копченая окорочка, маринованные огурцы, репчатый лук, томатная паста, оливки, сметана, зелень, нарезной батон, чеснок.",Первые блюда,290 с,https://nambafood.kg/dish_image/109622.png
Чечевичный крем-суп,,Первые блюда,180 с,https://nambafood.kg/dish_image/109633.png
Уха с тостерными крутонами,"Семга, судак, картофель, морковь, лук репчатый, зелень, болгарский перец, укроп, тостерный хлеб, чеснок, сливочное масло.",Первые блюда,350 с,https://nambafood.kg/dish_image/109668.png
Рамён (фирменный),,Первые блюда,290 с,https://nambafood.kg/dish_image/109641.png
Том-Ям,"Том ям паста, шампиньоны, креветки, кальмары, мидии, черри, кинза, лимонный сок, коксовое молоко, специи.",Первые блюда,350 с,https://nambafood.kg/dish_image/109640.png
Мясо на жаровне «Мушуро»‎‎,,Вторые блюда,360 с,https://nambafood.kg/dish_image/109665.png
Семга в фольге,"Семга, репчатый лук, морковь, болгарский перец, брокколи, цветная капуста, черри, укроп, сливочное масло.",Вторые блюда,550 с,https://nambafood.kg/dish_image/109645.png
Куриный рулет,,Вторые блюда,360 с,https://nambafood.kg/dish_image/109666.png
Удон с курицей и овощами,,Вторые блюда,300 с,https://nambafood.kg/dish_image/109643.png
Пицца «Есенин с сырными бортиками»‎‎ 30 см,"Фарш говяжий, лук репчатый, болгарский перец, сыр моцарелла, сулугуни, соус.",Пицца 30 см,550 с,https://nambafood.kg/dish_image/109695.png
Пицца «Курица и грибы»‎‎ 30 см,"Филе окорочка, лук, грибы вешенки, сливки.",Пицца 30 см,460 с,https://nambafood.kg/dish_image/109689.png
Пицца «Чили»‎‎ 30 см,"Говяжий фарш, лук, перец болгарский, фасоль консервированная, кукуруза консервированная, перец чили.",Пицца 30 см,470 с,https://nambafood.kg/dish_image/109691.png
Пицца «Гаскон»‎‎ 30 см,"Копченая утка, копченая курица, болгарский перец, томаты, шампиньоны, сыр моцарелла, оливковое масло, специи.",Пицца 30 см,450 с,https://nambafood.kg/dish_image/109693.png
Пицца «Салями»‎‎ 30 см,"Соус, салями, сыр моцарелла, специи.",Пицца 30 см,380 с,https://nambafood.kg/dish_image/109682.png
Пицца «Маргарита»‎‎ 30 см,"Соус, томаты, маслины, сыр моцарелла.",Пицца 30 см,350 с,https://nambafood.kg/dish_image/109686.png
Пицца «Есенин с сырными бортиками»‎‎ 35 см,"Фарш говяжий, лук репчатый, болгарский перец, сыр моцарелла, сулугуни, соус.",Пицца 35 см,700 с,https://nambafood.kg/dish_image/109697.png
Пицца «Курица и грибы»‎‎ 35 см,"Филе окорочка, лук, грибы вешенки, сливки.",Пицца 35 см,560 с,https://nambafood.kg/dish_image/109690.png
Пицца «Чили»‎‎ 35 см,"Говяжий фарш, лук, перец болгарский, фасоль консервированная, кукуруза консервированная, перец чили.",Пицца 35 см,570 с,https://nambafood.kg/dish_image/109692.png
Пицца «Салями»‎‎,"Соус, салями, сыр моцарелла, специи.",Пицца 35 см,480 с,https://nambafood.kg/dish_image/109681.png
Пицца «Маргарита»‎‎ 35 см,"Соус, томаты, маслины, сыр моцарелла.",Пицца 35 см,450 с,https://nambafood.kg/dish_image/109685.png
Пицца «Гаскон»‎‎ 35 см,"Копченая утка, копченая курица, болгарский перец, томаты, шампиньоны, сыр моцарелла, оливковое масло, специи.",Пицца 35 см,550 с,https://nambafood.kg/dish_image/109694.png
Рулет А'ля Есенин из курицы,"Куриное филе, репчатый лук, болгарский перец, кабачки, красная консервированная фасоль, чеснок, лаваш, сыр, тильзитский, шпинат, перец полугорький, специи.",Fast food,280 с,https://nambafood.kg/dish_image/109630.png
Рулет А'ля Есенин из говядины,"Бон филе, репчатый лук, болгарский перец, кабачки, красная консервированная фасоль, чеснок, лаваш, сыр, тильзитский, шпинат, перец полугорький, специи.",Fast food,300 с,https://nambafood.kg/dish_image/109677.png
Бургер с фри,,Fast food,300 с,https://nambafood.kg/dish_image/109655.png
Чизбургер с фри,,Fast food,320 с,https://nambafood.kg/dish_image/74171.png
Клаб сэндвич,,Fast food,280 с,https://nambafood.kg/dish_image/74165.png
«Темпура сяке»‎‎,"Рис, семга, креметта, нори, яйцо, соус, васаби, маринованный имбирь, лимон, панировка.",Роллы,380 с,https://nambafood.kg/dish_image/109717.png
Филадельфия,"Рис, креметта, крабовые палочки, тобико, нори, соус, васаби, маринованный имбирь, лимон, авокадо.",Роллы,360 с,https://nambafood.kg/dish_image/109621.png
Калифорния,"Рис, креметта, крабовые палочки, тобико, нори, соус, васаби, маринованный имбирь, лимон, авокадо.",Роллы,350 с,https://nambafood.kg/dish_image/74147.png
Запеченные роллы с курицей,"Рис, нори, куриная грудка, сыр креметта, соус спайси, унаги соус, имбирь, васаби, соус, кунжут.",Роллы,320 с,https://nambafood.kg/dish_image/109711.png
Сет «Флорида»‎‎,"Филадельфия, унаги ролл, темпура сяке, имбирь, васаби, соус.",Роллы,1300 с,https://nambafood.kg/dish_image/110457.png
Сет «Сакура»‎‎,"Джокер ролл, запеченный ролл курица с кунжутом, маки роллы, имбирь, васаби, соус.",Роллы,1000 с,https://nambafood.kg/dish_image/110458.png
Феттучини с курицей,,Паста,330 с,https://nambafood.kg/dish_image/74139.png
Феттучини с лососем,,Паста,380 с,https://nambafood.kg/dish_image/74143.png
Фетучини с креветками,,Паста,380 с,https://nambafood.kg/dish_image/109660.png
Фри,,Гарниры,130 с,https://nambafood.kg/dish_image/74173.png
Крокеты,,Гарниры,130 с,https://nambafood.kg/dish_image/74174.png
Рис,,Гарниры,100 с,https://nambafood.kg/dish_image/74175.png
Овощи на гриле,,Гарниры,170 с,https://nambafood.kg/dish_image/109657.png
Т-Bone стейк с соусом сальса,,Стейки,700 с,https://nambafood.kg/dish_image/74151.png
Рибай стейк с овощами гриль,,Стейки,750 с,https://nambafood.kg/dish_image/74153.png
Бонаква газированная,1л.,Напитки,80 с,https://nambafood.kg/dish_image/140735.png
Бонаква негазированная,1л.,Напитки,80 с,https://nambafood.kg/dish_image/140736.png
Coca-Cola 1 л,1л.,Напитки,160 с,https://nambafood.kg/dish_image/140737.png
Fanta 1 л,1л.,Напитки,160 с,https://nambafood.kg/dish_image/140738.png
Sprite 1 л,1л.,Напитки,160 с,https://nambafood.kg/dish_image/140739.png
Borjomi,,Напитки,200 с,https://nambafood.kg/dish_image/74196.png
Red bull,,Напитки,230 с,https://nambafood.kg/dish_image/74198.png
