Наименование,Описание,Категория,Цена,Фото
Манты с картошкой,5 шт,Манты,180 с,https://nambafood.kg/dish_image/80833.png
Манты с мясом,"5 шт, говядина",Манты,200 с,https://nambafood.kg/dish_image/80838.png
Манты без жира,"5 шт, говядина, диетические",Манты,220 с,https://nambafood.kg/dish_image/80840.png
Манты с жусаем,5 шт,Манты,180 с,https://nambafood.kg/dish_image/80836.png
Лепешка 1 шт,,Манты,20 с,https://nambafood.kg/dish_image/80857.png
Самсы с мясом,"1 шт слоеные, говядина",Самсы,70 с,https://nambafood.kg/dish_image/80856.png
Самсы курица с сыром,1 шт слоеные,Самсы,70 с,https://nambafood.kg/dish_image/80852.png
Самсы с курицей,1 шт слоеные,Самсы,70 с,https://nambafood.kg/dish_image/80853.png
Самсы Картошка,,Самсы,60 с,https://nambafood.kg/dish_image/137169.png
"Coca Cola 0,5 л","0,5 л",Напитки,55 с,https://nambafood.kg/dish_image/80845.png
Coca-Cola 1 л.,1 л,Напитки,90 с,https://nambafood.kg/dish_image/80846.png
"Fanta 0,5 л.","0,5 л",Напитки,55 с,https://nambafood.kg/dish_image/80847.png
Fanta 1 л.,1 л,Напитки,90 с,https://nambafood.kg/dish_image/80848.png
"Sprite 0,5 л.","0,5 л",Напитки,55 с,https://nambafood.kg/dish_image/80849.png
Sprite 1 л.,1 л,Напитки,90 с,https://nambafood.kg/dish_image/80850.png
"Fuse tea 0,5 л.",,Напитки,55 с,https://nambafood.kg/dish_image/140681.png
Fuse tea 1 л.,,Напитки,85 с,https://nambafood.kg/dish_image/140685.png
"Бонаква 0,5 л",,Напитки,30 с,https://nambafood.kg/dish_image/140683.png
Бонаква 1 л,,Напитки,35 с,https://nambafood.kg/dish_image/140684.png
Компот 1 л,,Напитки,90 с,https://nambafood.kg/dish_image/85926.png
