Наименование,Описание,Категория,Цена,Фото
Чизбургер «Бир Эки» говядина,"Свежие помидоры, соленые огурцы, листья салата, сыр чеддер, кетчуп, майонез.",Бургеры,139 с,https://nambafood.kg/dish_image/116361.png
Чизбургер «Бир Эки» курица,"Свежие помидоры, соленые огурцы, листья салата, сыр чеддер, кетчуп, майонез.",Бургеры,139 с,https://nambafood.kg/dish_image/119554.png
Калифорния бургер,"Горчичный соус, красная капуста, свежие помидоры, соленые огурцы, сыр чеддер.",Бургеры,149 с,https://nambafood.kg/dish_image/116362.png
Барселона бургер говядина,"Чесночный соус, листья салата, свежие помидоры, свежие огурцы, красный лук, халапеньо, сыр чеддер.",Бургеры,149 с,https://nambafood.kg/dish_image/116363.png
Барселона бургер курица,"Чесночный соус, листья салата, свежие помидоры, свежие огурцы, красный лук, халапеньо, сыр чеддер.",Бургеры,149 с,https://nambafood.kg/dish_image/119555.png
Чизбургер лайт говядина,"Соленые огурцы, репчатый лук, сыр чеддер, кетчуп, майонез.",Бургеры,129 с,https://nambafood.kg/dish_image/116364.png
Чизбургер лайт курица,"Соленые огурцы, репчатый лук, сыр чеддер, кетчуп, майонез.",Бургеры,129 с,https://nambafood.kg/dish_image/119556.png
Гамбургер с говядиной,"Сочная говядина, свежие помидоры, свежие огурцы, свежий салат, премиум картофель фри, кетчуп, майонез.",Бургеры,120 с,https://nambafood.kg/dish_image/116365.png
Гамбургер с курицей,"Сочная курица, свежие помидоры, свежие огурцы, свежий салат, премиум картофель фри, кетчуп, майонез.",Бургеры,120 с,https://nambafood.kg/dish_image/116366.png
Классическая шаурма с говядиной,"Сочная говядина, свежие помидоры, свежие огурцы, свежий салат, премиум картофель фри, кетчуп, майонез.",Шаурма,159 с,https://nambafood.kg/dish_image/116371.png
Классическая шаурма с курицей,"Сочная курица, свежие помидоры, свежие огурцы, свежий салат, премиум картофель фри, кетчуп, майонез.",Шаурма,159 с,https://nambafood.kg/dish_image/116372.png
Запеченная шаурма с говядиной,"Сочная говядина, свежие помидоры, свежие огурцы, фирменный шашлычный соус, фирменный сырный соус, чипсы «Пир»",Шаурма,169 с,https://nambafood.kg/dish_image/116375.png
Запеченная шаурма с курицей,"Сочная курица, свежие помидоры, свежие огурцы, фирменный шашлычный соус, фирменный сырный соус, чипсы «Пир»",Шаурма,169 с,https://nambafood.kg/dish_image/116373.png
Шаурма «Барселона» говядина,"Сочная говядина, чесночный соус, листья салата, свежие помидоры, свежие огурцы, красный лук, халапеньо, картофель фри.",Шаурма,169 с,https://nambafood.kg/dish_image/116376.png
Шаурма «Барселона» курица,"Сочная говядина, чесночный соус, листья салата, свежие помидоры, свежие огурцы, красный лук, халапеньо, картофель фри.",Шаурма,169 с,https://nambafood.kg/dish_image/119552.png
Наггетсы,,Снэки,139 с,https://nambafood.kg/dish_image/116377.png
Картофель фри,,Снэки,89 с,https://nambafood.kg/dish_image/116378.png
Картофельные дольки,,Снэки,99 с,https://nambafood.kg/dish_image/116379.png
Компот 0.5,,Напитки,59 с,https://nambafood.kg/dish_image/116394.png
"Coca-cola 0,5 л",,Напитки,49 с,https://nambafood.kg/dish_image/131791.png
"Bonaqua без газа 0,5 л.",,Напитки,35 с,https://nambafood.kg/dish_image/131792.png
