Наименование,Описание,Категория,Цена,Фото
Каша манная,350гр,Завтраки с 8.00 до 11.00,85 с,https://nambafood.kg/dish_image/48684.png
Каша овсяная,350гр,Завтраки с 8.00 до 11.00,85 с,https://nambafood.kg/dish_image/48685.png
Каша рисовая,350гр,Завтраки с 8.00 до 11.00,85 с,https://nambafood.kg/dish_image/67809.png
Классический омлет,120гр,Завтраки с 8.00 до 11.00,90 с,https://nambafood.kg/dish_image/48686.png
Английский завтрак,"300 гр. Яичница, гренки,сосиска,зелень,овощи, брынза",Завтраки с 8.00 до 11.00,195 с,https://nambafood.kg/dish_image/101006.png
Гренки,3шт,Завтраки с 8.00 до 11.00,80 с,https://nambafood.kg/dish_image/48687.png
Гренки с чесноком,3шт,Завтраки с 8.00 до 11.00,80 с,https://nambafood.kg/dish_image/50199.png
Сырники  со сметаной,2шт,Завтраки с 8.00 до 11.00,135 с,https://nambafood.kg/dish_image/48696.png
Сырники с вареньем,2шт,Завтраки с 8.00 до 11.00,135 с,https://nambafood.kg/dish_image/48697.png
Блинчики со сметаной,3шт,Завтраки с 8.00 до 11.00,75 с,https://nambafood.kg/dish_image/48690.png
Блинчки с джемом,3шт,Завтраки с 8.00 до 11.00,75 с,https://nambafood.kg/dish_image/48691.png
Блинчики со сгущенкой,3шт,Завтраки с 8.00 до 11.00,75 с,https://nambafood.kg/dish_image/48693.png
Блинчики с творогом,2шт,Завтраки с 8.00 до 11.00,115 с,https://nambafood.kg/dish_image/48694.png
Блинчики с мясом,2шт,Завтраки с 8.00 до 11.00,135 с,https://nambafood.kg/dish_image/48695.png
Яичница в лаваше с сыром и ветчиной,,Завтраки с 8.00 до 11.00,195 с,https://nambafood.kg/dish_image/130572.png
Фирменый смалец,"100гр перекрученое белое сало с чесноком, горчица",Холодные Закуски \ Салаты,130 с,https://nambafood.kg/dish_image/48698.png
Фирменная закуска «Тарас Бульба»,"250гр Сало копченое, сало соленое,огурцы сол.,горчица",Холодные Закуски \ Салаты,285 с,https://nambafood.kg/dish_image/48802.png
"Селедка с луком, картошкой и грибами",150гр,Холодные Закуски \ Салаты,165 с,https://nambafood.kg/dish_image/48699.png
Закуска «Погребок»,300гр. Капуста квашеная с солеными огурцами и грибочками.,Холодные Закуски \ Салаты,175 с,https://nambafood.kg/dish_image/67813.png
Салат «Зеленый»,"200гр (Свежие огурцы, помидоры, зелень, масло олив.)",Холодные Закуски \ Салаты,125 с,https://nambafood.kg/dish_image/48700.png
Салат «Свекольный с брынзой»,"200гр (Свекла отварная,брынза,кукуруза,чеснок,майонез)",Холодные Закуски \ Салаты,90 с,https://nambafood.kg/dish_image/48701.png
Салат «Греческий»,"200гр (Свежие огурцы, помидоры, зелень, оливки, брынза)",Холодные Закуски \ Салаты,140 с,https://nambafood.kg/dish_image/48702.png
Салат из красной фасоли,"200гр (Огурцы, помидоры, фасоль, зелень, оливки, соевый соус)",Холодные Закуски \ Салаты,125 с,https://nambafood.kg/dish_image/67816.png
Салат «Винегрет»,"200гр (Капуста квашен.,огурцы солен.,фасоль,картофель, зелень, масло раст.,)",Холодные Закуски \ Салаты,90 с,https://nambafood.kg/dish_image/48704.png
Салат «Оливье»,"200гр (Отвар. Картофель,яйцо, мясо говяд., огурец сол., горошек,майонез)",Холодные Закуски \ Салаты,135 с,https://nambafood.kg/dish_image/48706.png
Салат «Весенний»,"200гр (Свежая капуста, огурец, зелень, масло раст.)",Холодные Закуски \ Салаты,75 с,https://nambafood.kg/dish_image/48703.png
Овощная нарезка  с  брынзой,200гр,Холодные Закуски \ Салаты,240 с,https://nambafood.kg/dish_image/67815.png
"Салат ""Майский""","200гр (Редиска, огурец, яйцо, зелень, сметана или масло раст)",Холодные Закуски \ Салаты,145 с,https://nambafood.kg/dish_image/67814.png
Салат «Цезарь» с курицей,"200гр (Салат, грудка, соус ""Цезарь"", сухари)",Холодные Закуски \ Салаты,240 с,https://nambafood.kg/dish_image/48708.png
Салат «Под шубой»,200гр,Холодные Закуски \ Салаты,140 с,https://nambafood.kg/dish_image/48709.png
Салат «Витаминка»,"200гр (Морковка,огурец,капуста,зелень,масло раст.)",Холодные Закуски \ Салаты,85 с,https://nambafood.kg/dish_image/48710.png
Салат «Куриный»,"200гр (Куриное филе, морковка,капуста,зелень,майонез.)",Холодные Закуски \ Салаты,115 с,https://nambafood.kg/dish_image/48711.png
Салат «Баклажан»,"200гр (Баклажаны, помидор, перец бол., соев. Соус, чеснок, специи)",Холодные Закуски \ Салаты,145 с,https://nambafood.kg/dish_image/67817.png
Вареники с картошкой,300гр со сметаной и жареным луком,Фирменные горячие блюда,135 с,https://nambafood.kg/dish_image/48712.png
Вареники с  сыром и кинзой,300гр со сметаной,Фирменные горячие блюда,145 с,https://nambafood.kg/dish_image/48713.png
Вареники с капустой,300гр со сметаной,Фирменные горячие блюда,145 с,https://nambafood.kg/dish_image/48714.png
Вареники с картошкой и грибами,300гр со сметаной и жареным луком,Фирменные горячие блюда,145 с,https://nambafood.kg/dish_image/48717.png
Вареники со шпинатом,300гр со сметаной,Фирменные горячие блюда,155 с,https://nambafood.kg/dish_image/48718.png
