Наименование,Описание,Категория,Цена,Фото
Карпаччо из телятины,"120 гр. телятина, сыр пармезан, бальзамический уксус, руккола, кедровые орехи",Холодные закуски,430 с,https://nambafood.kg/dish_image/31550.png
Бокадильо де хамон иберико кон томате,"3шт (томатный соус, оливковое масло, ветчина (хамон иберико), чеснок, хлеб)",Холодные закуски,790 с,https://nambafood.kg/dish_image/95271.png
Брускетта классическая,"3шт (хлеб, чеснок, оливковое масло, помидоры, базилик, лук, маслины, сыр пармезан)",Холодные закуски,290 с,https://nambafood.kg/dish_image/95272.png
Брускетта свекольная,"3шт (хлеб, оливковое масло, свекла, яблоки, грецкий орех)",Холодные закуски,290 с,https://nambafood.kg/dish_image/58560.png
«Картофельная брускетта» с лососем,"3шт (картофель, оливковое масло, чеснок, лосось, укроп, сметана)",Холодные закуски,315 с,https://nambafood.kg/dish_image/95295.png
Kьополу,"(рекомендуем с фокачча) 100гр (баклажаны, помидоры, болгарский перец, чеснок, приправы, масло оливковое)",Холодные закуски,165 с,https://nambafood.kg/dish_image/103965.png
"Грибы, запеченные с сыром","130 гр. шампиньоны, сыр, грецкий орех",Горячие закуски,295 с,https://nambafood.kg/dish_image/31529.png
Салат «Винотека»,"250гр (руккола, помидоры черри, вяленные помидоры, грибы шампиньоны, сыр пармезан, медово-горчичный соус)",Салаты,495 с,https://nambafood.kg/dish_image/95319.png
Летний салат,"200 гр. айсберг, огурцы, помидоры, соус",Салаты,395 с,https://nambafood.kg/dish_image/31546.png
Шопска салата,"брынза, огурцы, помидоры, перец болгарский, лук, маслины, соус",Салаты,395 с,https://nambafood.kg/dish_image/58563.png
Капрезе,"250 гр. помидоры, сыр моцарелла, базилик, соус песто",Салаты,495 с,https://nambafood.kg/dish_image/31545.png
Цезарь с курицей,"280 гр. куриная грудка, помидоры черри, микс салат, сыр пармезан, гренки, соус цезарь",Салаты,495 с,https://nambafood.kg/dish_image/31534.png
Теплый салат с курицей,"200 гр. Куринная грудка, болгарский перец, фасоль стручковая, лук, петрушка",Салаты,495 с,https://nambafood.kg/dish_image/31533.png
Салат с грушей и сыром,"250 гр. Микс салат, руккола, груши, дор блю, грецкий орех, красный лук, бальзамик",Салаты,495 с,https://nambafood.kg/dish_image/103961.png
