Наименование,Описание,Категория,Цена,Фото
Салат из языка по-китайски,"Говяжий язык, помидоры, огурцы, лук, специи острые.",Салаты,195 с,https://nambafood.kg/dish_image/136809.png
Гриль салат «Цезарь»,"Филе курицы гриль, сухари, листья салата, китайская капуста, сыр пармезан.",Салаты,205 с,https://nambafood.kg/dish_image/129277.png
Салат из говядины,по-китайски,Салаты,195 с,https://nambafood.kg/dish_image/136810.png
Салат «Свежий зеленый»,,Салаты,130 с,https://nambafood.kg/dish_image/129273.png
Теплый овощной салат,C филе телятины на гриле.,Салаты,240 с,https://nambafood.kg/dish_image/129278.png
Хрустящий салат с филе курочки,,Салаты,185 с,https://nambafood.kg/dish_image/129275.png
Салат из филе курочки заправленный соусом «Цезарь»,,Салаты,185 с,https://nambafood.kg/dish_image/129463.png
Греческий салат,,Салаты,160 с,https://nambafood.kg/dish_image/129365.png
Шакарап,,Салаты,105 с,https://nambafood.kg/dish_image/129280.png
Салат из требухи по-китайски,,Салаты,140 с,https://nambafood.kg/dish_image/129282.png
Салат свежий,,Салаты,105 с,https://nambafood.kg/dish_image/129425.png
Чечевичный крем-суп,,Первые блюда,135 с,https://nambafood.kg/dish_image/129251.png
Суп с фрикадельками,,Первые блюда,155 с,https://nambafood.kg/dish_image/129387.png
Пельмени,,Первые блюда,160 с,https://nambafood.kg/dish_image/129386.png
Шорпо с говядиной,,Первые блюда,175 с,https://nambafood.kg/dish_image/129286.png
Ашлям-фу,,Первые блюда,140 с,https://nambafood.kg/dish_image/129388.png
Борщ,,Первые блюда,165 с,https://nambafood.kg/dish_image/129256.png
Суп-лапша куриная,,Первые блюда,165 с,https://nambafood.kg/dish_image/129378.png
Суп из щавеля,С отварной телятиной,Первые блюда,170 с,https://nambafood.kg/dish_image/129284.png
Мампар,,Первые блюда,155 с,https://nambafood.kg/dish_image/129252.png
Чучвара,Из говяжьего фарша,Первые блюда,160 с,https://nambafood.kg/dish_image/129253.png
Солянка сборная,,Первые блюда,175 с,https://nambafood.kg/dish_image/129255.png
Сырный суп,С филе курочки-гриль с поджаристым хлебушком,Первые блюда,165 с,https://nambafood.kg/dish_image/129283.png
Шорпо из курочки,,Первые блюда,165 с,https://nambafood.kg/dish_image/129455.png
Уха с форелью,,Первые блюда,180 с,https://nambafood.kg/dish_image/129429.png
Мясо со шпинатом,,Вторые блюда,275 с,https://nambafood.kg/dish_image/136811.png
Курица со шпинатом,,Вторые блюда,270 с,https://nambafood.kg/dish_image/129457.png
Бешбармак,,Вторые блюда,265 с,https://nambafood.kg/dish_image/129389.png
Азу по-татарски,,Вторые блюда,245 с,https://nambafood.kg/dish_image/129438.png
Бризоль,,Вторые блюда,200 с,https://nambafood.kg/dish_image/136785.png
Пельмени жареные,,Вторые блюда,200 с,https://nambafood.kg/dish_image/129390.png
Фрикасе с филе курочки без гарнира,,Вторые блюда,180 с,https://nambafood.kg/dish_image/129291.png
Бифштекс с яйцом,,Вторые блюда,185 с,https://nambafood.kg/dish_image/129391.png
Бефстроганов с телятины,,Вторые блюда,195 с,https://nambafood.kg/dish_image/129292.png
Гуляш,Без гарнира,Вторые блюда,195 с,https://nambafood.kg/dish_image/141857.png
Котлета из курицы,3 шт.,Вторые блюда,190 с,https://nambafood.kg/dish_image/129392.png
Котлеты из говядины,3 шт.,Вторые блюда,190 с,https://nambafood.kg/dish_image/136806.png
Манты (готовят с 14:00),Важно! по воскресеньям манты не готовят,Вторые блюда,190 с,https://nambafood.kg/dish_image/129258.png
Жареные манты (готовят с 14:00),,Вторые блюда,200 с,https://nambafood.kg/dish_image/129431.png
Плов,,Вторые блюда,220 с,https://nambafood.kg/dish_image/129259.png
Плов на заказ,1 кг,Вторые блюда,1800 с,https://nambafood.kg/dish_image/130097.png
Спагетти болоньезе с телятиной,,Вкус Востока,280 с,https://nambafood.kg/dish_image/129287.png
Спагетти болоньезе с курицей,,Вкус Востока,280 с,https://nambafood.kg/dish_image/129288.png
Паста феттучини с филе форели,в сливочном соусе,Вкус Востока,280 с,https://nambafood.kg/dish_image/129452.png
Паста феттучини с филе курицы,в сливочном соусе,Вкус Востока,280 с,https://nambafood.kg/dish_image/129453.png
Паста феттучини с филе телятины,в сливочном соусе,Вкус Востока,280 с,https://nambafood.kg/dish_image/129454.png
Мешоро,,Вкус Востока,290 с,https://nambafood.kg/dish_image/129293.png
Лазуро,,Вкус Востока,290 с,https://nambafood.kg/dish_image/129294.png
Лазыджи,,Вкус Востока,290 с,https://nambafood.kg/dish_image/129295.png
Печень с луком,,Вкус Востока,225 с,https://nambafood.kg/dish_image/129300.png
