Наименование,Описание,Категория,Цена,Фото
Яичница,2 шт,Завтраки (до 12:00),50 с,https://nambafood.kg/dish_image/119092.png
Сосиски,2 шт,Завтраки (до 12:00),90 с,https://nambafood.kg/dish_image/119093.png
Блины с мясом,2 шт,Завтраки (до 12:00),100 с,https://nambafood.kg/dish_image/119094.png
Блины с творогом,2 шт,Завтраки (до 12:00),70 с,https://nambafood.kg/dish_image/119084.png
Блины со сметаной,2 шт,Завтраки (до 12:00),60 с,https://nambafood.kg/dish_image/119083.png
Омлет,,Завтраки (до 12:00),95 с,https://nambafood.kg/dish_image/119095.png
Сырники,3 шт,Завтраки (до 12:00),90 с,https://nambafood.kg/dish_image/119096.png
Каша рисовая,,Завтраки (до 12:00),80 с,https://nambafood.kg/dish_image/119068.png
Каша овсяная,,Завтраки (до 12:00),80 с,https://nambafood.kg/dish_image/119069.png
Каша гречневая,,Завтраки (до 12:00),80 с,https://nambafood.kg/dish_image/119070.png
Яйца вареные,1 шт.,Завтраки (до 12:00),20 с,https://nambafood.kg/dish_image/120366.png
Морковный салат,,Салаты,60 с,https://nambafood.kg/dish_image/119097.png
Капустный салат,,Салаты,40 с,https://nambafood.kg/dish_image/119098.png
Шакарап,,Салаты,60 с,https://nambafood.kg/dish_image/119100.png
Оливье,,Салаты,70 с,https://nambafood.kg/dish_image/119086.png
Свежий салат с майонезом,,Салаты,70 с,https://nambafood.kg/dish_image/119101.png
Свежий салат со сметаной,,Салаты,70 с,https://nambafood.kg/dish_image/119102.png
Греческий салат,,Салаты,100 с,https://nambafood.kg/dish_image/119103.png
Китайский салат,"Мясо говядины, помидоры, огурцы, перец",Салаты,150 с,https://nambafood.kg/dish_image/119104.png
Цезарь с курицей,,Салаты,150 с,https://nambafood.kg/dish_image/119087.png
Мясо со шпинатом,,Салаты,150 с,https://nambafood.kg/dish_image/119105.png
Салат от шефа,"Брокколи, капуста, фирменный соус",Салаты,100 с,https://nambafood.kg/dish_image/119079.png
"Борщ 0,7",,Первые блюда,100 с,https://nambafood.kg/dish_image/119106.png
Борщ,,Первые блюда,110 с,https://nambafood.kg/dish_image/119107.png
"Солянка мясная 0,7",,Первые блюда,120 с,https://nambafood.kg/dish_image/119065.png
Солянка мясная,,Первые блюда,150 с,https://nambafood.kg/dish_image/119066.png
Суп лапша по-домашнему,,Первые блюда,120 с,https://nambafood.kg/dish_image/119063.png
Вареники,,Первые блюда,100 с,https://nambafood.kg/dish_image/119109.png
Чечевичный суп,,Первые блюда,110 с,https://nambafood.kg/dish_image/119082.png
"Мампар 0,7",Насыщенный суп с овощами и маленькими кусочками домашнего теста,Первые блюда,110 с,https://nambafood.kg/dish_image/119110.png
Мампар,Насыщенный суп с овощами и маленькими кусочками домашнего теста,Первые блюда,140 с,https://nambafood.kg/dish_image/119111.png
Чучвара,"Говядина, пельмешки, морковь, редька, болгарский перец, сметана",Первые блюда,150 с,https://nambafood.kg/dish_image/119112.png
Пельмени,,Первые блюда,150 с,https://nambafood.kg/dish_image/119113.png
Шорпо,"Баранина, картофель, морковь, лук, зелень",Первые блюда,160 с,https://nambafood.kg/dish_image/119076.png
"Сырный суп 0,7",,Первые блюда,120 с,https://nambafood.kg/dish_image/119114.png
Сырный суп,,Первые блюда,160 с,https://nambafood.kg/dish_image/119115.png
Сан тан ру,"Говядина, болгарский перец, басай, чеснок, черные грибы, фунчоза",Первые блюда,180 с,https://nambafood.kg/dish_image/119091.png
Лагман домашний,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119118.png
Ганфан домашний,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119119.png
Бризоль,,Вторые блюда,160 с,https://nambafood.kg/dish_image/119131.png
Котлеты без гарнира 2 шт,,Вторые блюда,150 с,https://nambafood.kg/dish_image/119533.png
Бифштекс без гарнира,,Вторые блюда,150 с,https://nambafood.kg/dish_image/119077.png
Манты с мясом,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119067.png
Мясо по-французски,,Вторые блюда,160 с,https://nambafood.kg/dish_image/119089.png
Гуляш без гарнира,,Вторые блюда,155 с,https://nambafood.kg/dish_image/119129.png
Фрикасе без гарнира,,Вторые блюда,140 с,https://nambafood.kg/dish_image/119121.png
Шницель куриный,,Вторые блюда,200 с,https://nambafood.kg/dish_image/119075.png
Гюро ганфан,,Вторые блюда,180 с,https://nambafood.kg/dish_image/119122.png
Босо лагман,,Вторые блюда,190 с,https://nambafood.kg/dish_image/119088.png
Гюро лагман,,Вторые блюда,180 с,https://nambafood.kg/dish_image/119123.png
Плов,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119078.png
Жареные пельмени,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119124.png
Судак на пару,,Вторые блюда,210 с,https://nambafood.kg/dish_image/119125.png
Филе куриное,,Вторые блюда,200 с,https://nambafood.kg/dish_image/119126.png
Курица с брокколи,,Вторые блюда,210 с,https://nambafood.kg/dish_image/119127.png
Спагетти болоньезе,,Вторые блюда,170 с,https://nambafood.kg/dish_image/119128.png
Лазиру,"Говядина, перец, лук, специи",Восточные блюда,210 с,https://nambafood.kg/dish_image/119132.png
Лазиджи,Жареное куриное филе с овощами,Восточные блюда,195 с,https://nambafood.kg/dish_image/119133.png
Беликсяй,Жареная рыба филе с овощами,Восточные блюда,200 с,https://nambafood.kg/dish_image/119134.png
Мушуру,"Телятина, перец, омлет, грибы древесные",Восточные блюда,230 с,https://nambafood.kg/dish_image/119135.png
Фунчеза с овощами,,Восточные блюда,200 с,https://nambafood.kg/dish_image/119074.png
Казан кебаб с говядиной,"Говядина, картофель, лук, зира.",Восточные блюда,210 с,https://nambafood.kg/dish_image/119136.png
Казан кебаб с курицей,"Курица, картофель, лук, зира.",Восточные блюда,190 с,https://nambafood.kg/dish_image/120370.png
Фри с мясом,,Восточные блюда,210 с,https://nambafood.kg/dish_image/119137.png
Фирменный лагман,,Восточные блюда,190 с,https://nambafood.kg/dish_image/119139.png
Куурдак,Баранина жареная с картофелем и луком,Восточные блюда,260 с,https://nambafood.kg/dish_image/119085.png
Жаровня из говядины,,Восточные блюда,260 с,https://nambafood.kg/dish_image/119140.png
Жаровня из курицы,,Восточные блюда,200 с,https://nambafood.kg/dish_image/120372.png
