Наименование,Описание,Категория,Цена,Фото
«Медуза заблудилась»,"2 кг / 140 г. Семга, креветки тигровые, морской гребешок, осьминоги, кальмары, морские мидии, овощи гриль, соус лимонный, соус сливочный.",Пивные закуски,7630 с,https://nambafood.kg/dish_image/39755.png
Мидии,"120/150 г. Мидии, лайм, лимон, маслины три вида, соус.",Пивные закуски,669 с,https://nambafood.kg/dish_image/39715.png
Пивная горка,"500/100 г. Креветки, кальмары, луковые кольца, сыр, крылышки, тосты чесночные.",Пивные закуски,789 с,https://nambafood.kg/dish_image/46027.png
Пивное рыбное ассорти,500/20 г. Пять видов копченой рыбы и сливочное масло.,Пивные закуски,839 с,https://nambafood.kg/dish_image/39754.png
Форель копченая,200/30 г,Пивные закуски,387 с,https://nambafood.kg/dish_image/39684.png
Креветки с соусом,200/50 г,Пивные закуски,467 с,https://nambafood.kg/dish_image/39752.png
Креветки с соевым соусом,200/50 г,Пивные закуски,467 с,https://nambafood.kg/dish_image/40360.png
Вобла,2 шт.,Пивные закуски,189 с,https://nambafood.kg/dish_image/39732.png
Фисташки,1 п.,Пивные закуски,182 с,https://nambafood.kg/dish_image/40365.png
Арахис,1 п.,Пивные закуски,142 с,https://nambafood.kg/dish_image/39714.png
Сухарики «Хрус Team»,1 п.,Пивные закуски,97 с,https://nambafood.kg/dish_image/62401.png
Чипсы,1 п.,Пивные закуски,73 с,https://nambafood.kg/dish_image/62402.png
Курут,30 гр.,Пивные закуски,94 с,https://nambafood.kg/dish_image/40364.png
Корюшка,70 гр.,Пивные закуски,172 с,https://nambafood.kg/dish_image/62403.png
Чечель жареный,50 гр.,Пивные закуски,141 с,https://nambafood.kg/dish_image/62405.png
Веселый кальмар,200 г. Кольца кальмара в темпуре с соусом.,Пивные закуски,426 с,https://nambafood.kg/dish_image/62406.png
Сырные палочки,"200 г. Сыр, сухари панировочные.",Пивные закуски,234 с,https://nambafood.kg/dish_image/40347.png
Закуска «Душевно посидим»,"400 г. Сыр сулугуни, куриные крылья, картофельные дольки, соус тар-тар.",Пивные закуски,456 с,https://nambafood.kg/dish_image/62407.png
Тарелка к пиву «Товарищ Сухов»,"300 г. Бастурма, осьминоги, говядина копченая, сосиски охотничьи.",Пивные закуски,452 с,https://nambafood.kg/dish_image/46026.png
Куриные хрустики,"200 г. Курица, сухарики панировочные.",Пивные закуски,192 с,https://nambafood.kg/dish_image/40353.png
Луковые кольца в пивном кляре,200 г,Пивные закуски,166 с,https://nambafood.kg/dish_image/40044.png
Чесночные палочки,150 г. Черный хлеб с морской солью.,Пивные закуски,211 с,https://nambafood.kg/dish_image/40045.png
Закуска «Совет федераций»,"400 г. Подушечки сырные, луковые кольца, картофельные дольки, крокеты, соус тар-тар.",Пивные закуски,487 с,https://nambafood.kg/dish_image/62408.png
Тарелка фри,"300/70 г. Картофель фри, крокеты, тигровые креветки, осьминоги, соус чесночный.",Пивные закуски,493 с,https://nambafood.kg/dish_image/39682.png
Шашлык из судака,200 г,Шашлыки,369 с,https://nambafood.kg/dish_image/39819.png
Шашлык из баранины,180 г,Шашлыки,381 с,https://nambafood.kg/dish_image/39820.png
Шашлык из говядины,180 г,Шашлыки,327 с,https://nambafood.kg/dish_image/40046.png
Шашлык из бараньих ребрышек,180 г,Шашлыки,368 с,https://nambafood.kg/dish_image/40363.png
Шашлык из печени,200 г,Шашлыки,292 с,https://nambafood.kg/dish_image/40048.png
Шашлык из курицы,180 г,Шашлыки,288 с,https://nambafood.kg/dish_image/40050.png
Шашлык из куриных крыльев,200 г,Шашлыки,276 с,https://nambafood.kg/dish_image/40349.png
Шашлык из овощей,300 г,Шашлыки,221 с,https://nambafood.kg/dish_image/40052.png
Люля кебаб из баранины,200 г,Шашлыки,286 с,https://nambafood.kg/dish_image/40053.png
Кебаб в рубашке,200 г,Шашлыки,299 с,https://nambafood.kg/dish_image/40054.png
Ассорти из шашлыков,540 г,Шашлыки,839 с,https://nambafood.kg/dish_image/40359.png
Мясо гриль,500 г,Шашлыки,1352 с,https://nambafood.kg/dish_image/39690.png
Гамбургер «По-взрослому»,"1 шт. Гамбургер с мясом баранины, салатом из лука, болгарского перца, огурцов и помидоров.",Шашлыки,319 с,https://nambafood.kg/dish_image/39717.png
Макос,"250 г. Сыр, говядина, фасоль, перец болгарский, помидоры, зелень, лаваш.",Мексиканская кухня,345 с,https://nambafood.kg/dish_image/62409.png
Курица по-мексикански,"300 г. Курица, лук, болгарский перец, кукуруза, табаско, зеленый лук.",Мексиканская кухня,334 с,https://nambafood.kg/dish_image/39713.png
Буррито,"250 г. Куриная грудка, сыр, перец болгарский, помидоры, лаваш.",Мексиканская кухня,298 с,https://nambafood.kg/dish_image/39733.png
Союз не рушимый,"300 г. Сельдь с картофелем, луком и огурцы соленые.",Под водочку,296 с,https://nambafood.kg/dish_image/39729.png
Сюрприз ГПТ,250 г. Капуста маринованная по-грузински.,Под водочку,169 с,https://nambafood.kg/dish_image/39728.png
Соленые огурцы,200 г,Под водочку,109 с,https://nambafood.kg/dish_image/40060.png
Тещин язык,250 г. Рулетики из баклажан с помидорами.,Под водочку,286 с,https://nambafood.kg/dish_image/40062.png
Рулетики из цукини с помидорами,250 г,Под водочку,286 с,https://nambafood.kg/dish_image/39726.png
«Морское канапе»,"6 шт. Яйцо, зелень, хлеб белый, креветки, майонез.",Под водочку,327 с,https://nambafood.kg/dish_image/39692.png
«Госпремия»,"300 г. Блинчики, фаршированные копченой семгой и красной икрой, креветки, яйца с икрой, украшенные зеленью.",Под водочку,879 с,https://nambafood.kg/dish_image/39731.png
Рыбное ассорти,"280 г. Эсколар копченный, семга соленая, мидии, креветки, лимон, карбонат, маслины.",Под водочку,924 с,https://nambafood.kg/dish_image/39750.png
«Тартальетки с говяжьим паштетом»,"9 шт. Тарталетки, мясо говядина, масло сливочное.",Под водочку,387 с,https://nambafood.kg/dish_image/62736.png
«Двойняшки»,"2 шт. Хлеб черный, яйцо, сыр тильзитский, чеснок, майонез, карнишоны.",Под водочку,141 с,https://nambafood.kg/dish_image/39696.png
«Брускета с семгой»,"2 шт. Хлеб белый, сыр филадельфия, семга слабосольная.",Под водочку,458 с,https://nambafood.kg/dish_image/62778.png
«Морское братство»,"250 г. Осьминожки, мидии, кольца кальмаров, креветки, креветки тигровые, лимон, маслины.",Под водочку,1582 с,https://nambafood.kg/dish_image/39693.png
Сырная тарелка,"300 г. Пять видов сыра, мед, грецкие орехи, виноград.",Под водочку,646 с,https://nambafood.kg/dish_image/39680.png
Посол Советского Союза (без сала),"400 г. Ассорти солений, капуста квашеная, корнишоны. помидоры черри, потисоны, лук репчатый, картофель.",Под водочку,497 с,https://nambafood.kg/dish_image/39702.png
Цезарь с креветками,"250 г. Айсберг, креветки, помидоры, соус цезарь, сыр пармезан.",Салаты,473 с,https://nambafood.kg/dish_image/40063.png
Цезарь с курицей,"250 г. Айсберг, курица, помидоры, соус цезарь, сыр пармезан.",Салаты,344 с,https://nambafood.kg/dish_image/40064.png
Не болтай! Держи язык за зубами,250 г. Салат из языка и овощей.,Салаты,396 с,https://nambafood.kg/dish_image/39722.png
С новым годом!,250 г. Салат «Оливье» с икрой.,Салаты,381 с,https://nambafood.kg/dish_image/40065.png
«А зори здесь красные!»,250 г. Свекольный салат с сыром дор блю.,Салаты,268 с,https://nambafood.kg/dish_image/62780.png
Горячий баклажанный салат,200 г,Салаты,326 с,https://nambafood.kg/dish_image/39725.png
Салат из огурцом и мясом,250 г,Салаты,256 с,https://nambafood.kg/dish_image/40066.png
Светлый путь,250 г. Греческий салат,Салаты,311 с,https://nambafood.kg/dish_image/40067.png
Битый огурец,200 г,Салаты,273 с,https://nambafood.kg/dish_image/62781.png
Битый огурец с креветками,200 г,Салаты,334 с,https://nambafood.kg/dish_image/39747.png
«Мажорский» салат,"250 г. Язык говяжий, черри, салатные листья, опята маринованные, корнишоны, соус бальзамик, майонез.",Салаты,361 с,https://nambafood.kg/dish_image/62782.png
Салат «Губерния»,200 г,Салаты,346 с,https://nambafood.kg/dish_image/39741.png
Результат сельхоз-работ,250 г. Салат из свежих овощей.,Салаты,253 с,https://nambafood.kg/dish_image/40070.png
Салат «Спартак-чемпион»,250 г. Салат из квашеной капусты с клюквой.,Салаты,213 с,https://nambafood.kg/dish_image/40071.png
С новым годом-2!,Салат винегрет с сельдью и яблоками.,Салаты,222 с,https://nambafood.kg/dish_image/40072.png
«Нарком» съест,"200 г. Курица, говядина копченая, язык, грузди, огурцы соленые, майонез.",Салаты,388 с,https://nambafood.kg/dish_image/39738.png
Рекомендуют космонавты,"200 г. Острая копченая говядина, брынза, фасоль, перец болгарский, салатный лист, масло растительное, перец чили",Салаты,311 с,https://nambafood.kg/dish_image/39742.png
Салат «Ланч для гурмана»,"250 г. Курица, огурцы, яйца перепелиные, копченая говядина, кукуруза десертная, сыр, майонез.",Салаты,366 с,https://nambafood.kg/dish_image/39737.png
Салат «Мечты сбываются»,"250 г. Помидоры, болгарский перец, говядина копченая, яйца, чеснок, сыр, майонез.",Салаты,384 с,https://nambafood.kg/dish_image/39743.png
Салат «Коммунальная квартира»,"250 г. Шпинат жареный, морской коктейль.",Салаты,378 с,https://nambafood.kg/dish_image/62783.png
