Наименование,Описание,Категория,Цена,Фото
Ботиши,"Творог, масло и специи",Завтраки,250 с,https://nambafood.kg/dish_image/143274.png
Чуду с тыквой,"Тыква, грецкий орех и специи",Завтраки,180 с,https://nambafood.kg/dish_image/143277.png
Каша урючная с урбечем,"Урюк, урбеч, масло и грецкий орех",Завтраки,150 с,https://nambafood.kg/dish_image/143275.png
Чуду с требухой,"Специи, требуха и мука",Завтраки,190 с,https://nambafood.kg/dish_image/143443.png
Курзе мясное,Фарш и специи,Первые блюда,180 с,https://nambafood.kg/dish_image/143278.png
Яичное курзе 8 шт.,"Лук, жир, специи, яйца и молоко",Первые блюда,220 с,https://nambafood.kg/dish_image/143279.png
Хычины,"Творог, картофель и специи",Горячие блюда,190 с,https://nambafood.kg/dish_image/143439.png
Аварский хинкал,"Вяленое мясо, колбаса и приправы с соусом",Горячие блюда,450 с,https://nambafood.kg/dish_image/143440.png
Баарш,"Говяжий ливер, лук, рис и специи",Горячие блюда,400 с,https://nambafood.kg/dish_image/143441.png
Лезгинский хинкал,"Вяленое мясо, колбаса и приправы с соусом",Горячие блюда,450 с,https://nambafood.kg/dish_image/143442.png
Кавказская нарезка,"Брынза, огурцы, помидоры, зелень, перец и оливки",Закуски,350 с,https://nambafood.kg/dish_image/143281.png
Картофель фри,,Гарниры,70 с,https://nambafood.kg/dish_image/143282.png
Coca-Cola 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143444.png
Fanta 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143445.png
Sprite 1 л,,Напитки,100 с,https://nambafood.kg/dish_image/143446.png
