Наименование,Описание,Категория,Цена,Фото
Блины со сметаной,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/137082.png
Блины со сгущенкой,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/70370.png
Блины с мясом,2 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/70368.png
Блины с творогом,2 шт.,Завтраки,140 с,https://nambafood.kg/dish_image/70369.png
Творог со сметаной,100 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/70372.png
Сырники,3 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/70373.png
Омлет,80 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/70375.png
Омлет с сосиской,80 гр.,Завтраки,140 с,https://nambafood.kg/dish_image/70376.png
Каша манная,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/110193.png
Каша рисовая,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/110194.png
Сосиски 2 шт. Вареные,2 шт.,Завтраки,130 с,https://nambafood.kg/dish_image/70381.png
Сосиски 1 шт. Вареные,1 шт.,Завтраки,65 с,https://nambafood.kg/dish_image/70382.png
Сосиски 1 шт. Жареные,,Завтраки,65 с,https://nambafood.kg/dish_image/76053.png
Сосиски 2 шт. Жареные,,Завтраки,130 с,https://nambafood.kg/dish_image/76054.png
Самсы тандырные,,Завтраки,80 с,https://nambafood.kg/dish_image/100688.png
Лепешка маленькая,1 шт.,Завтраки,30 с,https://nambafood.kg/dish_image/103351.png
Лепешка 1 кусочек,,Завтраки,7 с,https://nambafood.kg/dish_image/70386.png
Салат «Гурман»,"150 гр. Мясо говядина, кинза, свежий лук, заправленный маслом.",Салаты,250 с,https://nambafood.kg/dish_image/83810.png
Салат «Греческий»,"150 гр. Свежие овощи, листья салата, сыр.",Салаты,170 с,https://nambafood.kg/dish_image/70387.png
Салат «Фунчеза»,"200 гр. Фунчеза, свежие овощи, заправка из масла.",Салаты,170 с,https://nambafood.kg/dish_image/70394.png
Салат «Винегрет»,"150 гр. Свекла, морковь, картошка, квашеная капуста, зеленый горошек, заправка масло.",Салаты,130 с,https://nambafood.kg/dish_image/70388.png
