Наименование,Описание,Категория,Цена,Фото
Блины со сгущенкой,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/63873.png
Блины с творогом,2 шт.,Завтраки,140 с,https://nambafood.kg/dish_image/63872.png
Творог со сметаной,100 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/63876.png
Сырники,3 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/63937.png
Яичница,2 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/63943.png
Омлет,80 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/63944.png
Омлет с сосиской,80 гр.,Завтраки,140 с,https://nambafood.kg/dish_image/63945.png
Каша рисовая,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/63948.png
Каша манная,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/63949.png
Сосиски 2 шт.,2 шт.,Завтраки,130 с,https://nambafood.kg/dish_image/63950.png
Сосиски 1 шт.,1 шт.,Завтраки,65 с,https://nambafood.kg/dish_image/63951.png
Самсы тандырные 1 шт.,1 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/63953.png
Лепешка 1 шт.,1 шт.,Завтраки,30 с,https://nambafood.kg/dish_image/63954.png
Лепешка 1 кусочек,,Завтраки,7 с,https://nambafood.kg/dish_image/63955.png
Омлет с овощами,80 гр.,Завтраки,140 с,https://nambafood.kg/dish_image/63946.png
Блины со сметаной,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/63875.png
Салат «Гурман»,"150 гр. Мясо говядина, кинза, свежий лук, заправленный маслом.",Салаты,250 с,https://nambafood.kg/dish_image/83878.png
Салат «Греческий»,"150 гр. Свежие овощи, листья салата, сыр.",Салаты,170 с,https://nambafood.kg/dish_image/63956.png
Салат «Фунчеза»,"200 гр. Фунчеза, свежие овощи, заправка из масла.",Салаты,170 с,https://nambafood.kg/dish_image/63963.png
Салат «Ханский»,"150 гр. Мясо, свежие овощи, соевая заправка.",Салаты,200 с,https://nambafood.kg/dish_image/63958.png
Оливье,"150 гр. Мясо, вареные овощи, зеленый горошек, майонез.",Салаты,160 с,https://nambafood.kg/dish_image/63961.png
Салат «Нежный»,"150 гр. Мясо говядины, свежие огурцы, майонез.",Салаты,170 с,https://nambafood.kg/dish_image/63962.png
Салат «Пикантный»,"150 гр. Сельдь, свежие помидоры, лист салата, перец болгарский, лук репчатый, растительное масло.",Салаты,170 с,https://nambafood.kg/dish_image/103495.png
Шакарап,"150 гр. Помидоры, лук.",Салаты,130 с,https://nambafood.kg/dish_image/63966.png
Свекольный салат,"150 гр. Свекла, грецкие орехи, сыр голландский, чеснок, майонез.",Салаты,120 с,https://nambafood.kg/dish_image/103496.png
Салат из капусты,"150 гр. Капуста, свежие овощи, чеснок, заправка.",Салаты,100 с,https://nambafood.kg/dish_image/63967.png
Салат из моркови,"150 гр. Морковь, свежие овощи, чеснок, заправка.",Салаты,100 с,https://nambafood.kg/dish_image/63968.png
Салат из свежих овощей,150 гр. Свежие овощи.,Салаты,130 с,https://nambafood.kg/dish_image/86002.png
Пачак сяй,200 гр.,Салаты,180 с,https://nambafood.kg/dish_image/103498.png
Шорпо из баранины,400 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/63982.png
Шорпо из говядины,400 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/89309.png
Солянка сборная мясная,400 гр.,Первые блюда,210 с,https://nambafood.kg/dish_image/63983.png
Суп с фрикадельками,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/63985.png
Пельмени со сметаной,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/63986.png
Чучвара,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/63987.png
Мампар,400 гр. Уйгурский суп с клецками.,Первые блюда,180 с,https://nambafood.kg/dish_image/63988.png
Куриный суп,400 гр. Лапша по-домашнему.,Первые блюда,170 с,https://nambafood.kg/dish_image/67811.png
Борщ,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/63989.png
Чечевичный суп-пюре,400 гр.,Первые блюда,150 с,https://nambafood.kg/dish_image/63992.png
Острый китайский суп,200 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/103499.png
Мастава,400 гр.,Первые блюда,190 с,https://nambafood.kg/dish_image/110273.png
Лагман по-домашнему порция,400 гр.,Лагманный рай,210 с,https://nambafood.kg/dish_image/64020.png
Лагман по-домашнему 0.7,300 гр.,Лагманный рай,200 с,https://nambafood.kg/dish_image/64021.png
Гюро лагман,450 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/64024.png
Гюро лагман с курицей,450 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/63997.png
Босо лагман,500 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/64025.png
Босо лагман с курицей,450 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/103501.png
Суйру Лагман,450 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/64148.png
Лагман с грибами,500 гр.,Лагманный рай,260 с,https://nambafood.kg/dish_image/64018.png
Лагман с омлетом,400 гр.,Лагманный рай,270 с,https://nambafood.kg/dish_image/64019.png
Лагман с картошкой порция,400 гр.,Лагманный рай,210 с,https://nambafood.kg/dish_image/64022.png
Лагман с картошкой 0.7,300 гр.,Лагманный рай,200 с,https://nambafood.kg/dish_image/64023.png
Лагман особый,430 гр. Гуйро лагман с картошкой,Лагманный рай,300 с,https://nambafood.kg/dish_image/67812.png
Мясо в горшочке,"400 гр. Мясо, картофель, заправка сметаны, майонез, сыр.",Основные блюда,340 с,https://nambafood.kg/dish_image/64048.png
Фрикасе из курицы,150 гр. С гарниром на выбор.,Основные блюда,230 с,https://nambafood.kg/dish_image/64049.png
Бризоль,120 г,Основные блюда,200 с,https://nambafood.kg/dish_image/64050.png
Бефстроганов с гарниром,270 гр.,Основные блюда,270 с,https://nambafood.kg/dish_image/140654.png
Котлеты,60 гр. 1 шт. Без гарнира.,Основные блюда,110 с,https://nambafood.kg/dish_image/64052.png
Гуляш с гарниром на выбор,270 гр.,Основные блюда,230 с,https://nambafood.kg/dish_image/64054.png
Бифштекс с яйцом,100 гр. С гарниром на выбор.,Основные блюда,230 с,https://nambafood.kg/dish_image/64056.png
Пельмени жаренные,220 гр.,Основные блюда,210 с,https://nambafood.kg/dish_image/64055.png
Мясо Фри,350 гр.,Основные блюда,320 с,https://nambafood.kg/dish_image/63993.png
Азу по-татарски,,Основные блюда,250 с,https://nambafood.kg/dish_image/110274.png
Паста фетучини с грибами и куриным филе,,Основные блюда,230 с,https://nambafood.kg/dish_image/110275.png
Дапанджи,,Основные блюда,360 с,https://nambafood.kg/dish_image/110278.png
Соомян - мямпар,500 гр.,Национальная кухня,230 с,https://nambafood.kg/dish_image/83879.png
Гош нан,1 шт.,Национальная кухня,300 с,https://nambafood.kg/dish_image/64039.png
Плов порция,300 гр.,Национальная кухня,220 с,https://nambafood.kg/dish_image/64041.png
Казан кавап,300 гр.,Национальная кухня,320 с,https://nambafood.kg/dish_image/64044.png
Казан кавап из курицы,300 гр.,Национальная кухня,320 с,https://nambafood.kg/dish_image/103642.png
Казан кавап из почек,350 гр.,Национальная кухня,300 с,https://nambafood.kg/dish_image/64005.png
Лазиру,350 гр. Мясо с овощами.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64045.png
Лазыджи,350 гр. Курица с овощами.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64046.png
Джовава,300 гр. Уйгурские вареники с мясной начинкой.,Национальная кухня,270 с,https://nambafood.kg/dish_image/64047.png
Бешбармак,400 гр.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64036.png
Оромо,3 шт.,Национальная кухня,180 с,https://nambafood.kg/dish_image/64031.png
Куурдак  с мясом и картошкой,500 гр.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64037.png
Куурдак с печенью и картошкой,500 гр.,Национальная кухня,250 с,https://nambafood.kg/dish_image/64038.png
Куурдак с бараньими ребрами,500 гр.,Национальная кухня,340 с,https://nambafood.kg/dish_image/64002.png
Куурдак с говяжьими ребрами,500 гр.,Национальная кухня,340 с,https://nambafood.kg/dish_image/64003.png
Суп за–куй–тан,400 гр.,Национальная кухня,250 с,https://nambafood.kg/dish_image/110276.png
Манты 5 шт.,5 шт.,Национальная кухня,220 с,https://nambafood.kg/dish_image/64008.png
Манты 1 шт.,1 шт.,Национальная кухня,44 с,https://nambafood.kg/dish_image/64009.png
Манты жареные 5 шт.,5 шт.,Национальная кухня,210 с,https://nambafood.kg/dish_image/64016.png
Манты жареные 1 шт.,1 шт.,Национальная кухня,50 с,https://nambafood.kg/dish_image/64017.png
Гюро Сяй,400 гр.,Национальная кухня,300 с,https://nambafood.kg/dish_image/79831.png
Момо Сяй,400 гр.,Национальная кухня,350 с,https://nambafood.kg/dish_image/64027.png
Почки Сяй,350 гр.,Национальная кухня,250 с,https://nambafood.kg/dish_image/63994.png
Ганфан порция,400 гр.,Национальная кухня,220 с,https://nambafood.kg/dish_image/64028.png
Ганфан 0.7,300 гр.,Национальная кухня,210 с,https://nambafood.kg/dish_image/64029.png
Гюро ганфан,450 гр.,Национальная кухня,250 с,https://nambafood.kg/dish_image/64030.png
Белик Сяй,400 гр.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64032.png
Фунчеза Сяй,400 гр.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64033.png
Мушуро,400 гр.,Национальная кухня,290 с,https://nambafood.kg/dish_image/64034.png
Ашлям-фу,400 гр.,Национальная кухня,180 с,https://nambafood.kg/dish_image/64035.png
Шашлык из баранины,110 гр.,Шашлыки,170 с,https://nambafood.kg/dish_image/63971.png
Шашлык из говядины,110 гр.,Шашлыки,170 с,https://nambafood.kg/dish_image/63972.png
Кетчуп,50 гр.,Гарниры,50 с,https://nambafood.kg/dish_image/63947.png
Гречка,150 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/63975.png
Рис,150 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/63976.png
Картофельное пюре,150 гр.,Гарниры,110 с,https://nambafood.kg/dish_image/63977.png
Сложный гарнир,200 гр.,Гарниры,130 с,https://nambafood.kg/dish_image/63979.png
Картофель фри,150 гр.,Гарниры,130 с,https://nambafood.kg/dish_image/63980.png
Макароны,150 гр.,Гарниры,110 с,https://nambafood.kg/dish_image/63981.png
Трубочки 1 шт,,Выпечка,35 с,https://nambafood.kg/dish_image/110291.png
Компот 1 л,,Холодные напитки,140 с,https://nambafood.kg/dish_image/63859.png
Coca-Cola 1 л,,Холодные напитки,110 с,https://nambafood.kg/dish_image/140651.png
"Coca Cola 0,5 л",,Холодные напитки,70 с,https://nambafood.kg/dish_image/64214.png
Сок натуральный,1 л.,Холодные напитки,130 с,https://nambafood.kg/dish_image/63867.png
Bonaqua 1 л с газом,1 л,Холодные напитки,60 с,https://nambafood.kg/dish_image/140652.png
Bonaqua 1 л без газа,1 л,Холодные напитки,60 с,https://nambafood.kg/dish_image/140653.png
