Наименование,Описание,Категория,Цена,Фото
Блины со сметаной,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/38428.png
Блины со сгущенкой,3 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/38427.png
Блины с мясом,2 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/38425.png
Блины с творогом,2 шт.,Завтраки,140 с,https://nambafood.kg/dish_image/38426.png
Творог со сметаной,100 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/38429.png
Сырники,3 шт.,Завтраки,150 с,https://nambafood.kg/dish_image/38430.png
Яичница,2 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/38431.png
Омлет,80 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/38432.png
Омлет и сосиска,80 гр.,Завтраки,140 с,https://nambafood.kg/dish_image/38433.png
Рисовая каша,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/38437.png
Манная каша,300 гр.,Завтраки,120 с,https://nambafood.kg/dish_image/38438.png
Сосиски 2 шт,,Завтраки,130 с,https://nambafood.kg/dish_image/38439.png
Самсы тандырные с мясом,1 шт.,Завтраки,80 с,https://nambafood.kg/dish_image/38442.png
Лепешка,1шт,Завтраки,30 с,https://nambafood.kg/dish_image/38443.png
Самсы тандырные  с курицей,,Завтраки,80 с,https://nambafood.kg/dish_image/62876.png
Кетчуп,50 г,Завтраки,50 с,https://nambafood.kg/dish_image/38436.png
Сметана,50 г,Завтраки,60 с,https://nambafood.kg/dish_image/65509.png
Омлет с овощами,80 гр.,Завтраки,140 с,https://nambafood.kg/dish_image/38435.png
Салат «Гурман»,"150 гр. Мясо вареное, лук свежий, специи, соевый соус.",Салаты,250 с,https://nambafood.kg/dish_image/38605.png
Салат «Греческий»,"150 гр. Свежие овощи, листья салата, сыр.",Салаты,170 с,https://nambafood.kg/dish_image/38447.png
Салат «Фунчеза»,"200 гр. Фунчеза, свежие овощи, заправка масло.",Салаты,170 с,https://nambafood.kg/dish_image/38454.png
Салат «Винегрет»,"150 гр. Свекла, морковь, картофель, капуста, зеленый горошек, заправка, масло.",Салаты,130 с,https://nambafood.kg/dish_image/38448.png
Салат «Ханский»,"150 гр. Мясо, свежие овощи, соевая заправка.",Салаты,200 с,https://nambafood.kg/dish_image/38449.png
Оливье,"150 гр. Мясо, вареные овощи, зеленый горошек, майонез.",Салаты,160 с,https://nambafood.kg/dish_image/38452.png
Салат «Нежный»,"150 гр. Мясо говядина, свежие огурцы, майонез.",Салаты,170 с,https://nambafood.kg/dish_image/38453.png
Салат «Цезарь»,"150 гр. Куриное филе, с ароматной заправкой  придающий особый вкус.",Салаты,220 с,https://nambafood.kg/dish_image/38456.png
Салат «Пикантный»,"150 гр. Сельдь, свежие помидоры, листья салата, перец болгарский, лук репчатый, растительное масло.",Салаты,170 с,https://nambafood.kg/dish_image/65510.png
Шакарап,"150 гр. Помидор, лук.",Салаты,130 с,https://nambafood.kg/dish_image/38457.png
Салат свекольный,"150 гр. Свекла, орехи грецкие, сыр голландский, чеснок, майонез.",Салаты,120 с,https://nambafood.kg/dish_image/38607.png
Салат из капусты,"150 гр. Капуста свежая, овощи, чесночная заправка.",Салаты,100 с,https://nambafood.kg/dish_image/38458.png
Салат из моркови,"150 гр. Морковь, свежие овощи, чесночная заправка.",Салаты,100 с,https://nambafood.kg/dish_image/38459.png
Салат из свежих овощей,150 гр. Свежие овощи.,Салаты,130 с,https://nambafood.kg/dish_image/38460.png
Пачак сяй,200 гр.,Салаты,180 с,https://nambafood.kg/dish_image/38608.png
Шорпо баранина,400 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/38559.png
Шорпо говядина,400 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/74750.png
Солянка сборная мясная,400 гр.,Первые блюда,210 с,https://nambafood.kg/dish_image/38560.png
Окрошка с мясом,400 гр.,Первые блюда,160 с,https://nambafood.kg/dish_image/38561.png
Суп с фрикадельками,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/38562.png
Пельмени со сметаной,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/38563.png
Чучвара,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/38564.png
Мампар,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/38565.png
Куриный суп с лапшой по-домашнему,400 гр.,Первые блюда,170 с,https://nambafood.kg/dish_image/65511.png
Борщ,400 гр.,Первые блюда,180 с,https://nambafood.kg/dish_image/38566.png
Чечевичный суп-пюре,400 гр.,Первые блюда,150 с,https://nambafood.kg/dish_image/38569.png
Острый китайский суп,200 гр.,Первые блюда,200 с,https://nambafood.kg/dish_image/65512.png
Мастава,400 гр.,Первые блюда,190 с,https://nambafood.kg/dish_image/110294.png
Мясо в горшочке,"400 гр. Мясо, картофель, заправка, сметана, майонез, сыр.",Основные блюда,340 с,https://nambafood.kg/dish_image/38549.png
Фрикасе из курицы,150 гр. С гарниром на выбор.,Основные блюда,230 с,https://nambafood.kg/dish_image/140650.png
